methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc
baseline,0.8786±0.0,0.8904±0.0,0.7587±0.04,0.7655±0.02,0.8159±0.01,0.8064±0.01,0.8684±0.0,0.7809±0.0,0.9063±0.0,0.65±0.01,0.9574±0.0,0.5865±0.02,0.0754±0.0,0.4142±0.01,0.2468±0.06,0.1774±0.01,0.102±0.0,0.0508±0.0,0.014±0.0,0.2222±0.05,0.2097±0.02,0.3363±0.01,0.6491±0.02,0.8131±0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resampling,0.8664±0.0,0.8723±0.0,0.7139±0.0,0.7525±0.01,0.7907±0.0,0.8004±0.0,0.8447±0.0,0.777±0.0,0.8904±0.0,0.6757±0.01,0.9519±0.0,0.6116±0.01,0.1±0.0,0.3745±0.01,0.3173±0.02,0.2161±0.01,0.1323±0.0,0.0737±0.01,0.0218±0.0,0.1778±0.04,0.183±0.01,0.3138±0.01,0.5748±0.02,0.755±0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DomainInd,0.8785±0.0,0.8862±0.0,0.7164±0.03,0.7422±0.02,0.8201±0.01,0.8092±0.0,0.8641±0.01,0.7767±0.01,0.9±0.0,0.6647±0.01,0.9537±0.0,0.5906±0.02,0.0811±0.01,0.4044±0.02,0.3045±0.04,0.1724±0.01,0.1063±0.01,0.0607±0.01,0.0183±0.01,0.2111±0.02,0.2091±0.02,0.3403±0.02,0.61±0.03,0.8005±0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFTR,0.8769±0.0,0.8807±0.0,0.7388±0.06,0.841±0.01,0.8132±0.02,0.8845±0.0,0.8555±0.0,0.8755±0.0,0.8959±0.01,0.8346±0.01,0.951±0.01,0.8359±0.01,0.09±0.0,0.3799±0.01,0.2692±0.09,0.1863±0.03,0.1195±0.01,0.0674±0.01,0.0226±0.01,0.2334±0.06,0.189±0.04,0.3174±0.02,0.5799±0.04,0.7601±0.04,0.0122±0.01,0.2284±0.0,0.6281±0.07,0.5444±0.12,0.0929±0.05,0.4556±0.12,0.9071±0.05,0.1093±0.02,0.3967±0.01,0.8353±0.0,0.5175±0.17,0.0766±0.03,0.4825±0.17,0.9234±0.03,0.0227±0.01,0.3301±0.01,0.83±0.01,0.7184±0.11,0.031±0.02,0.2816±0.11,0.969±0.02,0.0154±0.0,0.263±0.0,0.7327±0.01,0.9019±0.07,0.0092±0.01,0.0981±0.07,0.9908±0.01,0.0151±0.01,0.2058±0.0,0.7373±0.02,0.9697±0.02,0.0022±0.0,0.0303±0.02,0.9978±0.0,0.02±0.01,0.1296±0.0,0.8289±0.0
CFair,0.8685±0.0,0.8717±0.01,0.7687±0.02,0.8413±0.03,0.8269±0.0,0.8801±0.0,0.8589±0.0,0.8735±0.0,0.8759±0.01,0.8297±0.0,0.9243±0.02,0.8232±0.01,0.1006±0.01,0.3745±0.02,0.1987±0.01,0.1487±0.01,0.1149±0.01,0.0953±0.02,0.0545±0.02,0.3445±0.07,0.268±0.02,0.3219±0.02,0.4966±0.05,0.649±0.09,0.0166±0.01,0.2374±0.01,0.672±0.06,0.8±0.2,0.0256±0.01,0.2±0.2,0.9744±0.01,0.0944±0.03,0.4074±0.05,0.8276±0.02,0.8027±0.12,0.0252±0.02,0.1973±0.12,0.9748±0.02,0.0699±0.02,0.3624±0.02,0.8338±0.01,0.8585±0.08,0.0158±0.01,0.1415±0.08,0.9842±0.01,0.0285±0.01,0.2702±0.01,0.725±0.01,0.8832±0.02,0.0126±0.0,0.1168±0.02,0.9874±0.0,0.0185±0.0,0.2101±0.0,0.6772±0.01,0.9015±0.03,0.0079±0.0,0.0985±0.03,0.9921±0.0,0.0201±0.01,0.1356±0.0,0.8177±0.01
LNL,0.8524±0.0,0.8628±0.01,0.5796±0.11,0.6896±0.05,0.7546±0.03,0.7747±0.01,0.8317±0.01,0.7548±0.0,0.8904±0.01,0.6438±0.02,0.9524±0.0,0.5741±0.03,0.1063±0.01,0.4127±0.03,0.5096±0.17,0.2594±0.04,0.1423±0.02,0.0684±0.01,0.0185±0.01,0.1111±0.08,0.1913±0.03,0.3481±0.02,0.644±0.06,0.8333±0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnD,0.8561±0.0,0.8681±0.01,0.6866±0.01,0.7032±0.0,0.8±0.01,0.7807±0.01,0.849±0.01,0.7642±0.01,0.8808±0.01,0.6753±0.02,0.9337±0.0,0.6119±0.01,0.1014±0.01,0.4037±0.03,0.3269±0.03,0.1866±0.0,0.1223±0.01,0.0849±0.01,0.0414±0.0,0.2667±0.03,0.2519±0.03,0.3492±0.03,0.5646±0.04,0.7348±0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODR,0.8719±0.0,0.8812±0.0,0.7363±0.05,0.8387±0.05,0.8133±0.01,0.8739±0.01,0.8554±0.01,0.8702±0.0,0.8978±0.0,0.8283±0.01,0.95±0.0,0.8349±0.01,0.0872±0.01,0.4004±0.02,0.2949±0.06,0.1828±0.01,0.1151±0.01,0.0637±0.01,0.0236±0.01,0.1555±0.04,0.202±0.01,0.3481±0.03,0.6014±0.02,0.7601±0.06,0.0157±0.01,0.233±0.0,0.6628±0.09,0.4333±0.12,0.1442±0.02,0.5667±0.12,0.8558±0.02,0.0871±0.01,0.398±0.04,0.8151±0.01,0.5882±0.14,0.068±0.02,0.4118±0.14,0.932±0.02,0.0298±0.01,0.3428±0.01,0.8054±0.01,0.7572±0.11,0.0253±0.01,0.2428±0.11,0.9747±0.01,0.0179±0.01,0.2686±0.0,0.7298±0.01,0.9178±0.04,0.0086±0.0,0.0822±0.04,0.9914±0.0,0.017±0.01,0.2085±0.0,0.7302±0.02,0.947±0.04,0.0029±0.0,0.053±0.04,0.9971±0.0,0.0238±0.0,0.131±0.01,0.8131±0.03
GroupDRO,0.8481±0.0,0.8683±0.01,0.6965±0.0,0.7294±0.02,0.7853±0.01,0.7744±0.01,0.8396±0.01,0.7484±0.01,0.8876±0.01,0.6475±0.0,0.9488±0.01,0.6112±0.03,0.0982±0.01,0.43±0.02,0.3301±0.01,0.2071±0.0,0.1296±0.01,0.0723±0.01,0.0251±0.01,0.2111±0.05,0.2442±0.02,0.3736±0.02,0.6327±0.01,0.7525±0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAD,0.8881±0.0,0.888±0.0,0.7736±0.02,0.8884±0.0,0.8195±0.0,0.8934±0.0,0.8644±0.0,0.8888±0.0,0.9023±0.0,0.8457±0.0,0.9566±0.0,0.8502±0.0,0.0844±0.01,0.3583±0.02,0.25±0.02,0.1836±0.0,0.1151±0.01,0.0599±0.01,0.0172±0.0,0.1444±0.02,0.1687±0.01,0.2772±0.01,0.5873±0.04,0.7475±0.06,0.0095±0.0,0.2193±0.0,0.7914±0.02,0.3556±0.05,0.1122±0.01,0.6444±0.05,0.8878±0.01,0.0677±0.01,0.3472±0.01,0.8537±0.01,0.3886±0.01,0.0929±0.0,0.6114±0.01,0.9071±0.0,0.015±0.0,0.319±0.0,0.8529±0.0,0.5883±0.0,0.0409±0.0,0.4117±0.0,0.9591±0.0,0.0107±0.0,0.2509±0.0,0.7459±0.01,0.8662±0.02,0.0122±0.0,0.1338±0.02,0.9878±0.0,0.0123±0.0,0.2005±0.0,0.7776±0.01,0.9242±0.02,0.003±0.0,0.0758±0.02,0.997±0.0,0.0071±0.0,0.121±0.0,0.8457±0.0
