methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc
baseline,0.8633±0.0,0.7802±0.0,0.8298±0.02,0.7466±0.03,0.8133±0.0,0.7693±0.0,0.775±0.0,0.7842±0.0,0.7716±0.0,0.769±0.0,0.7809±0.01,0.7124±0.01,0.2527±0.01,0.1704±0.01,0.4773±0.07,0.4026±0.01,0.3139±0.01,0.2232±0.01,0.1565±0.02,0.0295±0.01,0.0588±0.01,0.1176±0.01,0.2388±0.01,0.4187±0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resampling,0.8554±0.0,0.7727±0.0,0.8179±0.02,0.83±0.01,0.8048±0.0,0.8423±0.0,0.7679±0.0,0.8548±0.0,0.7625±0.0,0.835±0.0,0.778±0.0,0.8051±0.0,0.2658±0.0,0.1696±0.0,0.4886±0.03,0.4097±0.02,0.3266±0.01,0.2404±0.01,0.163±0.01,0.0417±0.02,0.0682±0.01,0.1179±0.0,0.2317±0.01,0.41±0.02,0.0333±0.01,0.4703±0.0,0.6524±0.02,0.0608±0.04,0.4356±0.07,0.9392±0.04,0.5644±0.07,0.0924±0.04,0.5±0.07,0.7249±0.02,0.0978±0.02,0.3602±0.03,0.9022±0.02,0.6398±0.03,0.0542±0.01,0.4845±0.02,0.757±0.01,0.1757±0.02,0.2562±0.01,0.8243±0.02,0.7438±0.01,0.0359±0.01,0.4772±0.0,0.716±0.0,0.3261±0.03,0.1715±0.02,0.6739±0.03,0.8285±0.02,0.0297±0.01,0.4699±0.0,0.6481±0.01,0.5507±0.05,0.1053±0.02,0.4493±0.05,0.8947±0.02,0.034±0.01,0.4422±0.0,0.8051±0.0
DomainInd,0.8623±0.0,0.7821±0.0,0.8155±0.02,0.855±0.01,0.812±0.0,0.8558±0.0,0.7749±0.0,0.8626±0.0,0.7761±0.0,0.8419±0.0,0.7842±0.0,0.8104±0.0,0.2468±0.01,0.1744±0.01,0.4811±0.07,0.4067±0.01,0.3112±0.01,0.2157±0.01,0.145±0.01,0.0486±0.01,0.0584±0.01,0.1211±0.01,0.2405±0.02,0.4415±0.02,0.1617±0.0,1.0376±0.02,0.8024±0.0,0.0833±0.01,0.3864±0.02,0.9167±0.01,0.6136±0.02,0.1511±0.0,1.0771±0.18,0.7411±0.01,0.0998±0.01,0.3333±0.0,0.9002±0.01,0.6667±0.0,0.1506±0.0,1.0301±0.02,0.7721±0.0,0.1935±0.01,0.2271±0.01,0.8065±0.01,0.7729±0.01,0.1644±0.0,1.0347±0.02,0.7363±0.0,0.3635±0.02,0.1405±0.01,0.6365±0.02,0.8595±0.01,0.1644±0.0,1.0398±0.02,0.6625±0.01,0.605±0.02,0.081±0.01,0.395±0.02,0.919±0.01,0.162±0.0,1.0428±0.04,0.8104±0.0
LAFTR,0.8605±0.0,0.781±0.0,0.8071±0.02,0.8579±0.01,0.8092±0.01,0.8523±0.01,0.7717±0.01,0.8598±0.0,0.7753±0.0,0.8392±0.0,0.7886±0.01,0.8111±0.0,0.2465±0.01,0.1777±0.01,0.5341±0.05,0.4221±0.03,0.3138±0.02,0.2112±0.01,0.1414±0.02,0.0365±0.01,0.0537±0.0,0.1251±0.01,0.2516±0.02,0.4349±0.04,0.0369±0.01,0.4607±0.01,0.7791±0.02,0.0521±0.03,0.4432±0.1,0.9479±0.03,0.5568±0.1,0.0625±0.04,0.4224±0.03,0.7374±0.03,0.087±0.03,0.3654±0.06,0.913±0.03,0.6346±0.06,0.0436±0.02,0.4523±0.02,0.7649±0.0,0.195±0.07,0.2423±0.06,0.805±0.07,0.7577±0.06,0.0463±0.02,0.4723±0.01,0.7329±0.0,0.3702±0.09,0.1446±0.04,0.6298±0.09,0.8554±0.04,0.0339±0.01,0.4647±0.0,0.6633±0.0,0.5921±0.08,0.0867±0.02,0.4079±0.08,0.9133±0.02,0.027±0.0,0.4347±0.0,0.8111±0.0
CFair,0.8599±0.0,0.7822±0.0,0.8226±0.01,0.84±0.02,0.8184±0.0,0.8564±0.0,0.7786±0.0,0.8601±0.0,0.7728±0.0,0.8408±0.0,0.7797±0.01,0.8069±0.0,0.2423±0.01,0.181±0.01,0.4546±0.03,0.3716±0.02,0.292±0.01,0.2151±0.01,0.1676±0.01,0.0504±0.0,0.069±0.0,0.1363±0.01,0.2513±0.01,0.3887±0.01,0.0441±0.01,0.4664±0.01,0.7163±0.09,0.0573±0.01,0.4167±0.05,0.9427±0.01,0.5833±0.05,0.0454±0.02,0.4244±0.02,0.7503±0.01,0.0901±0.01,0.3444±0.03,0.9099±0.01,0.6556±0.03,0.0248±0.01,0.44±0.0,0.7695±0.0,0.1679±0.02,0.2575±0.02,0.8321±0.02,0.7425±0.02,0.0427±0.01,0.4722±0.01,0.7274±0.01,0.2941±0.04,0.1828±0.02,0.7059±0.04,0.8172±0.02,0.054±0.01,0.4742±0.01,0.6653±0.01,0.4551±0.04,0.1381±0.01,0.5449±0.04,0.8619±0.01,0.0606±0.01,0.4593±0.01,0.8069±0.0
LNL,0.8421±0.0,0.7606±0.0,0.7619±0.01,0.803±0.02,0.7867±0.01,0.8287±0.0,0.7479±0.01,0.8395±0.0,0.756±0.0,0.8211±0.0,0.776±0.0,0.7851±0.0,0.2743±0.01,0.1869±0.01,0.6288±0.06,0.464±0.04,0.357±0.02,0.2379±0.01,0.1405±0.0,0.059±0.02,0.0648±0.01,0.1255±0.01,0.2562±0.01,0.4903±0.01,0.0337±0.02,0.485±0.0,0.6481±0.06,0.0833±0.01,0.5682±0.05,0.9167±0.01,0.4318±0.05,0.0535±0.02,0.4901±0.02,0.6798±0.02,0.0919±0.01,0.4107±0.03,0.9081±0.01,0.5893±0.03,0.0214±0.0,0.476±0.0,0.7153±0.01,0.182±0.05,0.2881±0.04,0.818±0.05,0.7119±0.04,0.0398±0.02,0.4987±0.0,0.693±0.0,0.3538±0.08,0.1761±0.04,0.6462±0.08,0.8239±0.04,0.0388±0.02,0.4873±0.01,0.6145±0.02,0.6244±0.11,0.0926±0.03,0.3756±0.11,0.9074±0.03,0.0402±0.01,0.4576±0.01,0.7812±0.0
EnD,0.8533±0.0,0.7743±0.01,0.8202±0.01,0.8423±0.01,0.8123±0.0,0.8462±0.0,0.774±0.01,0.8562±0.0,0.7628±0.01,0.8378±0.0,0.7688±0.0,0.8054±0.0,0.2644±0.02,0.1674±0.01,0.4394±0.03,0.36±0.03,0.3035±0.02,0.2478±0.02,0.1971±0.01,0.0608±0.01,0.0857±0.01,0.1326±0.02,0.216±0.01,0.3401±0.01,0.0432±0.02,0.4718±0.0,0.7451±0.03,0.0781±0.02,0.3864±0.02,0.9219±0.02,0.6136±0.02,0.085±0.01,0.4438±0.01,0.7369±0.02,0.1143±0.02,0.3239±0.02,0.8857±0.02,0.6761±0.02,0.0444±0.02,0.4559±0.01,0.7634±0.0,0.1787±0.02,0.2523±0.03,0.8213±0.02,0.7477±0.03,0.0353±0.02,0.475±0.0,0.7257±0.0,0.2768±0.02,0.1977±0.02,0.7232±0.02,0.8023±0.02,0.0684±0.02,0.4778±0.01,0.6644±0.0,0.4231±0.02,0.1546±0.01,0.5769±0.02,0.8454±0.01,0.0834±0.01,0.4651±0.01,0.8054±0.0
ODR,0.862±0.0,0.7798±0.0,0.8238±0.0,0.8437±0.0,0.8151±0.0,0.8589±0.0,0.7731±0.0,0.8611±0.0,0.7727±0.0,0.8423±0.0,0.7779±0.0,0.8074±0.0,0.2517±0.01,0.1729±0.01,0.4204±0.04,0.3846±0.02,0.3123±0.01,0.222±0.01,0.1657±0.0,0.0642±0.01,0.0666±0.01,0.1237±0.01,0.2379±0.01,0.4021±0.01,0.0252±0.0,0.4553±0.0,0.716±0.02,0.0938±0.01,0.3523±0.0,0.9062±0.01,0.6477±0.0,0.0425±0.01,0.4318±0.0,0.7567±0.02,0.1204±0.02,0.3047±0.02,0.8796±0.02,0.6953±0.02,0.0332±0.01,0.4407±0.01,0.7683±0.0,0.2194±0.04,0.212±0.04,0.7806±0.04,0.788±0.04,0.0264±0.01,0.4648±0.0,0.731±0.0,0.3887±0.07,0.1299±0.03,0.6113±0.07,0.8701±0.03,0.025±0.0,0.4591±0.0,0.6559±0.0,0.6199±0.09,0.0852±0.04,0.3801±0.09,0.9148±0.04,0.0335±0.0,0.4396±0.0,0.8074±0.0
GroupDRO,0.8536±0.0,0.7731±0.0,0.794±0.01,0.7±0.01,0.8033±0.01,0.755±0.01,0.7656±0.0,0.775±0.0,0.7659±0.0,0.7616±0.0,0.7793±0.0,0.7003±0.01,0.2583±0.01,0.1798±0.01,0.553±0.04,0.4336±0.01,0.3248±0.01,0.2256±0.01,0.1486±0.0,0.0469±0.02,0.0564±0.0,0.1253±0.01,0.2512±0.01,0.4509±0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAD,0.8708±0.0,0.7896±0.0,0.8452±0.01,0.8656±0.0,0.8239±0.0,0.8725±0.0,0.7853±0.0,0.8709±0.0,0.7804±0.0,0.8486±0.0,0.7886±0.0,0.8215±0.0,0.2347±0.01,0.1739±0.01,0.4394±0.02,0.3779±0.01,0.2946±0.01,0.2054±0.01,0.1433±0.01,0.0243±0.01,0.0565±0.0,0.1181±0.01,0.2478±0.01,0.4289±0.02,0.0147±0.0,0.4406±0.0,0.7868±0.02,0.0365±0.01,0.3788±0.02,0.9635±0.01,0.6212±0.02,0.0512±0.01,0.3802±0.0,0.7973±0.01,0.0826±0.0,0.3264±0.0,0.9174±0.0,0.6736±0.0,0.0174±0.0,0.4164±0.0,0.7838±0.01,0.1795±0.0,0.2267±0.0,0.8205±0.0,0.7733±0.0,0.0199±0.0,0.4487±0.0,0.7424±0.0,0.3538±0.0,0.1393±0.0,0.6462±0.0,0.8607±0.0,0.0149±0.0,0.4495±0.0,0.681±0.01,0.578±0.01,0.0863±0.0,0.422±0.01,0.9137±0.0,0.0252±0.0,0.4248±0.0,0.8215±0.0
