methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.8645±0.0,0.8562±0.0,0.8703±0.0,0.7854±0.0,0.7846±0.0,0.7862±0.0,0.9198±0.01,0.9628±0.01,0.9492±0.01,0.956±0.01,0.9521±0.02,0.9533±0.02,0.954±0.02,0.0111±0.01,0.4498±0.0,0.7688±0.01,0.2836±0.02,0.1613±0.01,0.7164±0.02,0.8387±0.01,0.0164±0.01,0.4525±0.0,0.7832±0.0,0.2228±0.01,0.1963±0.01,0.7772±0.01,0.8037±0.01,0.0091±0.01,0.4469±0.0,0.8562±0.0,0.2365±0.01,0.1818±0.01,0.2193±0.01,0.2564±0.01,0.2087±0.0,0.158±0.01
resampling,0.8621±0.0,0.8531±0.0,0.8684±0.0,0.7811±0.0,0.7789±0.0,0.7834±0.0,0.9228±0.01,0.9664±0.0,0.9506±0.01,0.9585±0.01,0.9557±0.01,0.9563±0.01,0.9561±0.01,0.0267±0.02,0.456±0.0,0.7592±0.0,0.2642±0.02,0.183±0.01,0.7358±0.02,0.817±0.01,0.0322±0.01,0.4597±0.0,0.7755±0.01,0.2062±0.03,0.2135±0.02,0.7938±0.03,0.7865±0.02,0.0233±0.02,0.4522±0.0,0.8531±0.0,0.2485±0.01,0.1744±0.0,0.233±0.0,0.2666±0.01,0.2006±0.0,0.1512±0.01
DomainInd,0.8628±0.0,0.8539±0.0,0.8699±0.0,0.7808±0.0,0.7775±0.0,0.7842±0.0,0.9248±0.01,0.9698±0.01,0.9506±0.01,0.9602±0.01,0.9676±0.01,0.9641±0.01,0.9624±0.01,0.0946±0.01,0.5303±0.02,0.7611±0.0,0.2813±0.0,0.167±0.0,0.7187±0.0,0.833±0.0,0.1012±0.01,0.5457±0.02,0.7821±0.01,0.2364±0.01,0.1868±0.01,0.7636±0.01,0.8132±0.01,0.0895±0.01,0.5143±0.02,0.8539±0.0,0.2506±0.0,0.1721±0.01,0.2366±0.0,0.2669±0.01,0.1982±0.0,0.1488±0.01
LAFTR,0.8628±0.0,0.8536±0.0,0.8696±0.0,0.782±0.0,0.7814±0.0,0.7826±0.01,0.9152±0.02,0.9575±0.02,0.9452±0.02,0.9513±0.02,,,,,,,,,,,,,,,,,,,,,0.2471±0.01,0.1742±0.01,0.2275±0.01,0.27±0.03,0.2033±0.0,0.1485±0.02
CFair,0.8644±0.0,0.8568±0.0,0.8697±0.0,0.7805±0.0,0.7796±0.0,0.7814±0.01,0.9231±0.01,0.9636±0.02,0.956±0.01,0.9598±0.01,,,,,,,,,,,,,,,,,,,,,0.2562±0.01,0.1643±0.0,0.2394±0.01,0.2758±0.02,0.1876±0.01,0.1436±0.01
LNL,0.8518±0.0,0.8422±0.0,0.8592±0.0,0.7671±0.01,0.7678±0.01,0.7664±0.01,0.9041±0.03,0.9432±0.03,0.9348±0.03,0.939±0.03,,,,,,,,,,,,,,,,,,,,,0.2733±0.02,0.1722±0.01,0.2471±0.01,0.3038±0.03,0.2068±0.02,0.1416±0.02
EnD,0.8597±0.0,0.8535±0.0,0.8654±0.0,0.7799±0.01,0.7755±0.01,0.7844±0.0,0.9549±0.01,0.9964±0.0,0.9852±0.01,0.9908±0.01,0.9901±0.01,0.9911±0.01,0.9913±0.01,0.0363±0.02,0.4626±0.01,0.7661±0.0,0.2872±0.07,0.1666±0.05,0.7128±0.07,0.8334±0.05,0.0398±0.03,0.4639±0.01,0.7737±0.0,0.2731±0.08,0.1719±0.05,0.7269±0.08,0.8281±0.05,0.0406±0.02,0.4613±0.01,0.8535±0.0,0.2501±0.02,0.1751±0.02,0.2487±0.02,0.2518±0.02,0.1829±0.01,0.1681±0.02
ODR,0.8642±0.0,0.8564±0.0,0.8698±0.0,0.7849±0.0,0.7847±0.0,0.7851±0.0,0.9228±0.01,0.9638±0.01,0.9555±0.0,0.9597±0.01,0.9507±0.0,0.956±0.01,0.958±0.01,0.0331±0.02,0.4543±0.0,0.7715±0.0,0.2929±0.08,0.1599±0.05,0.7071±0.08,0.8401±0.05,0.0347±0.01,0.4559±0.0,0.7831±0.01,0.2305±0.07,0.1962±0.05,0.7695±0.07,0.8038±0.05,0.0336±0.02,0.4527±0.0,0.8564±0.0,0.2413±0.0,0.1757±0.0,0.2246±0.0,0.2608±0.01,0.1993±0.0,0.1548±0.0
GroupDRO,0.8578±0.0,0.8484±0.0,0.8648±0.0,0.7784±0.0,0.7763±0.0,0.7806±0.01,0.9237±0.01,0.9671±0.01,0.9508±0.01,0.959±0.01,,,,,,,,,,,,,,,,,,,,,0.2482±0.01,0.1816±0.01,0.233±0.02,0.2659±0.01,0.2077±0.01,0.1585±0.01
SWAD,0.8705±0.0,0.8623±0.0,0.8762±0.0,0.7906±0.0,0.7901±0.0,0.7911±0.0,0.9208±0.0,0.9636±0.0,0.9522±0.0,0.9579±0.0,0.9559±0.0,0.957±0.0,0.9565±0.0,0.0157±0.0,0.4413±0.0,0.7828±0.0,0.2767±0.0,0.1562±0.0,0.7233±0.0,0.8438±0.0,0.0169±0.0,0.4438±0.0,0.7923±0.0,0.2213±0.0,0.189±0.0,0.7787±0.0,0.811±0.0,0.018±0.0,0.4387±0.0,0.8623±0.0,0.232±0.01,0.1754±0.01,0.2152±0.01,0.2516±0.01,0.2007±0.01,0.1529±0.01
