methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.6498±0.06,0.7812±0.14,0.5322±0.03,0.6667±0.02,0.8519±0.06,0.5278±0.02,0.4491±0.08,0.4939±0.07,0.4048±0.34,0.4493±0.18,0.8936±0.13,0.6569±0.08,0.6829±0.08,0.1711±0.02,0.5683±0.03,0.2459±0.09,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1495±0.04,0.3395±0.05,0.2327±0.05,0.9048±0.08,0.1176±0.2,0.0952±0.08,0.8824±0.2,0.2509±0.02,0.7399±0.05,0.5322±0.03,0.3232±0.03,0.3704±0.06,0.0625±0.06,0.5686±0.03,0.8333±0.29,0.2381±0.08
resampling,0.7217±0.04,0.9479±0.09,0.5574±0.01,0.6746±0.07,0.9259±0.08,0.4861±0.06,0.4444±0.05,0.4142±0.0,0.7143±0.07,0.5643±0.04,,,,,,,,,,,,,,,,,,,,,0.3434±0.07,0.2593±0.06,0.0417±0.07,0.6274±0.07,0.3333±0.29,0.2381±0.08
DomainInd,0.615±0.1,0.8229±0.25,0.4734±0.03,0.6429±0.05,0.8704±0.06,0.4722±0.05,0.4676±0.06,0.4547±0.07,0.6667±0.21,0.5607±0.12,0.9132±0.08,0.7066±0.04,0.7413±0.2,0.2239±0.01,1.0038±0.1,0.321±0.19,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1121±0.0,0.5244±0.03,0.1702±0.04,0.9048±0.08,0.0784±0.07,0.0952±0.08,0.9216±0.07,0.3136±0.02,1.3633±0.15,0.4734±0.03,0.3434±0.03,0.4074±0.13,0.0625±0.06,0.6078±0.03,0.6667±0.29,0.3333±0.08
LAFTR,0.7071±0.08,0.8333±0.14,0.5602±0.05,0.6905±0.06,0.8704±0.13,0.5556±0.02,0.5972±0.1,0.5944±0.12,0.8571±0.07,0.7258±0.05,,,,,,,,,,,,,,,,,,,,,0.3131±0.09,0.2963±0.17,0.1042±0.13,0.5098±0.09,0.3333±0.29,0.2857±0.14
CFair,0.5432±0.2,0.6042±0.26,0.4678±0.19,0.5±0.28,0.5741±0.4,0.4444±0.24,0.7824±0.17,0.7904±0.27,0.619±0.22,0.7047±0.2,,,,,,,,,,,,,,,,,,,,,0.5455±0.42,0.3333±0.22,0.4375±0.49,0.6471±0.39,0.3333±0.58,0.3334±0.16
LNL,0.532±0.06,0.6042±0.18,0.4986±0.0,0.7222±0.11,0.8333±0.1,0.6389±0.12,0.9769±0.04,0.9473±0.09,0.8095±0.33,0.8784±0.21,,,,,,,,,,,,,,,,,,,,,0.1313±0.23,0.8148±0.32,0.1042±0.18,0.1569±0.27,0.6667±0.58,0.8571±0.25
EnD,0.5365±0.14,0.6146±0.42,0.4958±0.05,0.5714±0.21,0.6296±0.35,0.5278±0.1,0.875±0.05,0.8333±0.0,0.5238±0.16,0.6786±0.08,,,,,,,,,,,,,,,,,,,,,0.4444±0.3,0.3704±0.13,0.4167±0.4,0.4706±0.2,0.0±0.0,0.4762±0.16
ODR,0.8036±0.03,1.0±0.0,0.6443±0.05,0.7143±0.06,0.9444±0.06,0.5417±0.07,0.5278±0.08,0.4939±0.09,0.8095±0.08,0.6517±0.02,,,,,,,,,,,,,,,,,,,,,0.3232±0.1,0.1481±0.06,0.0625±0.06,0.5687±0.14,0.0±0.0,0.1905±0.08
GroupDRO,0.7329±0.01,1.0±0.0,0.549±0.01,0.6905±0.0,0.963±0.03,0.4861±0.02,0.4074±0.05,0.3725±0.03,0.7143±0.07,0.5434±0.05,,,,,,,,,,,,,,,,,,,,,0.3232±0.02,0.2593±0.06,0.0±0.0,0.6275±0.03,0.3333±0.29,0.2381±0.08
SWAD,0.78±0.03,1.0±0.0,0.6246±0.05,0.7302±0.04,0.963±0.03,0.5556±0.05,0.4491±0.11,0.451±0.09,0.6667±0.04,0.5588±0.06,0.5581±0.21,0.6926±0.09,0.4874±0.21,,,0.2±0.0,0.8333±0.29,0.0±0.0,0.1667±0.29,1.0±0.0,,,0.301±0.08,0.381±0.08,0.4314±0.09,0.619±0.08,0.5686±0.09,,,0.6246±0.05,0.2828±0.05,0.2222±0.0,0.0±0.0,0.549±0.09,0.3333±0.29,0.1905±0.08
resamplingSWAD,0.7632±0.09,0.9479±0.09,0.5938±0.08,0.6905±0.15,0.9074±0.12,0.5278±0.17,0.5694±0.15,0.5343±0.17,0.7381±0.15,0.6362±0.02,0.6412±0.14,0.6828±0.12,0.5744±0.09,,,0.3026±0.18,0.5±0.5,0.0625±0.06,0.5±0.5,0.9375±0.06,,,0.2857±0.17,0.381±0.08,0.4706±0.1,0.619±0.08,0.5294±0.1,,,0.5938±0.08,0.3232±0.22,0.2593±0.13,0.0833±0.14,0.549±0.3,0.1667±0.29,0.2857±0.14
SAM,0.7441±0.01,0.9792±0.02,0.563±0.02,0.627±0.07,0.8889±0.06,0.4306±0.09,0.3981±0.03,0.3578±0.05,0.7619±0.11,0.5599±0.05,0.9566±0.05,0.6155±0.14,0.5584±0.02,,,0.4489±0.22,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,,,0.2238±0.02,0.9524±0.08,0.0392±0.03,0.0476±0.08,0.9608±0.03,,,0.563±0.02,0.4141±0.12,0.2222±0.11,0.0833±0.1,0.7255±0.15,0.3333±0.29,0.1905±0.08
