methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.7654±0.02,0.7083±0.08,0.8314±0.03,0.7302±0.04,0.7333±0.03,0.7273±0.05,0.8273±0.03,0.8946±0.0,0.6333±0.12,0.764±0.06,0.8968±0.1,0.8015±0.11,0.6728±0.02,0.2014±0.05,0.7088±0.32,0.2764±0.24,0.75±0.43,0.0833±0.1,0.25±0.43,0.9167±0.1,0.1904±0.03,0.6382±0.12,0.4667±0.06,0.6±0.53,0.1373±0.19,0.4±0.53,0.8627±0.19,0.2355±0.06,0.773±0.53,0.7083±0.08,0.2626±0.03,0.2963±0.06,0.2083±0.04,0.3137±0.03,0.5±0.0,0.1333±0.12
resampling,0.6745±0.08,0.6458±0.03,0.7059±0.1,0.6429±0.09,0.65±0.05,0.6364±0.12,0.9258±0.04,0.9118±0.01,0.9167±0.03,0.9142±0.01,0.9002±0.03,0.8675±0.1,0.9107±0.02,0.3237±0.22,1.1093±0.56,0.2789±0.11,0.6667±0.58,0.2917±0.4,0.3333±0.58,0.7083±0.4,0.3176±0.23,0.9842±0.61,0.348±0.15,0.5333±0.46,0.3529±0.46,0.4667±0.46,0.6471±0.46,0.3505±0.2,1.2231±0.57,0.6388±0.04,0.3535±0.14,0.3704±0.13,0.3333±0.1,0.3726±0.18,0.4167±0.14,0.3333±0.12
DomainInd,0.6723±0.06,0.6354±0.09,0.6941±0.03,0.619±0.17,0.6333±0.16,0.6061±0.17,0.9±0.07,0.935±0.04,0.7167±0.08,0.8259±0.06,0.808±0.05,0.9061±0.06,0.8885±0.09,0.1564±0.03,0.5511±0.04,0.11±0.07,0.75±0.43,0.1458±0.1,0.25±0.43,0.8542±0.1,0.2334±0.04,0.5745±0.04,0.3716±0.08,0.6667±0.12,0.0784±0.09,0.3333±0.12,0.9216±0.09,0.1878±0.01,0.5298±0.06,0.6354±0.09,0.404±0.26,0.2963±0.17,0.3958±0.25,0.4118±0.27,0.25±0.25,0.3333±0.23
LAFTR,0.7486±0.02,0.7031±0.06,0.7686±0.02,0.627±0.05,0.5833±0.06,0.6667±0.07,0.9227±0.02,0.9289±0.07,0.75±0.0,0.8395±0.03,0.9205±0.07,0.8862±0.04,0.8755±0.12,0.1882±0.02,0.506±0.02,0.13±0.15,1.0±0.0,0.1042±0.1,0.0±0.0,0.8958±0.1,0.2657±0.02,0.5458±0.05,0.3067±0.05,0.8667±0.12,0.0784±0.09,0.1333±0.12,0.9216±0.09,0.1702±0.06,0.4699±0.0,0.7031±0.06,0.4444±0.06,0.1111±0.0,0.4583±0.07,0.4314±0.09,0.25±0.0,0.0±0.0
CFair,0.6678±0.15,0.6198±0.19,0.698±0.11,0.5635±0.24,0.55±0.3,0.5758±0.19,0.9136±0.04,0.9044±0.02,0.7833±0.15,0.8439±0.07,0.889±0.12,0.9118±0.01,0.9346±0.02,0.1731±0.04,0.5616±0.11,0.2033±0.13,1.0±0.0,0.0417±0.07,0.0±0.0,0.9583±0.07,0.1981±0.01,0.5662±0.12,0.3411±0.12,0.8±0.2,0.0196±0.03,0.2±0.2,0.9804±0.03,0.1814±0.03,0.5575±0.1,0.6198±0.19,0.4848±0.35,0.2593±0.17,0.5±0.38,0.4706±0.33,0.25±0.0,0.2667±0.31
LNL,0.5213±0.06,0.5469±0.05,0.5078±0.08,0.5952±0.23,0.6333±0.21,0.5606±0.26,0.9212±0.11,0.9203±0.08,0.75±0.22,0.8352±0.14,1.0±0.0,0.8907±0.11,0.8775±0.12,0.2109±0.0,13.1795±7.46,0.15±0.05,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.2001±0.04,12.0907±8.15,0.24±0.04,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.2208±0.03,14.1694±7.41,0.5078±0.08,0.3535±0.4,0.5926±0.39,0.3125±0.39,0.3921±0.41,0.5833±0.52,0.6±0.35
EnD,0.807±0.04,0.7812±0.05,0.8235±0.05,0.8016±0.05,0.8167±0.08,0.7879±0.03,0.8015±0.07,0.8676±0.04,0.6167±0.25,0.7422±0.13,0.8294±0.08,0.83±0.08,0.8289±0.13,0.2451±0.02,0.5784±0.01,0.545±0.05,0.5±0.0,0.1667±0.04,0.5±0.0,0.8333±0.04,0.271±0.04,0.5695±0.01,0.6027±0.07,0.2667±0.12,0.2745±0.09,0.7333±0.12,0.7255±0.09,0.2647±0.03,0.5864±0.02,0.7812±0.05,0.1515±0.09,0.3704±0.13,0.0833±0.1,0.2157±0.09,0.5833±0.14,0.2±0.2
ODR,0.7733±0.01,0.7656±0.04,0.7843±0.02,0.7302±0.04,0.7333±0.06,0.7273±0.05,0.8606±0.11,0.9154±0.07,0.6167±0.2,0.7661±0.12,0.9263±0.09,0.8779±0.05,0.7971±0.12,0.1353±0.06,0.4348±0.03,0.25±0.26,0.5833±0.38,0.1458±0.13,0.4167±0.38,0.8542±0.13,0.1527±0.06,0.4483±0.03,0.4089±0.08,0.4667±0.46,0.1765±0.16,0.5333±0.46,0.8235±0.16,0.1577±0.08,0.4225±0.05,0.7536±0.02,0.2727±0.06,0.2593±0.06,0.2292±0.04,0.3137±0.09,0.4167±0.14,0.1333±0.23
GroupDRO,0.7969±0.05,0.7917±0.05,0.8039±0.06,0.7619±0.06,0.7333±0.06,0.7879±0.09,0.8545±0.02,0.9449±0.05,0.55±0.26,0.7474±0.11,0.7714±0.08,0.7967±0.06,0.6942±0.05,0.1799±0.04,0.7881±0.29,0.4667±0.21,0.75±0.25,0.1458±0.07,0.25±0.25,0.8542±0.07,0.2234±0.05,0.7674±0.3,0.1971±0.16,0.3333±0.42,0.1373±0.12,0.6667±0.42,0.8627±0.12,0.1838±0.02,0.807±0.32,0.7917±0.05,0.2121±0.08,0.3333±0.0,0.1875±0.06,0.2353±0.1,0.5833±0.14,0.1333±0.12
SWAD,0.7666±0.03,0.6667±0.05,0.8275±0.01,0.7381±0.04,0.7167±0.06,0.7576±0.03,0.9045±0.1,0.9547±0.05,0.7±0.2,0.8273±0.12,0.9028±0.07,0.9362±0.01,0.7239±0.06,0.2225±0.02,0.956±0.08,0.3571±0.15,0.5833±0.14,0.1875±0.0,0.4167±0.14,0.8125±0.0,0.2526±0.05,1.0307±0.06,0.52±0.04,0.4±0.0,0.1765±0.0,0.6±0.0,0.8235±0.0,0.2083±0.02,0.8881±0.13,0.6667±0.05,0.2424±0.06,0.3333±0.11,0.2292±0.07,0.2549±0.07,0.5±0.0,0.2±0.2
