methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Max AUC,Min AUC,AUC Gap
baseline,0.8952±0.04,0.914±0.03,0.9122±0.03,0.8186±0.04,0.8365±0.05,0.7993±0.06,0.9369±0.05,0.8665±0.05,0.8958±0.08,0.8812±0.05,0.8307±0.07,0.855±0.07,0.8206±0.07,0.1685±0.06,0.5624±0.2,0.8888±0.05,0.625±0.24,0.023±0.04,0.375±0.24,0.977±0.04,0.2322±0.08,0.6768±0.3,0.8189±0.06,0.3333±0.15,0.0699±0.06,0.6667±0.15,0.9301±0.06,0.1584±0.03,0.4386±0.11,0.9053±0.04,0.2278±0.08,0.1151±0.05,0.1667±0.09,0.285±0.09,0.1597±0.08,0.0556±0.0,0.914,0.9122,0.0018000000000000238
resampling,0.8746±0.04,0.8903±0.03,0.8955±0.04,0.8023±0.06,0.8145±0.06,0.7891±0.08,0.8863±0.07,0.8484±0.08,0.8264±0.09,0.8374±0.07,0.8±0.09,0.8404±0.1,0.8±0.04,0.1753±0.05,0.6025±0.19,0.798±0.12,0.5347±0.22,0.046±0.08,0.4653±0.22,0.954±0.08,0.2378±0.07,0.72±0.3,0.8221±0.07,0.25±0.23,0.1613±0.17,0.75±0.23,0.8387±0.17,0.1603±0.05,0.4755±0.14,0.8861±0.03,0.2278±0.1,0.1548±0.05,0.1494±0.07,0.3011±0.13,0.2292±0.09,0.0556±0.0,0.8955,0.8903,0.005199999999999982
DomainInd,0.8455±0.03,0.8506±0.04,0.9128±0.02,0.7827±0.02,0.7579±0.03,0.8095±0.03,0.831±0.08,0.8584±0.06,0.669±0.12,0.7637±0.08,0.7629±0.07,0.7658±0.08,0.7641±0.11,0.2038±0.04,0.8814±0.29,0.7216±0.1,0.6597±0.09,0.0345±0.02,0.3403±0.09,0.9655±0.02,0.2882±0.05,1.2454±0.51,0.8021±0.07,0.2593±0.15,0.1075±0.08,0.7407±0.15,0.8925±0.08,0.1363±0.04,0.4876±0.13,0.8506±0.04,0.2111±0.07,0.2262±0.06,0.1379±0.08,0.2796±0.07,0.3681±0.1,0.037±0.05,0.9128,0.8506,0.06219999999999992
LAFTR,0.7989±0.06,0.808±0.06,0.8324±0.1,0.7369±0.07,0.7516±0.06,0.7211±0.12,0.8211±0.09,0.7911±0.09,0.7593±0.18,0.7752±0.1,0.8561±0.13,0.8062±0.1,0.7528±0.1,0.1981±0.03,0.8136±0.28,0.6648±0.11,0.6944±0.21,0.0517±0.07,0.3056±0.21,0.9483±0.07,0.2572±0.05,1.0513±0.57,0.6875±0.21,0.5185±0.3,0.1398±0.19,0.4815±0.3,0.8602±0.19,0.199±0.04,0.5566±0.13,0.7876±0.09,0.2861±0.16,0.2302±0.09,0.1782±0.13,0.3871±0.19,0.3333±0.16,0.0926±0.07,0.8324,0.808,0.024399999999999977
CFair,0.7804±0.1,0.7529±0.14,0.8456±0.08,0.7026±0.12,0.7075±0.13,0.6973±0.13,0.8824±0.1,0.8141±0.11,0.8519±0.09,0.833±0.08,0.869±0.11,0.757±0.06,0.7891±0.08,0.1295±0.05,0.5908±0.06,0.5528±0.2,0.7083±0.17,0.0345±0.04,0.2917±0.17,0.9655±0.04,0.1916±0.05,0.6628±0.06,0.6824±0.16,0.5463±0.29,0.086±0.14,0.4537±0.29,0.914±0.14,0.1628±0.05,0.513±0.09,0.7484±0.14,0.375±0.26,0.1865±0.14,0.3276±0.3,0.4194±0.27,0.25±0.15,0.1018±0.13,0.8456,0.7529,0.0927
LNL,0.893±0.03,0.8745±0.07,0.9421±0.02,0.8268±0.03,0.7799±0.09,0.8776±0.04,0.8959±0.02,0.9155±0.04,0.6898±0.15,0.8026±0.06,0.8651±0.04,0.8427±0.06,0.8063±0.03,0.1485±0.05,0.4927±0.14,0.7869±0.17,0.4861±0.05,0.046±0.02,0.5139±0.05,0.954±0.02,0.2069±0.06,0.6377±0.26,0.921±0.08,0.2593±0.08,0.043±0.07,0.7407±0.08,0.957±0.07,0.1383±0.01,0.3358±0.04,0.8745±0.07,0.1444±0.03,0.2143±0.1,0.1149±0.02,0.172±0.07,0.3472±0.17,0.0371±0.03,0.9421,0.8745,0.0676
EnD,0.7606±0.01,0.7941±0.03,0.7563±0.05,0.6569±0.09,0.717±0.08,0.5918±0.11,0.899±0.08,0.8317±0.15,0.9306±0.03,0.8811±0.07,0.9175±0.05,0.8645±0.05,0.7654±0.11,0.1429±0.04,0.6154±0.02,0.5528±0.17,0.7361±0.09,0.023±0.02,0.2639±0.09,0.977±0.02,0.2175±0.1,0.6508±0.01,0.6±0.03,0.7222±0.2,0.0538±0.05,0.2778±0.2,0.9462±0.05,0.128±0.03,0.577±0.04,0.7455±0.04,0.4778±0.26,0.1508±0.16,0.3908±0.24,0.5591±0.29,0.1528±0.13,0.1482±0.21,0.7941,0.7563,0.037800000000000056
ODR,0.8665±0.04,0.8851±0.03,0.8799±0.03,0.781±0.02,0.7925±0.02,0.7687±0.03,0.8828±0.11,0.8558±0.12,0.8843±0.14,0.87±0.13,0.8131±0.13,0.7922±0.12,0.7981±0.1,0.1449±0.02,0.5214±0.09,0.7796±0.08,0.5556±0.2,0.0575±0.07,0.4444±0.2,0.9425±0.07,0.2235±0.04,0.5989±0.14,0.7759±0.01,0.2593±0.03,0.1075±0.05,0.7407±0.03,0.8925±0.05,0.1411±0.05,0.4375±0.06,0.8655±0.01,0.2389±0.12,0.1905±0.13,0.1839±0.17,0.2903±0.12,0.2361±0.17,0.1297±0.13,0.8851,0.8799,0.005199999999999982
GroupDRO,0.8019±0.11,0.8254±0.1,0.8345±0.11,0.7353±0.11,0.7673±0.08,0.7007±0.16,0.8154±0.12,0.7595±0.13,0.7894±0.12,0.7744±0.1,0.7923±0.12,0.7685±0.1,0.7517±0.1,0.1879±0.04,0.6824±0.12,0.6808±0.23,0.7361±0.2,0.0115±0.02,0.2639±0.2,0.9885±0.02,0.2609±0.04,0.8113±0.22,0.6963±0.13,0.5±0.23,0.1398±0.13,0.5±0.23,0.8602±0.13,0.1596±0.03,0.543±0.08,0.8083±0.1,0.3139±0.21,0.1944±0.04,0.1896±0.15,0.4301±0.26,0.2848±0.08,0.0741±0.06,0.8345,0.8254,0.009099999999999997
SWAD,0.8816±0.03,0.8836±0.05,0.8967±0.03,0.8366±0.02,0.805±0.05,0.8707±0.01,0.9707±0.03,0.9462±0.04,0.8287±0.04,0.8875±0.03,0.8732±0.02,0.8222±0.02,0.8728±0.03,0.1054±0.01,0.5353±0.05,0.7817±0.09,0.3194±0.1,0.1034±0.03,0.6806±0.1,0.8966±0.03,0.1572±0.03,0.5123±0.12,0.847±0.13,0.1296±0.03,0.1398±0.05,0.8704±0.03,0.8602±0.05,0.1326±0.01,0.5602±0.17,0.862±0.01,0.1056±0.02,0.246±0.04,0.0919±0.05,0.1183±0.02,0.3195±0.05,0.1482±0.03,0.8967,0.8836,0.0131
