methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Max AUC,Min AUC,AUC Gap
baseline,0.8273±0.0,0.8163±0.0,0.8359±0.01,0.7438±0.0,0.74±0.0,0.7478±0.01,0.9305±0.01,0.9698±0.01,0.9541±0.01,0.962±0.01,0.9745±0.0,0.9541±0.01,0.9602±0.01,0.2361±0.02,0.7163±0.04,0.6833±0.01,0.9009±0.08,0.0129±0.01,0.0991±0.08,0.9871±0.01,0.2203±0.02,0.7012±0.04,0.7098±0.01,0.8543±0.08,0.0172±0.01,0.1457±0.08,0.9828±0.01,0.2527±0.02,0.7321±0.03,0.8163±0.0,0.3029±0.0,0.186±0.01,0.2889±0.01,0.3191±0.01,0.2103±0.01,0.1645±0.01,0.8359,0.8163,0.01959999999999995
resampling,0.8292±0.01,0.8197±0.01,0.8364±0.01,0.7465±0.01,0.7424±0.01,0.7509±0.01,0.9386±0.0,0.9777±0.0,0.9633±0.0,0.9705±0.0,0.9647±0.01,0.9616±0.01,0.9691±0.0,0.1932±0.06,0.6479±0.09,0.694±0.02,0.77±0.17,0.0344±0.03,0.23±0.17,0.9656±0.03,0.1785±0.06,0.6334±0.08,0.7125±0.01,0.7064±0.16,0.0414±0.03,0.2936±0.16,0.9586±0.03,0.2086±0.06,0.6631±0.09,0.8197±0.01,0.2976±0.03,0.1871±0.01,0.2873±0.03,0.3096±0.02,0.2065±0.01,0.1699±0.01,0.8364,0.8197,0.016700000000000048
DomainInd,0.8286±0.01,0.8193±0.01,0.8358±0.01,0.7463±0.01,0.7442±0.01,0.7485±0.01,0.9321±0.01,0.9691±0.01,0.9594±0.01,0.9643±0.01,0.969±0.02,0.9595±0.01,0.9635±0.01,0.233±0.03,0.9288±0.07,0.6925±0.01,0.7381±0.07,0.0387±0.01,0.2619±0.07,0.9613±0.01,0.2214±0.02,0.9191±0.05,0.7125±0.01,0.6814±0.1,0.0437±0.02,0.3186±0.1,0.9563±0.02,0.2464±0.04,0.9389±0.09,0.8193±0.01,0.2939±0.01,0.1931±0.01,0.2797±0.01,0.3105±0.01,0.2147±0.01,0.174±0.02,0.8358,0.8193,0.01649999999999996
LAFTR,0.8251±0.01,0.8149±0.01,0.8328±0.0,0.7407±0.01,0.737±0.01,0.7446±0.0,0.9348±0.01,0.9728±0.0,0.9596±0.02,0.9662±0.01,0.9773±0.01,0.9573±0.01,0.9645±0.01,0.2435±0.04,0.7371±0.07,0.6806±0.02,0.9099±0.08,0.0119±0.01,0.0901±0.08,0.9881±0.01,0.2264±0.04,0.7182±0.07,0.7076±0.01,0.8676±0.09,0.0151±0.01,0.1324±0.09,0.9849±0.01,0.2613±0.04,0.7568±0.08,0.8149±0.01,0.3073±0.02,0.1872±0.02,0.2947±0.02,0.3219±0.02,0.2086±0.03,0.1682±0.01,0.8328,0.8149,0.017900000000000027
CFair,0.8273±0.01,0.8184±0.01,0.8343±0.01,0.7397±0.01,0.7432±0.01,0.7361±0.01,0.8853±0.01,0.9178±0.01,0.9182±0.02,0.918±0.01,0.9815±0.02,0.9142±0.03,0.9168±0.01,0.2287±0.03,0.7044±0.06,0.6837±0.02,0.8704±0.09,0.0171±0.01,0.1296±0.09,0.9829±0.01,0.2174±0.04,0.7048±0.07,0.7003±0.02,0.8402±0.07,0.0167±0.01,0.1598±0.07,0.9833±0.01,0.2406±0.03,0.704±0.05,0.8184±0.01,0.3184±0.02,0.1729±0.01,0.2804±0.03,0.3626±0.02,0.2163±0.02,0.1345±0.01,0.8343,0.8184,0.015900000000000025
LNL,0.8196±0.0,0.8125±0.0,0.8246±0.01,0.7379±0.0,0.7388±0.0,0.737±0.01,0.9136±0.04,0.9467±0.04,0.9446±0.03,0.9457±0.04,0.9744±0.02,0.9397±0.04,0.9436±0.04,0.2114±0.01,0.6657±0.01,0.6797±0.01,0.8776±0.02,0.0142±0.0,0.1224±0.02,0.9858±0.0,0.1975±0.0,0.6515±0.0,0.6878±0.02,0.8329±0.02,0.0203±0.0,0.1671±0.02,0.9797±0.0,0.2259±0.02,0.6805±0.03,0.8125±0.0,0.3109±0.01,0.1888±0.01,0.2862±0.02,0.3396±0.03,0.2181±0.02,0.1628±0.02,0.8246,0.8125,0.0121
EnD,0.8265±0.0,0.8184±0.0,0.8337±0.0,0.7505±0.0,0.7448±0.0,0.7565±0.0,0.9589±0.01,0.9945±0.0,0.9804±0.01,0.9874±0.0,0.955±0.0,0.9828±0.01,0.9881±0.0,0.2127±0.03,0.6697±0.05,0.6998±0.0,0.7954±0.11,0.0288±0.02,0.2046±0.11,0.9712±0.02,0.1936±0.03,0.6445±0.05,0.7131±0.01,0.7135±0.11,0.037±0.02,0.2865±0.11,0.963±0.02,0.2325±0.03,0.6959±0.05,0.8184±0.0,0.2728±0.01,0.2145±0.01,0.2728±0.01,0.2728±0.01,0.2249±0.01,0.2053±0.02,0.8337,0.8184,0.01529999999999998
ODR,0.8334±0.0,0.8244±0.01,0.8398±0.0,0.7481±0.01,0.7466±0.01,0.7497±0.0,0.9279±0.01,0.9639±0.02,0.958±0.01,0.9609±0.01,0.944±0.03,0.9519±0.02,0.9604±0.02,0.2195±0.06,0.6992±0.12,0.7041±0.01,0.8337±0.15,0.0233±0.02,0.1663±0.15,0.9767±0.02,0.209±0.06,0.6875±0.11,0.7141±0.01,0.7364±0.2,0.038±0.04,0.2636±0.2,0.962±0.04,0.2304±0.07,0.7113±0.14,0.8244±0.01,0.3008±0.01,0.1783±0.01,0.2841±0.01,0.3202±0.01,0.2006±0.0,0.1586±0.01,0.8398,0.8244,0.01539999999999997
GroupDRO,0.8194±0.0,0.8083±0.01,0.8277±0.0,0.7397±0.0,0.7357±0.0,0.7439±0.0,0.9245±0.01,0.9654±0.01,0.9437±0.01,0.9546±0.01,0.9594±0.01,0.9481±0.01,0.9537±0.01,0.2421±0.01,0.7421±0.01,0.6732±0.01,0.9009±0.04,0.011±0.0,0.0991±0.04,0.989±0.0,0.2293±0.01,0.7308±0.01,0.7004±0.01,0.8285±0.05,0.0199±0.01,0.1715±0.05,0.9801±0.01,0.2555±0.01,0.7539±0.01,0.8083±0.01,0.2997±0.01,0.201±0.02,0.2837±0.01,0.3183±0.02,0.2308±0.02,0.1745±0.02,0.8277,0.8083,0.019399999999999973
SWAD,0.8391±0.0,0.8304±0.0,0.8454±0.0,0.7562±0.0,0.7564±0.0,0.756±0.01,0.9277±0.0,0.9629±0.0,0.961±0.0,0.9619±0.0,0.9665±0.01,0.9497±0.0,0.9593±0.0,0.2899±0.0,0.9099±0.0,0.7188±0.0,0.9434±0.02,0.0045±0.0,0.0566±0.02,0.9955±0.0,0.2756±0.0,0.8955±0.01,0.7295±0.0,0.8815±0.03,0.0096±0.0,0.1185±0.03,0.9904±0.0,0.3048±0.01,0.9249±0.0,0.8304±0.0,0.282±0.01,0.1864±0.01,0.2648±0.01,0.302±0.01,0.2071±0.01,0.1681±0.01,0.8454,0.8304,0.015000000000000013
