methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Max AUC,Min AUC,AUC Gap
baseline,0.8587±0.0,0.8727±0.01,0.7674±0.02,0.8326±0.01,0.8147±0.0,0.8741±0.0,0.8554±0.01,0.8633±0.0,0.8823±0.01,0.8116±0.01,0.9314±0.01,0.7884±0.01,0.1188±0.01,0.3054±0.01,0.7066±0.04,0.3444±0.08,0.1747±0.05,0.6556±0.08,0.8253±0.05,0.1475±0.03,0.4763±0.03,0.7915±0.02,0.3304±0.07,0.1389±0.02,0.6696±0.07,0.8611±0.02,0.1062±0.02,0.3937±0.01,0.7956±0.01,0.4468±0.07,0.0877±0.02,0.5532±0.07,0.9123±0.02,0.1138±0.02,0.3299±0.01,0.6959±0.01,0.6706±0.06,0.0601±0.01,0.3294±0.06,0.9399±0.01,0.1237±0.01,0.2876±0.01,0.631±0.03,0.8422±0.03,0.0269±0.01,0.1578±0.03,0.9731±0.01,0.1266±0.01,0.2261±0.01,0.7878±0.01,0.0949±0.01,0.4164±0.02,0.2228±0.02,0.1671±0.01,0.113±0.01,0.082±0.01,0.0426±0.01,0.2667±0.03,0.2558±0.02,0.3634±0.02,0.5793±0.04,0.7689±0.02,0.8741,0.7884,0.0857
resampling,0.841±0.01,0.8575±0.01,0.74±0.04,0.7826±0.04,0.7956±0.01,0.8442±0.01,0.8395±0.01,0.8497±0.01,0.8688±0.01,0.8001±0.01,0.9176±0.01,0.7729±0.01,0.1192±0.02,0.3233±0.01,0.6639±0.08,0.3056±0.1,0.2388±0.05,0.6944±0.1,0.7612±0.05,0.1663±0.03,0.6343±0.1,0.7496±0.02,0.3191±0.06,0.1662±0.02,0.6809±0.06,0.8338±0.02,0.1141±0.02,0.4595±0.02,0.7694±0.01,0.4265±0.06,0.1109±0.02,0.5735±0.06,0.8891±0.02,0.115±0.02,0.3465±0.01,0.6766±0.02,0.6205±0.07,0.0795±0.02,0.3795±0.07,0.9205±0.02,0.1225±0.02,0.2952±0.02,0.6324±0.03,0.8182±0.05,0.0393±0.01,0.1818±0.05,0.9607±0.01,0.1231±0.02,0.2282±0.02,0.7633±0.02,0.1122±0.01,0.4122±0.03,0.2516±0.06,0.1878±0.02,0.1305±0.02,0.0991±0.02,0.0576±0.01,0.2889±0.07,0.2692±0.04,0.3682±0.02,0.5462±0.05,0.7513±0.04,0.8497,0.7729,0.07679999999999998
DomainInd,0.8606±0.0,0.8752±0.01,0.7861±0.03,0.838±0.01,0.8138±0.01,0.875±0.01,0.8574±0.01,0.8659±0.0,0.8854±0.01,0.8139±0.0,0.9358±0.01,0.787±0.01,0.0862±0.0,0.4814±0.03,0.7065±0.04,0.3167±0.03,0.1314±0.03,0.6833±0.03,0.8686±0.03,0.1611±0.01,0.8024±0.11,0.798±0.02,0.355±0.04,0.1324±0.01,0.645±0.04,0.8676±0.01,0.1346±0.0,0.6957±0.05,0.7911±0.01,0.4616±0.05,0.0805±0.01,0.5384±0.05,0.9195±0.01,0.0993±0.0,0.5484±0.04,0.7069±0.01,0.6925±0.04,0.0531±0.01,0.3075±0.04,0.9469±0.01,0.0799±0.0,0.4497±0.03,0.6255±0.02,0.8535±0.02,0.0209±0.0,0.1465±0.02,0.9791±0.0,0.0425±0.0,0.2514±0.01,0.787±0.01,0.0911±0.01,0.4248±0.03,0.1939±0.06,0.1667±0.02,0.1094±0.01,0.078±0.01,0.0377±0.01,0.2833±0.05,0.2623±0.05,0.3716±0.03,0.589±0.03,0.7791±0.05,0.875,0.787,0.08799999999999997
LAFTR,0.8517±0.0,0.8745±0.0,0.7463±0.01,0.8193±0.01,0.8084±0.01,0.8732±0.0,0.8517±0.0,0.8553±0.0,0.8888±0.0,0.7976±0.01,0.9408±0.01,0.7689±0.01,0.1341±0.02,0.3234±0.02,0.7105±0.01,0.2889±0.04,0.2115±0.05,0.7111±0.04,0.7885±0.05,0.1822±0.04,0.5156±0.05,0.7988±0.02,0.2692±0.08,0.1692±0.04,0.7308±0.08,0.8308±0.04,0.1333±0.03,0.4176±0.03,0.7812±0.01,0.4372±0.1,0.102±0.03,0.5628±0.1,0.898±0.03,0.1298±0.03,0.3503±0.02,0.6628±0.02,0.6672±0.1,0.0644±0.03,0.3328±0.1,0.9356±0.03,0.1353±0.02,0.3026±0.02,0.605±0.05,0.8485±0.05,0.0268±0.01,0.1515±0.05,0.9732±0.01,0.1385±0.02,0.2407±0.02,0.7689±0.01,0.0901±0.0,0.4406±0.01,0.2532±0.02,0.181±0.01,0.1131±0.0,0.0708±0.0,0.0304±0.01,0.2556±0.02,0.2329±0.02,0.3917±0.02,0.6344±0.02,0.8359±0.04,0.8732,0.7689,0.10429999999999995
CFair,0.846±0.01,0.8576±0.01,0.7662±0.04,0.8497±0.03,0.8094±0.0,0.8679±0.01,0.8417±0.0,0.8515±0.01,0.8681±0.01,0.8012±0.01,0.9041±0.01,0.7684±0.01,0.1416±0.02,0.338±0.02,0.7294±0.04,0.2556±0.08,0.2147±0.06,0.7444±0.08,0.7853±0.06,0.168±0.02,0.4782±0.04,0.783±0.01,0.29±0.04,0.1617±0.02,0.71±0.04,0.8383±0.02,0.1178±0.01,0.4079±0.0,0.7738±0.03,0.4006±0.07,0.1183±0.02,0.5994±0.07,0.8817±0.02,0.1304±0.02,0.3548±0.01,0.6674±0.04,0.5641±0.07,0.094±0.02,0.4359±0.07,0.906±0.02,0.15±0.03,0.3251±0.02,0.6111±0.02,0.7045±0.08,0.0669±0.02,0.2955±0.08,0.9331±0.02,0.1617±0.03,0.277±0.03,0.7684±0.01,0.1127±0.01,0.4073±0.04,0.2308±0.06,0.1703±0.01,0.1265±0.01,0.101±0.01,0.0746±0.02,0.2445±0.07,0.2698±0.02,0.3777±0.05,0.5334±0.04,0.6692±0.04,0.8679,0.7684,0.09950000000000003
LNL,0.8471±0.0,0.8647±0.01,0.6107±0.04,0.7799±0.02,0.7892±0.01,0.8558±0.01,0.8455±0.01,0.8502±0.0,0.8794±0.01,0.7995±0.01,0.9344±0.01,0.7758±0.01,0.1435±0.02,0.334±0.02,0.5694±0.05,0.2333±0.07,0.4279±0.11,0.7667±0.07,0.5721±0.11,0.2644±0.05,0.6426±0.08,0.7456±0.01,0.2695±0.07,0.1928±0.04,0.7305±0.07,0.8072±0.04,0.1432±0.03,0.4377±0.02,0.7584±0.01,0.413±0.08,0.1147±0.03,0.587±0.08,0.8853±0.03,0.1382±0.02,0.3585±0.02,0.6672±0.02,0.6395±0.1,0.0766±0.03,0.3605±0.1,0.9234±0.03,0.1453±0.03,0.3116±0.03,0.6316±0.02,0.8447±0.07,0.0337±0.02,0.1553±0.07,0.9663±0.02,0.1458±0.03,0.2479±0.03,0.7693±0.01,0.102±0.01,0.4321±0.03,0.4407±0.07,0.2009±0.02,0.1219±0.01,0.0827±0.01,0.0377±0.01,0.2111±0.08,0.2493±0.05,0.3799±0.03,0.6117±0.05,0.8156±0.08,0.8558,0.7758,0.07999999999999996
EnD,0.8368±0.01,0.8626±0.01,0.7886±0.02,0.8015±0.02,0.819±0.01,0.8632±0.01,0.8545±0.01,0.8447±0.01,0.8688±0.02,0.8064±0.0,0.8997±0.02,0.7927±0.01,0.1497±0.01,0.3437±0.01,0.6971±0.04,0.3944±0.12,0.1603±0.05,0.6056±0.12,0.8397±0.05,0.1139±0.04,0.4676±0.04,0.8004±0.02,0.347±0.07,0.1383±0.02,0.653±0.07,0.8617±0.02,0.0858±0.02,0.3855±0.01,0.7669±0.01,0.4202±0.05,0.1036±0.02,0.5798±0.05,0.8964±0.02,0.1304±0.02,0.3527±0.02,0.6947±0.01,0.5425±0.06,0.095±0.02,0.4575±0.06,0.905±0.02,0.1722±0.01,0.3388±0.02,0.6392±0.02,0.6944±0.07,0.0744±0.02,0.3056±0.07,0.9256±0.02,0.1891±0.01,0.3016±0.02,0.7896±0.01,0.1045±0.02,0.4298±0.03,0.1683±0.04,0.1429±0.02,0.109±0.01,0.1008±0.02,0.0793±0.02,0.3611±0.08,0.3289±0.04,0.398±0.03,0.5249±0.05,0.6679±0.07,0.8632,0.7927,0.07050000000000001
ODR,0.8533±0.0,0.8626±0.01,0.7935±0.04,0.8293±0.02,0.8128±0.01,0.8726±0.0,0.8466±0.01,0.859±0.0,0.8712±0.01,0.8069±0.0,0.9138±0.01,0.7777±0.01,0.1131±0.02,0.3042±0.02,0.7165±0.05,0.3889±0.11,0.1298±0.04,0.6111±0.11,0.8702±0.04,0.1261±0.02,0.4421±0.02,0.7977±0.02,0.3731±0.08,0.1236±0.03,0.6269±0.08,0.8764±0.03,0.0904±0.03,0.3859±0.02,0.7849±0.01,0.493±0.09,0.0841±0.02,0.507±0.09,0.9159±0.02,0.1055±0.03,0.3286±0.02,0.6881±0.01,0.6808±0.07,0.059±0.02,0.3192±0.07,0.941±0.02,0.1209±0.02,0.2862±0.02,0.6132±0.03,0.8434±0.07,0.0291±0.02,0.1566±0.07,0.9709±0.02,0.1291±0.02,0.2312±0.02,0.7777±0.01,0.108±0.01,0.3995±0.03,0.1875±0.06,0.1698±0.02,0.1241±0.01,0.0972±0.01,0.0625±0.01,0.2722±0.05,0.2549±0.04,0.3563±0.03,0.5374±0.03,0.7247±0.04,0.8726,0.7777,0.0949000000000001
GroupDRO,0.851±0.01,0.8711±0.01,0.7463±0.04,0.7974±0.01,0.8109±0.01,0.8679±0.0,0.8527±0.01,0.8565±0.01,0.8814±0.01,0.8031±0.01,0.9332±0.01,0.7661±0.02,0.1238±0.01,0.3129±0.01,0.6665±0.06,0.3556±0.07,0.1987±0.03,0.6444±0.07,0.8013±0.03,0.1466±0.02,0.504±0.02,0.7819±0.02,0.3256±0.05,0.145±0.02,0.6744±0.05,0.855±0.02,0.1095±0.02,0.4004±0.01,0.7797±0.01,0.4533±0.05,0.093±0.01,0.5467±0.05,0.907±0.01,0.1185±0.01,0.3374±0.01,0.6829±0.02,0.676±0.05,0.0649±0.01,0.324±0.05,0.9351±0.01,0.1288±0.01,0.2944±0.01,0.5901±0.03,0.8624±0.02,0.026±0.01,0.1376±0.02,0.974±0.01,0.1328±0.01,0.2345±0.01,0.7656±0.02,0.0937±0.01,0.4423±0.04,0.2388±0.06,0.1682±0.02,0.1118±0.02,0.0812±0.01,0.0388±0.01,0.3056±0.07,0.2704±0.05,0.393±0.04,0.6043±0.05,0.8194±0.04,0.8679,0.7661,0.1018
SWAD,0.868±0.0,0.8749±0.0,0.796±0.02,0.8529±0.01,0.8158±0.01,0.885±0.0,0.8543±0.0,0.8719±0.0,0.8864±0.01,0.82±0.0,0.9357±0.01,0.7918±0.01,0.2619±0.0,0.5646±0.0,0.7509±0.03,0.0667±0.0,0.4295±0.01,0.9333±0.0,0.5705±0.01,0.3402±0.01,0.8686±0.03,0.8309±0.01,0.063±0.01,0.3115±0.0,0.937±0.01,0.6885±0.0,0.2768±0.0,0.7046±0.0,0.815±0.0,0.1242±0.0,0.2645±0.0,0.8758±0.0,0.7355±0.0,0.2661±0.0,0.6064±0.0,0.7224±0.0,0.2364±0.0,0.2324±0.0,0.7636±0.0,0.7676±0.0,0.2594±0.0,0.5348±0.0,0.6667±0.04,0.3333±0.03,0.2015±0.01,0.6667±0.03,0.7985±0.01,0.2454±0.0,0.4348±0.01,0.7918±0.01,0.0951±0.01,0.3927±0.01,0.1955±0.02,0.1777±0.01,0.1187±0.01,0.0781±0.01,0.0365±0.01,0.2333±0.03,0.2091±0.01,0.3326±0.01,0.5737±0.02,0.8131±0.02,0.885,0.7918,0.09320000000000006
