methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Max AUC,Min AUC,AUC Gap
baseline,0.8626±0.0,0.8662±0.0,0.8572±0.0,0.8759±0.01,0.8738±0.01,0.8788±0.01,0.9909±0.01,0.9945±0.0,0.9739±0.02,0.9842±0.01,0.9854±0.01,0.9749±0.01,0.9751±0.01,0.1178±0.0,0.3021±0.0,0.8062±0.01,0.4378±0.03,0.0891±0.0,0.5622±0.03,0.9109±0.0,0.1178±0.0,0.3037±0.0,0.769±0.01,0.4482±0.01,0.0823±0.0,0.5518±0.01,0.9177±0.0,0.1178±0.01,0.2999±0.0,0.8572±0.0,0.0901±0.01,0.4269±0.03,0.0924±0.01,0.0869±0.01,0.4201±0.04,0.4365±0.03,0.8662,0.8572,0.009000000000000008
resampling,0.8567±0.0,0.8592±0.0,0.8534±0.0,0.8753±0.0,0.8745±0.01,0.8762±0.0,0.9925±0.0,0.9943±0.0,0.9844±0.01,0.9894±0.01,0.9894±0.01,0.9862±0.0,0.9826±0.0,0.1318±0.02,0.3186±0.02,0.7888±0.0,0.4526±0.03,0.084±0.01,0.5474±0.03,0.916±0.01,0.1292±0.02,0.3179±0.02,0.7631±0.0,0.4435±0.05,0.0877±0.01,0.5565±0.05,0.9123±0.01,0.1352±0.02,0.3196±0.02,0.8534±0.0,0.0907±0.01,0.4279±0.01,0.0905±0.01,0.091±0.0,0.4296±0.02,0.4255±0.0,0.8592,0.8534,0.005799999999999916
DomainInd,0.8542±0.0,0.8564±0.01,0.8509±0.0,0.8703±0.01,0.8655±0.01,0.8767±0.01,0.9795±0.01,0.9847±0.01,0.9576±0.03,0.9711±0.02,0.9733±0.02,0.9749±0.01,0.9708±0.01,0.0568±0.01,0.2904±0.02,0.7795±0.01,0.5159±0.03,0.07±0.01,0.4841±0.03,0.93±0.01,0.0598±0.01,0.2979±0.02,0.7577±0.01,0.5551±0.05,0.0558±0.01,0.4449±0.05,0.9442±0.01,0.053±0.01,0.2803±0.02,0.8509±0.0,0.097±0.01,0.4207±0.01,0.1036±0.01,0.0882±0.01,0.4032±0.01,0.4456±0.03,0.8564,0.8509,0.00550000000000006
LAFTR,0.8604±0.0,0.8642±0.0,0.8556±0.0,0.8715±0.01,0.8707±0.01,0.8727±0.02,0.9825±0.01,0.9854±0.01,0.9644±0.02,0.9749±0.02,0.9792±0.02,0.9794±0.0,0.9787±0.0,0.1045±0.04,0.2931±0.03,0.7946±0.0,0.5092±0.04,0.0703±0.02,0.4908±0.04,0.9297±0.02,0.103±0.03,0.2938±0.03,0.7708±0.01,0.4929±0.08,0.0717±0.03,0.5071±0.08,0.9283±0.03,0.1066±0.04,0.2922±0.04,0.8556±0.0,0.0959±0.01,0.4181±0.03,0.0959±0.01,0.096±0.03,0.4199±0.01,0.4157±0.06,0.8642,0.8556,0.008599999999999941
CFair,0.8577±0.0,0.8599±0.0,0.8549±0.0,0.8672±0.01,0.8636±0.01,0.8722±0.0,0.9867±0.01,0.9901±0.01,0.968±0.01,0.9791±0.01,0.9864±0.01,0.9747±0.01,0.9764±0.02,0.1257±0.0,0.3121±0.0,0.7889±0.01,0.4693±0.05,0.0849±0.01,0.5307±0.05,0.9151±0.01,0.1279±0.01,0.3172±0.01,0.7686±0.02,0.4753±0.05,0.0768±0.02,0.5247±0.05,0.9232±0.02,0.1227±0.01,0.3051±0.01,0.8549±0.0,0.1021±0.01,0.4053±0.03,0.1063±0.01,0.0964±0.01,0.3979±0.04,0.416±0.02,0.8599,0.8549,0.0050000000000000044
LNL,0.8547±0.0,0.8585±0.0,0.8516±0.0,0.8617±0.02,0.8605±0.01,0.8633±0.03,0.9704±0.03,0.9732±0.02,0.9322±0.04,0.9527±0.03,0.9583±0.03,0.9556±0.04,0.9585±0.03,0.1367±0.01,0.3244±0.01,0.7883±0.0,0.4539±0.04,0.097±0.01,0.5461±0.04,0.903±0.01,0.1371±0.01,0.3266±0.01,0.7619±0.0,0.4519±0.09,0.096±0.03,0.5481±0.09,0.904±0.03,0.1362±0.02,0.3214±0.03,0.8516±0.0,0.1076±0.02,0.4115±0.05,0.1085±0.02,0.1065±0.04,0.4089±0.06,0.4153±0.08,0.8585,0.8516,0.006900000000000017
EnD,0.8544±0.0,0.8595±0.0,0.8496±0.0,0.8743±0.01,0.8673±0.01,0.8837±0.01,0.9675±0.01,0.9752±0.01,0.9241±0.02,0.9497±0.01,0.9585±0.02,0.9445±0.0,0.9417±0.0,0.1247±0.03,0.3144±0.03,0.7907±0.0,0.4677±0.13,0.0879±0.04,0.5323±0.13,0.9121±0.04,0.1351±0.04,0.3261±0.04,0.7637±0.01,0.5287±0.11,0.0658±0.03,0.4713±0.11,0.9342±0.03,0.1106±0.03,0.2986±0.03,0.8496±0.0,0.0928±0.01,0.4186±0.03,0.1034±0.01,0.0786±0.01,0.3874±0.02,0.4632±0.04,0.8595,0.8496,0.00990000000000002
ODR,0.8577±0.01,0.8614±0.0,0.8525±0.01,0.8682±0.0,0.8659±0.0,0.8712±0.01,0.9886±0.0,0.993±0.0,0.9746±0.01,0.9838±0.0,0.9874±0.0,0.9758±0.0,0.9738±0.0,0.1049±0.02,0.2946±0.02,0.7959±0.01,0.5182±0.1,0.0718±0.03,0.4818±0.1,0.9282±0.03,0.1054±0.02,0.2966±0.02,0.765±0.02,0.539±0.09,0.0673±0.03,0.461±0.09,0.9327±0.03,0.1042±0.03,0.292±0.02,0.8525±0.01,0.1009±0.0,0.4073±0.01,0.1038±0.0,0.0969±0.01,0.3968±0.02,0.4222±0.01,0.8614,0.8525,0.008900000000000019
GroupDRO,0.8526±0.0,0.8577±0.0,0.8451±0.01,0.8647±0.01,0.8584±0.01,0.8733±0.01,0.9796±0.01,0.9826±0.0,0.9765±0.02,0.9796±0.01,0.9817±0.02,0.9696±0.01,0.967±0.02,0.1025±0.01,0.2929±0.01,0.7848±0.01,0.5251±0.07,0.0694±0.01,0.4749±0.07,0.9306±0.01,0.1046±0.01,0.297±0.01,0.758±0.01,0.5492±0.05,0.057±0.01,0.4508±0.05,0.943±0.01,0.0996±0.01,0.2874±0.01,0.8451±0.01,0.1048±0.01,0.4071±0.03,0.1122±0.01,0.0948±0.02,0.3978±0.02,0.4204±0.04,0.8577,0.8451,0.012600000000000056
SWAD,0.8695±0.0,0.8722±0.0,0.8656±0.0,0.881±0.01,0.8792±0.01,0.8835±0.01,0.9885±0.0,0.9936±0.0,0.9687±0.01,0.9812±0.0,0.9867±0.0,0.983±0.0,0.9827±0.0,0.2605±0.0,0.558±0.0,0.8161±0.01,0.1426±0.01,0.2462±0.0,0.8574±0.01,0.7538±0.0,0.2623±0.0,0.563±0.0,0.7875±0.0,0.1672±0.0,0.2446±0.0,0.8328±0.0,0.7554±0.0,0.258±0.0,0.5513±0.01,0.8656±0.0,0.0854±0.01,0.4174±0.03,0.0882±0.01,0.0818±0.01,0.4045±0.03,0.4358±0.03,0.8722,0.8656,0.006599999999999939
