methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.8433±0.04,0.8455±0.04,0.8431±0.06,0.7696±0.05,0.7973±0.08,0.7538±0.06,0.9267±0.04,0.9226±0.07,0.8654±0.11,0.894±0.05,0.9445±0.04,0.9176±0.04,0.8893±0.07,0.1717±0.03,0.6278±0.13,0.5978±0.08,0.3889±0.14,0.1667±0.11,0.6111±0.14,0.8333±0.11,0.2128±0.03,0.6184±0.14,0.7123±0.11,0.3395±0.13,0.1667±0.13,0.6605±0.13,0.8333±0.13,0.186±0.04,0.6331±0.14,0.8184±0.05,0.2833±0.08,0.1548±0.09,0.2803±0.11,0.2851±0.09,0.0889±0.11,0.1913±0.12
resampling,0.8636±0.06,0.8374±0.09,0.8777±0.04,0.8007±0.04,0.7748±0.08,0.8154±0.06,0.952±0.05,0.9055±0.1,0.9123±0.06,0.9089±0.05,0.9249±0.06,0.9032±0.05,0.9192±0.06,0.1739±0.04,0.5165±0.09,0.6999±0.14,0.5889±0.26,0.0758±0.07,0.4111±0.26,0.9242±0.07,0.2163±0.03,0.5493±0.14,0.7558±0.08,0.5123±0.26,0.0526±0.05,0.4877±0.26,0.9474±0.05,0.1737±0.05,0.4979±0.1,0.8287±0.08,0.1917±0.09,0.2103±0.14,0.2424±0.09,0.1623±0.11,0.2±0.2,0.216±0.11
DomainInd,0.8305±0.06,0.8263±0.05,0.8281±0.08,0.7451±0.09,0.7568±0.04,0.7385±0.12,0.8947±0.04,0.868±0.08,0.8852±0.04,0.8766±0.05,0.8751±0.03,0.8496±0.06,0.8668±0.04,0.224±0.05,0.9455±0.38,0.5489±0.18,0.5111±0.22,0.1818±0.11,0.4889±0.22,0.8182±0.11,0.2654±0.07,0.8427±0.25,0.6733±0.14,0.5741±0.14,0.0395±0.05,0.4259±0.14,0.9605±0.05,0.227±0.04,1.0041±0.48,0.8046±0.06,0.3583±0.17,0.1071±0.04,0.3863±0.09,0.3421±0.22,0.0333±0.06,0.1481±0.04
LAFTR,0.794±0.05,0.7763±0.05,0.8036±0.06,0.7206±0.05,0.7162±0.06,0.7231±0.06,0.901±0.07,0.8927±0.1,0.8938±0.08,0.8933±0.07,0.9231±0.05,0.8694±0.05,0.8949±0.07,0.1942±0.06,0.7212±0.19,0.5167±0.11,0.4889±0.18,0.197±0.11,0.5111±0.18,0.803±0.11,0.2653±0.06,0.7567±0.2,0.6235±0.16,0.5185±0.14,0.1272±0.12,0.4815±0.14,0.8728±0.12,0.1953±0.05,0.701±0.2,0.7745±0.05,0.375±0.12,0.1429±0.06,0.4242±0.11,0.3465±0.14,0.0778±0.08,0.179±0.07
CFair,0.8375±0.06,0.846±0.11,0.8268±0.06,0.7582±0.07,0.7793±0.09,0.7462±0.07,0.8941±0.06,0.9298±0.05,0.8±0.11,0.8649±0.06,0.9186±0.04,0.8601±0.05,0.8034±0.08,0.1715±0.06,0.6332±0.22,0.6466±0.23,0.5111±0.26,0.1061±0.11,0.4889±0.26,0.8939±0.11,0.2052±0.05,0.5901±0.22,0.6469±0.1,0.5123±0.16,0.057±0.07,0.4877±0.16,0.943±0.07,0.2006±0.05,0.6578±0.24,0.7947±0.08,0.2889±0.14,0.1746±0.06,0.3258±0.14,0.2676±0.14,0.0666±0.07,0.2346±0.11
LNL,0.6205±0.13,0.6245±0.17,0.6221±0.13,0.5719±0.11,0.5901±0.17,0.5615±0.09,0.9358±0.04,0.8752±0.07,0.8852±0.08,0.8802±0.07,0.936±0.09,0.8658±0.12,0.8498±0.12,0.1184±0.03,0.662±0.03,0.3044±0.19,0.6778±0.41,0.1591±0.18,0.3222±0.41,0.8409±0.18,0.2073±0.08,0.6582±0.06,0.4041±0.19,0.7099±0.35,0.1535±0.23,0.2901±0.35,0.8465±0.23,0.1473±0.05,0.6641±0.04,0.577±0.12,0.5972±0.28,0.1865±0.2,0.606±0.32,0.5921±0.26,0.1222±0.24,0.2222±0.18
EnD,0.8616±0.03,0.8566±0.05,0.8671±0.02,0.7908±0.07,0.7477±0.04,0.8154±0.09,0.924±0.02,0.9697±0.02,0.8272±0.09,0.8984±0.03,0.8978±0.03,0.8933±0.05,0.903±0.03,0.0935±0.01,0.5557±0.01,0.6086±0.12,0.6667±0.13,0.0455±0.08,0.3333±0.13,0.9545±0.08,0.1097±0.02,0.5919±0.03,0.7481±0.1,0.4815±0.13,0.0263±0.05,0.5185±0.13,0.9737±0.05,0.1194±0.02,0.5351±0.01,0.8446±0.03,0.1778±0.25,0.254±0.18,0.197±0.26,0.1667±0.24,0.3333±0.29,0.2099±0.12
ODR,0.8991±0.01,0.904±0.04,0.8905±0.02,0.8137±0.03,0.7838±0.07,0.8308±0.02,0.889±0.05,0.8612±0.11,0.9136±0.04,0.8874±0.04,0.9697±0.0,0.8932±0.03,0.8979±0.05,0.273±0.08,1.1669±0.4,0.8007±0.1,0.6889±0.2,0.0152±0.03,0.3111±0.2,0.9848±0.03,0.2755±0.07,1.1825±0.38,0.8066±0.05,0.679±0.24,0.0263±0.05,0.321±0.24,0.9737±0.05,0.2728±0.07,1.158±0.42,0.8739±0.02,0.2±0.09,0.1667±0.09,0.2879±0.16,0.1491±0.05,0.1111±0.08,0.1975±0.09
GroupDRO,0.8645±0.06,0.8596±0.08,0.8637±0.06,0.7958±0.05,0.7928±0.06,0.7974±0.06,0.9229±0.04,0.9294±0.04,0.8691±0.08,0.8993±0.03,0.9162±0.08,0.8596±0.06,0.8717±0.02,0.1464±0.04,0.5289±0.09,0.6222±0.21,0.4778±0.17,0.0985±0.12,0.5222±0.17,0.9015±0.12,0.1933±0.05,0.5191±0.09,0.7827±0.12,0.463±0.09,0.057±0.06,0.537±0.09,0.943±0.06,0.145±0.04,0.5344±0.1,0.8494±0.08,0.2306±0.07,0.1667±0.05,0.2651±0.1,0.2105±0.06,0.1222±0.11,0.1913±0.07
SWAD,0.8647±0.03,0.8545±0.06,0.8691±0.02,0.8007±0.03,0.7928±0.08,0.8051±0.02,0.9791±0.0,0.9402±0.05,0.9309±0.05,0.9355±0.04,0.9152±0.04,0.9389±0.05,0.9054±0.03,0.135±0.04,0.5743±0.08,0.7572±0.15,0.2889±0.08,0.1818±0.12,0.7111±0.08,0.8182±0.12,0.1564±0.04,0.552±0.15,0.7717±0.04,0.2593±0.04,0.193±0.04,0.7407±0.04,0.807±0.04,0.1547±0.02,0.587±0.06,0.8446±0.05,0.1833±0.06,0.2222±0.1,0.197±0.05,0.1755±0.08,0.2222±0.15,0.2222±0.07
resamplingSWAD,0.6874±0.22,0.6495±0.2,0.7031±0.25,0.6536±0.2,0.6486±0.19,0.6564±0.21,0.9407±0.08,0.9593±0.03,0.9037±0.12,0.9315±0.08,0.8739±0.13,0.8817±0.08,0.8809±0.09,0.1636±0.02,0.6359±0.11,0.4589±0.26,0.4889±0.3,0.197±0.03,0.5111±0.3,0.803±0.03,0.1993±0.05,0.6925±0.06,0.535±0.39,0.3704±0.2,0.3158±0.21,0.6296±0.2,0.6842±0.21,0.182±0.05,0.6036±0.16,0.6477±0.2,0.45±0.45,0.1984±0.18,0.4242±0.46,0.4649±0.44,0.2444±0.27,0.1728±0.13
SAM,0.5292±0.04,0.5879±0.04,0.4987±0.04,0.4641±0.05,0.4775±0.08,0.4564±0.03,0.9593±0.01,0.9657±0.0,0.9136±0.06,0.9396±0.03,0.992±0.01,0.9437±0.03,0.942±0.07,0.1743±0.04,0.7209±0.04,0.2689±0.09,0.6889±0.54,0.303±0.52,0.3111±0.54,0.697±0.52,0.2055±0.04,0.711±0.04,0.1765±0.05,0.6914±0.53,0.2895±0.5,0.3086±0.53,0.7105±0.5,0.177±0.04,0.7265±0.05,0.4987±0.04,0.8722±0.11,0.0556±0.04,0.8788±0.13,0.8685±0.09,0.0±0.0,0.0864±0.06
