methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4
baseline,0.8305±0.0,0.7495±0.0,0.7964±0.0,0.8342±0.01,0.7786±0.0,0.826±0.0,0.7394±0.0,0.8326±0.0,0.7413±0.0,0.7979±0.0,0.7635±0.01,0.765±0.0,0.238±0.0,0.7158±0.0,0.7358±0.06,0.4722±0.02,0.125±0.01,0.5278±0.02,0.875±0.01,0.2813±0.01,0.6438±0.03,0.6732±0.01,0.6321±0.04,0.0908±0.01,0.3679±0.04,0.9092±0.01,0.2896±0.0,0.7034±0.01,0.6951±0.0,0.8686±0.02,0.0175±0.0,0.1314±0.02,0.9825±0.0,0.2553±0.0,0.7186±0.01,0.6415±0.0,0.9793±0.0,0.0023±0.0,0.0207±0.0,0.9977±0.0,0.2266±0.0,0.7343±0.01,0.5547±0.01,0.9987±0.0,0.0003±0.0,0.0013±0.0,0.9997±0.0,0.1818±0.0,0.6751±0.0,0.765±0.0,0.2875±0.01,0.1949±0.01,0.5985±0.04,0.5275±0.01,0.3862±0.01,0.2422±0.01,0.1289±0.01,0.0226±0.02,0.04±0.0,0.109±0.01,0.2916±0.02,0.58±0.03
resampling,0.8071±0.01,0.7253±0.01,0.7548±0.03,0.7883±0.03,0.7622±0.01,0.7885±0.02,0.7141±0.01,0.8024±0.01,0.7143±0.01,0.7793±0.01,0.7431±0.01,0.7509±0.01,0.2485±0.03,0.7693±0.07,0.6045±0.06,0.6484±0.09,0.0777±0.05,0.3516±0.09,0.9223±0.05,0.3553±0.03,0.9074±0.09,0.5835±0.03,0.7663±0.1,0.0642±0.03,0.2337±0.1,0.9358±0.03,0.3494±0.04,0.8966±0.08,0.6295±0.03,0.9035±0.07,0.0165±0.02,0.0965±0.07,0.9835±0.02,0.2743±0.04,0.8001±0.08,0.6047±0.03,0.9738±0.03,0.0049±0.01,0.0262±0.03,0.9951±0.01,0.2219±0.03,0.7448±0.06,0.54±0.02,0.9944±0.01,0.0008±0.0,0.0056±0.01,0.9992±0.0,0.1677±0.02,0.6446±0.05,0.7509±0.01,0.325±0.02,0.1992±0.01,0.5379±0.07,0.4885±0.02,0.4128±0.02,0.2932±0.02,0.1876±0.03,0.1111±0.07,0.0892±0.03,0.1328±0.01,0.2708±0.02,0.4782±0.04
DomainInd,0.7985±0.03,0.7166±0.02,0.7762±0.02,0.7909±0.03,0.764±0.01,0.7899±0.03,0.7062±0.02,0.7944±0.03,0.703±0.03,0.7633±0.03,0.7283±0.03,0.7243±0.03,0.3293±0.02,2.2178±0.19,0.6312±0.12,0.6823±0.06,0.1061±0.02,0.3177±0.06,0.8939±0.02,0.4299±0.05,1.8587±0.31,0.5729±0.08,0.7477±0.05,0.0716±0.03,0.2523±0.05,0.9284±0.03,0.4341±0.03,2.0749±0.3,0.6063±0.06,0.8614±0.07,0.026±0.02,0.1386±0.07,0.974±0.02,0.3639±0.03,2.1578±0.23,0.5793±0.06,0.9482±0.05,0.0082±0.01,0.0518±0.05,0.9918±0.01,0.3016±0.02,2.3328±0.22,0.5137±0.05,0.9832±0.02,0.0024±0.0,0.0168±0.02,0.9976±0.0,0.2287±0.01,2.1849±0.22,0.7243±0.03,0.3413±0.02,0.1965±0.02,0.6061±0.06,0.535±0.01,0.4291±0.02,0.3027±0.03,0.2052±0.04,0.0486±0.01,0.0587±0.02,0.1305±0.03,0.2858±0.03,0.4838±0.01
LAFTR,0.831±0.0,0.7514±0.01,0.8±0.01,0.8229±0.0,0.7869±0.01,0.8226±0.0,0.7408±0.01,0.8319±0.0,0.7416±0.0,0.8002±0.0,0.7652±0.01,0.7606±0.01,0.2242±0.01,0.6809±0.03,0.7007±0.04,0.5226±0.1,0.1136±0.02,0.4774±0.1,0.8864±0.02,0.2963±0.03,0.6774±0.05,0.6594±0.02,0.6464±0.09,0.0904±0.03,0.3536±0.09,0.9096±0.03,0.2918±0.02,0.7077±0.03,0.7023±0.01,0.8624±0.05,0.0183±0.01,0.1376±0.05,0.9817±0.01,0.2409±0.02,0.69±0.03,0.6512±0.01,0.9782±0.02,0.0026±0.0,0.0218±0.02,0.9974±0.0,0.2085±0.02,0.6856±0.05,0.5647±0.02,0.9963±0.0,0.0002±0.0,0.0037±0.0,0.9998±0.0,0.1648±0.02,0.6239±0.05,0.7606±0.01,0.2879±0.02,0.1894±0.01,0.5682±0.09,0.4907±0.04,0.3782±0.03,0.2507±0.01,0.1402±0.02,0.0312±0.03,0.0486±0.01,0.1155±0.02,0.2737±0.02,0.5367±0.02
CFair,0.8244±0.0,0.7407±0.01,0.7774±0.01,0.818±0.01,0.7845±0.01,0.8164±0.0,0.7368±0.01,0.8236±0.01,0.7277±0.01,0.7943±0.0,0.7417±0.0,0.7611±0.0,0.2309±0.04,0.705±0.08,0.7205±0.04,0.717±0.26,0.0909±0.06,0.283±0.26,0.9091±0.06,0.3558±0.08,0.7938±0.15,0.6442±0.02,0.7839±0.2,0.0558±0.06,0.2161±0.2,0.9442±0.06,0.3438±0.07,0.8245±0.14,0.6761±0.02,0.8718±0.12,0.0222±0.02,0.1282±0.12,0.9778±0.02,0.2544±0.05,0.7329±0.09,0.6323±0.01,0.9502±0.05,0.0077±0.01,0.0498±0.05,0.9923±0.01,0.2011±0.03,0.6814±0.06,0.5529±0.02,0.9861±0.01,0.0022±0.0,0.0139±0.01,0.9978±0.0,0.1512±0.02,0.5936±0.04,0.7611±0.0,0.3145±0.02,0.1764±0.02,0.6023±0.09,0.4743±0.06,0.3817±0.04,0.2853±0.02,0.2021±0.02,0.0486±0.04,0.0621±0.03,0.1201±0.02,0.2463±0.02,0.4378±0.04
LNL,0.808±0.01,0.7181±0.0,0.7464±0.02,0.7815±0.02,0.7542±0.01,0.7829±0.01,0.6959±0.01,0.8007±0.0,0.7106±0.0,0.7796±0.01,0.7509±0.01,0.7483±0.01,0.1933±0.03,0.6471±0.05,0.5942±0.09,0.7535±0.27,0.0985±0.14,0.2465±0.27,0.9015±0.14,0.3208±0.07,0.7601±0.09,0.5556±0.03,0.7747±0.23,0.0741±0.09,0.2253±0.23,0.9259±0.09,0.292±0.06,0.7385±0.07,0.6288±0.01,0.8943±0.13,0.0213±0.03,0.1057±0.13,0.9787±0.03,0.2083±0.04,0.6704±0.05,0.5991±0.02,0.9786±0.03,0.0028±0.0,0.0214±0.03,0.9972±0.0,0.1691±0.03,0.6289±0.04,0.5418±0.01,0.9982±0.0,0.0001±0.0,0.0018±0.0,0.9999±0.0,0.129±0.02,0.5558±0.04,0.7483±0.01,0.3494±0.01,0.1804±0.02,0.7121±0.09,0.5815±0.03,0.4661±0.02,0.3035±0.01,0.1668±0.03,0.0434±0.01,0.0469±0.01,0.1085±0.01,0.2612±0.03,0.5115±0.05
EnD,0.7987±0.02,0.7253±0.02,0.7899±0.01,0.799±0.02,0.7676±0.01,0.7898±0.01,0.7234±0.01,0.8002±0.02,0.7102±0.02,0.7787±0.02,0.7275±0.02,0.7405±0.02,0.2135±0.06,0.7147±0.1,0.6548±0.08,0.9514±0.05,0.0322±0.04,0.0486±0.05,0.9678±0.04,0.446±0.07,1.0325±0.17,0.5852±0.04,0.9269±0.07,0.0257±0.03,0.0731±0.07,0.9743±0.03,0.3955±0.07,0.9739±0.17,0.6395±0.05,0.8965±0.1,0.0322±0.04,0.1035±0.1,0.9678±0.04,0.2443±0.07,0.7564±0.12,0.6136±0.04,0.9297±0.08,0.0234±0.03,0.0703±0.08,0.9766±0.03,0.1622±0.06,0.648±0.08,0.5418±0.02,0.9564±0.05,0.0126±0.01,0.0436±0.05,0.9874±0.01,0.1072±0.03,0.5494±0.04,0.7405±0.02,0.3307±0.03,0.1906±0.01,0.4508±0.11,0.4223±0.05,0.3902±0.04,0.318±0.04,0.2258±0.04,0.0998±0.05,0.1198±0.03,0.1395±0.02,0.2333±0.02,0.4217±0.05
ODR,0.7975±0.03,0.7043±0.04,0.7821±0.02,0.7699±0.04,0.7543±0.02,0.7829±0.03,0.7008±0.03,0.793±0.03,0.6865±0.05,0.7648±0.03,0.71±0.06,0.7428±0.02,0.2357±0.02,0.7341±0.05,0.53±0.07,0.7309±0.22,0.0871±0.07,0.2691±0.22,0.9129±0.07,0.3577±0.06,0.8448±0.14,0.5604±0.06,0.7982±0.16,0.0531±0.04,0.2018±0.16,0.9469±0.04,0.346±0.04,0.8561±0.1,0.6108±0.09,0.9099±0.07,0.0167±0.01,0.0901±0.07,0.9833±0.01,0.2611±0.02,0.768±0.06,0.5624±0.08,0.972±0.02,0.0056±0.0,0.028±0.02,0.9944±0.0,0.2066±0.01,0.7106±0.03,0.5095±0.07,0.9908±0.01,0.0016±0.0,0.0092±0.01,0.9984±0.0,0.1528±0.01,0.6068±0.02,0.7428±0.02,0.378±0.08,0.1719±0.01,0.5947±0.03,0.5497±0.05,0.4494±0.07,0.3499±0.08,0.2531±0.1,0.0451±0.02,0.0656±0.01,0.1179±0.01,0.2407±0.02,0.4079±0.08
GroupDRO,0.7932±0.0,0.7124±0.01,0.7548±0.02,0.7806±0.01,0.7457±0.01,0.7838±0.0,0.6956±0.01,0.7902±0.0,0.7039±0.01,0.7576±0.0,0.738±0.01,0.7035±0.0,0.1919±0.05,0.6675±0.07,0.5611±0.07,0.533±0.25,0.1477±0.13,0.467±0.25,0.8523±0.13,0.2818±0.07,0.7004±0.09,0.5777±0.01,0.6534±0.27,0.1185±0.1,0.3466±0.27,0.8815±0.1,0.2701±0.08,0.7193±0.09,0.6146±0.01,0.815±0.2,0.0409±0.05,0.185±0.2,0.9591±0.05,0.2069±0.07,0.689±0.08,0.5635±0.01,0.9405±0.08,0.0127±0.02,0.0595±0.08,0.9873±0.02,0.1722±0.05,0.6579±0.06,0.4818±0.02,0.9911±0.01,0.0019±0.0,0.0089±0.01,0.9981±0.0,0.137±0.03,0.5975±0.04,0.7035±0.0,0.3363±0.01,0.2145±0.01,0.6818±0.02,0.6003±0.03,0.4441±0.03,0.2859±0.02,0.1638±0.02,0.0451±0.02,0.0493±0.01,0.1358±0.01,0.3166±0.02,0.5751±0.04
SWAD,0.8356±0.0,0.757±0.0,0.8095±0.01,0.8366±0.01,0.7927±0.0,0.8334±0.0,0.7502±0.01,0.8365±0.0,0.7461±0.0,0.804±0.01,0.765±0.01,0.7666±0.01,0.2929±0.0,0.9322±0.02,0.7622±0.03,0.6146±0.02,0.1023±0.01,0.3854±0.02,0.8977±0.01,0.3569±0.01,0.8176±0.03,0.6943±0.01,0.7829±0.01,0.0446±0.01,0.2171±0.01,0.9554±0.01,0.3758±0.0,0.9305±0.01,0.7151±0.01,0.9227±0.0,0.0071±0.0,0.0773±0.0,0.9929±0.0,0.3221±0.0,0.9462±0.02,0.6589±0.01,0.9864±0.0,0.0014±0.0,0.0136±0.0,0.9986±0.0,0.271±0.0,0.9497±0.02,0.575±0.01,0.9976±0.0,0.0002±0.0,0.0024±0.0,0.9998±0.0,0.2099±0.0,0.8627±0.02,0.7666±0.01,0.2753±0.01,0.1946±0.01,0.5227±0.02,0.466±0.01,0.3538±0.01,0.2394±0.0,0.1487±0.01,0.0382±0.01,0.054±0.0,0.1243±0.01,0.2831±0.01,0.5107±0.0
