methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.825±0.0,0.814±0.0,0.8268±0.0,0.7471±0.0,0.7494±0.0,0.7436±0.0,0.8139±0.01,0.8801±0.01,0.8767±0.01,0.8784±0.01,0.9229±0.02,0.8709±0.01,0.8784±0.01,0.2178±0.02,0.6917±0.03,0.6842±0.01,0.8481±0.04,0.0177±0.01,0.1519±0.04,0.9823±0.01,0.2012±0.01,0.6751±0.02,0.6899±0.01,0.7193±0.07,0.043±0.02,0.2807±0.07,0.957±0.02,0.2427±0.02,0.7165±0.04,0.814±0.0,0.2867±0.01,0.2022±0.0,0.2451±0.01,0.3649±0.01,0.2611±0.0,0.1378±0.01
resampling,0.8239±0.01,0.8149±0.01,0.8239±0.02,0.7387±0.02,0.7402±0.02,0.7364±0.02,0.8277±0.02,0.8874±0.01,0.8977±0.02,0.8925±0.01,0.9242±0.03,0.8818±0.01,0.8908±0.01,0.2129±0.02,0.6848±0.06,0.6777±0.03,0.8314±0.06,0.021±0.01,0.1686±0.06,0.979±0.01,0.1942±0.02,0.6622±0.04,0.6824±0.04,0.7061±0.1,0.0473±0.02,0.2939±0.1,0.9527±0.02,0.2409±0.03,0.7188±0.08,0.8149±0.01,0.3148±0.04,0.1809±0.01,0.2757±0.04,0.3883±0.03,0.2298±0.02,0.1275±0.0
DomainInd,0.833±0.0,0.825±0.0,0.832±0.0,0.7524±0.0,0.7567±0.0,0.7459±0.0,0.8164±0.01,0.8786±0.01,0.8884±0.0,0.8835±0.01,0.9254±0.01,0.8743±0.01,0.8824±0.01,0.2472±0.03,0.9508±0.12,0.699±0.0,0.8095±0.05,0.0223±0.01,0.1905±0.05,0.9777±0.01,0.2322±0.02,0.9499±0.12,0.7034±0.0,0.6869±0.06,0.0489±0.01,0.3131±0.06,0.9511±0.01,0.2698±0.03,0.9522±0.12,0.825±0.0,0.2831±0.02,0.1942±0.02,0.241±0.01,0.3623±0.02,0.2476±0.02,0.136±0.02
LAFTR,0.8263±0.0,0.8176±0.01,0.8252±0.0,0.7477±0.0,0.7506±0.01,0.7433±0.0,0.8154±0.0,0.8788±0.01,0.8833±0.0,0.881±0.0,0.9406±0.02,0.8711±0.0,0.8806±0.0,0.2328±0.01,0.7116±0.03,0.6904±0.01,0.894±0.03,0.0106±0.0,0.106±0.03,0.9894±0.0,0.2123±0.01,0.6874±0.02,0.6847±0.01,0.7937±0.06,0.0291±0.01,0.2063±0.06,0.9709±0.01,0.2636±0.02,0.748±0.04,0.8176±0.01,0.2919±0.01,0.1929±0.01,0.2498±0.01,0.3709±0.01,0.2487±0.01,0.1319±0.01
CFair,0.8168±0.0,0.8098±0.0,0.8141±0.01,0.732±0.01,0.7361±0.01,0.7257±0.01,0.8245±0.01,0.8779±0.01,0.8985±0.01,0.8882±0.01,0.9045±0.02,0.8831±0.01,0.8863±0.01,0.1211±0.05,0.5716±0.04,0.6713±0.01,0.654±0.13,0.0632±0.03,0.346±0.13,0.9368±0.03,0.1048±0.04,0.5503±0.03,0.6701±0.01,0.5124±0.15,0.1125±0.05,0.4876±0.15,0.8875±0.05,0.1456±0.05,0.6035±0.05,0.8098±0.0,0.3191±0.03,0.1913±0.02,0.2767±0.03,0.3988±0.03,0.2398±0.02,0.1383±0.01
LNL,0.8146±0.01,0.806±0.01,0.8129±0.01,0.7242±0.01,0.7263±0.01,0.721±0.01,0.8255±0.02,0.878±0.01,0.8983±0.02,0.8881±0.01,0.9475±0.01,0.8735±0.01,0.8842±0.01,0.2278±0.01,0.7076±0.0,0.656±0.02,0.9106±0.01,0.0104±0.0,0.0894±0.01,0.9896±0.0,0.2053±0.01,0.6792±0.01,0.6595±0.02,0.8238±0.03,0.0286±0.01,0.1762±0.03,0.9714±0.01,0.2617±0.01,0.7504±0.01,0.806±0.01,0.3421±0.03,0.1761±0.01,0.2997±0.03,0.4218±0.02,0.2247±0.02,0.123±0.0
EnD,0.8233±0.01,0.816±0.01,0.821±0.01,0.7466±0.01,0.7506±0.01,0.7406±0.01,0.8261±0.01,0.8876±0.0,0.8951±0.01,0.8913±0.01,0.9419±0.03,0.8863±0.01,0.8907±0.01,0.2088±0.02,0.6584±0.05,0.6846±0.02,0.8581±0.08,0.0159±0.01,0.1419±0.08,0.9841±0.01,0.1838±0.02,0.6241±0.04,0.6804±0.03,0.7625±0.12,0.0364±0.02,0.2375±0.12,0.9636±0.02,0.2464±0.03,0.71±0.06,0.816±0.01,0.2847±0.01,0.2064±0.01,0.2457±0.01,0.3581±0.01,0.2565±0.01,0.1517±0.01
ODR,0.8291±0.01,0.822±0.01,0.827±0.01,0.7415±0.01,0.744±0.01,0.7377±0.02,0.8299±0.0,0.8873±0.01,0.9055±0.01,0.8964±0.0,0.9379±0.01,0.8843±0.0,0.8936±0.0,0.2244±0.02,0.6957±0.05,0.6883±0.02,0.8678±0.03,0.0151±0.01,0.1322±0.03,0.9849±0.01,0.203±0.01,0.6681±0.05,0.6896±0.02,0.762±0.04,0.0334±0.01,0.238±0.04,0.9666±0.01,0.2566±0.02,0.7372±0.06,0.822±0.01,0.3147±0.03,0.1742±0.02,0.2755±0.03,0.3882±0.04,0.2193±0.02,0.1249±0.01
GroupDRO,0.8172±0.0,0.8046±0.0,0.8209±0.0,0.7363±0.0,0.7383±0.0,0.7334±0.0,0.8163±0.01,0.8781±0.01,0.8801±0.01,0.8791±0.01,0.937±0.01,0.8737±0.0,0.8793±0.01,0.2274±0.01,0.7254±0.04,0.6673±0.01,0.8662±0.02,0.0151±0.0,0.1338±0.02,0.9849±0.0,0.2075±0.01,0.7063±0.05,0.6833±0.01,0.7616±0.04,0.0365±0.01,0.2384±0.04,0.9635±0.01,0.2572±0.01,0.754±0.03,0.8046±0.0,0.3079±0.01,0.1971±0.01,0.2656±0.01,0.3875±0.01,0.2544±0.02,0.1346±0.01
SWAD,0.835±0.0,0.8255±0.0,0.8357±0.0,0.7528±0.0,0.7559±0.0,0.7482±0.0,0.8223±0.0,0.8859±0.0,0.8935±0.01,0.8897±0.0,0.968±0.0,0.8794±0.0,0.8879±0.0,0.2911±0.0,0.9244±0.0,0.7039±0.01,0.9408±0.01,0.0048±0.0,0.0592±0.01,0.9952±0.0,0.2641±0.0,0.8933±0.0,0.7096±0.0,0.8839±0.01,0.0118±0.0,0.1161±0.01,0.9882±0.0,0.3316±0.0,0.9712±0.01,0.8255±0.0,0.2865±0.01,0.1882±0.01,0.2469±0.01,0.361±0.01,0.2391±0.01,0.1326±0.0
