methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test worst_auc
baseline,6.0,8.0,5.0,5.0,6.0,4.0,11.0,5.0,11.0,11.0,7.0,2.0,9.0,7.0,1.0,3.0,,,,,,,,,,,,,,
resampling,7.0,7.0,7.0,8.0,8.0,8.0,2.0,2.0,4.0,2.0,3.0,9.0,3.0,3.0,9.0,9.0,,,,,,,,,,,,,,
DomainInd,2.0,2.0,2.0,3.0,1.5,3.0,7.0,6.0,7.0,7.0,11.0,4.0,11.0,9.0,5.0,4.0,,,,,,,,,,,,,,
LAFTR,5.0,5.0,6.0,4.0,4.5,5.0,10.0,7.0,9.0,9.0,6.0,5.0,6.0,6.0,4.0,7.0,,,,,,,,,,,,,,
CFair,10.0,9.0,10.0,10.0,10.0,10.0,5.0,11.0,2.0,5.0,2.0,6.0,2.0,2.0,7.0,2.0,,,,,,,,,,,,,,
LNL,11.0,10.0,11.0,11.0,11.0,11.0,4.0,10.0,3.0,6.0,1.0,10.0,1.0,1.0,10.0,11.0,,,,,,,,,,,,,,
EnD,8.0,6.0,8.0,6.0,4.5,6.0,3.0,1.0,5.0,3.0,10.0,1.0,8.0,11.0,2.0,1.0,,,,,,,,,,,,,,
ODR,4.0,3.0,4.0,7.0,7.0,7.0,1.0,3.0,1.0,1.0,4.0,11.0,4.0,4.0,11.0,10.0,,,,,,,,,,,,,,
GroupDRO,9.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,5.0,3.0,5.0,5.0,3.0,5.0,,,,,,,,,,,,,,
SWAD,1.0,1.0,1.0,1.5,3.0,1.0,6.0,4.0,6.0,4.0,8.0,8.0,7.0,10.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
resamplingSWAD,3.0,4.0,3.0,1.5,1.5,2.0,9.0,8.0,8.0,8.0,9.0,7.0,10.0,8.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
