methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.9024±0.068,0.9342±0.035,0.8698±0.054,0.8187±0.088,0.8387±0.065,0.7949±0.118,0.7399±0.167,0.881±0.036,0.9439±0.079,0.9124±0.043,0.8835±0.085,0.8717±0.031,0.9412±0.021,0.1515±0.064,0.4308±0.171,0.8456±0.113,0.3333±0.199,0.0556±0.096,0.6667±0.199,0.9444±0.096,0.2152±0.076,0.5171±0.285,0.7222±0.092,0.2667±0.115,0.0794±0.099,0.7333±0.115,0.9206±0.099,0.1385±0.038,0.3279±0.111,0.8698±0.054,0.1919±0.106,0.1667±0.072,0.1667±0.083,0.2063±0.145,0.1579±0.091,0.2±0.0
resampling,0.8893±0.031,0.943±0.012,0.8032±0.024,0.7953±0.051,0.8172±0.019,0.7692±0.102,0.8259±0.101,0.8611±0.077,0.8947±0.09,0.8779±0.009,0.9186±0.061,0.904±0.072,0.9153±0.059,0.1308±0.038,0.4391±0.065,0.8298±0.04,0.2807±0.061,0.0556±0.096,0.7193±0.061,0.9444±0.096,0.1723±0.019,0.3735±0.093,0.56±0.125,0.3333±0.115,0.1587±0.055,0.6667±0.115,0.8413±0.055,0.206±0.053,0.5174±0.094,0.8032±0.024,0.1717±0.115,0.25±0.042,0.0833±0.083,0.2223±0.137,0.2456±0.061,0.2667±0.115
DomainInd,0.883±0.027,0.8991±0.027,0.8603±0.043,0.7661±0.056,0.7957±0.049,0.7308±0.168,0.7825±0.022,0.9484±0.048,0.8912±0.095,0.9198±0.069,0.8932±0.063,0.9294±0.02,0.9681±0.021,0.181±0.028,0.7546±0.257,0.7228±0.043,0.4035±0.11,0.0556±0.096,0.5965±0.11,0.9444±0.096,0.2519±0.059,0.9198±0.549,0.6844±0.12,0.3333±0.115,0.0952±0.095,0.6667±0.115,0.9048±0.095,0.1363±0.051,0.5576±0.093,0.8541±0.034,0.2727±0.184,0.1806±0.127,0.25±0.144,0.2857±0.208,0.1754±0.161,0.2±0.0
LAFTR,0.8207±0.036,0.8289±0.053,0.8381±0.067,0.7895±0.03,0.7742±0.065,0.8077±0.102,0.6931±0.064,0.9246±0.036,0.7684±0.1,0.8465±0.038,0.8725±0.038,0.9023±0.099,0.8942±0.056,0.1938±0.059,0.6021±0.086,0.6807±0.058,0.4211±0.091,0.1667±0.22,0.5789±0.091,0.8333±0.22,0.2597±0.017,0.7486±0.092,0.7467±0.219,0.3333±0.115,0.127±0.055,0.6667±0.115,0.873±0.055,0.1814±0.034,0.4275±0.121,0.7906±0.019,0.1616±0.122,0.2778±0.105,0.1944±0.096,0.1429±0.143,0.2456±0.122,0.4±0.2
CFair,0.782±0.094,0.8509±0.075,0.7587±0.204,0.731±0.056,0.7419±0.032,0.7179±0.124,0.9524±0.038,0.7976±0.06,0.8421±0.137,0.8199±0.076,0.8108±0.066,0.8496±0.094,0.7588±0.029,0.2057±0.084,0.6435±0.156,0.6877±0.116,0.4211±0.158,0.0833±0.083,0.5789±0.158,0.9167±0.083,0.2976±0.056,0.7223±0.104,0.6067±0.319,0.5333±0.231,0.1746±0.262,0.4667±0.231,0.8254±0.262,0.2066±0.184,0.5495±0.352,0.7505±0.198,0.2121±0.121,0.3472±0.105,0.0833±0.083,0.2857±0.143,0.3684±0.091,0.2667±0.231
LNL,0.8708±0.029,0.8757±0.033,0.9238±0.069,0.8187±0.027,0.7849±0.049,0.859±0.118,0.6609±0.01,0.8889±0.086,0.8596±0.144,0.8743±0.038,0.7539±0.106,0.8506±0.062,0.8831±0.03,0.1891±0.024,0.5465±0.15,0.6982±0.047,0.3509±0.03,0.0833±0.083,0.6491±0.03,0.9167±0.083,0.2634±0.007,0.7254±0.186,0.92±0.139,0.5333±0.503,0.0476±0.048,0.4667±0.503,0.9524±0.048,0.1599±0.035,0.3332±0.114,0.8605±0.012,0.1515±0.091,0.2222±0.064,0.2222±0.048,0.1111±0.12,0.2105±0.105,0.2667±0.115
EnD,0.7761±0.067,0.8553±0.023,0.7143±0.076,0.6784±0.124,0.7634±0.099,0.5769±0.168,0.7659±0.171,0.9365±0.1,0.7018±0.216,0.8191±0.093,0.94±0.06,0.8464±0.12,0.7766±0.117,0.1633±0.067,0.5885±0.074,0.7053±0.036,0.6491±0.308,0.0833±0.144,0.3509±0.308,0.9167±0.144,0.2842±0.039,0.6557±0.155,0.5±0.087,0.7333±0.231,0.0794±0.099,0.2667±0.231,0.9206±0.099,0.2058±0.004,0.5085±0.061,0.7143±0.076,0.4242±0.241,0.1806±0.064,0.3889±0.173,0.4444±0.279,0.1403±0.08,0.3333±0.306
ODR,0.8897±0.017,0.9269±0.039,0.8317±0.088,0.8187±0.02,0.828±0.049,0.8077±0.102,0.7849±0.098,0.8849±0.108,0.8421±0.1,0.8635±0.04,0.8737±0.055,0.884±0.033,0.8593±0.031,0.1268±0.021,0.4579±0.039,0.8614±0.071,0.2807±0.08,0.0833±0.083,0.7193±0.08,0.9167±0.083,0.2018±0.019,0.4803±0.096,0.4723±0.139,0.2667±0.231,0.127±0.055,0.7333±0.231,0.873±0.055,0.1772±0.035,0.4311±0.033,0.8145±0.059,0.1818±0.08,0.1806±0.087,0.1389±0.127,0.2063±0.099,0.193±0.122,0.1333±0.115
GroupDRO,0.9087±0.022,0.9123±0.009,0.9111±0.038,0.8246±0.018,0.7849±0.019,0.8718±0.022,0.7167±0.087,0.9365±0.079,0.9263±0.038,0.9314±0.028,0.9078±0.053,0.9331±0.054,0.9689±0.023,0.1645±0.041,0.4507±0.094,0.7579±0.066,0.3509±0.122,0.1111±0.096,0.6491±0.122,0.8889±0.096,0.2309±0.059,0.551±0.179,0.8067±0.012,0.3333±0.231,0.0635±0.055,0.6667±0.231,0.9365±0.055,0.1372±0.013,0.3311±0.009,0.8973±0.019,0.1313±0.035,0.2361±0.064,0.1667±0.083,0.1111±0.028,0.2456±0.08,0.2±0.0
SWAD,0.9171±0.021,0.9444±0.007,0.8984±0.057,0.8246±0.03,0.8495±0.019,0.7949±0.059,0.7763±0.026,0.9167±0.031,0.9474±0.048,0.932±0.029,0.9123±0.024,0.8796±0.019,0.9216±0.012,0.1366±0.008,0.407±0.071,0.8699±0.034,0.3158±0.0,0.0833±0.0,0.6842±0.0,0.9167±0.0,0.162±0.008,0.4064±0.031,0.6612±0.234,0.2±0.0,0.1429±0.048,0.8±0.0,0.8571±0.048,0.1684±0.009,0.4077±0.121,0.8953±0.053,0.1919±0.063,0.1528±0.064,0.1389±0.048,0.2222±0.073,0.1579±0.053,0.1333±0.115
