methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test worst_auc,Test Overall ECE,Test Overall BCE,Test ECE-group_0,Test BCE-group_0,Test ECE-group_1,Test BCE-group_1,Test ECE-group_2,Test BCE-group_2,Test ECE-group_3,Test BCE-group_3,Test ECE-group_4,Test BCE-group_4
baseline,0.8786±0.003,0.8904±0.002,0.7587±0.038,0.7655±0.02,0.8159±0.006,0.8064±0.006,0.8684±0.004,0.7809±0.003,0.9063±0.001,0.65±0.012,0.9574±0.002,0.5865±0.016,0.0754±0.002,0.4142±0.011,0.2468±0.058,0.1774±0.012,0.102±0.005,0.0508±0.0,0.014±0.003,0.2222±0.051,0.2097±0.021,0.3363±0.007,0.6491±0.024,0.8131±0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resampling,0.8561±0.008,0.8625±0.017,0.6891±0.011,0.7167±0.016,0.7897±0.011,0.7809±0.003,0.8378±0.019,0.7622±0.006,0.8796±0.017,0.6783±0.025,0.9326±0.018,0.6185±0.019,0.109±0.022,0.3915±0.033,0.3333±0.015,0.2042±0.018,0.1367±0.023,0.0867±0.024,0.0432±0.02,0.2333±0.033,0.2341±0.018,0.3389±0.016,0.5567±0.074,0.7197±0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DomainInd,0.8738±0.003,0.8792±0.004,0.7313±0.015,0.7637±0.023,0.8083±0.008,0.8018±0.016,0.8576±0.007,0.7791±0.011,0.8941±0.003,0.6725±0.012,0.946±0.004,0.6207±0.018,0.0908±0.007,0.3876±0.027,0.2949±0.02,0.1872±0.01,0.1158±0.013,0.0688±0.006,0.0289±0.005,0.1778±0.051,0.2092±0.036,0.326±0.036,0.5861±0.03,0.7298±0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFTR,0.8754±0.001,0.8817±0.005,0.7114±0.009,0.8372±0.007,0.7965±0.009,0.8802±0.002,0.8531±0.006,0.8729±0.0,0.9037±0.005,0.8331±0.003,0.9574±0.002,0.8317±0.005,0.0885±0.008,0.3844±0.018,0.1465±0.011,0.0402±0.006,,,,0.2522±0.016,0.6875±0.033,,,,0.6845±0.039,0.5889±0.019,0.0833±0.015,0.4111±0.019,0.9167±0.015,0.811±0.007,0.6488±0.051,0.0492±0.012,0.3512±0.051,0.9508±0.012,0.8232±0.006,0.8256±0.043,0.0139±0.005,0.1744±0.043,0.9861±0.005,0.7304±0.017,0.9717±0.01,0.0021±0.001,0.0283±0.01,0.9979±0.001,0.75±0.009,0.9975±0.004,0.0006±0.0,0.0025±0.004,0.9994±0.0,0.8301±0.003,,,,,,,,,,,,
CFair,0.8662±0.005,0.866±0.006,0.7015±0.052,0.8032±0.031,0.8113±0.006,0.8718±0.002,0.8461±0.005,0.8663±0.003,0.877±0.011,0.8314±0.004,0.9268±0.019,0.8239±0.008,0.1088±0.007,0.3585±0.006,0.1432±0.008,0.0802±0.017,,,,0.2827±0.019,0.5322±0.056,,,,0.5692±0.076,0.5778±0.367,0.1378±0.122,0.4222±0.367,0.8622±0.122,0.8132±0.007,0.5734±0.369,0.0868±0.075,0.4266±0.369,0.9132±0.075,0.8124±0.018,0.6157±0.335,0.0623±0.055,0.3843±0.335,0.9377±0.055,0.7216±0.011,0.7222±0.255,0.0461±0.046,0.2778±0.255,0.9539±0.046,0.7081±0.027,0.8106±0.182,0.0256±0.03,0.1894±0.182,0.9744±0.03,0.7974±0.022,,,,,,,,,,,,
LNL,0.8493±0.006,0.8577±0.013,0.6667±0.057,0.8255±0.023,0.7701±0.012,0.8417±0.009,0.8246±0.01,0.8443±0.011,0.881±0.017,0.8071±0.002,0.9417±0.022,0.8138±0.012,0.113±0.017,0.4038±0.033,0.375±0.126,0.2296±0.03,0.153±0.01,0.0813±0.022,0.0315±0.028,0.1889±0.212,0.2311±0.059,0.3304±0.017,0.6077±0.055,0.7803±0.153,0.6276±0.022,0.7444±0.329,0.0833±0.111,0.2556±0.329,0.9167±0.111,0.7181±0.018,0.7885±0.269,0.0396±0.057,0.2115±0.269,0.9604±0.057,0.7468±0.028,0.8884±0.154,0.0139±0.02,0.1116±0.154,0.9861±0.02,0.673±0.022,0.9819±0.027,0.0029±0.004,0.0181±0.027,0.9971±0.004,0.6673±0.019,1.0±0.0,0.0002±0.0,0.0±0.0,0.9998±0.0,0.8052±0.0,0.0413±0.022,0.2594±0.009,0.1233±0.037,0.4486±0.038,0.0587±0.007,0.3878±0.006,0.0421±0.022,0.298±0.009,0.0426±0.026,0.2282±0.012,0.0464±0.023,0.1518±0.015
EnD,0.8663±0.008,0.8764±0.009,0.7363±0.108,0.7629±0.063,0.8183±0.009,0.7986±0.003,0.8552±0.011,0.7784±0.006,0.8877±0.01,0.6921±0.009,0.9404±0.008,0.6141±0.003,0.0947±0.011,0.3808±0.011,0.2853±0.146,0.1681±0.016,0.1188±0.013,0.0796±0.01,0.0344±0.009,0.1889±0.038,0.2347±0.018,0.3245±0.011,0.5363±0.009,0.7374±0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODR,0.8719±0.004,0.8812±0.004,0.7363±0.053,0.8387±0.054,0.8133±0.005,0.8739±0.007,0.8554±0.006,0.8702±0.003,0.8978±0.004,0.8283±0.006,0.95±0.005,0.8349±0.013,0.0872±0.007,0.4004±0.023,0.2949±0.058,0.1828±0.008,0.1151±0.011,0.0637±0.006,0.0236±0.006,0.1555±0.039,0.202±0.013,0.3481±0.031,0.6014±0.023,0.7601±0.056,0.6628±0.089,0.4333±0.115,0.1442±0.017,0.5667±0.115,0.8558±0.017,0.8151±0.013,0.5882±0.138,0.068±0.024,0.4118±0.138,0.932±0.024,0.8054±0.011,0.7572±0.113,0.0253±0.013,0.2428±0.113,0.9747±0.013,0.7298±0.007,0.9178±0.039,0.0086±0.004,0.0822±0.039,0.9914±0.004,0.7302±0.018,0.947±0.042,0.0029±0.001,0.053±0.042,0.9971±0.001,0.8131±0.031,0.0157±0.007,0.233±0.003,0.0871±0.007,0.398±0.044,0.0298±0.013,0.3428±0.011,0.0179±0.008,0.2686±0.003,0.017±0.008,0.2085±0.003,0.0238±0.004,0.131±0.005
GroupDRO,0.8456±0.004,0.8536±0.01,0.7761±0.022,0.8054±0.015,0.8133±0.004,0.8586±0.003,0.8369±0.012,0.8488±0.008,0.8577±0.01,0.8096±0.005,0.9097±0.011,0.8015±0.013,0.1177±0.014,0.4014±0.033,0.1538±0.01,0.1513±0.013,0.1346±0.017,0.1161±0.013,0.07±0.014,0.4667±0.067,0.3244±0.039,0.3603±0.029,0.4813±0.037,0.6389±0.057,0.6062±0.106,0.4222±0.214,0.1571±0.077,0.5778±0.214,0.8429±0.077,0.7766±0.023,0.3321±0.204,0.1622±0.078,0.6679±0.204,0.8378±0.078,0.7577±0.016,0.3507±0.176,0.1556±0.08,0.6493±0.176,0.8444±0.08,0.68±0.014,0.4722±0.195,0.1334±0.071,0.5278±0.195,0.8666±0.071,0.6607±0.024,0.6162±0.191,0.0867±0.054,0.3838±0.191,0.9133±0.054,0.8002±0.012,,,,,,,,,,,,
SWAD,0.8881±0.001,0.888±0.002,0.7736±0.016,0.8884±0.005,0.8195±0.002,0.8934±0.001,0.8644±0.003,0.8888±0.001,0.9023±0.003,0.8457±0.002,0.9566±0.001,0.8502±0.0,0.0844±0.005,0.3583±0.021,0.25±0.019,0.1836±0.005,0.1151±0.006,0.0599±0.006,0.0172±0.003,0.1444±0.019,0.1687±0.011,0.2772±0.012,0.5873±0.038,0.7475±0.061,0.7914±0.015,0.3556±0.051,0.1122±0.015,0.6444±0.051,0.8878±0.015,0.8537±0.01,0.3886±0.008,0.0929±0.004,0.6114±0.008,0.9071±0.004,0.8529±0.004,0.5883±0.005,0.0409±0.003,0.4117±0.005,0.9591±0.003,0.7459±0.007,0.8662±0.018,0.0122±0.002,0.1338±0.018,0.9878±0.002,0.7776±0.009,0.9242±0.015,0.003±0.001,0.0758±0.015,0.997±0.001,0.8457±0.002,0.0095±0.001,0.2193±0.0,0.0677±0.008,0.3472±0.006,0.015±0.002,0.319±0.002,0.0107±0.002,0.2509±0.001,0.0123±0.001,0.2005±0.0,0.0071±0.001,0.121±0.001
resamplingSWAD,0.8517±0.002,0.8625±0.004,0.7886±0.011,0.8301±0.015,0.8147±0.001,0.8565±0.003,0.844±0.007,0.8543±0.004,0.8675±0.003,0.8181±0.002,0.9253±0.001,0.816±0.009,0.108±0.007,0.4004±0.024,0.1506±0.024,0.1484±0.007,0.1284±0.011,0.1043±0.006,0.0543±0.002,0.4222±0.077,0.3286±0.021,0.347±0.023,0.4989±0.034,0.6262±0.016,0.6804±0.079,0.2556±0.069,0.2212±0.042,0.7444±0.069,0.7788±0.042,0.7796±0.006,0.1943±0.016,0.214±0.006,0.8057±0.016,0.786±0.006,0.7918±0.013,0.1948±0.009,0.2104±0.004,0.8052±0.009,0.7896±0.004,0.7087±0.002,0.318±0.006,0.1802±0.009,0.682±0.006,0.8198±0.009,0.7002±0.03,0.4924±0.0,0.1118±0.006,0.5076±0.0,0.8882±0.006,0.8124±0.003,,,,,,,,,,,,
SAM,0.8676±0.0,0.8767±0.002,0.6119±0.007,0.8054±0.006,0.7879±0.005,0.869±0.001,0.8511±0.001,0.8658±0.001,0.8978±0.004,0.8248±0.001,0.9551±0.002,0.8202±0.003,0.0912±0.004,0.4089±0.013,0.4487±0.011,0.2187±0.008,0.1209±0.004,0.061±0.005,0.0154±0.002,0.1778±0.019,0.1866±0.007,0.3429±0.018,0.6378±0.015,0.8384±0.019,0.617±0.039,0.5111±0.038,0.1122±0.015,0.4889±0.038,0.8878±0.015,0.7867±0.01,0.6453±0.024,0.0536±0.006,0.3547±0.024,0.9464±0.006,0.8003±0.004,0.8307±0.021,0.0152±0.002,0.1693±0.021,0.9848±0.002,0.7349±0.009,0.962±0.005,0.0033±0.001,0.038±0.005,0.9967±0.001,0.6993±0.004,0.9899±0.004,0.0001±0.0,0.0101±0.004,0.9999±0.0,0.8054±0.006,0.0074±0.001,0.2339±0.0,0.0872±0.007,0.4298±0.009,0.0197±0.002,0.3474±0.002,0.0124±0.003,0.2708±0.001,0.0083±0.001,0.2078±0.0,0.0114±0.001,0.1291±0.001
