methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.852±0.002,0.8643±0.009,0.8312±0.008,0.8645±0.018,0.8547±0.022,0.876±0.016,0.9479±0.033,0.9704±0.02,0.8921±0.06,0.9313±0.04,0.9404±0.013,0.9454±0.029,0.9503±0.022,0.0298±0.01,0.2928±0.006,0.7345±0.023,0.6498±0.127,0.0308±0.019,0.3502±0.127,0.9692±0.019,0.0338±0.008,0.301±0.007,0.7123±0.044,0.7628±0.097,0.0344±0.016,0.2372±0.097,0.9656±0.016,0.0358±0.013,0.2832±0.011,0.8312±0.008,0.0848±0.035,0.4606±0.091,0.0968±0.045,0.0714±0.028,0.4177±0.108,0.5256±0.073
resampling,0.8694±0.017,0.8813±0.015,0.8504±0.047,0.844±0.019,0.8368±0.025,0.8523±0.032,0.9399±0.017,0.967±0.023,0.8508±0.132,0.9089±0.058,0.916±0.01,0.9035±0.059,0.9168±0.058,0.0224±0.005,0.2778±0.019,0.7665±0.034,0.5949±0.022,0.0345±0.009,0.4051±0.022,0.9655±0.009,0.0257±0.007,0.2801±0.02,0.7031±0.142,0.75±0.038,0.0285±0.006,0.25±0.038,0.9715±0.006,0.0356±0.007,0.275±0.038,0.8422±0.034,0.1241±0.039,0.3613±0.115,0.1374±0.038,0.1092±0.047,0.308±0.095,0.4423±0.183
DomainInd,0.8663±0.013,0.8772±0.02,0.8493±0.012,0.858±0.02,0.8547±0.026,0.8619±0.02,0.9416±0.016,0.9779±0.02,0.8246±0.095,0.9012±0.045,0.9411±0.048,0.9339±0.018,0.9252±0.029,0.091±0.007,0.4296±0.034,0.7771±0.047,0.6709±0.17,0.0308±0.036,0.3291±0.17,0.9692±0.036,0.0955±0.01,0.4348±0.065,0.7102±0.055,0.7756±0.091,0.0227±0.015,0.2244±0.091,0.9773±0.015,0.0901±0.002,0.4234±0.017,0.8493±0.012,0.0987±0.035,0.4198±0.095,0.1088±0.035,0.0873±0.039,0.3502±0.081,0.5256±0.135
LAFTR,0.8648±0.012,0.8648±0.006,0.86±0.034,0.868±0.008,0.8502±0.013,0.8886±0.016,0.9475±0.018,0.9644±0.003,0.873±0.014,0.9187±0.008,0.9686±0.01,0.9242±0.041,0.9366±0.045,0.037±0.013,0.2935±0.023,0.7523±0.039,0.6709±0.089,0.0338±0.024,0.3291±0.089,0.9662±0.024,0.0395±0.011,0.3122±0.013,0.723±0.074,0.6731±0.126,0.0218±0.013,0.3269±0.126,0.9782±0.013,0.0427±0.012,0.2717±0.039,0.8471±0.012,0.0868±0.016,0.4224±0.042,0.1036±0.016,0.068±0.015,0.4093±0.09,0.4423±0.077
CFair,0.8624±0.01,0.8868±0.007,0.8356±0.023,0.8649±0.012,0.8668±0.006,0.8627±0.022,0.9304±0.039,0.9688±0.017,0.7352±0.093,0.852±0.054,0.8939±0.069,0.8955±0.063,0.8893±0.06,0.0451±0.027,0.2901±0.019,0.7851±0.009,0.616±0.248,0.0345±0.044,0.384±0.248,0.9655±0.044,0.0531±0.043,0.2926±0.022,0.6991±0.079,0.8141±0.124,0.0285±0.023,0.1859±0.124,0.9715±0.023,0.0492±0.015,0.2872±0.02,0.8356±0.023,0.0892±0.023,0.43±0.055,0.0991±0.01,0.0781±0.039,0.3249±0.019,0.5897±0.111
LNL,0.8658±0.004,0.8696±0.004,0.8603±0.007,0.8573±0.026,0.847±0.032,0.8693±0.023,0.9352±0.011,0.9658±0.018,0.8698±0.053,0.9178±0.019,0.9377±0.008,0.9021±0.047,0.9134±0.008,0.0335±0.013,0.2852±0.008,0.78±0.042,0.6371±0.07,0.0353±0.019,0.3629±0.07,0.9647±0.019,0.0375±0.009,0.2977±0.007,0.7321±0.025,0.75±0.069,0.0235±0.012,0.25±0.069,0.9765±0.012,0.0363±0.013,0.2707±0.01,0.8603±0.007,0.1062±0.046,0.3766±0.1,0.1224±0.051,0.0882±0.042,0.3249±0.082,0.4552±0.128
EnD,0.8692±0.011,0.8825±0.012,0.8496±0.01,0.834±0.019,0.8171±0.023,0.8537±0.014,0.8992±0.033,0.9354±0.024,0.798±0.088,0.8667±0.054,0.9056±0.022,0.8761±0.025,0.8603±0.013,0.2599±0.007,0.514±0.003,0.772±0.045,0.5865±0.057,0.0465±0.019,0.4135±0.057,0.9535±0.019,0.2631±0.011,0.5195±0.002,0.6937±0.05,0.7564±0.078,0.0277±0.022,0.2436±0.078,0.9723±0.022,0.2694±0.003,0.5075±0.003,0.8496±0.01,0.1399±0.034,0.3333±0.097,0.1704±0.044,0.1058±0.024,0.2532±0.127,0.4551±0.062
ODR,0.8636±0.016,0.8813±0.008,0.8354±0.028,0.8628±0.013,0.8547±0.018,0.8723±0.008,0.9427±0.018,0.9735±0.016,0.8625±0.061,0.918±0.032,0.9279±0.017,0.9221±0.045,0.9121±0.046,0.0496±0.005,0.3043±0.017,0.788±0.032,0.5992±0.095,0.042±0.019,0.4008±0.095,0.958±0.019,0.0514±0.009,0.3021±0.011,0.7071±0.013,0.7308±0.084,0.0294±0.015,0.2692±0.084,0.9706±0.015,0.0579±0.007,0.3068±0.024,0.8354±0.028,0.0896±0.031,0.4427±0.1,0.1021±0.038,0.0756±0.022,0.3882±0.103,0.5256±0.106
GroupDRO,0.8703±0.011,0.8772±0.005,0.8592±0.022,0.8683±0.022,0.856±0.024,0.8827±0.019,0.9594±0.025,0.9778±0.018,0.9435±0.023,0.9606±0.015,0.9181±0.051,0.9399±0.018,0.9414±0.017,0.0236±0.003,0.272±0.004,0.7693±0.034,0.5781±0.072,0.0285±0.012,0.4219±0.072,0.9715±0.012,0.0289±0.007,0.283±0.007,0.747±0.061,0.7372±0.087,0.0269±0.006,0.2628±0.087,0.9731±0.006,0.0298±0.008,0.2593±0.014,0.8582±0.02,0.0924±0.03,0.3842±0.047,0.1028±0.037,0.0806±0.025,0.3755±0.07,0.3974±0.029
SWAD,0.9144±0.012,0.9158±0.012,0.9114±0.013,0.8964±0.016,0.8878±0.018,0.9065±0.016,0.9493±0.008,0.9777±0.011,0.9146±0.025,0.9462±0.008,0.9427±0.018,0.9391±0.03,0.9444±0.032,0.0425±0.012,0.2529±0.013,0.8551±0.041,0.3797±0.055,0.0586±0.002,0.6203±0.055,0.9414±0.002,0.0497±0.01,0.2683±0.011,0.87±0.035,0.4744±0.095,0.0386±0.006,0.5256±0.095,0.9614±0.006,0.0421±0.008,0.235±0.019,0.9105±0.013,0.0638±0.021,0.3588±0.048,0.0743±0.025,0.0521±0.018,0.3249±0.039,0.4103±0.062
