methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.7654±0.024,0.7083±0.079,0.8314±0.034,0.7302±0.036,0.7333±0.029,0.7273±0.045,0.8273±0.028,0.8946±0.002,0.6333±0.115,0.764±0.058,0.8968±0.104,0.8015±0.11,0.6728±0.024,0.2014±0.051,0.7088±0.325,0.2764±0.24,0.75±0.433,0.0833±0.095,0.25±0.433,0.9167±0.095,0.1904±0.031,0.6382±0.121,0.4667±0.061,0.6±0.529,0.1373±0.189,0.4±0.529,0.8627±0.189,0.2355±0.06,0.773±0.526,0.7083±0.079,0.2626±0.035,0.2963±0.064,0.2083±0.036,0.3137±0.034,0.5±0.0,0.1333±0.115
resampling,0.6745±0.078,0.6458±0.033,0.7059±0.103,0.6429±0.086,0.65±0.05,0.6364±0.12,0.9258±0.041,0.9118±0.013,0.9167±0.029,0.9142±0.014,0.9002±0.032,0.8675±0.103,0.9107±0.017,0.3237±0.224,1.1093±0.556,0.2789±0.114,0.6667±0.577,0.2917±0.402,0.3333±0.577,0.7083±0.402,0.3176±0.232,0.9842±0.606,0.348±0.149,0.5333±0.462,0.3529±0.459,0.4667±0.462,0.6471±0.459,0.3505±0.205,1.2231±0.567,0.6388±0.044,0.3535±0.137,0.3704±0.128,0.3333±0.095,0.3726±0.18,0.4167±0.144,0.3333±0.115
DomainInd,0.6723±0.063,0.6354±0.092,0.6941±0.031,0.619±0.167,0.6333±0.161,0.6061±0.172,0.9±0.069,0.935±0.043,0.7167±0.076,0.8259±0.056,0.808±0.052,0.9061±0.057,0.8885±0.095,0.1564±0.031,0.5511±0.044,0.11±0.069,0.75±0.433,0.1458±0.095,0.25±0.433,0.8542±0.095,0.2334±0.04,0.5745±0.042,0.3716±0.08,0.6667±0.115,0.0784±0.09,0.3333±0.115,0.9216±0.09,0.1878±0.011,0.5298±0.056,0.6354±0.092,0.404±0.258,0.2963±0.17,0.3958±0.253,0.4118±0.27,0.25±0.25,0.3333±0.231
LAFTR,0.7486±0.024,0.7031±0.056,0.7686±0.024,0.627±0.05,0.5833±0.058,0.6667±0.069,0.9227±0.024,0.9289±0.066,0.75±0.0,0.8395±0.033,0.9205±0.07,0.8862±0.038,0.8755±0.119,0.1882±0.025,0.506±0.02,0.13±0.147,1.0±0.0,0.1042±0.095,0.0±0.0,0.8958±0.095,0.2657±0.018,0.5458±0.046,0.3067±0.046,0.8667±0.115,0.0784±0.09,0.1333±0.115,0.9216±0.09,0.1702±0.056,0.4699±0.004,0.7031±0.056,0.4444±0.063,0.1111±0.0,0.4583±0.072,0.4314±0.09,0.25±0.0,0.0±0.0
CFair,0.6678±0.15,0.6198±0.185,0.698±0.105,0.5635±0.243,0.55±0.304,0.5758±0.189,0.9136±0.045,0.9044±0.02,0.7833±0.153,0.8439±0.072,0.889±0.117,0.9118±0.013,0.9346±0.023,0.1731±0.036,0.5616±0.106,0.2033±0.129,1.0±0.0,0.0417±0.072,0.0±0.0,0.9583±0.072,0.1981±0.013,0.5662±0.118,0.3411±0.123,0.8±0.2,0.0196±0.034,0.2±0.2,0.9804±0.034,0.1814±0.029,0.5575±0.098,0.6198±0.185,0.4848±0.349,0.2593±0.17,0.5±0.38,0.4706±0.327,0.25±0.0,0.2667±0.306
LNL,0.5213±0.06,0.5469±0.047,0.5078±0.077,0.5952±0.234,0.6333±0.208,0.5606±0.258,0.9212±0.114,0.9203±0.083,0.75±0.218,0.8352±0.143,1.0±0.0,0.8907±0.111,0.8775±0.119,0.2109±0.004,13.1795±7.457,0.15±0.05,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.2001±0.039,12.0907±8.145,0.24±0.04,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.2208±0.031,14.1694±7.412,0.5078±0.077,0.3535±0.4,0.5926±0.39,0.3125±0.39,0.3921±0.413,0.5833±0.52,0.6±0.346
EnD,0.807±0.037,0.7812±0.047,0.8235±0.051,0.8016±0.05,0.8167±0.076,0.7879±0.026,0.8015±0.068,0.8676±0.035,0.6167±0.247,0.7422±0.132,0.8294±0.083,0.83±0.084,0.8289±0.13,0.2451±0.017,0.5784±0.011,0.545±0.048,0.5±0.0,0.1667±0.036,0.5±0.0,0.8333±0.036,0.271±0.037,0.5695±0.007,0.6027±0.067,0.2667±0.115,0.2745±0.09,0.7333±0.115,0.7255±0.09,0.2647±0.033,0.5864±0.016,0.7812±0.047,0.1515±0.091,0.3704±0.128,0.0833±0.095,0.2157±0.09,0.5833±0.144,0.2±0.2
ODR,0.7733±0.011,0.7656±0.041,0.7843±0.024,0.7302±0.036,0.7333±0.058,0.7273±0.045,0.8606±0.114,0.9154±0.067,0.6167±0.202,0.7661±0.121,0.9263±0.089,0.8779±0.052,0.7971±0.116,0.1353±0.063,0.4348±0.032,0.25±0.265,0.5833±0.382,0.1458±0.13,0.4167±0.382,0.8542±0.13,0.1527±0.059,0.4483±0.034,0.4089±0.078,0.4667±0.462,0.1765±0.156,0.5333±0.462,0.8235±0.156,0.1577±0.081,0.4225±0.051,0.7536±0.021,0.2727±0.061,0.2593±0.064,0.2292±0.036,0.3137±0.09,0.4167±0.144,0.1333±0.231
GroupDRO,0.7969±0.054,0.7917±0.055,0.8039±0.056,0.7619±0.063,0.7333±0.058,0.7879±0.095,0.8545±0.024,0.9449±0.046,0.55±0.26,0.7474±0.112,0.7714±0.084,0.7967±0.062,0.6942±0.051,0.1799±0.043,0.7881±0.287,0.4667±0.208,0.75±0.25,0.1458±0.072,0.25±0.25,0.8542±0.072,0.2234±0.054,0.7674±0.304,0.1971±0.157,0.3333±0.416,0.1373±0.122,0.6667±0.416,0.8627±0.122,0.1838±0.022,0.807±0.321,0.7917±0.055,0.2121±0.08,0.3333±0.0,0.1875±0.062,0.2353±0.102,0.5833±0.144,0.1333±0.115
SWAD,0.7632±0.029,0.6927±0.079,0.7922±0.024,0.7222±0.014,0.75±0.05,0.697±0.052,0.8773±0.101,0.8836±0.103,0.8667±0.144,0.8751±0.085,0.8642±0.038,0.8642±0.038,0.7826±0.141,0.2386±0.04,1.0869±0.014,0.3881±0.25,0.5833±0.144,0.1667±0.036,0.4167±0.144,0.8333±0.036,0.2329±0.047,1.0999±0.172,0.4±0.106,0.4±0.2,0.2549±0.034,0.6±0.2,0.7451±0.034,0.2482±0.067,1.0751±0.145,0.6924±0.078,0.2828±0.035,0.2593±0.064,0.2292±0.072,0.3333±0.068,0.3333±0.144,0.2±0.0
