methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4
baseline,0.8809±0.001,0.8872±0.009,0.7488±0.045,0.8642±0.002,0.8124±0.017,0.8869±0.001,0.8622±0.009,0.8807±0.002,0.9056±0.01,0.8359±0.001,0.9554±0.003,0.7836±0.009,0.0126±0.002,0.2253±0.0,0.7637±0.031,0.4556±0.107,0.0897±0.024,0.5444±0.107,0.9103±0.024,0.0711±0.013,0.3742±0.002,0.823±0.006,0.628±0.046,0.0417±0.006,0.372±0.046,0.9583±0.006,0.0331±0.009,0.3317±0.003,0.8326±0.015,0.8392±0.011,0.0116±0.001,0.1608±0.011,0.9884±0.001,0.0208±0.002,0.2607±0.001,0.7269±0.017,0.9632±0.004,0.002±0.001,0.0368±0.004,0.998±0.001,0.0063±0.002,0.2023±0.001,0.7518±0.03,0.9798±0.009,0.0006±0.0,0.0202±0.009,0.9994±0.0,0.0072±0.002,0.1233±0.002,0.8359±0.001,0.0814±0.014,0.3918±0.036,0.2756±0.072,0.1866±0.03,0.1305±0.016,0.0748±0.013,0.0374±0.004,0.1666±0.058,0.1913±0.035,0.3267±0.041,0.6077±0.032,0.7778±0.044
resampling,0.8654±0.006,0.8706±0.002,0.7488±0.019,0.7942±0.021,0.8003±0.004,0.8601±0.012,0.8438±0.004,0.8676±0.002,0.8863±0.002,0.8263±0.006,0.9442±0.002,0.8241±0.009,0.0133±0.0,0.2384±0.004,0.6124±0.078,0.6±0.173,0.1218±0.047,0.4±0.173,0.8782±0.047,0.1189±0.022,0.5174±0.015,0.7776±0.016,0.6494±0.121,0.0547±0.016,0.3506±0.121,0.9453±0.016,0.0522±0.011,0.377±0.013,0.8065±0.009,0.8001±0.066,0.0237±0.011,0.1999±0.066,0.9763±0.011,0.0192±0.001,0.2722±0.002,0.7149±0.021,0.9365±0.032,0.0059±0.004,0.0635±0.032,0.9941±0.004,0.0078±0.003,0.2076±0.002,0.698±0.032,0.9747±0.004,0.0013±0.0,0.0253±0.004,0.9987±0.0,0.0108±0.008,0.1285±0.004,0.7942±0.021,0.1016±0.006,0.3769±0.031,0.234±0.039,0.1895±0.009,0.1347±0.009,0.0802±0.006,0.0315±0.003,0.3111±0.051,0.2395±0.03,0.3049±0.029,0.547±0.046,0.7096±0.034
DomainInd,0.8778±0.0,0.8813±0.006,0.7139±0.016,0.8453±0.016,0.8097±0.007,0.8797±0.004,0.8558±0.007,0.8773±0.0,0.8982±0.007,0.8365±0.002,0.9524±0.003,0.8313±0.002,0.0758±0.004,0.625±0.057,0.7352±0.026,0.4778±0.107,0.1154±0.063,0.5222±0.107,0.8846±0.063,0.159±0.022,0.7438±0.145,0.832±0.017,0.6061±0.1,0.0607±0.017,0.3939±0.1,0.9393±0.017,0.1259±0.013,0.7878±0.062,0.8237±0.007,0.779±0.063,0.021±0.009,0.221±0.063,0.979±0.009,0.0915±0.005,0.696±0.07,0.7312±0.007,0.928±0.044,0.0073±0.004,0.072±0.044,0.9927±0.004,0.064±0.002,0.614±0.058,0.715±0.01,0.9571±0.032,0.0017±0.001,0.0429±0.032,0.9983±0.001,0.034±0.001,0.3869±0.024,0.8303±0.0,0.0905±0.01,0.3701±0.032,0.3366±0.033,0.194±0.012,0.1193±0.013,0.0659±0.011,0.0217±0.004,0.1111±0.051,0.1759±0.022,0.3163±0.03,0.5669±0.052,0.7449±0.024
LAFTR,0.8769±0.004,0.8807±0.003,0.7388±0.061,0.841±0.012,0.8132±0.015,0.8845±0.002,0.8555±0.005,0.8755±0.003,0.8959±0.01,0.8346±0.005,0.951±0.006,0.8359±0.007,0.0122±0.008,0.2284±0.003,0.6281±0.072,0.5444±0.117,0.0929±0.049,0.4556±0.117,0.9071±0.049,0.1093±0.021,0.3967±0.013,0.8353±0.002,0.5175±0.168,0.0766±0.029,0.4825±0.168,0.9234±0.029,0.0227±0.014,0.3301±0.006,0.83±0.009,0.7184±0.114,0.031±0.017,0.2816±0.114,0.969±0.017,0.0154±0.003,0.263±0.003,0.7327±0.015,0.9019±0.069,0.0092±0.009,0.0981±0.069,0.9908±0.009,0.0151±0.011,0.2058±0.005,0.7373±0.02,0.9697±0.02,0.0022±0.002,0.0303±0.02,0.9978±0.002,0.02±0.008,0.1296±0.003,0.8289±0.001,0.09±0.003,0.3799±0.012,0.2692±0.095,0.1863±0.029,0.1195±0.009,0.0674±0.014,0.0226±0.008,0.2334±0.058,0.189±0.041,0.3174±0.025,0.5799±0.035,0.7601±0.043
CFair,0.8685±0.004,0.8717±0.008,0.7687±0.02,0.8413±0.03,0.8269±0.004,0.8801±0.002,0.8589±0.005,0.8735±0.005,0.8759±0.012,0.8297±0.002,0.9243±0.016,0.8232±0.009,0.0166±0.009,0.2374±0.005,0.672±0.064,0.8±0.2,0.0256±0.015,0.2±0.2,0.9744±0.015,0.0944±0.026,0.4074±0.046,0.8276±0.017,0.8027±0.115,0.0252±0.017,0.1973±0.115,0.9748±0.017,0.0699±0.023,0.3624±0.02,0.8338±0.015,0.8585±0.082,0.0158±0.008,0.1415±0.082,0.9842±0.008,0.0285±0.011,0.2702±0.009,0.725±0.008,0.8832±0.017,0.0126±0.004,0.1168±0.017,0.9874±0.004,0.0185±0.002,0.2101±0.001,0.6772±0.015,0.9015±0.035,0.0079±0.002,0.0985±0.035,0.9921±0.002,0.0201±0.008,0.1356±0.003,0.8177±0.006,0.1006±0.012,0.3745±0.023,0.1987±0.011,0.1487±0.008,0.1149±0.007,0.0953±0.017,0.0545±0.02,0.3445±0.069,0.268±0.021,0.3219±0.022,0.4966±0.054,0.649±0.091
LNL,0.8493±0.006,0.8577±0.013,0.6667±0.057,0.8255±0.023,0.7701±0.012,0.8417±0.009,0.8246±0.01,0.8443±0.011,0.881±0.017,0.8071±0.002,0.9417±0.022,0.8138±0.012,0.0413±0.022,0.2594±0.009,0.6276±0.022,0.7444±0.329,0.0833±0.111,0.2556±0.329,0.9167±0.111,0.1233±0.037,0.4486±0.038,0.7181±0.018,0.7885±0.269,0.0396±0.057,0.2115±0.269,0.9604±0.057,0.0587±0.007,0.3878±0.006,0.7468±0.028,0.8884±0.154,0.0139±0.02,0.1116±0.154,0.9861±0.02,0.0421±0.022,0.298±0.009,0.673±0.022,0.9819±0.027,0.0029±0.004,0.0181±0.027,0.9971±0.004,0.0426±0.026,0.2282±0.012,0.6673±0.019,1.0±0.0,0.0002±0.0,0.0±0.0,0.9998±0.0,0.0464±0.023,0.1518±0.015,0.8052±0.0,0.113±0.017,0.4038±0.033,0.375±0.126,0.2296±0.03,0.153±0.01,0.0813±0.022,0.0315±0.028,0.1889±0.212,0.2311±0.059,0.3304±0.017,0.6077±0.055,0.7803±0.153
EnD,0.8504±0.01,0.8582±0.016,0.7761±0.013,0.8209±0.053,0.8166±0.006,0.8618±0.008,0.8419±0.012,0.8554±0.007,0.8602±0.022,0.8171±0.001,0.9196±0.024,0.8294±0.009,0.0433±0.01,0.2553±0.002,0.6967±0.041,0.5889±0.19,0.0737±0.015,0.4111±0.19,0.9263±0.015,0.0818±0.012,0.4395±0.08,0.8031±0.018,0.6399±0.076,0.0576±0.017,0.3601±0.076,0.9424±0.017,0.0334±0.015,0.3577±0.016,0.8075±0.005,0.704±0.079,0.0403±0.013,0.296±0.079,0.9597±0.013,0.0345±0.014,0.2833±0.003,0.7111±0.005,0.7993±0.039,0.0304±0.008,0.2007±0.039,0.9696±0.008,0.0692±0.007,0.2376±0.005,0.6913±0.003,0.8359±0.038,0.0128±0.003,0.1641±0.038,0.9872±0.003,0.0607±0.002,0.158±0.001,0.7984±0.033,0.1169±0.022,0.363±0.033,0.1923±0.025,0.1527±0.007,0.1353±0.018,0.1162±0.028,0.0618±0.027,0.3333±0.133,0.303±0.013,0.3152±0.033,0.4456±0.055,0.5834±0.077
ODR,0.8719±0.004,0.8812±0.004,0.7363±0.053,0.8387±0.054,0.8133±0.005,0.8739±0.007,0.8554±0.006,0.8702±0.003,0.8978±0.004,0.8283±0.006,0.95±0.005,0.8349±0.013,0.0157±0.007,0.233±0.003,0.6628±0.089,0.4333±0.115,0.1442±0.017,0.5667±0.115,0.8558±0.017,0.0871±0.007,0.398±0.044,0.8151±0.013,0.5882±0.138,0.068±0.024,0.4118±0.138,0.932±0.024,0.0298±0.013,0.3428±0.011,0.8054±0.011,0.7572±0.113,0.0253±0.013,0.2428±0.113,0.9747±0.013,0.0179±0.008,0.2686±0.003,0.7298±0.007,0.9178±0.039,0.0086±0.004,0.0822±0.039,0.9914±0.004,0.017±0.008,0.2085±0.003,0.7302±0.018,0.947±0.042,0.0029±0.001,0.053±0.042,0.9971±0.001,0.0238±0.004,0.131±0.005,0.8131±0.031,0.0872±0.007,0.4004±0.023,0.2949±0.058,0.1828±0.008,0.1151±0.011,0.0637±0.006,0.0236±0.006,0.1555±0.039,0.202±0.013,0.3481±0.031,0.6014±0.023,0.7601±0.056
GroupDRO,0.8497±0.007,0.8572±0.011,0.7264±0.016,0.7939±0.031,0.8003±0.009,0.8551±0.006,0.8425±0.007,0.8533±0.006,0.8656±0.015,0.8113±0.007,0.9142±0.014,0.8001±0.003,0.288±0.051,0.5557±0.075,0.618±0.087,0.1222±0.126,0.5673±0.1,0.8778±0.126,0.4327±0.1,0.3439±0.069,0.8129±0.101,0.7611±0.023,0.0737±0.045,0.3619±0.064,0.9263±0.045,0.6381±0.064,0.254±0.056,0.5944±0.078,0.7805±0.012,0.1253±0.038,0.3199±0.056,0.8747±0.038,0.6801±0.056,0.2806±0.05,0.5704±0.076,0.6895±0.01,0.2166±0.057,0.2983±0.058,0.7834±0.057,0.7017±0.058,0.304±0.05,0.5601±0.075,0.6509±0.02,0.2854±0.069,0.2412±0.058,0.7146±0.069,0.7588±0.058,0.2897±0.051,0.4791±0.075,0.785±0.017,0.1155±0.014,0.3853±0.018,0.2724±0.02,0.1801±0.011,0.1312±0.01,0.106±0.017,0.064±0.019,0.2778±0.069,0.2763±0.006,0.3389±0.021,0.5017±0.023,0.6717±0.114
SWAD,0.8881±0.001,0.888±0.002,0.7736±0.016,0.8884±0.005,0.8195±0.002,0.8934±0.001,0.8644±0.003,0.8888±0.001,0.9023±0.003,0.8457±0.002,0.9566±0.001,0.8502±0.0,0.0095±0.001,0.2193±0.0,0.7914±0.015,0.3556±0.051,0.1122±0.015,0.6444±0.051,0.8878±0.015,0.0677±0.008,0.3472±0.006,0.8537±0.01,0.3886±0.008,0.0929±0.004,0.6114±0.008,0.9071±0.004,0.015±0.002,0.319±0.002,0.8529±0.004,0.5883±0.005,0.0409±0.003,0.4117±0.005,0.9591±0.003,0.0107±0.002,0.2509±0.001,0.7459±0.007,0.8662±0.018,0.0122±0.002,0.1338±0.018,0.9878±0.002,0.0123±0.001,0.2005±0.0,0.7776±0.009,0.9242±0.015,0.003±0.001,0.0758±0.015,0.997±0.001,0.0071±0.001,0.121±0.001,0.8457±0.002,0.0844±0.005,0.3583±0.021,0.25±0.019,0.1836±0.005,0.1151±0.006,0.0599±0.006,0.0172±0.003,0.1444±0.019,0.1687±0.011,0.2772±0.012,0.5873±0.038,0.7475±0.061
resamplingSWAD,0.8499±0.003,0.8481±0.002,0.7637±0.011,0.7885±0.024,0.8073±0.003,0.8606±0.005,0.8319±0.002,0.8525±0.003,0.8527±0.003,0.8109±0.003,0.9025±0.007,0.8103±0.009,0.3167±0.005,1.0599±0.073,0.62±0.037,0.1556±0.038,0.4231±0.035,0.8444±0.038,0.5769±0.035,0.3127±0.014,1.4701±0.106,0.7883±0.011,0.0713±0.005,0.3581±0.005,0.9287±0.005,0.6419±0.005,0.2764±0.002,1.1776±0.091,0.7973±0.012,0.0828±0.005,0.3745±0.002,0.9172±0.005,0.6255±0.002,0.3271±0.002,1.0998±0.091,0.6933±0.015,0.1559±0.004,0.364±0.002,0.8441±0.004,0.636±0.002,0.3394±0.004,1.0811±0.082,0.672±0.021,0.2197±0.038,0.2808±0.016,0.7803±0.038,0.7192±0.016,0.2775±0.019,0.833±0.029,0.7885±0.024,0.1289±0.004,0.3571±0.021,0.1987±0.006,0.1807±0.011,0.1448±0.003,0.1226±0.004,0.0806±0.008,0.3667±0.067,0.2394±0.03,0.3296±0.021,0.4671±0.021,0.553±0.026
