methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test acc-group_5,Test auc-group_5,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test tpr_at_tnr_5,Test fnr_at_thres-group_5,Test fpr_at_thres-group_5,Test recall_at_thres-group_5,Test specificity_at_thres-group_5,Test ECE-group_5,Test BCE-group_5,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FPR-group_5,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Test FNR-group_5
baseline,0.896±0.006,0.9047±0.013,0.9126±0.009,0.8945±0.011,0.8932±0.009,0.8888±0.005,0.8942±0.014,0.8961±0.011,0.9134±0.019,0.9071±0.006,0.9282±0.017,0.8975±0.025,0.9204±0.031,0.8915±0.034,0.0546±0.045,0.2772±0.054,0.8421±0.031,0.4444±0.116,0.0452±0.026,0.5556±0.116,0.9548±0.026,0.0652±0.036,0.2745±0.057,0.8279±0.024,0.4689±0.165,0.0446±0.034,0.5311±0.165,0.9554±0.034,0.0578±0.025,0.316±0.033,0.8494±0.02,0.4133±0.15,0.0511±0.042,0.5867±0.15,0.9489±0.042,0.0632±0.045,0.2918±0.067,0.8359±0.015,0.5054±0.166,0.0379±0.045,0.4946±0.166,0.9621±0.045,0.0658±0.051,0.241±0.063,0.8176±0.058,0.6667±0.115,0.0224±0.033,0.3333±0.115,0.9776±0.033,0.072±0.037,0.2078±0.07,0.6613±0.091,0.8333±0.289,0.0423±0.033,0.1667±0.289,0.9577±0.033,0.1168±0.065,0.2321±0.077,0.8742±0.012,0.0537±0.017,0.3496±0.021,0.0518±0.008,0.0539±0.015,0.0709±0.021,0.0474±0.026,0.0348±0.019,0.0476±0.032,0.3162±0.015,0.337±0.023,0.3067±0.046,0.3979±0.037,0.5667±0.058,0.5833±0.144
resampling,0.9±0.03,0.896±0.029,0.8954±0.019,0.8944±0.027,0.8782±0.039,0.8833±0.018,0.8932±0.047,0.8948±0.054,0.9085±0.038,0.9457±0.044,0.9375±0.012,0.9075±0.05,0.9005±0.009,0.9299±0.005,0.1102±0.108,0.3601±0.164,0.8739±0.033,0.2564±0.092,0.1129±0.086,0.7436±0.092,0.8871±0.086,0.117±0.101,0.3866±0.132,0.8206±0.032,0.2784±0.093,0.1111±0.114,0.7216±0.093,0.8889±0.114,0.1172±0.09,0.418±0.134,0.8448±0.089,0.2467±0.042,0.1173±0.124,0.7533±0.042,0.8827±0.124,0.1156±0.102,0.3736±0.209,0.9328±0.065,0.1828±0.099,0.1152±0.119,0.8172±0.099,0.8848±0.119,0.1147±0.119,0.2779±0.216,0.7955±0.144,0.3333±0.058,0.0995±0.109,0.6667±0.058,0.9005±0.109,0.1106±0.12,0.2596±0.165,0.7666±0.004,0.3333±0.289,0.1217±0.087,0.6667±0.289,0.8783±0.087,0.1429±0.104,0.312±0.142,0.8735±0.033,0.0729±0.026,0.2948±0.054,0.0797±0.017,0.0758±0.035,0.0778±0.041,0.0718±0.033,0.0398±0.011,0.0794±0.0,0.265±0.03,0.3223±0.066,0.2733±0.081,0.2473±0.081,0.3667±0.115,0.4167±0.144
DomainInd,0.8788±0.026,0.9024±0.015,0.8966±0.021,0.8722±0.013,0.8768±0.026,0.8653±0.036,0.907±0.012,0.8707±0.017,0.9254±0.009,0.913±0.053,0.9329±0.004,0.9178±0.031,0.9303±0.009,0.9358±0.027,0.1276±0.054,1.1787±0.309,0.8089±0.047,0.2479±0.121,0.1833±0.13,0.7521±0.121,0.8167±0.13,0.1742±0.087,1.6516±0.597,0.7565±0.105,0.3553±0.067,0.1389±0.11,0.6447±0.067,0.8611±0.11,0.1558±0.057,1.197±0.301,0.7837±0.038,0.3±0.035,0.1034±0.067,0.7±0.035,0.8966±0.067,0.1242±0.048,1.5213±0.575,0.853±0.115,0.3333±0.049,0.0772±0.057,0.6667±0.049,0.9228±0.057,0.0994±0.048,0.4976±0.18,0.8648±0.103,0.4667±0.058,0.0498±0.03,0.5333±0.058,0.9502±0.03,0.0763±0.025,0.8073±0.419,0.5608±0.199,0.3333±0.144,0.0899±0.06,0.6667±0.144,0.9101±0.06,0.0993±0.035,0.8883±0.804,0.8589±0.031,0.0474±0.012,0.4044±0.043,0.065±0.024,0.0556±0.023,0.0488±0.013,0.0258±0.002,0.0299±0.007,0.0423±0.018,0.3504±0.053,0.4176±0.04,0.3467±0.042,0.4624±0.067,0.5667±0.058,0.5±0.433
LAFTR,0.9004±0.011,0.9037±0.006,0.9069±0.01,0.8722±0.015,0.8877±0.013,0.8858±0.017,0.9011±0.01,0.9156±0.025,0.9182±0.009,0.9451±0.013,0.9259±0.021,0.9035±0.072,0.9104±0.015,0.8651±0.082,0.0507±0.025,0.293±0.062,0.7755±0.022,0.5983±0.09,0.0186±0.008,0.4017±0.09,0.9814±0.008,0.0619±0.017,0.31±0.045,0.8099±0.026,0.5311±0.115,0.0194±0.009,0.4689±0.115,0.9806±0.009,0.0795±0.026,0.3882±0.099,0.871±0.054,0.5533±0.13,0.0232±0.011,0.4467±0.13,0.9768±0.011,0.0579±0.023,0.2849±0.055,0.935±0.02,0.4839±0.141,0.019±0.01,0.5161±0.141,0.981±0.01,0.0357±0.023,0.1975±0.046,0.8302±0.08,0.5±0.173,0.0249±0.019,0.5±0.173,0.9751±0.019,0.039±0.007,0.1818±0.064,0.6199±0.181,0.75±0.0,0.0212±0.009,0.25±0.0,0.9788±0.009,0.0665±0.015,0.2011±0.066,0.8365±0.056,0.0542±0.01,0.3541±0.048,0.0491±0.01,0.0505±0.005,0.0604±0.013,0.0556±0.021,0.0547±0.03,0.0635±0.042,0.3761±0.015,0.381±0.055,0.32±0.035,0.2903±0.116,0.3333±0.153,0.5±0.433
CFair,0.8969±0.005,0.9028±0.002,0.8943±0.013,0.8625±0.006,0.883±0.009,0.8928±0.01,0.907±0.007,0.9165±0.009,0.9146±0.006,0.9237±0.013,0.9398±0.011,0.8803±0.049,0.9353±0.009,0.9299±0.032,0.0255±0.005,0.2474±0.0,0.8064±0.04,0.4103±0.112,0.0465±0.014,0.5897±0.112,0.9535±0.014,0.0435±0.012,0.2713±0.02,0.8402±0.037,0.4615±0.088,0.0345±0.017,0.5385±0.088,0.9655±0.017,0.0387±0.01,0.2994±0.017,0.8711±0.022,0.38±0.106,0.0337±0.016,0.62±0.106,0.9663±0.016,0.033±0.009,0.225±0.003,0.8696±0.03,0.6129±0.097,0.019±0.006,0.3871±0.097,0.981±0.006,0.0351±0.004,0.2164±0.008,0.7454±0.116,0.6±0.1,0.0199±0.011,0.4±0.1,0.9801±0.011,0.0414±0.026,0.1784±0.008,0.7738±0.004,0.5833±0.144,0.0212±0.018,0.4167±0.144,0.9788±0.018,0.0568±0.021,0.1548±0.008,0.8545±0.013,0.061±0.011,0.3185±0.054,0.0784±0.022,0.0732±0.018,0.0604±0.013,0.0474±0.018,0.0298±0.013,0.037±0.018,0.2821±0.068,0.3077±0.048,0.28±0.04,0.3871±0.116,0.4667±0.058,0.5±0.25
LNL,0.9055±0.01,0.9032±0.011,0.8805±0.026,0.8664±0.024,0.8912±0.007,0.9072±0.012,0.907±0.013,0.9214±0.003,0.9122±0.014,0.91±0.018,0.9421±0.017,0.8836±0.046,0.9502±0.023,0.9352±0.044,0.0406±0.009,0.2619±0.025,0.8015±0.064,0.4957±0.03,0.0478±0.011,0.5043±0.03,0.9522±0.011,0.0571±0.004,0.3007±0.023,0.8483±0.012,0.4103±0.061,0.0345±0.014,0.5897±0.061,0.9655±0.014,0.0534±0.01,0.3005±0.025,0.8832±0.012,0.4067±0.095,0.0325±0.011,0.5933±0.095,0.9675±0.011,0.0459±0.008,0.2495±0.008,0.863±0.049,0.5591±0.159,0.0217±0.012,0.4409±0.159,0.9783±0.012,0.0475±0.02,0.2393±0.048,0.7453±0.141,0.5667±0.058,0.0124±0.004,0.4333±0.058,0.9876±0.004,0.0463±0.005,0.1907±0.04,0.578±0.016,0.6667±0.144,0.0159±0.016,0.3333±0.144,0.9841±0.016,0.0473±0.005,0.1232±0.023,0.8547±0.028,0.0586±0.021,0.3304±0.055,0.0783±0.042,0.0665±0.02,0.0581±0.02,0.0515±0.033,0.0249±0.017,0.0317±0.032,0.3846±0.077,0.293±0.052,0.2933±0.031,0.3763±0.159,0.5±0.1,0.3333±0.144
EnD,0.8582±0.004,0.8847±0.013,0.8805±0.01,0.8319±0.008,0.8494±0.032,0.8443±0.015,0.8783±0.011,0.8778±0.022,0.9218±0.004,0.9175±0.012,0.9306±0.007,0.8182±0.028,0.9403±0.015,0.8029±0.12,0.318±0.002,0.566±0.014,0.7777±0.008,0.8376±0.281,0.0159±0.028,0.1624±0.281,0.9841±0.028,0.3146±0.008,0.5664±0.014,0.7715±0.025,0.8168±0.317,0.0126±0.022,0.1832±0.317,0.9874±0.022,0.2955±0.012,0.5818±0.016,0.8178±0.022,0.8133±0.323,0.0128±0.022,0.1867±0.323,0.9872±0.022,0.3307±0.011,0.5674±0.013,0.8895±0.017,0.7957±0.354,0.0122±0.021,0.2043±0.354,0.9878±0.021,0.3439±0.007,0.5535±0.016,0.6973±0.056,0.9±0.173,0.01±0.017,0.1±0.173,0.99±0.017,0.3508±0.01,0.5441±0.014,0.5673±0.204,0.8333±0.289,0.0053±0.009,0.1667±0.289,0.9947±0.009,0.3713±0.011,0.5404±0.013,0.7649±0.055,0.0792±0.019,0.3363±0.022,0.0863±0.018,0.112±0.035,0.0929±0.023,0.0461±0.002,0.0249±0.009,0.0265±0.018,0.3334±0.044,0.3187±0.019,0.2867±0.064,0.3333±0.049,0.6667±0.058,0.5833±0.382
ODR,0.8946±0.028,0.8951±0.016,0.9092±0.014,0.9058±0.026,0.87±0.021,0.8804±0.025,0.8833±0.017,0.892±0.03,0.9146±0.008,0.9189±0.024,0.9282±0.011,0.852±0.071,0.9254±0.039,0.9087±0.065,0.0372±0.003,0.2653±0.025,0.836±0.055,0.6752±0.157,0.0093±0.01,0.3248±0.157,0.9907±0.01,0.0391±0.009,0.2413±0.027,0.7926±0.056,0.7033±0.127,0.016±0.012,0.2967±0.127,0.984±0.012,0.0656±0.009,0.3427±0.024,0.8315±0.038,0.6667±0.162,0.0163±0.005,0.3333±0.162,0.9837±0.005,0.0481±0.012,0.2741±0.027,0.8339±0.1,0.7634±0.178,0.0027±0.005,0.2366±0.178,0.9973±0.005,0.0476±0.0,0.2116±0.024,0.6991±0.142,0.8±0.2,0.01±0.004,0.2±0.2,0.99±0.004,0.0407±0.003,0.1862±0.031,0.6808±0.093,0.9167±0.144,0.0053±0.009,0.0833±0.144,0.9947±0.009,0.0727±0.019,0.1544±0.041,0.8495±0.069,0.0658±0.008,0.3437±0.062,0.0584±0.015,0.0766±0.015,0.0836±0.013,0.0528±0.008,0.0398±0.004,0.0529±0.009,0.2992±0.015,0.3627±0.048,0.3067±0.099,0.3441±0.049,0.5±0.2,0.4167±0.52
GroupDRO,0.9198±0.014,0.907±0.019,0.8931±0.021,0.912±0.017,0.8905±0.023,0.8997±0.013,0.9041±0.026,0.9161±0.027,0.9254±0.011,0.9568±0.012,0.9514±0.018,0.9493±0.014,0.9303±0.009,0.9497±0.012,0.0594±0.025,0.2775±0.034,0.8945±0.023,0.2991±0.074,0.085±0.048,0.7009±0.074,0.915±0.048,0.0878±0.026,0.3286±0.034,0.8509±0.026,0.326±0.055,0.0724±0.05,0.674±0.055,0.9276±0.05,0.0688±0.019,0.3442±0.058,0.8812±0.03,0.2733±0.012,0.0674±0.04,0.7267±0.012,0.9326±0.04,0.0624±0.025,0.2792±0.045,0.9641±0.006,0.2903±0.032,0.0501±0.035,0.7097±0.032,0.9499±0.035,0.0585±0.029,0.1868±0.041,0.8789±0.051,0.4±0.1,0.0274±0.011,0.6±0.1,0.9726±0.011,0.0432±0.013,0.1554±0.019,0.706±0.116,0.5±0.0,0.0317±0.016,0.5±0.0,0.9683±0.016,0.0588±0.014,0.2007±0.018,0.8997±0.013,0.0625±0.018,0.28±0.046,0.0837±0.029,0.0682±0.024,0.0708±0.022,0.0488±0.004,0.0249±0.011,0.037±0.009,0.2564±0.068,0.2894±0.028,0.24±0.053,0.2796±0.067,0.3667±0.153,0.5833±0.144
SWAD,0.9331±0.01,0.9253±0.003,0.9092±0.005,0.9094±0.006,0.9124±0.008,0.921±0.009,0.9258±0.005,0.938±0.014,0.9471±0.002,0.9769±0.008,0.956±0.004,0.9301±0.013,0.9303±0.031,0.963±0.02,0.0423±0.007,0.2493±0.014,0.8675±0.024,0.3761±0.09,0.0398±0.008,0.6239±0.09,0.9602±0.008,0.0628±0.014,0.3119±0.04,0.8712±0.02,0.3553±0.032,0.0253±0.003,0.6447±0.032,0.9747±0.003,0.0592±0.008,0.3279±0.019,0.9197±0.018,0.2733±0.058,0.0325±0.005,0.7267±0.058,0.9675±0.005,0.0456±0.003,0.2545±0.037,0.9486±0.038,0.3118±0.067,0.0217±0.008,0.6882±0.067,0.9783±0.008,0.0308±0.0,0.1234±0.005,0.8399±0.034,0.2667±0.115,0.0199±0.004,0.7333±0.115,0.9801±0.004,0.0241±0.002,0.1407±0.005,0.7103±0.125,0.5±0.25,0.037±0.009,0.5±0.25,0.963±0.009,0.0584±0.019,0.1339±0.043,0.9094±0.006,0.052±0.011,0.2133±0.055,0.0651±0.016,0.0522±0.012,0.0546±0.011,0.0447±0.008,0.0324±0.004,0.0582±0.024,0.2564±0.089,0.2417±0.05,0.1867±0.083,0.1183±0.049,0.2±0.0,0.25±0.25
