methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.9024±0.07,0.9342±0.03,0.8698±0.05,0.8187±0.09,0.8387±0.06,0.7949±0.12,0.7399±0.17,0.881±0.04,0.9439±0.08,0.9124±0.04,0.8835±0.08,0.8717±0.03,0.9412±0.02,0.1515±0.06,0.4308±0.17,0.8456±0.11,0.3333±0.2,0.0556±0.1,0.6667±0.2,0.9444±0.1,0.2152±0.08,0.5171±0.28,0.7222±0.09,0.2667±0.12,0.0794±0.1,0.7333±0.12,0.9206±0.1,0.1385±0.04,0.3279±0.11,0.8698±0.05,0.1919±0.11,0.1667±0.07,0.1667±0.08,0.2063±0.15,0.1579±0.09,0.2±0.0
resampling,0.9251±0.02,0.9444±0.02,0.9079±0.1,0.8363±0.02,0.8065±0.0,0.8718±0.04,0.7423±0.09,0.9325±0.05,0.9053±0.1,0.9189±0.03,,,,,,,,,,,,,,,,,,,,,0.1313±0.05,0.2083±0.04,0.1389±0.05,0.127±0.07,0.2281±0.03,0.1333±0.12
DomainInd,0.8489±0.05,0.8977±0.02,0.8921±0.09,0.8129±0.04,0.7634±0.04,0.8718±0.04,0.8714±0.05,0.9008±0.01,0.7649±0.19,0.8329±0.1,,,,,,,,,,,,,,,,,,,,,0.0909±0.05,0.3194±0.09,0.0278±0.05,0.127±0.06,0.3684±0.05,0.1333±0.23
LAFTR,0.8994±0.06,0.9254±0.05,0.9206±0.05,0.8363±0.05,0.8172±0.07,0.859±0.04,0.7146±0.14,0.9524±0.04,0.786±0.06,0.8692±0.03,,,,,,,,,,,,,,,,,,,,,0.1111±0.11,0.2361±0.17,0.1111±0.1,0.1111±0.12,0.2281±0.16,0.2667±0.31
CFair,0.9407±0.02,0.9708±0.01,0.8889±0.03,0.8772±0.03,0.871±0.0,0.8846±0.07,0.7039±0.09,0.9048±0.04,0.9684±0.02,0.9366±0.01,,,,,,,,,,,,,,,,,,,,,0.0808±0.05,0.1806±0.02,0.0555±0.05,0.0953±0.08,0.1754±0.03,0.2±0.0
LNL,0.8708±0.03,0.8757±0.03,0.9238±0.07,0.8187±0.03,0.7849±0.05,0.859±0.12,0.6609±0.01,0.8889±0.09,0.8596±0.14,0.8743±0.04,0.7539±0.11,0.8506±0.06,0.8831±0.03,0.1891±0.02,0.5465±0.15,0.6982±0.05,0.3509±0.03,0.0833±0.08,0.6491±0.03,0.9167±0.08,0.2634±0.01,0.7254±0.19,0.92±0.14,0.5333±0.5,0.0476±0.05,0.4667±0.5,0.9524±0.05,0.1599±0.03,0.3332±0.11,0.8605±0.01,0.1515±0.09,0.2222±0.06,0.2222±0.05,0.1111±0.12,0.2105±0.11,0.2667±0.12
EnD,0.7761±0.07,0.8553±0.02,0.7143±0.08,0.6784±0.12,0.7634±0.1,0.5769±0.17,0.7659±0.17,0.9365±0.1,0.7018±0.22,0.8191±0.09,0.94±0.06,0.8464±0.12,0.7766±0.12,0.1633±0.07,0.5885±0.07,0.7053±0.04,0.6491±0.31,0.0833±0.14,0.3509±0.31,0.9167±0.14,0.2842±0.04,0.6557±0.15,0.5±0.09,0.7333±0.23,0.0794±0.1,0.2667±0.23,0.9206±0.1,0.2058±0.0,0.5085±0.06,0.7143±0.08,0.4242±0.24,0.1806±0.06,0.3889±0.17,0.4444±0.28,0.1403±0.08,0.3333±0.31
ODR,0.8897±0.02,0.9269±0.04,0.8317±0.09,0.8187±0.02,0.828±0.05,0.8077±0.1,0.7849±0.1,0.8849±0.11,0.8421±0.1,0.8635±0.04,0.8737±0.06,0.884±0.03,0.8593±0.03,0.1268±0.02,0.4579±0.04,0.8614±0.07,0.2807±0.08,0.0833±0.08,0.7193±0.08,0.9167±0.08,0.2018±0.02,0.4803±0.1,0.4723±0.14,0.2667±0.23,0.127±0.05,0.7333±0.23,0.873±0.05,0.1772±0.03,0.4311±0.03,0.8145±0.06,0.1818±0.08,0.1806±0.09,0.1389±0.13,0.2063±0.1,0.193±0.12,0.1333±0.12
GroupDRO,0.8396±0.01,0.8991±0.05,0.727±0.05,0.807±0.02,0.8172±0.05,0.7949±0.1,0.6977±0.09,0.9008±0.1,0.7123±0.05,0.8065±0.03,0.8649±0.08,0.8602±0.03,0.8223±0.15,,,0.7766±0.06,0.2456±0.22,0.2222±0.24,0.7544±0.22,0.7778±0.24,,,0.55±0.1,0.3333±0.31,0.3492±0.52,0.6667±0.31,0.6508±0.52,,,0.727±0.05,0.1111±0.09,0.3056±0.09,0.0833±0.0,0.127±0.15,0.2456±0.08,0.5333±0.12
SWAD,0.8598±0.03,0.8918±0.01,0.819±0.1,0.8187±0.02,0.7527±0.05,0.8974±0.02,0.7581±0.04,0.9921±0.01,0.8456±0.07,0.9188±0.04,0.9121±0.04,0.9207±0.04,0.8171±0.04,,,0.7632±0.06,0.2982±0.03,0.1667±0.08,0.7018±0.03,0.8333±0.08,,,0.5867±0.03,0.3333±0.12,0.2222±0.07,0.6667±0.12,0.7778±0.07,,,0.8111±0.09,0.0505±0.09,0.3611±0.17,0.0556±0.1,0.0476±0.08,0.3684±0.14,0.3333±0.31
resamplingSWAD,0.8497±0.03,0.9123±0.01,0.8063±0.05,0.8012±0.05,0.8172±0.04,0.7821±0.09,0.7874±0.13,0.8929±0.08,0.8351±0.07,0.864±0.04,0.8508±0.1,0.8978±0.08,0.8549±0.06,,,0.8246±0.03,0.2982±0.16,0.0556±0.05,0.7018±0.16,0.9444±0.05,,,0.64±0.08,0.3333±0.12,0.2698±0.27,0.6667±0.12,0.7302±0.27,,,0.8063±0.05,0.1515±0.1,0.2639±0.05,0.0833±0.08,0.1905±0.13,0.2456±0.08,0.3333±0.12
