methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc
baseline,0.8136±0.01,0.8254±0.02,0.7852±0.03,0.8129±0.01,0.8596±0.02,0.7193±0.03,0.9649±0.02,0.9676±0.03,0.8429±0.05,0.9052±0.04,0.0505±0.05,0.375±0.04,0.0417±0.04,0.0741±0.06,0.3095±0.04,0.4667±0.06,,,,,,,,,,,,,,,,,,,,
resampling,0.9217±0.02,0.9484±0.03,0.8852±0.08,0.8538±0.02,0.8684±0.03,0.8246±0.08,0.9211±0.07,0.9352±0.06,0.8476±0.07,0.8914±0.05,0.1111±0.1,0.1944±0.17,0.1111±0.1,0.1111±0.11,0.1667±0.23,0.2333±0.12,,,,,,,,,,,,,,,,,,,,
DomainInd,0.8481±0.03,0.8631±0.02,0.7593±0.02,0.731±0.03,0.7632±0.03,0.6667±0.03,0.8158±0.12,0.7731±0.08,0.8905±0.09,0.8318±0.04,0.3535±0.09,0.1528±0.06,0.2917±0.11,0.5185±0.06,0.1429±0.12,0.1667±0.06,,,,,,,,,,,,,,,,,,,,
LAFTR,0.8687±0.01,0.876±0.04,0.8407±0.02,0.807±0.02,0.7982±0.02,0.8246±0.03,0.9386±0.08,0.9213±0.06,0.9286±0.05,0.9249±0.01,0.1616±0.06,0.2361±0.06,0.1805±0.05,0.1111±0.11,0.2381±0.04,0.2333±0.12,0.8865±0.05,0.9462±0.02,0.8383±0.1,0.223±0.04,0.6214±0.08,0.8183±0.07,0.4762±0.08,0.0833±0.04,0.5238±0.08,0.9167±0.04,0.1926±0.02,0.5318±0.04,0.7367±0.12,0.6±0.1,0.0741±0.06,0.4±0.1,0.9259±0.06,0.2989±0.07,0.8005±0.28,0.8316±0.01
CFair,0.8182±0.03,0.7897±0.04,0.837±0.08,0.7368±0.05,0.7632±0.09,0.6842±0.05,0.8158±0.14,0.8241±0.22,0.9095±0.02,0.8668±0.11,0.2424±0.18,0.2917±0.15,0.1945±0.2,0.3704±0.23,0.3095±0.11,0.2667±0.21,,,,,,,,,,,,,,,,,,,,
LNL,0.6675±0.11,0.7212±0.09,0.6963±0.05,0.5789±0.12,0.5088±0.14,0.7193±0.06,0.7544±0.24,0.6852±0.38,0.7857±0.11,0.7354±0.23,0.6364±0.14,0.125±0.08,0.7222±0.21,0.4074±0.23,0.0952±0.11,0.1667±0.21,0.9058±0.1,0.8237±0.14,0.6614±0.31,0.1627±0.08,0.7118±0.13,0.5286±0.14,0.7143±0.26,0.0417±0.04,0.2857±0.26,0.9583±0.04,0.1911±0.03,0.6603±0.11,0.4967±0.17,0.8333±0.15,0.1111±0.11,0.1667±0.15,0.8889±0.11,0.3363±0.07,0.8147±0.16,0.6787±0.07
EnD,0.8476±0.02,0.8482±0.06,0.8667±0.03,0.7895±0.08,0.7982±0.1,0.7719±0.03,0.9035±0.11,0.8889±0.15,0.8333±0.13,0.8611±0.14,0.1919±0.21,0.2361±0.13,0.2222±0.25,0.1111±0.11,0.1667±0.18,0.3333±0.06,0.8755±0.14,0.8683±0.02,0.8048±0.1,0.1777±0.02,0.5138±0.05,0.7643±0.11,0.2381±0.15,0.1944±0.24,0.7619±0.15,0.8056±0.24,0.1876±0.04,0.513±0.06,0.6856±0.23,0.3667±0.06,0.0741±0.13,0.6333±0.06,0.9259±0.13,0.1953±0.04,0.5153±0.02,0.8244±0.04
ODR,0.899±0.01,0.9276±0.03,0.8296±0.04,0.8363±0.02,0.8772±0.02,0.7544±0.03,0.8947±0.07,0.8935±0.06,0.881±0.1,0.8872±0.04,0.0909±0.1,0.2639±0.13,0.0695±0.09,0.1481±0.17,0.2143±0.12,0.3333±0.15,0.9434±0.02,0.8946±0.04,0.869±0.04,0.1732±0.02,0.6988±0.12,0.7705±0.07,0.3571±0.07,0.0±0.0,0.6429±0.07,1.0±0.0,0.1371±0.02,0.5341±0.04,0.7033±0.1,0.4333±0.06,0.037±0.06,0.5667±0.06,0.963±0.06,0.2542±0.04,1.0281±0.3,0.8296±0.04
GroupDRO,0.9205±0.03,0.9296±0.04,0.9074±0.04,0.8246±0.06,0.7982±0.04,0.8772±0.12,0.886±0.02,0.875±0.01,0.9048±0.06,0.8899±0.04,0.2222±0.14,0.1111±0.05,0.2361±0.1,0.1852±0.23,0.1429±0.07,0.0667±0.06,0.9222±0.04,0.9155±0.06,0.8798±0.05,0.1561±0.05,0.3818±0.08,0.8778±0.1,0.1667±0.18,0.1944±0.02,0.8333±0.18,0.8056±0.02,0.1562±0.03,0.3825±0.09,0.5983±0.18,0.2667±0.15,0.1481±0.06,0.7333±0.15,0.8519±0.06,0.1939±0.02,0.3804±0.05,0.9063±0.04
SWAD,0.9133±0.01,0.9474±0.01,0.8815±0.02,0.8304±0.01,0.8421±0.03,0.807±0.03,0.8772±0.09,0.8889±0.05,0.9619±0.02,0.9254±0.03,0.1515±0.08,0.1944±0.09,0.1389±0.09,0.1852±0.13,0.1905±0.08,0.2±0.1,0.937±0.04,0.8803±0.06,0.8922±0.06,,,0.9103±0.12,0.2619±0.04,0.0972±0.02,0.7381±0.04,0.9028±0.02,,,0.7067±0.11,0.3±0.0,0.1852±0.06,0.7±0.0,0.8148±0.06,,,0.8815±0.02
resamplingSWAD,0.9087±0.01,0.9177±0.01,0.8926±0.04,0.7895±0.02,0.807±0.02,0.7544±0.06,0.9123±0.04,0.8935±0.08,0.9143±0.07,0.9039±0.07,0.1818±0.05,0.25±0.04,0.1806±0.06,0.1852±0.13,0.2143±0.07,0.3±0.0,0.9573±0.05,0.8803±0.03,0.8753±0.02,,,0.8381±0.01,0.2857±0.0,0.125±0.0,0.7143±0.0,0.875±0.0,,,0.67±0.1,0.2333±0.12,0.1111±0.0,0.7667±0.12,0.8889±0.0,,,0.8841±0.03
SAM,0.6654±0.11,0.629±0.11,0.7037±0.12,0.6199±0.1,0.5965±0.13,0.6667±0.08,0.7544±0.18,0.7639±0.13,0.7714±0.15,0.7677±0.12,0.5354±0.28,0.1667±0.14,0.4861±0.32,0.6667±0.22,0.2619±0.21,0.0333±0.06,0.9884±0.02,0.72±0.13,0.8528±0.08,0.2022±0.01,0.6978±0.03,0.3726±0.24,0.6667±0.58,0.3194±0.55,0.3333±0.58,0.6806±0.55,0.2248±0.04,0.6803±0.04,0.6±0.14,0.6667±0.58,0.2963±0.51,0.3333±0.58,0.7037±0.51,0.3312±0.06,0.7327±0.09,0.629±0.11
