methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.8792±0.0,0.8784±0.0,0.88±0.0,0.8861±0.0,0.8886±0.0,0.8829±0.0,0.9896±0.0,0.9935±0.0,0.9831±0.01,0.9883±0.01,0.9874±0.01,0.9842±0.01,0.9838±0.01,0.01±0.0,0.2258±0.0,0.8157±0.01,0.6841±0.06,0.0224±0.01,0.3159±0.06,0.9776±0.01,0.0094±0.0,0.2213±0.0,0.8291±0.01,0.7018±0.08,0.0273±0.01,0.2982±0.08,0.9727±0.01,0.0123±0.0,0.2314±0.0,0.8782±0.0,0.0834±0.01,0.3856±0.02,0.0805±0.01,0.087±0.01,0.3933±0.02,0.3764±0.03
resampling,0.8782±0.0,0.8773±0.0,0.879±0.0,0.8814±0.01,0.8829±0.01,0.8795±0.01,0.9908±0.0,0.9955±0.0,0.978±0.0,0.9868±0.0,0.9893±0.0,0.9857±0.01,0.9841±0.01,0.0139±0.0,0.228±0.0,0.8106±0.01,0.7974±0.03,0.0117±0.0,0.2026±0.03,0.9883±0.0,0.012±0.0,0.2237±0.0,0.8234±0.0,0.815±0.03,0.0156±0.0,0.185±0.03,0.9844±0.0,0.0174±0.0,0.2335±0.0,0.8763±0.0,0.0893±0.01,0.3797±0.04,0.0873±0.01,0.0918±0.01,0.3897±0.04,0.3678±0.04
DomainInd,0.8801±0.0,0.8811±0.0,0.8788±0.0,0.8827±0.0,0.8849±0.0,0.8799±0.0,0.9916±0.0,0.995±0.0,0.9902±0.01,0.9926±0.0,0.9796±0.01,0.9897±0.0,0.9904±0.0,0.0384±0.0,0.2752±0.01,0.8169±0.0,0.6849±0.04,0.0206±0.01,0.3151±0.04,0.9794±0.01,0.0362±0.0,0.2687±0.01,0.8265±0.0,0.7213±0.03,0.0249±0.01,0.2787±0.03,0.9751±0.01,0.0427±0.0,0.2834±0.01,0.8788±0.0,0.0884±0.01,0.3748±0.02,0.0862±0.01,0.0912±0.01,0.3792±0.02,0.3694±0.03
LAFTR,0.8801±0.0,0.8798±0.0,0.8802±0.0,0.8918±0.0,0.8947±0.0,0.888±0.0,0.9925±0.0,0.9947±0.0,0.9935±0.01,0.9941±0.0,0.9814±0.01,0.9869±0.0,0.9857±0.0,0.0093±0.01,0.2249±0.0,0.8206±0.0,0.7479±0.06,0.0148±0.0,0.2521±0.06,0.9852±0.0,0.0092±0.01,0.2203±0.0,0.8305±0.0,0.7819±0.05,0.018±0.01,0.2181±0.05,0.982±0.01,0.0121±0.01,0.2308±0.0,0.8791±0.0,0.0738±0.01,0.4151±0.02,0.0714±0.01,0.0767±0.01,0.4149±0.02,0.4154±0.03
CFair,0.8777±0.0,0.8773±0.0,0.8779±0.0,0.8814±0.0,0.8843±0.0,0.8778±0.0,0.9863±0.0,0.9912±0.0,0.9714±0.01,0.9813±0.0,0.9898±0.01,0.9843±0.01,0.985±0.01,0.0116±0.01,0.2281±0.0,0.8132±0.01,0.8425±0.07,0.0083±0.01,0.1575±0.07,0.9917±0.01,0.0107±0.01,0.2241±0.0,0.8221±0.01,0.8616±0.07,0.0096±0.0,0.1384±0.07,0.9904±0.0,0.015±0.0,0.2331±0.0,0.8768±0.0,0.0902±0.0,0.3714±0.01,0.0863±0.0,0.0951±0.0,0.3845±0.02,0.3558±0.01
LNL,0.8665±0.0,0.8669±0.0,0.8657±0.0,0.8713±0.01,0.8759±0.01,0.8655±0.01,0.9886±0.0,0.9903±0.0,0.9912±0.01,0.9907±0.0,0.9842±0.01,0.9906±0.0,0.9919±0.0,0.0161±0.01,0.237±0.01,0.7972±0.01,0.7471±0.09,0.0201±0.01,0.2529±0.09,0.9799±0.01,0.0164±0.01,0.2321±0.01,0.7953±0.0,0.7746±0.09,0.0243±0.01,0.2254±0.09,0.9757±0.01,0.0174±0.01,0.2432±0.0,0.8653±0.0,0.1003±0.02,0.3815±0.04,0.0961±0.02,0.1057±0.02,0.3809±0.03,0.3823±0.05
EnD,0.8684±0.0,0.8683±0.0,0.8682±0.0,0.8795±0.01,0.8824±0.01,0.8759±0.01,0.9918±0.0,0.9943±0.0,0.9987±0.0,0.9965±0.0,0.9875±0.0,0.993±0.01,0.992±0.0,0.0226±0.0,0.2346±0.0,0.8058±0.01,0.6846±0.08,0.0234±0.01,0.3154±0.08,0.9766±0.01,0.0222±0.0,0.23±0.0,0.8144±0.0,0.7057±0.08,0.0272±0.01,0.2943±0.08,0.9728±0.01,0.0241±0.01,0.2403±0.0,0.8678±0.0,0.0922±0.01,0.3723±0.02,0.0897±0.01,0.0954±0.01,0.3729±0.02,0.3717±0.02
ODR,0.8787±0.0,0.8795±0.0,0.8776±0.0,0.8835±0.0,0.8856±0.0,0.8808±0.0,0.9931±0.0,0.996±0.0,0.995±0.01,0.9955±0.0,0.9892±0.01,0.9864±0.01,0.9902±0.01,0.0161±0.01,0.2284±0.0,0.8154±0.01,0.6125±0.08,0.0342±0.01,0.3875±0.08,0.9658±0.01,0.0179±0.01,0.2241±0.0,0.824±0.0,0.6319±0.09,0.0364±0.01,0.3681±0.09,0.9636±0.01,0.0155±0.01,0.2339±0.0,0.8776±0.0,0.0862±0.0,0.3867±0.01,0.0844±0.0,0.0884±0.0,0.3886±0.01,0.3843±0.01
GroupDRO,0.87±0.0,0.8686±0.0,0.8715±0.0,0.8744±0.0,0.8775±0.0,0.8704±0.0,0.9906±0.0,0.9932±0.0,0.9956±0.01,0.9944±0.0,,,,,,,,,,,,,,,,,,,,,0.0981±0.0,0.3711±0.02,0.0951±0.0,0.1019±0.01,0.3731±0.02,0.3688±0.02
SWAD,0.8816±0.0,0.8811±0.0,0.8818±0.0,0.8874±0.0,0.8908±0.0,0.8832±0.0,0.9889±0.0,0.9921±0.0,0.9887±0.01,0.9904±0.01,0.98±0.01,0.9806±0.0,0.9813±0.0,,,0.8204±0.0,0.618±0.01,0.028±0.0,0.382±0.01,0.972±0.0,,,0.8376±0.0,0.6521±0.02,0.034±0.0,0.3479±0.02,0.966±0.0,,,0.881±0.0,0.0823±0.0,0.3815±0.01,0.0789±0.0,0.0868±0.0,0.3867±0.01,0.3754±0.02
