methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3
baseline,0.9±0.01,0.8871±0.01,0.9358±0.01,0.5753±0.07,0.9206±0.0,0.9225±0.0,0.8333±0.03,0.8676±0.02,0.7991±0.02,0.8502±0.0,0.0376±0.01,0.2694±0.01,0.766±0.1,0.5833±0.07,0.0305±0.01,0.4167±0.07,0.9695±0.01,0.0417±0.01,0.1665±0.02,0.9155±0.02,0.5504±0.07,0.0268±0.0,0.4496±0.07,0.9732±0.0,0.0297±0.0,0.1945±0.01,0.7386±0.05,0.5054±0.08,0.058±0.04,0.4946±0.08,0.942±0.04,0.0892±0.01,0.3964±0.04,0.7522±0.02,0.3704±0.03,0.1212±0.04,0.6296±0.03,0.8788±0.04,0.1045±0.02,0.427±0.03,0.8337±0.03,0.0757±0.01,0.3461±0.03,0.0436±0.01,0.0537±0.01,0.1073±0.03,0.1879±0.04,0.7583±0.07,0.3601±0.05,0.3871±0.05,0.2408±0.06
resampling,0.901±0.02,0.8861±0.02,0.9317±0.03,0.8576±0.03,0.919±0.01,0.9241±0.03,0.8436±0.03,0.8778±0.01,0.7626±0.02,0.8273±0.01,0.0574±0.0,0.3253±0.01,0.657±0.14,0.625±0.12,0.0392±0.02,0.375±0.12,0.9608±0.02,0.0473±0.01,0.1914±0.03,0.9047±0.03,0.4031±0.04,0.0442±0.01,0.5969±0.04,0.9558±0.01,0.0351±0.0,0.2208±0.01,0.7809±0.01,0.3871±0.06,0.0971±0.02,0.6129±0.06,0.9029±0.02,0.0922±0.0,0.4722±0.02,0.691±0.01,0.2593±0.12,0.2121±0.05,0.7407±0.12,0.7879±0.05,0.1759±0.05,0.646±0.13,0.8273±0.01,0.077±0.04,0.3461±0.1,0.0436±0.03,0.0502±0.02,0.1073±0.06,0.2303±0.06,0.5417±0.07,0.3566±0.13,0.3387±0.1,0.2593±0.12
DomainInd,0.8903±0.0,0.8871±0.02,0.9234±0.03,0.7823±0.05,0.9182±0.0,0.9218±0.01,0.8482±0.02,0.8735±0.01,0.7808±0.07,0.8354±0.02,0.1159±0.01,1.1636±0.4,0.637±0.08,0.75±0.12,0.0588±0.0,0.25±0.12,0.9412±0.0,0.0934±0.01,0.6476±0.29,0.9037±0.06,0.4264±0.01,0.0545±0.0,0.5736±0.01,0.9455±0.0,0.0795±0.0,0.6557±0.23,0.7687±0.01,0.3011±0.06,0.1449±0.04,0.6989±0.06,0.8551±0.04,0.1573±0.02,1.7607±0.78,0.7769±0.05,0.1667±0.1,0.3273±0.11,0.8333±0.1,0.6727±0.11,0.278±0.05,2.8909±1.58,0.7784±0.05,0.0676±0.04,0.3969±0.09,0.0436±0.05,0.0312±0.02,0.1058±0.04,0.2303±0.08,0.7083±0.29,0.5349±0.18,0.3226±0.04,0.1852±0.03
LAFTR,0.8926±0.02,0.8581±0.03,0.8965±0.03,0.8799±0.03,0.8941±0.03,0.9162±0.02,0.8162±0.04,0.8692±0.03,0.7306±0.06,0.8003±0.01,,,0.8023±0.04,0.5833±0.38,0.0479±0.05,0.4167±0.38,0.9521±0.05,,,0.8756±0.09,0.5504±0.27,0.0346±0.03,0.4496±0.27,0.9654±0.03,,,0.7451±0.05,0.5323±0.33,0.0725±0.07,0.4677±0.33,0.9275±0.07,,,0.6667±0.0,0.5185±0.38,0.1273±0.15,0.4815±0.38,0.8727±0.15,,,0.8003±0.01,0.1158±0.05,0.3053±0.07,0.0911±0.04,0.1852±0.08,,,0.314±0.04,0.2957±0.11,,
CFair,0.8912±0.01,0.8885±0.02,0.9213±0.05,0.8728±0.04,0.9159±0.01,0.9106±0.03,0.8447±0.01,0.8653±0.01,0.8311±0.03,0.8455±0.0,,,0.8012±0.08,0.6667±0.36,0.0392±0.06,0.3333±0.36,0.9608±0.06,,,0.8835±0.03,0.5349±0.2,0.0346±0.03,0.4651±0.2,0.9654±0.03,,,0.75±0.02,0.4301±0.06,0.0638±0.01,0.5699±0.06,0.9362±0.01,,,0.7113±0.08,0.3889±0.11,0.1212±0.04,0.6111±0.11,0.8788±0.04,,,0.8455±0.0,0.0644±0.02,0.4071±0.02,0.0505±0.04,0.1034±0.03,,,0.4396±0.1,0.371±0.07,,
LNL,0.8878±0.01,0.8746±0.03,0.9172±0.02,0.8382±0.02,0.9089±0.01,0.9261±0.01,0.8253±0.06,0.8471±0.03,0.7763±0.09,0.8118±0.08,0.052±0.03,0.289±0.04,0.6828±0.04,0.5417±0.14,0.0654±0.03,0.4583±0.14,0.9346±0.03,0.0762±0.03,0.2081±0.03,0.9228±0.03,0.4574±0.11,0.045±0.02,0.5426±0.11,0.955±0.02,0.0458±0.01,0.216±0.03,0.7012±0.08,0.457±0.16,0.0797±0.05,0.543±0.16,0.9203±0.05,0.0727±0.03,0.3875±0.05,0.6619±0.19,0.3519±0.18,0.1515±0.06,0.6481±0.18,0.8485±0.06,0.1295±0.02,0.5012±0.13,0.7907±0.06,0.0846±0.04,0.3817±0.06,0.0632±0.03,0.0571±0.02,0.1203±0.08,0.1879±0.08,0.4583±0.14,0.3954±0.13,0.3763±0.03,0.3333±0.15
EnD,0.8692±0.01,0.8672±0.01,0.8675±0.02,0.7121±0.06,0.9081±0.0,0.9317±0.0,0.8368±0.01,0.8302±0.01,0.7489±0.05,0.7943±0.09,0.2623±0.01,0.5065±0.01,0.4679±0.07,0.7917±0.14,0.0545±0.05,0.2083±0.14,0.9455±0.05,0.3199±0.02,0.4831±0.03,0.9251±0.03,0.5194±0.17,0.039±0.03,0.4806±0.17,0.961±0.03,0.2892±0.01,0.485±0.01,0.7092±0.01,0.5376±0.17,0.0696±0.05,0.4624±0.17,0.9304±0.05,0.2264±0.01,0.5365±0.01,0.5952±0.33,0.5741±0.22,0.1091±0.14,0.4259±0.22,0.8909±0.14,0.255±0.0,0.5637±0.03,0.691±0.04,0.0992±0.01,0.3435±0.01,0.1089±0.02,0.064±0.01,0.1145±0.01,0.2545±0.05,0.5833±0.07,0.3411±0.04,0.3441±0.01,0.2407±0.03
ODR,0.8883±0.01,0.8823±0.02,0.9193±0.03,0.8859±0.01,0.905±0.02,0.9047±0.01,0.8562±0.02,0.8792±0.02,0.7717±0.03,0.8158±0.08,0.0557±0.02,0.3121±0.05,0.7811±0.07,0.625±0.43,0.0196±0.01,0.375±0.43,0.9804±0.01,0.0431±0.02,0.1421±0.01,0.8929±0.02,0.6357±0.07,0.0294±0.02,0.3643±0.07,0.9706±0.02,0.0544±0.02,0.2578±0.07,0.7891±0.03,0.5968±0.15,0.0304±0.02,0.4032±0.15,0.9696±0.02,0.0911±0.02,0.4175±0.02,0.7296±0.08,0.537±0.13,0.0667±0.08,0.463±0.13,0.9333±0.08,0.1436±0.05,0.5844±0.29,0.8132±0.07,0.0818±0.03,0.3435±0.06,0.0697±0.03,0.0606±0.02,0.0928±0.05,0.2182±0.05,0.2917±0.14,0.4031±0.04,0.3334±0.08,0.2593±0.08
GroupDRO,0.9066±0.0,0.8987±0.01,0.9441±0.01,0.8736±0.02,0.9213±0.0,0.9341±0.0,0.8584±0.03,0.8801±0.0,0.8265±0.03,0.8343±0.03,,,0.7645±0.05,0.625±0.22,0.0349±0.02,0.375±0.22,0.9651±0.02,,,0.9252±0.02,0.4341±0.05,0.0476±0.01,0.5659±0.05,0.9524±0.01,,,0.7749±0.03,0.3333±0.04,0.1029±0.01,0.6667±0.04,0.8971±0.01,,,0.7759±0.03,0.2222±0.0,0.1879±0.06,0.7778±0.0,0.8121±0.06,,,0.8343±0.03,0.0583±0.02,0.3715±0.06,0.0261±0.01,0.0424±0.01,0.087±0.04,0.1394±0.05,0.625±0.22,0.4031±0.09,0.3441±0.04,0.2778±0.06
SWAD,0.8833±0.01,0.8903±0.01,0.9296±0.02,0.8557±0.05,0.919±0.0,0.9025±0.03,0.8493±0.02,0.8628±0.01,0.7991±0.02,0.8492±0.02,0.0639±0.0,0.3551±0.01,0.7042±0.18,0.5417±0.07,0.0392±0.01,0.4583±0.07,0.9608±0.01,0.0538±0.01,0.2386±0.04,0.8948±0.04,0.4341±0.07,0.0424±0.01,0.5659±0.07,0.9576±0.01,0.0526±0.0,0.273±0.02,0.7825±0.01,0.3925±0.02,0.0768±0.01,0.6075±0.02,0.9232±0.01,0.0966±0.0,0.4824±0.0,0.7469±0.03,0.2593±0.03,0.1758±0.02,0.7407±0.03,0.8242±0.02,0.1497±0.02,0.5842±0.06,0.8287±0.0,0.0729±0.01,0.341±0.02,0.0458±0.02,0.0502±0.0,0.0985±0.02,0.2±0.02,0.5417±0.07,0.3566±0.03,0.3441±0.01,0.2037±0.08
