methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.6498±0.06,0.7812±0.14,0.5322±0.03,0.6667±0.02,0.8519±0.06,0.5278±0.02,0.4491±0.08,0.4939±0.07,0.4048±0.34,0.4493±0.18,0.8936±0.13,0.6569±0.08,0.6829±0.08,0.1711±0.02,0.5683±0.03,0.2459±0.09,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1495±0.04,0.3395±0.05,0.2327±0.05,0.9048±0.08,0.1176±0.2,0.0952±0.08,0.8824±0.2,0.2509±0.02,0.7399±0.05,0.5322±0.03,0.3232±0.03,0.3704±0.06,0.0625±0.06,0.5686±0.03,0.8333±0.29,0.2381±0.08
resampling,0.7407±0.01,1.0±0.0,0.5602±0.01,0.7143±0.0,0.9444±0.0,0.5417±0.0,0.4167±0.05,0.4314±0.03,0.6905±0.08,0.5609±0.06,0.7458±0.03,0.645±0.04,0.5851±0.05,0.2014±0.01,0.5839±0.03,0.2±0.0,0.8333±0.29,0.0±0.0,0.1667±0.29,1.0±0.0,0.1667±0.06,0.2734±0.02,0.219±0.03,0.619±0.16,0.2941±0.12,0.381±0.16,0.7059±0.12,0.2582±0.01,0.8167±0.04,0.5602±0.01,0.2929±0.02,0.2593±0.06,0.0±0.0,0.5686±0.03,0.5±0.0,0.1905±0.08
DomainInd,0.615±0.1,0.8229±0.25,0.4734±0.03,0.6429±0.05,0.8704±0.06,0.4722±0.05,0.4676±0.06,0.4547±0.07,0.6667±0.21,0.5607±0.12,0.9132±0.08,0.7066±0.04,0.7413±0.2,0.2239±0.01,1.0038±0.1,0.321±0.19,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1121±0.0,0.5244±0.03,0.1702±0.04,0.9048±0.08,0.0784±0.07,0.0952±0.08,0.9216±0.07,0.3136±0.02,1.3633±0.15,0.4734±0.03,0.3434±0.03,0.4074±0.13,0.0625±0.06,0.6078±0.03,0.6667±0.29,0.3333±0.08
LAFTR,0.743±0.1,0.9062±0.16,0.5994±0.07,0.746±0.1,0.9259±0.06,0.6111±0.13,0.6528±0.18,0.6495±0.18,0.5714±0.14,0.6105±0.14,,,,,,,,,,,,,,,,,,,,,0.2222±0.11,0.3704±0.17,0.0417±0.07,0.3922±0.19,0.3333±0.58,0.381±0.08
CFair,0.771±0.06,0.9271±0.13,0.6078±0.05,0.746±0.05,0.963±0.06,0.5833±0.04,0.5694±0.04,0.5502±0.03,0.7381±0.04,0.6442±0.02,0.8347±0.16,0.7066±0.07,0.6436±0.02,0.1977±0.02,0.5737±0.07,0.2857±0.15,0.6667±0.29,0.0±0.0,0.3333±0.29,1.0±0.0,0.0952±0.03,0.196±0.13,0.1921±0.05,0.619±0.36,0.2353±0.21,0.381±0.36,0.7647±0.21,0.2799±0.06,0.857±0.17,0.6078±0.05,0.2525±0.05,0.2593±0.06,0.0208±0.04,0.4706±0.06,0.1667±0.29,0.2857±0.0
LNL,0.6936±0.05,0.8854±0.05,0.5658±0.07,0.6429±0.17,0.7778±0.19,0.5417±0.15,0.6389±0.08,0.6581±0.06,0.6905±0.23,0.6743±0.1,0.7787±0.3,0.6155±0.11,0.6475±0.12,0.1973±0.03,0.6191±0.11,0.2467±0.23,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.148±0.01,0.2826±0.03,0.3048±0.16,0.7143±0.38,0.1569±0.22,0.2857±0.38,0.8431±0.22,0.3046±0.08,0.8714±0.18,0.5658±0.07,0.3636±0.27,0.3333±0.22,0.1875±0.27,0.5294±0.27,0.5±0.5,0.2857±0.14
EnD,0.7542±0.03,1.0±0.0,0.549±0.02,0.7063±0.03,0.963±0.03,0.5139±0.02,0.5278±0.09,0.4718±0.06,0.6905±0.11,0.5811±0.03,0.5602±0.05,0.5994±0.09,0.5973±0.06,0.2733±0.01,0.6162±0.02,0.2±0.0,0.3333±0.58,0.0±0.0,0.6667±0.58,1.0±0.0,0.4122±0.01,0.5334±0.02,0.1524±0.06,0.4762±0.16,0.451±0.12,0.5238±0.16,0.549±0.12,0.2369±0.03,0.6782±0.01,0.549±0.02,0.2929±0.05,0.2963±0.06,0.0208±0.04,0.549±0.07,0.1667±0.29,0.3333±0.08
ODR,0.7587±0.03,1.0±0.0,0.5658±0.03,0.6429±0.04,0.8704±0.12,0.4722±0.02,0.5324±0.09,0.4792±0.13,0.8095±0.08,0.6443±0.1,0.6569±0.3,0.6849±0.09,0.5961±0.06,0.1488±0.04,0.4517±0.04,0.2±0.0,0.6667±0.58,0.0±0.0,0.3333±0.58,1.0±0.0,0.1194±0.02,0.1584±0.02,0.1649±0.11,0.619±0.33,0.3529±0.31,0.381±0.33,0.6471±0.31,0.2459±0.05,0.6717±0.06,0.5658±0.03,0.4141±0.07,0.1481±0.06,0.1458±0.13,0.6667±0.03,0.0±0.0,0.1905±0.08
GroupDRO,0.7565±0.04,1.0±0.0,0.5826±0.04,0.7063±0.03,0.963±0.03,0.5139±0.06,0.4074±0.04,0.3922±0.09,0.7619±0.11,0.577±0.02,0.8067±0.14,0.6569±0.04,0.6089±0.02,0.1719±0.02,0.5345±0.02,0.2±0.0,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1166±0.02,0.2338±0.05,0.2508±0.08,0.8095±0.16,0.1961±0.12,0.1905±0.16,0.8039±0.12,0.2551±0.03,0.76±0.03,0.5826±0.04,0.3131±0.05,0.2222±0.11,0.0±0.0,0.6078±0.09,0.3333±0.29,0.1905±0.08
SWAD,0.8227±0.03,1.0±0.0,0.6639±0.03,0.7698±0.07,0.9444±0.06,0.6389±0.09,0.6713±0.04,0.6691±0.09,0.7857±0.12,0.7274±0.1,0.7045±0.06,0.7339±0.11,0.6308±0.02,0.2117±0.03,2.6096±1.52,0.2±0.0,0.3333±0.29,0.0±0.0,0.6667±0.29,1.0±0.0,0.038±0.03,0.093±0.08,0.2508±0.03,0.2857±0.0,0.3529±0.12,0.7143±0.0,0.6471±0.12,0.3496±0.03,4.4971±2.6,0.6639±0.03,0.2121±0.11,0.2963±0.13,0.0417±0.07,0.3725±0.15,0.1667±0.29,0.3333±0.08
