methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.7449±0.041,0.7534±0.048,0.7543±0.021,0.6885±0.043,0.6667±0.073,0.72±0.04,0.9285±0.07,0.8611±0.157,0.9214±0.033,0.8912±0.064,0.8812±0.047,0.8722±0.018,0.9232±0.039,0.1943±0.037,0.6478±0.068,0.5156±0.111,0.2444±0.192,0.381±0.082,0.7556±0.192,0.619±0.082,0.2339±0.025,0.6598±0.077,0.4205±0.123,0.359±0.194,0.3611±0.21,0.641±0.194,0.6389±0.21,0.2442±0.074,0.6305±0.058,0.7349±0.032,0.3939±0.08,0.2143±0.062,0.4444±0.099,0.3056±0.127,0.1778±0.077,0.2564±0.044,d7a4ac0ba2,0.7543,0.7534,0.0009000000000000119
resampling,0.715±0.01,0.6624±0.02,0.7927±0.043,0.6011±0.041,0.5556±0.0,0.6667±0.101,0.93±0.092,0.8889±0.079,0.8479±0.093,0.8684±0.05,0.914±0.066,0.8464±0.071,0.88±0.033,0.2755±0.081,1.102±0.411,0.3556±0.067,0.4889±0.278,0.2857±0.286,0.5111±0.278,0.7143±0.286,0.3274±0.052,1.2034±0.359,0.6171±0.101,0.4359±0.291,0.1667±0.22,0.5641±0.291,0.8333±0.22,0.2552±0.124,0.9561±0.486,0.6624±0.02,0.6263±0.14,0.131±0.09,0.6349±0.12,0.6111±0.21,0.1778±0.168,0.0769±0.0,c354feac4b,0.7927,0.6624,0.13029999999999997
DomainInd,0.7222±0.034,0.7291±0.01,0.7436±0.033,0.6612±0.034,0.6296±0.064,0.7067±0.023,0.9122±0.048,0.8968±0.099,0.9487±0.062,0.9228±0.048,0.8512±0.094,0.8635±0.107,0.838±0.11,0.2981±0.058,1.1087±0.533,0.4296±0.045,0.2889±0.214,0.4444±0.167,0.7111±0.214,0.5556±0.167,0.3005±0.092,1.1449±0.611,0.4±0.053,0.4103±0.424,0.3889±0.293,0.5897±0.424,0.6111±0.293,0.3144±0.018,1.0564±0.43,0.7251±0.008,0.5253±0.097,0.119±0.041,0.5397±0.153,0.5±0.0,0.1333±0.067,0.1025±0.044,dfcc4533d3,0.7436,0.7291,0.014500000000000068
LAFTR,0.7399±0.03,0.7259±0.04,0.8098±0.03,0.6612±0.068,0.6296±0.085,0.7067±0.046,0.8781±0.057,0.8492±0.056,0.8752±0.056,0.8622±0.02,0.898±0.037,0.727±0.101,0.886±0.023,0.1971±0.121,0.7628±0.246,0.3973±0.054,0.2444±0.269,0.4762±0.265,0.7556±0.269,0.5238±0.265,0.2649±0.106,0.8415±0.371,0.6615±0.094,0.3333±0.27,0.3611±0.337,0.6667±0.27,0.6389±0.337,0.2563±0.044,0.6495±0.066,0.7259±0.04,0.4949±0.153,0.1548±0.041,0.5238±0.172,0.4444±0.173,0.1556±0.102,0.1538±0.077,aad6168d9a,0.8098,0.7259,0.08389999999999997
CFair,0.7114±0.027,0.7545±0.039,0.7393±0.074,0.6284±0.009,0.5926±0.032,0.68±0.069,0.8493±0.118,0.7976±0.211,0.865±0.106,0.8313±0.14,0.9067±0.124,0.7339±0.126,0.7845±0.173,0.3044±0.118,1.1559±0.597,0.4878±0.032,0.4667±0.467,0.3333±0.36,0.5333±0.467,0.6667±0.36,0.3224±0.124,0.9855±0.364,0.4897±0.165,0.5641±0.464,0.3056±0.394,0.4359±0.464,0.6944±0.394,0.3426±0.143,1.4013±1.095,0.7157±0.064,0.596±0.017,0.1071±0.036,0.6667±0.095,0.4722±0.127,0.0444±0.077,0.1795±0.044,d2b89c41b1,0.7545,0.7393,0.015199999999999991
LNL,0.6941±0.03,0.728±0.045,0.6752±0.068,0.6339±0.034,0.6111±0.056,0.6667±0.023,0.8567±0.076,0.881±0.119,0.7983±0.093,0.8396±0.104,0.8362±0.108,0.7784±0.182,0.8747±0.071,0.2186±0.065,0.7841±0.163,0.3911±0.028,0.0667±0.067,0.619±0.126,0.9333±0.067,0.381±0.126,0.2573±0.064,0.8222±0.226,0.3795±0.155,0.2308±0.231,0.5±0.22,0.7692±0.231,0.5±0.22,0.2384±0.032,0.7293±0.083,0.672±0.067,0.5758±0.091,0.119±0.041,0.619±0.048,0.5±0.167,0.0667±0.067,0.1795±0.16,5e344f7ebd,0.728,0.6752,0.05279999999999996
EnD,0.6739±0.032,0.6497±0.048,0.7372±0.046,0.6011±0.025,0.6019±0.016,0.6±0.04,0.837±0.02,0.8095±0.021,0.9179±0.044,0.8637±0.019,1.0±0.0,0.9158±0.047,0.8074±0.066,0.1555±0.023,0.7014±0.002,0.3467±0.035,0.0±0.0,1.0±0.0,1.0±0.0,0.0±0.0,0.2496±0.095,0.7075±0.003,0.4718±0.108,0.0±0.0,1.0±0.0,1.0±0.0,0.0±0.0,0.2105±0.028,0.6925±0.0,0.6456±0.041,0.6566±0.035,0.0952±0.021,0.5873±0.027,0.7778±0.048,0.1333±0.0,0.0513±0.044,ef58babb4b,0.7372,0.6497,0.08749999999999991
ODR,0.7348±0.021,0.7302±0.033,0.765±0.054,0.6448±0.041,0.6389±0.028,0.6533±0.061,0.8252±0.056,0.7976±0.041,0.8632±0.016,0.8304±0.013,0.7472±0.288,0.7896±0.135,0.7881±0.073,0.2076±0.119,0.7249±0.189,0.397±0.072,0.0667±0.115,0.5714±0.218,0.9333±0.115,0.4286±0.218,0.2808±0.072,0.7385±0.213,0.4291±0.154,0.3077±0.468,0.5556±0.411,0.6923±0.468,0.4444±0.411,0.2185±0.089,0.7053±0.157,0.7177±0.012,0.5758±0.052,0.0952±0.041,0.5397±0.027,0.6389±0.192,0.1111±0.102,0.0769±0.077,f6dffed0a1,0.765,0.7302,0.03480000000000005
GroupDRO,0.6887±0.009,0.7058±0.024,0.7051±0.055,0.5902±0.043,0.5648±0.08,0.6267±0.023,0.92±0.06,0.9048±0.124,0.9128±0.072,0.9088±0.071,0.8589±0.072,0.8046±0.055,0.9023±0.069,0.2416±0.077,0.786±0.124,0.3319±0.096,0.3778±0.269,0.4762±0.286,0.6222±0.269,0.5238±0.286,0.2751±0.071,0.7774±0.092,0.4689±0.097,0.4615±0.353,0.2778±0.347,0.5385±0.353,0.7222±0.347,0.2689±0.082,0.7985±0.27,0.6793±0.022,0.6667±0.132,0.1071±0.062,0.6984±0.18,0.6111±0.048,0.0667±0.067,0.1538±0.077,8c67bda9d1,0.7058,0.7051,0.0007000000000000339
SWAD,0.7644±0.023,0.7492±0.025,0.8291±0.041,0.6831±0.041,0.6759±0.032,0.6933±0.061,0.9741±0.024,0.9405±0.036,0.9573±0.038,0.9489±0.01,0.8686±0.086,0.8258±0.042,0.8794±0.054,0.1504±0.012,0.6227±0.016,0.4691±0.054,0.1778±0.077,0.4286±0.048,0.8222±0.077,0.5714±0.048,0.2351±0.024,0.6968±0.033,0.6769±0.067,0.2821±0.16,0.3611±0.127,0.7179±0.16,0.6389±0.127,0.1922±0.026,0.5159±0.061,0.7492±0.025,0.4747±0.076,0.131±0.021,0.4762±0.048,0.4722±0.127,0.1111±0.038,0.1538±0.0,115888d3fe,0.8291,0.7492,0.07989999999999997
SAM,0.715±0.008,0.709±0.061,0.7778±0.065,0.6339±0.009,0.6019±0.042,0.68±0.04,0.8785±0.106,0.8889±0.113,0.8154±0.136,0.8521±0.122,0.8002±0.146,0.7755±0.13,0.816±0.086,0.1545±0.02,0.6702±0.014,0.4671±0.043,0.1778±0.192,0.5714±0.143,0.8222±0.192,0.4286±0.143,0.2798±0.005,0.7371±0.029,0.5333±0.158,0.2308±0.204,0.3889±0.173,0.7692±0.204,0.6111±0.173,0.2007±0.041,0.5739±0.063,0.6976±0.042,0.5152±0.03,0.1905±0.021,0.5555±0.027,0.4444±0.096,0.1778±0.102,0.2051±0.16,6f99c319ba,0.7778,0.709,0.06880000000000008
