methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8786±0.003,0.8904±0.002,0.7587±0.038,0.7955±0.02,0.8159±0.006,0.8064±0.006,0.8684±0.004,0.7809±0.003,0.9063±0.001,0.79±0.012,0.9574±0.002,0.7865±0.016,0.0754±0.002,0.4142±0.011,0.2468±0.058,0.1774±0.012,0.102±0.005,0.0508±0.0,0.014±0.003,0.2222±0.051,0.2097±0.021,0.3363±0.007,0.6491±0.024,0.8131±0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15a2c849ee,0.8064,0.7809,0.025499999999999967
resampling,0.8664±0.004,0.8723±0.002,0.7139±0.004,0.7525±0.011,0.7907±0.003,0.8004±0.002,0.8447±0.003,0.777±0.004,0.8904±0.004,0.6757±0.006,0.9519±0.003,0.6116±0.009,0.1±0.003,0.3745±0.007,0.3173±0.017,0.2161±0.005,0.1323±0.003,0.0737±0.005,0.0218±0.003,0.1778±0.039,0.183±0.005,0.3138±0.006,0.5748±0.017,0.755±0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df951247b,0.8004,0.6116,0.18879999999999997
DomainInd,0.8785±0.001,0.8862±0.004,0.7164±0.03,0.7422±0.02,0.8201±0.007,0.8092±0.005,0.8641±0.005,0.7767±0.007,0.9±0.003,0.6647±0.01,0.9537±0.004,0.5906±0.022,0.0811±0.007,0.4044±0.019,0.3045±0.039,0.1724±0.014,0.1063±0.008,0.0607±0.005,0.0183±0.006,0.2111±0.019,0.2091±0.024,0.3403±0.019,0.61±0.026,0.8005±0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e77e7eb40c,0.8092,0.5906,0.21860000000000002
LAFTR,0.8769±0.004,0.8807±0.003,0.7388±0.061,0.841±0.012,0.8132±0.015,0.8845±0.002,0.8555±0.005,0.8755±0.003,0.8959±0.01,0.8346±0.005,0.951±0.006,0.8359±0.007,0.09±0.003,0.3799±0.012,0.2692±0.095,0.1863±0.029,0.1195±0.009,0.0674±0.014,0.0226±0.008,0.2334±0.058,0.189±0.041,0.3174±0.025,0.5799±0.035,0.7601±0.043,0.0122±0.008,0.2284±0.003,0.6281±0.072,0.5444±0.117,0.0929±0.049,0.4556±0.117,0.9071±0.049,0.1093±0.021,0.3967±0.013,0.8353±0.002,0.5175±0.168,0.0766±0.029,0.4825±0.168,0.9234±0.029,0.0227±0.014,0.3301±0.006,0.83±0.009,0.7184±0.114,0.031±0.017,0.2816±0.114,0.969±0.017,0.0154±0.003,0.263±0.003,0.7327±0.015,0.9019±0.069,0.0092±0.009,0.0981±0.069,0.9908±0.009,0.0151±0.011,0.2058±0.005,0.7373±0.02,0.9697±0.02,0.0022±0.002,0.0303±0.02,0.9978±0.002,0.02±0.008,0.1296±0.003,0.8289±0.001,aa8aa43aa6,0.8845,0.8346,0.049899999999999944
CFair,0.8685±0.004,0.8717±0.008,0.7687±0.02,0.8413±0.03,0.8269±0.004,0.8801±0.002,0.8589±0.005,0.8735±0.005,0.8759±0.012,0.8297±0.002,0.9243±0.016,0.8232±0.009,0.1006±0.012,0.3745±0.023,0.1987±0.011,0.1487±0.008,0.1149±0.007,0.0953±0.017,0.0545±0.02,0.3445±0.069,0.268±0.021,0.3219±0.022,0.4966±0.054,0.649±0.091,0.0166±0.009,0.2374±0.005,0.672±0.064,0.8±0.2,0.0256±0.015,0.2±0.2,0.9744±0.015,0.0944±0.026,0.4074±0.046,0.8276±0.017,0.8027±0.115,0.0252±0.017,0.1973±0.115,0.9748±0.017,0.0699±0.023,0.3624±0.02,0.8338±0.015,0.8585±0.082,0.0158±0.008,0.1415±0.082,0.9842±0.008,0.0285±0.011,0.2702±0.009,0.725±0.008,0.8832±0.017,0.0126±0.004,0.1168±0.017,0.9874±0.004,0.0185±0.002,0.2101±0.001,0.6772±0.015,0.9015±0.035,0.0079±0.002,0.0985±0.035,0.9921±0.002,0.0201±0.008,0.1356±0.003,0.8177±0.006,595aeab4c0,0.8801,0.8232,0.05689999999999995
LNL,0.8524±0.002,0.8628±0.008,0.5796±0.114,0.6896±0.052,0.7546±0.029,0.7747±0.009,0.8317±0.012,0.7548±0.002,0.8904±0.01,0.6438±0.021,0.9524±0.005,0.5741±0.027,0.1063±0.012,0.4127±0.028,0.5096±0.168,0.2594±0.045,0.1423±0.016,0.0684±0.015,0.0185±0.007,0.1111±0.084,0.1913±0.034,0.3481±0.016,0.644±0.057,0.8333±0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6964746ad3,0.7747,0.5741,0.2006
EnD,0.8763±0.001,0.8807±0.007,0.7587±0.055,,0.8166±0.012,,0.8536±0.009,,0.8969±0.007,,0.9493±0.002,,,,0.266±0.075,0.1818±0.023,0.1232±0.016,0.0672±0.009,0.0245±0.003,0.1556±0.019,0.1901±0.03,0.3075±0.041,0.5691±0.026,0.7576±0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c57764a58,,,
ODR,0.8719±0.004,0.8812±0.004,0.7363±0.053,0.8387±0.054,0.8133±0.005,0.8739±0.007,0.8554±0.006,0.8702±0.003,0.8978±0.004,0.8283±0.006,0.95±0.005,0.8349±0.013,0.0872±0.007,0.4004±0.023,0.2949±0.058,0.1828±0.008,0.1151±0.011,0.0637±0.006,0.0236±0.006,0.1555±0.039,0.202±0.013,0.3481±0.031,0.6014±0.023,0.7601±0.056,0.0157±0.007,0.233±0.003,0.6628±0.089,0.4333±0.115,0.1442±0.017,0.5667±0.115,0.8558±0.017,0.0871±0.007,0.398±0.044,0.8151±0.013,0.5882±0.138,0.068±0.024,0.4118±0.138,0.932±0.024,0.0298±0.013,0.3428±0.011,0.8054±0.011,0.7572±0.113,0.0253±0.013,0.2428±0.113,0.9747±0.013,0.0179±0.008,0.2686±0.003,0.7298±0.007,0.9178±0.039,0.0086±0.004,0.0822±0.039,0.9914±0.004,0.017±0.008,0.2085±0.003,0.7302±0.018,0.947±0.042,0.0029±0.001,0.053±0.042,0.9971±0.001,0.0238±0.004,0.131±0.005,0.8131±0.031,c0559ec3b8,0.8739,0.8283,0.045599999999999974
GroupDRO,0.8481±0.004,0.8683±0.007,0.6965±0.004,0.7294±0.02,0.7853±0.007,0.7744±0.013,0.8396±0.009,0.7484±0.011,0.8876±0.009,0.6475±0.002,0.9488±0.007,0.6112±0.033,0.0982±0.009,0.43±0.02,0.3301±0.011,0.2071±0.003,0.1296±0.012,0.0723±0.011,0.0251±0.01,0.2111±0.051,0.2442±0.024,0.3736±0.024,0.6327±0.013,0.7525±0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f01f9bfee,0.7744,0.6112,0.1632
SWAD,0.8881±0.001,0.888±0.002,0.7736±0.016,0.8884±0.005,0.8195±0.002,0.8934±0.001,0.8644±0.003,0.8888±0.001,0.9023±0.003,0.8457±0.002,0.9566±0.001,0.8502±0.0,0.0844±0.005,0.3583±0.021,0.25±0.019,0.1836±0.005,0.1151±0.006,0.0599±0.006,0.0172±0.003,0.1444±0.019,0.1687±0.011,0.2772±0.012,0.5873±0.038,0.7475±0.061,0.0095±0.001,0.2193±0.0,0.7914±0.015,0.3556±0.051,0.1122±0.015,0.6444±0.051,0.8878±0.015,0.0677±0.008,0.3472±0.006,0.8537±0.01,0.3886±0.008,0.0929±0.004,0.6114±0.008,0.9071±0.004,0.015±0.002,0.319±0.002,0.8529±0.004,0.5883±0.005,0.0409±0.003,0.4117±0.005,0.9591±0.003,0.0107±0.002,0.2509±0.001,0.7459±0.007,0.8662±0.018,0.0122±0.002,0.1338±0.018,0.9878±0.002,0.0123±0.001,0.2005±0.0,0.7776±0.009,0.9242±0.015,0.003±0.001,0.0758±0.015,0.997±0.001,0.0071±0.001,0.121±0.001,0.8457±0.002,d741eabbe9,0.8934,0.8457,0.047699999999999965
