methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8633±0.001,0.7802±0.002,0.8298±0.02,0.7466±0.034,0.8133±0.002,0.7693±0.004,0.775±0.002,0.7842±0.002,0.7716±0.003,0.769±0.001,0.7809±0.006,0.7124±0.009,0.2527±0.012,0.1704±0.012,0.4773±0.075,0.4026±0.013,0.3139±0.008,0.2232±0.011,0.1565±0.018,0.0295±0.006,0.0588±0.006,0.1176±0.009,0.2388±0.013,0.4187±0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c5552604d,0.7842,0.7124,0.07179999999999997
resampling,0.8554±0.002,0.7727±0.001,0.8179±0.016,0.83±0.008,0.8048±0.0,0.8423±0.005,0.7679±0.004,0.8548±0.003,0.7625±0.001,0.835±0.001,0.778±0.003,0.8051±0.001,0.2658±0.001,0.1696±0.004,0.4886±0.03,0.4097±0.02,0.3266±0.005,0.2404±0.006,0.163±0.009,0.0417±0.024,0.0682±0.012,0.1179±0.005,0.2317±0.008,0.41±0.018,0.0333±0.01,0.4703±0.002,0.6524±0.019,0.0608±0.04,0.4356±0.067,0.9392±0.04,0.5644±0.067,0.0924±0.038,0.5±0.069,0.7249±0.019,0.0978±0.024,0.3602±0.028,0.9022±0.024,0.6398±0.028,0.0542±0.012,0.4845±0.017,0.757±0.01,0.1757±0.019,0.2562±0.012,0.8243±0.019,0.7438±0.012,0.0359±0.01,0.4772±0.003,0.716±0.003,0.3261±0.027,0.1715±0.017,0.6739±0.027,0.8285±0.017,0.0297±0.012,0.4699±0.003,0.6481±0.008,0.5507±0.05,0.1053±0.019,0.4493±0.05,0.8947±0.019,0.034±0.008,0.4422±0.002,0.8051±0.001,71018257d5,0.8548,0.8051,0.049699999999999966
DomainInd,0.8623±0.001,0.7821±0.004,0.8155±0.017,0.855±0.009,0.812±0.003,0.8558±0.002,0.7749±0.005,0.8626±0.001,0.7761±0.003,0.8419±0.001,0.7842±0.003,0.8104±0.003,0.2468±0.013,0.1744±0.011,0.4811±0.069,0.4067±0.014,0.3112±0.015,0.2157±0.012,0.145±0.01,0.0486±0.013,0.0584±0.006,0.1211±0.007,0.2405±0.016,0.4415±0.021,0.1617±0.001,1.0376±0.023,0.8024±0.005,0.0833±0.009,0.3864±0.023,0.9167±0.009,0.6136±0.023,0.1511±0.003,1.0771±0.183,0.7411±0.012,0.0998±0.008,0.3333±0.004,0.9002±0.008,0.6667±0.004,0.1506±0.001,1.0301±0.019,0.7721±0.003,0.1935±0.01,0.2271±0.011,0.8065±0.01,0.7729±0.011,0.1644±0.002,1.0347±0.025,0.7363±0.003,0.3635±0.017,0.1405±0.009,0.6365±0.017,0.8595±0.009,0.1644±0.001,1.0398±0.021,0.6625±0.009,0.605±0.023,0.081±0.007,0.395±0.023,0.919±0.007,0.162±0.004,1.0428±0.04,0.8104±0.003,815f67f318,0.8626,0.8104,0.052200000000000024
LAFTR,0.8605±0.002,0.781±0.003,0.8071±0.02,0.8579±0.007,0.8092±0.01,0.8523±0.007,0.7717±0.005,0.8598±0.002,0.7753±0.002,0.8392±0.0,0.7886±0.009,0.8111±0.003,0.2465±0.01,0.1777±0.009,0.5341±0.052,0.4221±0.03,0.3138±0.018,0.2112±0.012,0.1414±0.023,0.0365±0.01,0.0537±0.004,0.1251±0.011,0.2516±0.019,0.4349±0.041,0.0369±0.014,0.4607±0.006,0.7791±0.024,0.0521±0.029,0.4432±0.098,0.9479±0.029,0.5568±0.098,0.0625±0.037,0.4224±0.032,0.7374±0.031,0.087±0.028,0.3654±0.06,0.913±0.028,0.6346±0.06,0.0436±0.021,0.4523±0.018,0.7649±0.005,0.195±0.066,0.2423±0.06,0.805±0.066,0.7577±0.06,0.0463±0.021,0.4723±0.009,0.7329±0.002,0.3702±0.086,0.1446±0.041,0.6298±0.086,0.8554±0.041,0.0339±0.008,0.4647±0.001,0.6633±0.002,0.5921±0.084,0.0867±0.024,0.4079±0.084,0.9133±0.024,0.027±0.004,0.4347±0.004,0.8111±0.003,5891228537,0.8598,0.8111,0.048699999999999966
CFair,0.8599±0.002,0.7822±0.003,0.8226±0.011,0.84±0.018,0.8184±0.004,0.8564±0.001,0.7786±0.002,0.8601±0.003,0.7728±0.004,0.8408±0.004,0.7797±0.006,0.8069±0.004,0.2423±0.009,0.181±0.007,0.4546±0.03,0.3716±0.015,0.292±0.009,0.2151±0.008,0.1676±0.012,0.0504±0.003,0.069±0.003,0.1363±0.006,0.2513±0.012,0.3887±0.013,0.0441±0.011,0.4664±0.007,0.7163±0.092,0.0573±0.014,0.4167±0.046,0.9427±0.014,0.5833±0.046,0.0454±0.016,0.4244±0.024,0.7503±0.014,0.0901±0.014,0.3444±0.026,0.9099±0.014,0.6556±0.026,0.0248±0.007,0.44±0.004,0.7695±0.001,0.1679±0.023,0.2575±0.024,0.8321±0.023,0.7425±0.024,0.0427±0.012,0.4722±0.007,0.7274±0.007,0.2941±0.035,0.1828±0.019,0.7059±0.035,0.8172±0.019,0.054±0.011,0.4742±0.009,0.6653±0.009,0.4551±0.043,0.1381±0.014,0.5449±0.043,0.8619±0.014,0.0606±0.009,0.4593±0.006,0.8069±0.004,4db94917a1,0.8601,0.8069,0.053200000000000025
LNL,0.8421±0.0,0.7606±0.003,0.7619±0.013,0.803±0.024,0.7867±0.006,0.8287±0.003,0.7479±0.007,0.8395±0.001,0.756±0.001,0.8211±0.001,0.776±0.004,0.7851±0.004,0.2743±0.012,0.1869±0.01,0.6288±0.065,0.464±0.037,0.357±0.019,0.2379±0.008,0.1405±0.003,0.059±0.02,0.0648±0.013,0.1255±0.008,0.2562±0.013,0.4903±0.007,0.0337±0.017,0.485±0.004,0.6481±0.056,0.0833±0.009,0.5682±0.045,0.9167±0.009,0.4318±0.045,0.0535±0.018,0.4901±0.022,0.6798±0.017,0.0919±0.011,0.4107±0.026,0.9081±0.011,0.5893±0.026,0.0214±0.003,0.476±0.004,0.7153±0.005,0.182±0.046,0.2881±0.042,0.818±0.046,0.7119±0.042,0.0398±0.02,0.4987±0.005,0.693±0.005,0.3538±0.078,0.1761±0.042,0.6462±0.078,0.8239±0.042,0.0388±0.02,0.4873±0.006,0.6145±0.016,0.6244±0.105,0.0926±0.032,0.3756±0.105,0.9074±0.032,0.0402±0.013,0.4576±0.006,0.7812±0.004,fe022ee169,0.8395,0.7851,0.054400000000000004
EnD,0.8533±0.001,0.7743±0.005,0.8202±0.009,0.8423±0.011,0.8123±0.003,0.8462±0.004,0.774±0.006,0.8562±0.002,0.7628±0.007,0.8378±0.001,0.7688±0.004,0.8054±0.002,0.2644±0.017,0.1674±0.013,0.4394±0.029,0.36±0.027,0.3035±0.024,0.2478±0.015,0.1971±0.008,0.0608±0.013,0.0857±0.014,0.1326±0.016,0.216±0.011,0.3401±0.01,0.0432±0.017,0.4718±0.005,0.7451±0.033,0.0781±0.019,0.3864±0.023,0.9219±0.019,0.6136±0.023,0.085±0.007,0.4438±0.005,0.7369±0.023,0.1143±0.017,0.3239±0.024,0.8857±0.017,0.6761±0.024,0.0444±0.016,0.4559±0.006,0.7634±0.003,0.1787±0.019,0.2523±0.025,0.8213±0.019,0.7477±0.025,0.0353±0.018,0.475±0.004,0.7257±0.004,0.2768±0.024,0.1977±0.021,0.7232±0.024,0.8023±0.021,0.0684±0.016,0.4778±0.007,0.6644±0.002,0.4231±0.02,0.1546±0.011,0.5769±0.02,0.8454±0.011,0.0834±0.012,0.4651±0.008,0.8054±0.002,b29c4814a4,0.8562,0.8054,0.050799999999999956
ODR,0.862±0.001,0.7798±0.002,0.8238±0.004,0.8437±0.004,0.8151±0.002,0.8589±0.003,0.7731±0.003,0.8611±0.001,0.7727±0.004,0.8423±0.002,0.7779±0.003,0.8074±0.002,0.2517±0.008,0.1729±0.007,0.4204±0.041,0.3846±0.018,0.3123±0.01,0.222±0.009,0.1657±0.005,0.0642±0.013,0.0666±0.007,0.1237±0.006,0.2379±0.009,0.4021±0.01,0.0252±0.003,0.4553±0.001,0.716±0.018,0.0938±0.005,0.3523±0.0,0.9062±0.005,0.6477±0.0,0.0425±0.011,0.4318±0.002,0.7567±0.017,0.1204±0.022,0.3047±0.021,0.8796±0.022,0.6953±0.021,0.0332±0.012,0.4407±0.007,0.7683±0.004,0.2194±0.043,0.212±0.039,0.7806±0.043,0.788±0.039,0.0264±0.009,0.4648±0.001,0.731±0.003,0.3887±0.067,0.1299±0.033,0.6113±0.067,0.8701±0.033,0.025±0.003,0.4591±0.002,0.6559±0.004,0.6199±0.089,0.0852±0.037,0.3801±0.089,0.9148±0.037,0.0335±0.002,0.4396±0.003,0.8074±0.002,c121c1951b,0.8611,0.8074,0.05369999999999997
GroupDRO,0.8349±0.002,0.7506±0.006,0.8012±0.032,0.8282±0.03,0.7932±0.005,0.8293±0.005,0.7574±0.005,0.84±0.004,0.7381±0.007,0.8239±0.002,0.7281±0.012,0.7862±0.005,0.3038±0.019,0.1675±0.013,0.3637±0.052,0.3504±0.017,0.3277±0.014,0.2965±0.02,0.2622±0.027,0.1233±0.026,0.1217±0.005,0.1398±0.007,0.1928±0.019,0.3026±0.039,0.0958±0.037,0.5264±0.025,0.7167±0.046,0.1233±0.043,0.375±0.071,0.8767±0.043,0.625±0.071,0.0785±0.027,0.4837±0.061,0.6881±0.011,0.1292±0.04,0.3449±0.034,0.8708±0.04,0.6551±0.034,0.0463±0.023,0.487±0.014,0.7223±0.011,0.1492±0.039,0.3259±0.041,0.8508±0.039,0.6741±0.041,0.0785±0.037,0.5165±0.015,0.6971±0.006,0.1999±0.037,0.294±0.046,0.8001±0.037,0.706±0.046,0.126±0.036,0.5398±0.032,0.6234±0.008,0.3081±0.058,0.2593±0.057,0.6919±0.058,0.7407±0.057,0.1537±0.045,0.5504±0.062,0.7862±0.005,7aea8c8461,0.84,0.7862,0.05379999999999996
SWAD,0.8708±0.0,0.7896±0.003,0.8452±0.005,0.8656±0.002,0.8239±0.002,0.8725±0.001,0.7853±0.001,0.8709±0.002,0.7804±0.004,0.8486±0.0,0.7886±0.004,0.8215±0.001,0.2347±0.011,0.1739±0.01,0.4394±0.017,0.3779±0.012,0.2946±0.008,0.2054±0.013,0.1433±0.011,0.0243±0.008,0.0565±0.003,0.1181±0.008,0.2478±0.015,0.4289±0.019,0.0147±0.002,0.4406±0.001,0.7868±0.017,0.0365±0.014,0.3788±0.017,0.9635±0.014,0.6212±0.017,0.0512±0.012,0.3802±0.001,0.7973±0.007,0.0826±0.002,0.3264±0.0,0.9174±0.002,0.6736±0.0,0.0174±0.003,0.4164±0.003,0.7838±0.006,0.1795±0.004,0.2267±0.002,0.8205±0.004,0.7733±0.002,0.0199±0.002,0.4487±0.003,0.7424±0.004,0.3538±0.005,0.1393±0.001,0.6462±0.005,0.8607±0.001,0.0149±0.002,0.4495±0.0,0.681±0.005,0.578±0.01,0.0863±0.004,0.422±0.01,0.9137±0.004,0.0252±0.002,0.4248±0.001,0.8215±0.001,61b6835001,0.8725,0.8215,0.051000000000000045
