methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8645±0.001,0.8562±0.003,0.8703±0.0,0.7854±0.003,0.7846±0.004,0.7862±0.002,0.9198±0.012,0.9628±0.012,0.9492±0.014,0.956±0.013,0.9521±0.017,0.9533±0.016,0.954±0.015,0.0111±0.008,0.4498±0.001,0.7688±0.007,0.2836±0.025,0.1613±0.013,0.7164±0.025,0.8387±0.013,0.0164±0.01,0.4525±0.003,0.7832±0.003,0.2228±0.009,0.1963±0.006,0.7772±0.009,0.8037±0.006,0.0091±0.006,0.4469±0.001,0.8562±0.003,0.2365±0.009,0.1818±0.007,0.2193±0.006,0.2564±0.015,0.2087±0.0,0.158±0.014,5e62c86b42,0.8703,0.8562,0.014100000000000001
resampling,0.8621±0.001,0.8531±0.001,0.8684±0.001,0.7811±0.002,0.7789±0.002,0.7834±0.001,0.9228±0.005,0.9664±0.004,0.9506±0.007,0.9585±0.006,0.9557±0.008,0.9563±0.01,0.9561±0.007,0.0267±0.015,0.456±0.003,0.7592±0.002,0.2642±0.016,0.183±0.012,0.7358±0.016,0.817±0.012,0.0322±0.012,0.4597±0.004,0.7755±0.006,0.2062±0.026,0.2135±0.017,0.7938±0.026,0.7865±0.017,0.0233±0.016,0.4522±0.003,0.8531±0.001,0.2485±0.006,0.1744±0.005,0.233±0.004,0.2666±0.008,0.2006±0.004,0.1512±0.007,8aeaf75cf4,0.8684,0.8531,0.01529999999999998
DomainInd,0.8628±0.0,0.8539±0.0,0.8699±0.0,0.7808±0.0,0.7775±0.002,0.7842±0.001,0.9248±0.009,0.9698±0.01,0.9506±0.007,0.9602±0.008,0.9676±0.008,0.9641±0.006,0.9624±0.008,0.0946±0.01,0.5303±0.016,0.7611±0.002,0.2813±0.004,0.167±0.005,0.7187±0.004,0.833±0.005,0.1012±0.009,0.5457±0.015,0.7821±0.006,0.2364±0.009,0.1868±0.008,0.7636±0.009,0.8132±0.008,0.0895±0.01,0.5143±0.017,0.8539±0.0,0.2506±0.003,0.1721±0.005,0.2366±0.001,0.2669±0.008,0.1982±0.002,0.1488±0.008,2be3a85ec8,0.8699,0.8539,0.016000000000000014
LAFTR,0.8628±0.001,0.8536±0.001,0.8696±0.0,0.782±0.004,0.7814±0.003,0.7826±0.005,0.9152±0.018,0.9575±0.019,0.9452±0.017,0.9513±0.018,,,,,,,,,,,,,,,,,,,,,0.2471±0.015,0.1742±0.013,0.2275±0.006,0.27±0.025,0.2033±0.004,0.1485±0.021,d541899cd4,0.8696,0.8536,0.016000000000000014
CFair,0.8644±0.002,0.8568±0.002,0.8697±0.002,0.7805±0.004,0.7796±0.002,0.7814±0.006,0.9231±0.014,0.9636±0.016,0.956±0.013,0.9598±0.014,,,,,,,,,,,,,,,,,,,,,0.2562±0.008,0.1643±0.002,0.2394±0.006,0.2758±0.016,0.1876±0.007,0.1436±0.007,d8964450cf,0.8697,0.8568,0.012900000000000023
LNL,0.8518±0.003,0.8422±0.004,0.8592±0.002,0.7671±0.006,0.7678±0.005,0.7664±0.009,0.9041±0.032,0.9432±0.034,0.9348±0.03,0.939±0.032,,,,,,,,,,,,,,,,,,,,,0.2733±0.019,0.1722±0.013,0.2471±0.014,0.3038±0.034,0.2068±0.015,0.1416±0.024,834d80993f,0.8592,0.8422,0.017000000000000015
EnD,0.8597±0.0,0.8535±0.001,0.8654±0.001,0.7799±0.006,0.7755±0.007,0.7844±0.005,0.9549±0.005,0.9964±0.005,0.9852±0.007,0.9908±0.006,0.9901±0.009,0.9911±0.006,0.9913±0.008,0.0363±0.021,0.4626±0.006,0.7661±0.003,0.2872±0.074,0.1666±0.052,0.7128±0.074,0.8334±0.052,0.0398±0.033,0.4639±0.012,0.7737±0.005,0.2731±0.076,0.1719±0.052,0.7269±0.076,0.8281±0.052,0.0406±0.02,0.4613±0.008,0.8535±0.001,0.2501±0.02,0.1751±0.016,0.2487±0.018,0.2518±0.023,0.1829±0.013,0.1681±0.019,6b10ddeabf,0.8654,0.8535,0.01189999999999991
ODR,0.8642±0.001,0.8564±0.0,0.8698±0.002,0.7849±0.002,0.7847±0.002,0.7851±0.003,0.9228±0.006,0.9638±0.008,0.9555±0.004,0.9597±0.006,0.9507±0.003,0.956±0.006,0.958±0.006,0.0331±0.019,0.4543±0.003,0.7715±0.003,0.2929±0.079,0.1599±0.046,0.7071±0.079,0.8401±0.046,0.0347±0.014,0.4559±0.003,0.7831±0.007,0.2305±0.066,0.1962±0.054,0.7695±0.066,0.8038±0.054,0.0336±0.021,0.4527±0.003,0.8564±0.0,0.2413±0.002,0.1757±0.003,0.2246±0.002,0.2608±0.006,0.1993±0.001,0.1548±0.005,6246783ef0,0.8698,0.8564,0.013399999999999967
GroupDRO,0.8589±0.001,0.8496±0.001,0.8657±0.0,0.7771±0.002,0.7744±0.004,0.78±0.001,0.9191±0.01,0.9633±0.011,0.945±0.009,0.9542±0.01,0.9514±0.007,0.951±0.008,0.9531±0.009,0.0196±0.013,0.4587±0.002,0.7549±0.002,0.2871±0.04,0.1686±0.027,0.7129±0.04,0.8314±0.027,0.0227±0.014,0.4622±0.002,0.7735±0.002,0.2253±0.039,0.204±0.032,0.7747±0.039,0.796±0.032,0.0188±0.011,0.455±0.002,0.8496±0.001,0.2573±0.007,0.1711±0.006,0.2404±0.012,0.2771±0.004,0.2002±0.01,0.1453±0.002,8a4bdebead,0.8657,0.8496,0.016100000000000003
SWAD,0.8705±0.001,0.8623±0.001,0.8762±0.001,0.7906±0.001,0.7901±0.002,0.7911±0.0,0.9208±0.001,0.9636±0.002,0.9522±0.002,0.9579±0.001,0.9559±0.003,0.957±0.001,0.9565±0.002,0.0157±0.004,0.4413±0.002,0.7828±0.002,0.2767±0.002,0.1562±0.002,0.7233±0.002,0.8438±0.002,0.0169±0.003,0.4438±0.002,0.7923±0.004,0.2213±0.002,0.189±0.003,0.7787±0.002,0.811±0.003,0.018±0.004,0.4387±0.003,0.8623±0.001,0.232±0.007,0.1754±0.007,0.2152±0.007,0.2516±0.006,0.2007±0.006,0.1529±0.007,cae082b09d,0.8762,0.8623,0.013900000000000023
