methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,hash,Max AUC,Min AUC,AUC Gap
baseline,0.9076±0.001,0.82±0.008,0.9844±0.006,0.994±0.001,0.8767±0.015,0.8685±0.002,0.8021±0.018,0.8813±0.0,0.7741±0.01,0.8654±0.002,0.7975±0.002,0.852±0.003,0.0428±0.021,0.3849±0.007,0.8642±0.058,0.75±0.0,0.001±0.002,0.25±0.0,0.999±0.002,0.0186±0.002,0.0363±0.003,0.7997±0.033,0.3871±0.0,0.0516±0.016,0.6129±0.0,0.9484±0.016,0.0495±0.015,0.3126±0.011,0.7727±0.007,0.3318±0.045,0.0944±0.031,0.6682±0.045,0.9056±0.031,0.0481±0.003,0.4061±0.002,0.7677±0.013,0.2889±0.043,0.1584±0.042,0.7111±0.043,0.8416±0.042,0.0584±0.021,0.4673±0.007,0.7373±0.008,0.213±0.043,0.2523±0.044,0.787±0.043,0.7477±0.044,0.1054±0.029,0.4648±0.021,0.852±0.003,0.1753±0.033,0.1865±0.026,0.003±0.0,0.0751±0.02,0.1746±0.05,0.2606±0.039,0.3806±0.055,0.5417±0.26,0.3441±0.037,0.2387±0.04,0.1903±0.021,0.127±0.02,353bd232e1,0.994,0.852,0.14200000000000002
resampling,0.9055±0.002,0.8239±0.004,0.9844±0.006,0.993±0.003,0.8805±0.003,0.8592±0.014,0.8089±0.012,0.8796±0.001,0.7779±0.002,0.8621±0.001,0.8008±0.003,0.8508±0.003,0.0372±0.011,0.3846±0.008,0.8971±0.001,0.5417±0.191,0.002±0.002,0.4583±0.191,0.998±0.002,0.0137±0.001,0.0352±0.005,0.7822±0.051,0.3333±0.019,0.0728±0.008,0.6667±0.019,0.9272±0.008,0.103±0.028,0.3509±0.03,0.7747±0.005,0.2326±0.028,0.1905±0.048,0.7674±0.028,0.8095±0.048,0.0812±0.018,0.4243±0.015,0.7596±0.007,0.1931±0.022,0.2668±0.036,0.8069±0.022,0.7332±0.036,0.056±0.01,0.4673±0.006,0.7324±0.029,0.1347±0.013,0.3716±0.058,0.8653±0.013,0.6284±0.058,0.0503±0.01,0.4291±0.001,0.8482±0.006,0.154±0.007,0.2066±0.003,0.002±0.002,0.0681±0.004,0.1561±0.023,0.2319±0.002,0.3176±0.014,0.5833±0.289,0.3548±0.0,0.2527±0.007,0.2121±0.006,0.149±0.003,89993631ae,0.993,0.8508,0.1422
DomainInd,0.8934±0.003,0.8052±0.007,0.9775±0.003,0.9939±0.001,0.8285±0.026,0.8854±0.005,0.7684±0.016,0.8812±0.001,0.7671±0.008,0.8625±0.001,0.7961±0.009,0.8557±0.002,0.1635±0.005,0.9615±0.009,0.8969±0.001,0.25±0.0,0.003±0.0,0.75±0.0,0.997±0.0,0.0115±0.001,0.0486±0.004,0.8092±0.003,0.3226±0.0,0.0587±0.004,0.6774±0.0,0.9413±0.004,0.09±0.002,0.5484±0.026,0.7777±0.004,0.369±0.015,0.0714±0.005,0.631±0.015,0.9286±0.005,0.1332±0.004,0.791±0.027,0.7469±0.01,0.4397±0.017,0.048±0.012,0.5603±0.017,0.952±0.012,0.1959±0.007,1.1845±0.013,0.7652±0.004,0.4346±0.028,0.0856±0.017,0.5654±0.028,0.9144±0.017,0.2958±0.021,1.5046±0.037,0.8557±0.002,0.1979±0.024,0.1905±0.017,0.02±0.003,0.169±0.035,0.2628±0.036,0.2593±0.034,0.259±0.016,0.125±0.0,0.1828±0.019,0.1767±0.02,0.2058±0.018,0.1805±0.019,19fc3caecf,0.9939,0.8557,0.1382
LAFTR,0.9076±0.002,0.8218±0.005,0.9844±0.002,0.9949±0.002,0.8882±0.003,0.8683±0.009,0.8106±0.016,0.8813±0.002,0.7727±0.005,0.8641±0.002,0.7954±0.003,0.8542±0.003,0.0295±0.009,0.3785±0.005,0.8982±0.001,0.625±0.125,0.001±0.002,0.375±0.125,0.999±0.002,0.0167±0.001,0.0338±0.003,0.7887±0.033,0.3548±0.032,0.0634±0.012,0.6452±0.032,0.9366±0.012,0.0832±0.024,0.3346±0.02,0.771±0.013,0.2574±0.021,0.1534±0.032,0.7426±0.021,0.8466±0.032,0.0663±0.017,0.4135±0.012,0.7614±0.007,0.2016±0.014,0.2503±0.023,0.7984±0.014,0.7497±0.023,0.0467±0.011,0.462±0.005,0.7416±0.01,0.1423±0.007,0.3626±0.024,0.8577±0.007,0.6374±0.024,0.057±0.009,0.4273±0.004,0.8542±0.003,0.1672±0.009,0.1933±0.004,0.001±0.002,0.061±0.004,0.1561±0.021,0.2593±0.01,0.3694±0.01,0.625±0.125,0.3441±0.037,0.2481±0.015,0.1945±0.004,0.1347±0.0,e40d018491,0.9949,0.8542,0.14070000000000005
CFair,0.9086±0.001,0.8272±0.007,0.9824±0.003,0.9949±0.001,0.8882±0.003,0.8748±0.004,0.8207±0.019,0.8831±0.001,0.7817±0.011,0.8655±0.001,0.7948±0.009,0.8516±0.003,0.0383±0.019,0.3801±0.009,0.8973±0.0,0.625±0.125,0.003±0.0,0.375±0.125,0.997±0.0,0.0154±0.002,0.0331±0.003,0.7961±0.012,0.3441±0.037,0.0563±0.012,0.6559±0.037,0.9437±0.012,0.0539±0.022,0.3123±0.016,0.7703±0.008,0.2946±0.057,0.1261±0.053,0.7054±0.057,0.8739±0.053,0.0555±0.012,0.4051±0.005,0.7657±0.011,0.2459±0.064,0.192±0.072,0.7541±0.064,0.808±0.072,0.0556±0.016,0.4644±0.012,0.7442±0.003,0.1834±0.049,0.2928±0.061,0.8166±0.049,0.7072±0.061,0.0794±0.041,0.4493±0.028,0.8516±0.003,0.1392±0.027,0.2193±0.022,0.003±0.0,0.061±0.004,0.1288±0.04,0.2113±0.041,0.3108±0.038,0.625±0.125,0.3441±0.019,0.2682±0.022,0.2255±0.021,0.1604±0.022,a8a3c2269e,0.9949,0.8516,0.14329999999999998
LNL,0.9061±0.001,0.8248±0.003,0.9785±0.003,0.9865±0.006,0.8844±0.0,0.8627±0.005,0.8106±0.005,0.8805±0.001,0.78±0.003,0.8648±0.0,0.8021±0.002,0.8534±0.001,0.0416±0.006,0.3851±0.004,0.8956±0.001,0.875±0.125,0.0±0.0,0.125±0.125,1.0±0.0,0.0172±0.004,0.0439±0.007,0.7817±0.01,0.3226±0.0,0.0704±0.0,0.6774±0.0,0.9296±0.0,0.1039±0.012,0.3506±0.01,0.7687±0.006,0.2558±0.014,0.1728±0.024,0.7442±0.014,0.8272±0.024,0.0925±0.011,0.4265±0.007,0.7587±0.004,0.1959±0.011,0.2579±0.014,0.8041±0.011,0.7421±0.014,0.0578±0.007,0.4648±0.003,0.7282±0.006,0.1366±0.012,0.3514±0.018,0.8634±0.012,0.6486±0.018,0.0553±0.01,0.4279±0.004,0.8534±0.001,0.1464±0.015,0.215±0.015,0.0±0.0,0.0634±0.007,0.1411±0.019,0.2263±0.022,0.3063±0.024,0.9167±0.144,0.3548±0.032,0.2744±0.019,0.2135±0.017,0.1519±0.01,d9527ee734,0.9865,0.8534,0.1331
EnD,0.9046±0.001,0.8212±0.002,0.9853±0.0,0.9955±0.001,0.8786±0.0,0.8618±0.003,0.7954±0.002,0.8775±0.001,0.7793±0.005,0.8649±0.001,0.8001±0.002,0.8526±0.001,0.0525±0.004,0.3983±0.003,0.8648±0.058,0.75±0.0,0.0±0.0,0.25±0.0,1.0±0.0,0.0208±0.002,0.0397±0.002,0.7483±0.011,0.3871±0.0,0.0657±0.008,0.6129±0.0,0.9343±0.008,0.1052±0.016,0.3461±0.012,0.7809±0.005,0.2868±0.013,0.1182±0.014,0.7132±0.013,0.8818±0.014,0.0903±0.013,0.4318±0.007,0.755±0.002,0.2734±0.016,0.1694±0.019,0.7266±0.016,0.8306±0.019,0.0634±0.007,0.4758±0.002,0.7391±0.01,0.2187±0.024,0.2207±0.017,0.7813±0.024,0.7793±0.017,0.1257±0.011,0.4733±0.009,0.8526±0.001,0.1683±0.005,0.1933±0.004,0.001±0.002,0.0775±0.0,0.194±0.004,0.2449±0.013,0.3153±0.014,0.5833±0.072,0.3226±0.0,0.2233±0.005,0.1959±0.004,0.1509±0.004,2f2837f17e,0.9955,0.8526,0.14290000000000003
ODR,0.9053±0.002,0.8187±0.006,0.9844±0.004,0.9904±0.003,0.869±0.009,0.8599±0.002,0.8078±0.014,0.8819±0.002,0.772±0.009,0.8624±0.003,0.7907±0.003,0.8478±0.002,0.0548±0.029,0.3966±0.015,0.8968±0.001,0.625±0.25,0.003±0.003,0.375±0.25,0.997±0.003,0.0141±0.004,0.0389±0.009,0.7528±0.023,0.3548±0.056,0.0915±0.032,0.6452±0.056,0.9085±0.032,0.0893±0.038,0.3545±0.038,0.7788±0.005,0.2372±0.077,0.1887±0.097,0.7628±0.077,0.8113±0.097,0.08±0.049,0.4302±0.032,0.7667±0.006,0.1952±0.079,0.2833±0.123,0.8048±0.079,0.7167±0.123,0.0767±0.033,0.4841±0.022,0.7314±0.01,0.1385±0.056,0.3829±0.121,0.8615±0.056,0.6171±0.121,0.0626±0.018,0.4479±0.014,0.8478±0.002,0.1757±0.04,0.189±0.043,0.002±0.002,0.0822±0.015,0.1666±0.047,0.2647±0.058,0.3874±0.086,0.5833±0.144,0.3548±0.032,0.2372±0.045,0.1902±0.044,0.1337±0.04,78b27cb22d,0.9904,0.8478,0.14259999999999995
GroupDRO,0.8834±0.005,0.7937±0.004,0.9765±0.0,0.9837±0.004,0.8516±0.018,0.83±0.007,0.7645±0.011,0.8527±0.008,0.7543±0.004,0.8429±0.004,0.7592±0.007,0.8167±0.004,0.0966±0.013,0.4585±0.016,0.8951±0.001,0.875±0.0,0.003±0.0,0.125±0.0,0.997±0.0,0.0737±0.006,0.1086±0.005,0.7717±0.031,0.3118±0.037,0.1127±0.044,0.6882±0.037,0.8873±0.044,0.2074±0.026,0.4727±0.036,0.7586±0.009,0.2155±0.031,0.2337±0.046,0.7845±0.031,0.7663±0.046,0.1491±0.011,0.5156±0.026,0.7334±0.007,0.1952±0.025,0.2894±0.027,0.8048±0.025,0.7106±0.027,0.0992±0.014,0.5231±0.015,0.6611±0.002,0.1834±0.01,0.4032±0.031,0.8166±0.01,0.5968±0.031,0.1109±0.01,0.5008±0.01,0.8167±0.004,0.2278±0.027,0.1766±0.031,0.003±0.0,0.1244±0.027,0.2663±0.033,0.3183±0.037,0.4369±0.052,0.875±0.0,0.2581±0.032,0.1814±0.028,0.1712±0.033,0.1576±0.032,3d95117159,0.9837,0.8167,0.16700000000000004
SWAD,0.9062±0.001,0.8196±0.007,0.9834±0.002,0.9956±0.0,0.8844±0.006,0.8759±0.006,0.8061±0.009,0.8786±0.002,0.7671±0.016,0.8632±0.001,0.8021±0.01,0.85±0.002,0.0227±0.001,0.3799±0.001,0.8986±0.0,0.7917±0.072,0.001±0.002,0.2083±0.072,0.999±0.002,0.0165±0.003,0.0344±0.0,0.805±0.003,0.3226±0.0,0.061±0.004,0.6774±0.0,0.939±0.004,0.0748±0.001,0.3084±0.008,0.7809±0.01,0.2884±0.0,0.1279±0.007,0.7116±0.0,0.8721±0.007,0.0453±0.005,0.4093±0.001,0.7677±0.005,0.2361±0.003,0.19±0.005,0.7639±0.003,0.81±0.005,0.0487±0.003,0.4618±0.002,0.7543±0.007,0.1891±0.008,0.2928±0.01,0.8109±0.008,0.7072±0.01,0.0752±0.004,0.4489±0.002,0.85±0.002,0.1724±0.033,0.1914±0.03,0.003±0.0,0.0704±0.007,0.1675±0.03,0.2675±0.059,0.3514±0.055,0.5833±0.072,0.3226±0.0,0.2403±0.028,0.1973±0.028,0.1328±0.036,0ce21e91d9,0.9956,0.85,0.14560000000000006
