methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.6498±0.064,0.7812±0.143,0.5322±0.032,0.6667±0.024,0.8519±0.064,0.5278±0.024,0.4491±0.076,0.4939±0.071,0.4048±0.338,0.4493±0.182,0.8936±0.128,0.6569±0.082,0.6829±0.082,0.1711±0.019,0.5683±0.031,0.2459±0.086,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1495±0.035,0.3395±0.045,0.2327±0.047,0.9048±0.082,0.1176±0.204,0.0952±0.082,0.8824±0.204,0.2509±0.023,0.7399±0.05,0.5322±0.032,0.3232±0.035,0.3704±0.064,0.0625±0.062,0.5686±0.034,0.8333±0.289,0.2381±0.082,9c6f21cc3e,0.7812,0.5322,0.249
resampling,0.7217±0.039,0.9479±0.09,0.5574±0.013,0.6746±0.069,0.9259±0.085,0.4861±0.064,0.4444±0.05,0.4142±0.004,0.7143±0.071,0.5643±0.038,,,,,,,,,,,,,,,,,,,,,0.3434±0.07,0.2593±0.064,0.0417±0.072,0.6274±0.068,0.3333±0.289,0.2381±0.082,0fc3ec926d,0.9479,0.5574,0.39049999999999996
DomainInd,0.615±0.101,0.8229±0.255,0.4734±0.03,0.6429±0.048,0.8704±0.064,0.4722±0.048,0.4676±0.064,0.4547±0.071,0.6667±0.206,0.5607±0.124,0.9132±0.075,0.7066±0.045,0.7413±0.201,0.2239±0.009,1.0038±0.099,0.321±0.192,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1121±0.002,0.5244±0.031,0.1702±0.036,0.9048±0.082,0.0784±0.068,0.0952±0.082,0.9216±0.068,0.3136±0.02,1.3633±0.153,0.4734±0.03,0.3434±0.035,0.4074±0.128,0.0625±0.062,0.6078±0.034,0.6667±0.289,0.3333±0.083,3f3a019b3c,0.8229,0.4734,0.3495
LAFTR,0.7071±0.078,0.8333±0.144,0.5602±0.051,0.6905±0.063,0.8704±0.128,0.5556±0.024,0.5972±0.097,0.5944±0.123,0.8571±0.071,0.7258±0.052,,,,,,,,,,,,,,,,,,,,,0.3131±0.093,0.2963±0.17,0.1042±0.13,0.5098±0.09,0.3333±0.289,0.2857±0.143,7a023d1fa0,0.8333,0.5602,0.2731
CFair,0.5432±0.196,0.6042±0.262,0.4678±0.185,0.5±0.281,0.5741±0.402,0.4444±0.237,0.7824±0.174,0.7904±0.273,0.619±0.218,0.7047±0.205,,,,,,,,,,,,,,,,,,,,,0.5455±0.417,0.3333±0.222,0.4375±0.488,0.6471±0.386,0.3333±0.577,0.3334±0.165,7ea00b69dc,0.6042,0.4678,0.13639999999999997
LNL,0.532±0.055,0.6042±0.18,0.4986±0.002,0.7222±0.11,0.8333±0.096,0.6389±0.12,0.9769±0.04,0.9473±0.091,0.8095±0.33,0.8784±0.211,,,,,,,,,,,,,,,,,,,,,0.1313±0.227,0.8148±0.321,0.1042±0.18,0.1569±0.272,0.6667±0.577,0.8571±0.247,0cf7ff9506,0.6042,0.4986,0.10559999999999997
EnD,0.5365±0.142,0.6146±0.424,0.4958±0.047,0.5714±0.206,0.6296±0.353,0.5278±0.096,0.875±0.048,0.8333±0.002,0.5238±0.165,0.6786±0.081,,,,,,,,,,,,,,,,,,,,,0.4444±0.297,0.3704±0.128,0.4167±0.397,0.4706±0.204,0.0±0.0,0.4762±0.165,3b96c6866a,0.6146,0.4958,0.11880000000000002
ODR,0.8036±0.026,1.0±0.0,0.6443±0.055,0.7143±0.063,0.9444±0.056,0.5417±0.072,0.5278±0.077,0.4939±0.087,0.8095±0.082,0.6517±0.016,,,,,,,,,,,,,,,,,,,,,0.3232±0.097,0.1481±0.064,0.0625±0.062,0.5687±0.136,0.0±0.0,0.1905±0.082,4ca27c78d5,1.0,0.6443,0.3557
GroupDRO,0.7329±0.014,1.0±0.0,0.549±0.013,0.6905±0.0,0.963±0.032,0.4861±0.024,0.4074±0.053,0.3725±0.034,0.7143±0.071,0.5434±0.051,,,,,,,,,,,,,,,,,,,,,0.3232±0.017,0.2593±0.064,0.0±0.0,0.6275±0.034,0.3333±0.289,0.2381±0.082,1b39e46e8a,1.0,0.549,0.45099999999999996
SWAD,0.78±0.032,1.0±0.0,0.6246±0.051,0.7302±0.036,0.963±0.032,0.5556±0.048,0.4491±0.112,0.451±0.09,0.6667±0.041,0.5588±0.062,0.5581±0.209,0.6926±0.09,0.4874±0.213,,,0.2±0.0,0.8333±0.289,0.0±0.0,0.1667±0.289,1.0±0.0,,,0.301±0.075,0.381±0.082,0.4314±0.09,0.619±0.082,0.5686±0.09,,,0.6246±0.051,0.2828±0.046,0.2222±0.0,0.0±0.0,0.549±0.09,0.3333±0.289,0.1905±0.082,4e03d70459,1.0,0.6246,0.37539999999999996
SAM,0.7441±0.012,0.9792±0.018,0.563±0.022,0.627±0.073,0.8889±0.056,0.4306±0.087,0.3981±0.035,0.3578±0.053,0.7619±0.109,0.5599±0.053,0.9566±0.052,0.6155±0.14,0.5584±0.018,,,0.4489±0.216,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,,,0.2238±0.022,0.9524±0.082,0.0392±0.034,0.0476±0.082,0.9608±0.034,,,0.563±0.022,0.4141±0.122,0.2222±0.111,0.0833±0.095,0.7255±0.148,0.3333±0.289,0.1905±0.082,8e857c83c0,0.9792,0.563,0.4162
