methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8046±0.01,0.7888±0.009,0.8491±0.01,0.7737±0.0,0.7567±0.008,0.8176±0.022,0.9106±0.012,0.9331±0.046,0.9419±0.009,0.9375±0.027,0.8733±0.018,0.9616±0.012,0.9312±0.014,0.1913±0.005,1.0789±0.087,0.709±0.015,0.4009±0.028,0.1429±0.0,0.5991±0.028,0.8571±0.0,0.2011±0.014,1.0312±0.101,0.7954±0.014,0.2315±0.016,0.0588±0.0,0.7685±0.016,0.9412±0.0,0.2163±0.009,1.2022±0.052,0.7888±0.009,0.2292±0.036,0.2242±0.026,0.2434±0.046,0.1765±0.0,0.2432±0.023,0.1852±0.032,a5dde9f975,0.8491,0.7888,0.06030000000000002
resampling,0.7996±0.007,0.7839±0.006,0.8464±0.012,0.7667±0.017,0.7543±0.028,0.7987±0.022,0.9076±0.029,0.953±0.068,0.9472±0.029,0.9501±0.042,0.923±0.015,0.9593±0.031,0.8958±0.026,0.1528±0.016,0.7517±0.048,0.7015±0.032,0.3694±0.021,0.1481±0.018,0.6306±0.021,0.8519±0.018,0.1521±0.003,0.7304±0.065,0.7821±0.031,0.2593±0.032,0.1373±0.034,0.7407±0.032,0.8627±0.034,0.1953±0.016,0.8068±0.013,0.7839±0.006,0.2125±0.054,0.2485±0.014,0.2222±0.069,0.1765±0.0,0.2658±0.008,0.2129±0.032,81f27fb7b2,0.8464,0.7839,0.0625
DomainInd,0.8378±0.006,0.8285±0.007,0.8758±0.011,0.7789±0.005,0.7591±0.007,0.8302±0.0,0.9675±0.008,0.8189±0.036,0.96±0.031,0.8894±0.033,0.9138±0.005,0.9344±0.018,0.9189±0.014,0.2197±0.016,1.2546±0.042,0.6689±0.041,0.3874±0.008,0.1217±0.018,0.6126±0.008,0.8783±0.018,0.234±0.009,1.1842±0.017,0.8±0.025,0.2778±0.0,0.0588±0.0,0.7222±0.0,0.9412±0.0,0.2059±0.012,1.4364±0.122,0.8285±0.007,0.3583±0.062,0.1212±0.037,0.3968±0.069,0.2157±0.034,0.1081±0.047,0.1482±0.016,4b495a3a1e,0.8758,0.8285,0.04730000000000001
LAFTR,0.8086±0.004,0.7939±0.003,0.8519±0.003,0.7649±0.022,0.747±0.03,0.8113±0.0,0.9565±0.043,0.8861±0.082,0.981±0.016,0.9335±0.037,0.8907±0.027,0.9616±0.011,0.9552±0.013,0.2153±0.007,1.1467±0.1,0.7248±0.038,0.4189±0.0,0.127±0.016,0.5811±0.0,0.873±0.016,0.2236±0.006,1.0866±0.082,0.8185±0.015,0.2685±0.042,0.0588±0.0,0.7315±0.042,0.9412±0.0,0.2187±0.014,1.3022±0.152,0.7939±0.003,0.325±0.108,0.1697±0.043,0.3492±0.124,0.2353±0.059,0.1711±0.051,0.1667±0.028,f70ffd31f6,0.8519,0.7939,0.05799999999999994
CFair,0.8304±0.008,0.8192±0.009,0.8633±0.004,0.7965±0.006,0.781±0.013,0.8365±0.011,0.9473±0.009,0.9051±0.04,0.988±0.01,0.9465±0.025,0.8976±0.011,0.9422±0.032,0.951±0.014,0.1885±0.005,0.8284±0.035,0.7306±0.031,0.3694±0.008,0.1164±0.009,0.6306±0.008,0.8836±0.009,0.1923±0.009,0.8211±0.044,0.8222±0.025,0.2222±0.028,0.0588±0.0,0.7778±0.028,0.9412±0.0,0.2047±0.003,0.8472±0.018,0.8192±0.009,0.2708±0.029,0.1545±0.018,0.291±0.033,0.1961±0.034,0.1577±0.021,0.1482±0.016,9d27b2df83,0.8633,0.8192,0.04409999999999992
LNL,0.8388±0.006,0.8264±0.004,0.8709±0.019,0.8088±0.008,0.7908±0.004,0.8553±0.039,0.9799±0.018,0.8537±0.04,0.976±0.031,0.9148±0.01,0.9425±0.004,0.9229±0.036,0.9269±0.034,0.2058±0.025,0.8869±0.079,0.7288±0.03,0.3604±0.021,0.1005±0.009,0.6396±0.021,0.8995±0.009,0.2045±0.029,0.8626±0.056,0.8417±0.026,0.287±0.016,0.0588±0.0,0.713±0.016,0.9412±0.0,0.2238±0.011,0.9497±0.15,0.8264±0.004,0.2917±0.031,0.1182±0.036,0.3228±0.04,0.1765±0.0,0.1126±0.028,0.1296±0.058,dde2146045,0.8709,0.8264,0.044499999999999984
EnD,0.814±0.004,0.7983±0.003,0.8578±0.007,0.7754±0.006,0.7616±0.011,0.8113±0.019,0.9218±0.003,0.9331±0.033,0.9602±0.016,0.9466±0.025,0.8766±0.016,0.9494±0.022,0.9195±0.027,0.1962±0.016,0.9098±0.073,0.7252±0.026,0.4009±0.016,0.127±0.016,0.5991±0.016,0.873±0.016,0.1938±0.018,0.8857±0.06,0.8185±0.023,0.2222±0.028,0.0588±0.0,0.7778±0.028,0.9412±0.0,0.2117±0.019,0.972±0.111,0.7983±0.003,0.2292±0.026,0.2212±0.019,0.2434±0.033,0.1765±0.0,0.2342±0.016,0.1944±0.028,64dea6e197,0.8578,0.7983,0.0595
ODR,0.7694±0.007,0.764±0.004,0.7925±0.013,0.7439±0.013,0.7421±0.015,0.7484±0.029,0.9843±0.012,0.9051±0.054,0.952±0.024,0.9285±0.024,0.9288±0.03,0.9688±0.024,0.9358±0.023,0.2095±0.03,1.2543±0.251,0.6835±0.045,0.4324±0.041,0.1217±0.037,0.5676±0.041,0.8783±0.037,0.2075±0.033,1.131±0.224,0.6926±0.033,0.3333±0.048,0.0784±0.034,0.6667±0.048,0.9216±0.034,0.2571±0.044,1.573±0.321,0.764±0.004,0.2708±0.04,0.2455±0.016,0.291±0.048,0.1961±0.034,0.2297±0.013,0.2778±0.028,41f4f3ce5a,0.7925,0.764,0.02849999999999997
GroupDRO,0.869±0.005,0.8608±0.008,0.8894±0.01,0.8228±0.016,0.8029±0.022,0.8742±0.011,0.9226±0.027,0.9029±0.042,0.9625±0.014,0.9327±0.018,0.9347±0.039,0.9065±0.01,0.9319±0.038,0.2093±0.016,0.5675±0.011,0.7829±0.04,0.2748±0.021,0.1587±0.042,0.7252±0.021,0.8413±0.042,0.196±0.022,0.5733±0.01,0.8361±0.097,0.1852±0.042,0.1176±0.0,0.8148±0.042,0.8824±0.0,0.2774±0.011,0.5523±0.016,0.8608±0.008,0.2333±0.064,0.1364±0.024,0.254±0.073,0.1569±0.034,0.1486±0.023,0.1111±0.028,3591238151,0.8894,0.8608,0.02859999999999996
SWAD,0.8029±0.008,0.7889±0.01,0.8469±0.001,0.7684±0.005,0.7567±0.011,0.7987±0.011,0.9461±0.056,0.9197±0.071,0.966±0.027,0.9428±0.023,0.9055±0.005,0.9592±0.008,0.9197±0.035,0.203±0.009,0.9492±0.147,0.7019±0.012,0.4234±0.021,0.1217±0.009,0.5766±0.021,0.8783±0.009,0.2107±0.018,0.9066±0.134,0.7587±0.046,0.2778±0.0,0.0784±0.034,0.7222±0.0,0.9216±0.034,0.2292±0.008,1.0594±0.182,0.7889±0.01,0.2583±0.073,0.2121±0.047,0.2751±0.087,0.1961±0.034,0.2162±0.062,0.2037±0.016,2ffcd3d1ae,0.8469,0.7889,0.05799999999999994
