methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8423±0.001,0.868±0.003,0.8035±0.006,0.7982±0.008,0.8067±0.008,0.784±0.016,0.8935±0.018,0.95±0.043,0.9887±0.004,0.9694±0.021,0.9289±0.025,0.9762±0.027,0.9651±0.023,0.1869±0.012,0.7418±0.055,0.808±0.032,0.3165±0.0,0.075±0.0,0.6835±0.0,0.925±0.0,0.2024±0.008,0.7358±0.048,0.7491±0.073,0.4086±0.049,0.125±0.0,0.5914±0.049,0.875±0.0,0.1762±0.013,0.7519±0.074,0.8035±0.006,0.2167±0.04,0.1909±0.016,0.1917±0.052,0.2417±0.038,0.1941±0.015,0.1828±0.019,44accfa5ba,0.868,0.8035,0.0645
resampling,0.7452±0.016,0.7654±0.02,0.697±0.015,0.6684±0.055,0.7115±0.055,0.5962±0.057,0.9396±0.033,0.9417±0.052,0.9488±0.025,0.9452±0.039,0.9205±0.023,0.892±0.002,0.9454±0.011,0.1121±0.02,0.663±0.034,0.6751±0.019,0.308±0.015,0.2417±0.063,0.692±0.015,0.7583±0.063,0.1642±0.023,0.6581±0.032,0.491±0.012,0.4086±0.037,0.3±0.05,0.5914±0.037,0.7±0.05,0.1132±0.019,0.6711±0.048,0.697±0.015,0.6042±0.245,0.1333±0.082,0.6±0.288,0.6083±0.202,0.1308±0.064,0.1398±0.13,b8969093c9,0.7654,0.697,0.06840000000000002
DomainInd,0.8174±0.019,0.8451±0.019,0.7761±0.015,0.7544±0.026,0.8011±0.005,0.6761±0.065,0.9157±0.037,0.9±0.05,0.9545±0.007,0.9273±0.028,0.9429±0.015,0.9731±0.022,0.9508±0.017,0.2178±0.008,1.079±0.172,0.7194±0.022,0.384±0.041,0.1±0.025,0.616±0.041,0.9±0.025,0.249±0.008,1.1285±0.161,0.7151±0.065,0.4731±0.037,0.125±0.0,0.5269±0.037,0.875±0.0,0.2116±0.016,0.9962±0.192,0.7761±0.015,0.3917±0.118,0.1394±0.042,0.3417±0.095,0.4417±0.142,0.1266±0.044,0.172±0.037,1ece8c09cf,0.8451,0.7761,0.06899999999999995
LAFTR,0.8±0.005,0.8157±0.008,0.782±0.005,0.7596±0.021,0.7815±0.022,0.723±0.029,0.9312±0.007,0.9083±0.038,0.9886±0.014,0.9485±0.022,0.9627±0.017,0.9601±0.006,0.9192±0.019,0.2187±0.002,1.1966±0.035,0.7729±0.034,0.3376±0.007,0.1±0.0,0.6624±0.007,0.9±0.0,0.2337±0.004,1.2639±0.046,0.7133±0.006,0.3871±0.032,0.125±0.0,0.6129±0.032,0.875±0.0,0.2003±0.005,1.0837±0.025,0.782±0.005,0.2958±0.092,0.2±0.042,0.25±0.109,0.3417±0.076,0.2026±0.046,0.1935±0.032,4f13910e40,0.8157,0.782,0.03369999999999995
CFair,0.7848±0.027,0.8147±0.035,0.7419±0.018,0.7123±0.043,0.7675±0.046,0.6197±0.037,0.9372±0.036,0.875±0.025,0.9193±0.017,0.8971±0.021,0.9494±0.025,0.9417±0.024,0.9233±0.045,0.1885±0.018,0.6916±0.026,0.6885±0.051,0.4388±0.032,0.0833±0.029,0.5612±0.032,0.9167±0.029,0.2437±0.021,0.7132±0.038,0.6093±0.065,0.4946±0.099,0.1167±0.014,0.5054±0.099,0.8833±0.014,0.1787±0.023,0.6555±0.024,0.7419±0.018,0.4708±0.155,0.1545±0.042,0.4083±0.166,0.5333±0.144,0.1435±0.019,0.1828±0.104,df85661230,0.8147,0.7419,0.07279999999999998
LNL,0.8213±0.024,0.8254±0.029,0.8185±0.02,0.7895±0.04,0.8011±0.042,0.77±0.035,0.8814±0.024,0.9667±0.014,0.9815±0.003,0.9741±0.006,0.9441±0.012,0.9719±0.025,0.9462±0.01,0.2223±0.015,0.911±0.074,0.8059±0.077,0.384±0.007,0.1±0.025,0.616±0.007,0.9±0.025,0.2563±0.011,0.9818±0.074,0.7204±0.019,0.4624±0.019,0.0833±0.014,0.5376±0.019,0.9167±0.014,0.1978±0.026,0.7922±0.093,0.8142±0.016,0.2417±0.026,0.1879±0.052,0.225±0.025,0.2583±0.029,0.1856±0.051,0.1936±0.056,621df06ca0,0.8254,0.8185,0.006900000000000017
EnD,0.7686±0.043,0.7926±0.041,0.718±0.06,0.6965±0.101,0.7339±0.064,0.6338±0.162,0.9017±0.082,0.975±0.0,0.929±0.093,0.952±0.047,0.9252±0.029,0.9203±0.057,0.9307±0.027,0.202±0.008,0.7874±0.111,0.7075±0.078,0.4346±0.105,0.0833±0.014,0.5654±0.105,0.9167±0.014,0.2424±0.028,0.8028±0.089,0.5968±0.183,0.5591±0.178,0.0917±0.029,0.4409±0.178,0.9083±0.029,0.1574±0.028,0.7616±0.148,0.718±0.06,0.4875±0.413,0.1697±0.145,0.4833±0.427,0.4917±0.399,0.1561±0.125,0.2043±0.21,9fef184a49,0.7926,0.718,0.0746
ODR,0.7188±0.034,0.7206±0.05,0.7091±0.005,0.6263±0.04,0.6751±0.021,0.5446±0.086,0.9458±0.042,0.95±0.05,0.965±0.019,0.9575±0.034,0.9476±0.049,0.9256±0.051,0.9668±0.003,0.1971±0.069,0.7754±0.131,0.5865±0.103,0.6371±0.339,0.1±0.132,0.3629±0.339,0.9±0.132,0.2594±0.063,0.8087±0.152,0.5376±0.019,0.7419±0.276,0.1±0.132,0.2581±0.276,0.9±0.132,0.1526±0.038,0.7198±0.097,0.6957±0.028,0.7667±0.202,0.0879±0.078,0.7917±0.194,0.7417±0.213,0.0886±0.076,0.086±0.093,a81ceafd1a,0.7206,0.7091,0.011500000000000066
GroupDRO,0.8252±0.037,0.827±0.045,0.8288±0.011,0.7649±0.042,0.7787±0.049,0.7418±0.041,0.9115±0.064,0.9583±0.038,0.9435±0.051,0.9509±0.04,0.9517±0.028,0.9647±0.019,0.9295±0.034,0.1805±0.01,0.6088±0.035,0.7342±0.07,0.3249±0.051,0.15±0.043,0.6751±0.051,0.85±0.043,0.2307±0.021,0.6151±0.045,0.7527±0.049,0.3548±0.032,0.1167±0.014,0.6452±0.032,0.8833±0.014,0.2148±0.005,0.5984±0.02,0.8153±0.03,0.3042±0.064,0.1848±0.028,0.2833±0.058,0.325±0.075,0.1899±0.046,0.172±0.049,c241073ac1,0.8288,0.827,0.0018000000000000238
SWAD,0.7958±0.026,0.8147±0.029,0.775±0.02,0.7456±0.046,0.7703±0.027,0.7042±0.078,0.9125±0.019,0.9417±0.014,0.9736±0.031,0.9576±0.015,0.9103±0.012,0.9674±0.01,0.9368±0.007,0.2052±0.008,1.0289±0.198,0.7384±0.048,0.3629±0.048,0.0917±0.029,0.6371±0.048,0.9083±0.029,0.2243±0.014,1.0586±0.191,0.7025±0.066,0.4839±0.085,0.1333±0.029,0.5161±0.085,0.8667±0.029,0.2039±0.011,0.9791±0.211,0.775±0.02,0.3375±0.137,0.1939±0.029,0.3083±0.138,0.3667±0.138,0.1899±0.033,0.2043±0.037,78763d2f1d,0.8147,0.775,0.03969999999999996
SAM,0.8609±0.003,0.8605±0.011,0.8669±0.003,0.814±0.008,0.8235±0.015,0.7981±0.008,0.891±0.014,0.9667±0.029,0.9643±0.034,0.9655±0.004,0.9684±0.024,0.9637±0.009,0.9742±0.013,0.2025±0.01,0.5902±0.011,0.8439±0.019,0.4051±0.022,0.075±0.0,0.5949±0.022,0.925±0.0,0.2508±0.003,0.6337±0.017,0.8065±0.032,0.4516±0.032,0.075±0.025,0.5484±0.032,0.925±0.025,0.1666±0.036,0.5174±0.005,0.8596±0.009,0.25±0.043,0.1394±0.019,0.2333±0.058,0.2667±0.029,0.1477±0.007,0.1183±0.049,033ea901e7,0.8669,0.8605,0.006399999999999961
