methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8615±0.018,0.9152±0.022,0.7968±0.067,0.7953±0.02,0.8172±0.037,0.7692±0.077,0.8002±0.053,0.877±0.097,0.9123±0.047,0.8946±0.058,0.9161±0.006,0.8875±0.084,0.8466±0.109,0.1779±0.05,0.5738±0.076,0.7053±0.146,0.4211±0.105,0.0556±0.096,0.5789±0.105,0.9444±0.096,0.2823±0.068,0.6627±0.229,0.6178±0.004,0.5333±0.115,0.0635±0.055,0.4667±0.115,0.9365±0.055,0.1465±0.014,0.4677±0.113,0.7968±0.067,0.1616±0.097,0.2639±0.087,0.0833±0.083,0.2063±0.12,0.2456±0.08,0.3333±0.115,51b2329c3f,0.9152,0.7968,0.11840000000000006
resampling,0.9251±0.019,0.9444±0.017,0.9079±0.095,0.8363±0.02,0.8065±0.0,0.8718±0.044,0.7423±0.085,0.9325±0.048,0.9053±0.104,0.9189±0.031,,,,,,,,,,,,,,,,,,,,,0.1313±0.046,0.2083±0.042,0.1389±0.048,0.127±0.073,0.2281±0.03,0.1333±0.115,1d508b5b8b,0.9444,0.9079,0.03649999999999998
DomainInd,0.8489±0.054,0.8977±0.02,0.8921±0.086,0.8129±0.041,0.7634±0.037,0.8718±0.044,0.8714±0.048,0.9008±0.007,0.7649±0.187,0.8329±0.096,,,,,,,,,,,,,,,,,,,,,0.0909±0.052,0.3194±0.087,0.0278±0.048,0.127±0.055,0.3684±0.053,0.1333±0.231,7c3443f205,0.8977,0.8921,0.005600000000000049
LAFTR,0.8994±0.058,0.9254±0.049,0.9206±0.048,0.8363±0.054,0.8172±0.074,0.859±0.044,0.7146±0.143,0.9524±0.041,0.786±0.06,0.8692±0.032,,,,,,,,,,,,,,,,,,,,,0.1111±0.106,0.2361±0.168,0.1111±0.096,0.1111±0.12,0.2281±0.161,0.2667±0.306,e7ec7da233,0.9254,0.9206,0.0048000000000000265
CFair,0.9407±0.021,0.9708±0.009,0.8889±0.029,0.8772±0.03,0.871±0.0,0.8846±0.067,0.7039±0.091,0.9048±0.043,0.9684±0.018,0.9366±0.013,,,,,,,,,,,,,,,,,,,,,0.0808±0.046,0.1806±0.024,0.0555±0.048,0.0953±0.083,0.1754±0.03,0.2±0.0,74416ef37b,0.9708,0.8889,0.08189999999999997
LNL,0.8708±0.029,0.8757±0.033,0.9238±0.069,0.8187±0.027,0.7849±0.049,0.859±0.118,0.6609±0.01,0.8889±0.086,0.8596±0.144,0.8743±0.038,0.7539±0.106,0.8506±0.062,0.8831±0.03,0.1891±0.024,0.5465±0.15,0.6982±0.047,0.3509±0.03,0.0833±0.083,0.6491±0.03,0.9167±0.083,0.2634±0.007,0.7254±0.186,0.92±0.139,0.5333±0.503,0.0476±0.048,0.4667±0.503,0.9524±0.048,0.1599±0.035,0.3332±0.114,0.8605±0.012,0.1515±0.091,0.2222±0.064,0.2222±0.048,0.1111±0.12,0.2105±0.105,0.2667±0.115,5007813eb2,0.9238,0.8757,0.04809999999999992
EnD,0.7761±0.067,0.8553±0.023,0.7143±0.076,0.6784±0.124,0.7634±0.099,0.5769±0.168,0.7659±0.171,0.9365±0.1,0.7018±0.216,0.8191±0.093,0.94±0.06,0.8464±0.12,0.7766±0.117,0.1633±0.067,0.5885±0.074,0.7053±0.036,0.6491±0.308,0.0833±0.144,0.3509±0.308,0.9167±0.144,0.2842±0.039,0.6557±0.155,0.5±0.087,0.7333±0.231,0.0794±0.099,0.2667±0.231,0.9206±0.099,0.2058±0.004,0.5085±0.061,0.7143±0.076,0.4242±0.241,0.1806±0.064,0.3889±0.173,0.4444±0.279,0.1403±0.08,0.3333±0.306,7dba701497,0.8553,0.7143,0.1409999999999999
ODR,0.8897±0.017,0.9269±0.039,0.8317±0.088,0.8187±0.02,0.828±0.049,0.8077±0.102,0.7849±0.098,0.8849±0.108,0.8421±0.1,0.8635±0.04,0.8737±0.055,0.884±0.033,0.8593±0.031,0.1268±0.021,0.4579±0.039,0.8614±0.071,0.2807±0.08,0.0833±0.083,0.7193±0.08,0.9167±0.083,0.2018±0.019,0.4803±0.096,0.4723±0.139,0.2667±0.231,0.127±0.055,0.7333±0.231,0.873±0.055,0.1772±0.035,0.4311±0.033,0.8145±0.059,0.1818±0.08,0.1806±0.087,0.1389±0.127,0.2063±0.099,0.193±0.122,0.1333±0.115,4627446c5b,0.9269,0.8317,0.09519999999999995
GroupDRO,0.8396±0.011,0.8991±0.046,0.727±0.052,0.807±0.018,0.8172±0.049,0.7949±0.097,0.6977±0.09,0.9008±0.096,0.7123±0.047,0.8065±0.025,0.8649±0.079,0.8602±0.026,0.8223±0.149,,,0.7766±0.062,0.2456±0.219,0.2222±0.241,0.7544±0.219,0.7778±0.241,,,0.55±0.095,0.3333±0.306,0.3492±0.525,0.6667±0.306,0.6508±0.525,,,0.727±0.052,0.1111±0.093,0.3056±0.087,0.0833±0.0,0.127±0.145,0.2456±0.08,0.5333±0.115,5b72027e0e,0.8991,0.727,0.17210000000000003
SWAD,0.8598±0.033,0.8918±0.011,0.819±0.1,0.8187±0.02,0.7527±0.049,0.8974±0.022,0.7581±0.035,0.9921±0.014,0.8456±0.072,0.9188±0.041,0.9121±0.04,0.9207±0.035,0.8171±0.042,,,0.7632±0.061,0.2982±0.03,0.1667±0.083,0.7018±0.03,0.8333±0.083,,,0.5867±0.031,0.3333±0.115,0.2222±0.073,0.6667±0.115,0.7778±0.073,,,0.8111±0.089,0.0505±0.087,0.3611±0.168,0.0556±0.096,0.0476±0.083,0.3684±0.139,0.3333±0.306,94d80a36a7,0.8918,0.819,0.07280000000000009
SAM,0.6654±0.113,0.6433±0.097,0.7175±0.128,0.6199±0.103,0.7097±0.085,0.5128±0.16,0.8929±0.032,0.8333±0.036,0.8877±0.032,0.8605±0.004,0.994±0.01,0.8305±0.023,0.9463±0.032,0.2022±0.01,0.6978±0.034,0.2877±0.232,0.6667±0.577,0.3056±0.529,0.3333±0.577,0.6944±0.529,0.2939±0.101,0.7831±0.14,0.3333±0.258,0.6667±0.577,0.3175±0.55,0.3333±0.577,0.6825±0.55,0.2546±0.154,0.5961±0.128,0.6408±0.099,0.5354±0.282,0.1667±0.144,0.5±0.382,0.5556±0.235,0.1579±0.139,0.2±0.2,748732b8dc,0.7175,0.6433,0.07420000000000004
