methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.7193±0.042,0.7391±0.057,0.65±0.044,0.6667±0.038,0.697±0.052,0.5882±0.0,0.7963±0.173,0.8611±0.15,0.7449±0.199,0.803±0.127,0.8317±0.155,0.911±0.048,0.8097±0.132,0.2026±0.089,0.7525±0.169,0.4991±0.087,0.3768±0.395,0.4127±0.361,0.6232±0.395,0.5873±0.361,0.2623±0.087,0.7634±0.245,0.3867±0.083,0.5333±0.231,0.25±0.22,0.4667±0.231,0.75±0.22,0.3113±0.041,0.7242±0.028,0.65±0.044,0.4545±0.139,0.1905±0.09,0.4762±0.208,0.4167±0.083,0.1449±0.09,0.4±0.2,b6699fa8d0,0.7391,0.65,0.08909999999999996
resampling,0.6995±0.019,0.7005±0.016,0.6278±0.038,0.6011±0.062,0.6061±0.066,0.5882±0.059,0.6689±0.054,0.6984±0.014,0.7391±0.13,0.7188±0.061,0.8141±0.114,0.8376±0.14,0.7591±0.077,0.2257±0.093,0.7432±0.093,0.4696±0.031,0.2464±0.276,0.5079±0.324,0.7536±0.276,0.4921±0.324,0.2166±0.089,0.7315±0.079,0.2756±0.139,0.4±0.2,0.3611±0.127,0.6±0.2,0.6389±0.127,0.3421±0.067,0.7737±0.162,0.6278±0.038,0.6364±0.105,0.119±0.021,0.746±0.11,0.4444±0.096,0.0725±0.025,0.3333±0.115,46b6f3f26c,0.7005,0.6278,0.07269999999999999
DomainInd,0.702±0.03,0.7095±0.012,0.5778±0.096,0.6393±0.033,0.6667±0.013,0.5686±0.09,0.7402±0.077,0.8571±0.102,0.7014±0.025,0.7793±0.051,0.807±0.005,0.8191±0.072,0.8254±0.009,0.2917±0.09,1.2154±0.668,0.3886±0.093,0.1449±0.181,0.6032±0.198,0.8551±0.181,0.3968±0.198,0.2618±0.093,1.1836±0.715,0.3733±0.092,0.4±0.2,0.4722±0.192,0.6±0.2,0.5278±0.192,0.401±0.051,1.2978±0.552,0.5778±0.096,0.5354±0.063,0.1548±0.021,0.5873±0.027,0.4444±0.127,0.1015±0.025,0.4±0.0,a056a98039,0.7095,0.5778,0.13170000000000004
LAFTR,0.7691±0.051,0.7702±0.042,0.6833±0.117,0.6885±0.075,0.7121±0.026,0.6275±0.207,0.6662±0.138,0.8056±0.196,0.6435±0.043,0.7245±0.076,0.8973±0.014,0.8328±0.076,0.7465±0.115,0.2597±0.086,0.8829±0.269,0.5213±0.089,0.0145±0.025,0.6032±0.073,0.9855±0.025,0.3968±0.073,0.239±0.088,0.8308±0.258,0.4067±0.081,0.2±0.0,0.5833±0.083,0.8±0.0,0.4167±0.083,0.3963±0.097,1.0177±0.362,0.6833±0.117,0.4848±0.169,0.1071±0.036,0.5556±0.099,0.3611±0.293,0.0435±0.044,0.4±0.0,c370ea9f9c,0.7702,0.6833,0.08689999999999998
CFair,0.6573±0.058,0.6618±0.049,0.5833±0.073,0.5902±0.091,0.6136±0.091,0.5294±0.102,0.8743±0.061,0.9167±0.072,0.8435±0.16,0.8801±0.045,0.7965±0.092,0.799±0.008,0.7601±0.138,0.1746±0.047,0.8095±0.213,0.3652±0.063,0.4493±0.28,0.4286±0.333,0.5507±0.28,0.5714±0.333,0.162±0.034,0.7567±0.128,0.288±0.115,0.7333±0.115,0.3056±0.315,0.2667±0.115,0.6944±0.315,0.3036±0.063,0.9463±0.437,0.5833±0.073,0.6364±0.289,0.1429±0.156,0.6667±0.312,0.5833±0.25,0.1305±0.115,0.2±0.346,88e716ce93,0.6618,0.5833,0.07850000000000001
LNL,0.706±0.049,0.6881±0.045,0.6556±0.042,0.6393±0.075,0.6439±0.052,0.6275±0.148,0.7371±0.095,0.7817±0.108,0.8348±0.057,0.8083±0.06,0.8579±0.11,0.9106±0.064,0.7214±0.087,0.247±0.048,0.796±0.084,0.3351±0.045,0.029±0.025,0.873±0.099,0.971±0.025,0.127±0.099,0.2306±0.053,0.7674±0.083,0.376±0.1,0.1333±0.231,0.7222±0.127,0.8667±0.231,0.2778±0.127,0.3701±0.016,0.8702±0.086,0.6556±0.042,0.5556±0.202,0.131±0.074,0.6349±0.18,0.4167±0.25,0.1015±0.066,0.2667±0.115,7b0c9f0c0b,0.6881,0.6556,0.032500000000000084
EnD,0.6075±0.033,0.6163±0.043,0.5833±0.093,0.5738±0.033,0.5833±0.026,0.549±0.068,0.7701±0.19,0.7817±0.142,0.7913±0.226,0.7865±0.169,1.0±0.0,0.813±0.109,0.8267±0.2,0.1285±0.022,0.696±0.002,0.3546±0.055,0.0±0.0,1.0±0.0,1.0±0.0,0.0±0.0,0.1356±0.025,0.6905±0.001,0.344±0.079,0.0±0.0,1.0±0.0,1.0±0.0,0.0±0.0,0.3021±0.027,0.7101±0.007,0.5447±0.039,0.6667±0.121,0.1429±0.071,0.746±0.073,0.5278±0.21,0.1159±0.025,0.2667±0.306,e2e782203b,0.6163,0.5833,0.03299999999999992
ODR,0.7468±0.035,0.7509±0.027,0.6389±0.069,0.6503±0.009,0.6742±0.013,0.5882±0.0,0.8128±0.046,0.9206±0.059,0.8116±0.078,0.8661±0.048,0.9289±0.065,0.7939±0.088,0.8274±0.068,0.3064±0.133,1.1711±0.659,0.5159±0.113,0.4348±0.501,0.381±0.381,0.5652±0.501,0.619±0.381,0.3092±0.173,1.2131±0.798,0.4667±0.023,0.5333±0.416,0.3611±0.337,0.4667±0.416,0.6389±0.337,0.3402±0.101,1.0622±0.347,0.6389±0.069,0.4949±0.076,0.1786±0.071,0.5238±0.095,0.4445±0.048,0.1449±0.066,0.3333±0.115,0ab065e810,0.7509,0.6389,0.11199999999999999
GroupDRO,0.7594±0.035,0.7764±0.009,0.6667±0.076,0.6557±0.033,0.697±0.013,0.549±0.09,0.8837±0.096,0.9167±0.021,0.8493±0.065,0.883±0.039,0.8861±0.095,0.8299±0.079,0.8368±0.126,0.3092±0.012,1.0191±0.131,0.5217±0.057,0.5797±0.465,0.2222±0.385,0.4203±0.465,0.7778±0.385,0.3396±0.044,1.0447±0.199,0.3093±0.15,0.7333±0.306,0.1944±0.337,0.2667±0.306,0.8056±0.337,0.3028±0.116,0.9526±0.179,0.6667±0.076,0.5152±0.109,0.1429±0.062,0.5079±0.073,0.5278±0.173,0.116±0.05,0.2667±0.115,246e6eeae8,0.7764,0.6667,0.10970000000000002
SWAD,0.7843±0.01,0.7833±0.008,0.7167±0.06,0.6995±0.025,0.7121±0.035,0.6667±0.034,0.7117±0.025,0.8254±0.03,0.7536±0.102,0.7895±0.036,0.8003±0.046,0.8671±0.103,0.8076±0.057,0.1413±0.026,0.586±0.045,0.5043±0.076,0.1594±0.025,0.4127±0.027,0.8406±0.025,0.5873±0.027,0.1597±0.022,0.5799±0.038,0.4533±0.024,0.4±0.0,0.2778±0.127,0.6±0.0,0.7222±0.127,0.2574±0.053,0.6019±0.068,0.715±0.057,0.4444±0.093,0.131±0.074,0.5079±0.099,0.3333±0.083,0.087±0.075,0.3333±0.115,9fa4695bac,0.7833,0.7167,0.06659999999999999
