methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8809±0.001,0.8872±0.009,0.7488±0.045,0.8642±0.002,0.8124±0.017,0.8869±0.001,0.8622±0.009,0.8807±0.002,0.9056±0.01,0.8359±0.001,0.9554±0.003,0.7836±0.009,0.0126±0.002,0.2253±0.0,0.7637±0.031,0.4556±0.107,0.0897±0.024,0.5444±0.107,0.9103±0.024,0.0711±0.013,0.3742±0.002,0.823±0.006,0.628±0.046,0.0417±0.006,0.372±0.046,0.9583±0.006,0.0331±0.009,0.3317±0.003,0.8326±0.015,0.8392±0.011,0.0116±0.001,0.1608±0.011,0.9884±0.001,0.0208±0.002,0.2607±0.001,0.7269±0.017,0.9632±0.004,0.002±0.001,0.0368±0.004,0.998±0.001,0.0063±0.002,0.2023±0.001,0.7518±0.03,0.9798±0.009,0.0006±0.0,0.0202±0.009,0.9994±0.0,0.0072±0.002,0.1233±0.002,0.8359±0.001,0.0814±0.014,0.3918±0.036,0.2756±0.072,0.1866±0.03,0.1305±0.016,0.0748±0.013,0.0374±0.004,0.1666±0.058,0.1913±0.035,0.3267±0.041,0.6077±0.032,0.7778±0.044,ca8bcec76c,0.8869,0.7836,0.10330000000000006
resampling,0.8664±0.004,0.8723±0.002,0.7139±0.004,0.7525±0.011,0.7907±0.003,0.8004±0.002,0.8447±0.003,0.777±0.004,0.8904±0.004,0.6757±0.006,0.9519±0.003,0.6116±0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1±0.003,0.3745±0.007,0.3173±0.017,0.2161±0.005,0.1323±0.003,0.0737±0.005,0.0218±0.003,0.1778±0.039,0.183±0.005,0.3138±0.006,0.5748±0.017,0.755±0.019,5df951247b,0.8004,0.6116,0.18879999999999997
DomainInd,0.8785±0.001,0.8862±0.004,0.7164±0.03,0.7422±0.02,0.8201±0.007,0.8092±0.005,0.8641±0.005,0.7767±0.007,0.9±0.003,0.6647±0.01,0.9537±0.004,0.5906±0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0811±0.007,0.4044±0.019,0.3045±0.039,0.1724±0.014,0.1063±0.008,0.0607±0.005,0.0183±0.006,0.2111±0.019,0.2091±0.024,0.3403±0.019,0.61±0.026,0.8005±0.05,e77e7eb40c,0.8092,0.5906,0.21860000000000002
LAFTR,0.8788±0.001,0.886±0.005,0.7413±0.004,0.8511±0.029,0.8094±0.006,0.8847±0.004,0.8595±0.006,0.8767±0.002,0.9042±0.005,0.8345±0.002,0.9592±0.002,0.843±0.002,,,0.7113±0.094,0.4111±0.084,0.1218±0.024,0.5889±0.084,0.8782±0.024,,,0.841±0.004,0.4391±0.106,0.088±0.025,0.5609±0.106,0.912±0.025,,,0.8336±0.009,0.6829±0.105,0.0361±0.016,0.3171±0.105,0.9639±0.016,,,0.7382±0.012,0.8963±0.049,0.0091±0.005,0.1037±0.049,0.9909±0.005,,,0.7524±0.025,0.952±0.038,0.0022±0.001,0.048±0.038,0.9978±0.001,,,0.8287±0.01,0.0827±0.008,0.3922±0.023,0.1353±0.01,0.039±0.006,,,,0.2632±0.016,0.688±0.039,,,,e0f6ba3ed6,0.8847,0.8345,0.05020000000000002
CFair,0.8685±0.004,0.8717±0.008,0.7687±0.02,0.8413±0.03,0.8269±0.004,0.8801±0.002,0.8589±0.005,0.8735±0.005,0.8759±0.012,0.8297±0.002,0.9243±0.016,0.8232±0.009,0.0166±0.009,0.2374±0.005,0.672±0.064,0.8±0.2,0.0256±0.015,0.2±0.2,0.9744±0.015,0.0944±0.026,0.4074±0.046,0.8276±0.017,0.8027±0.115,0.0252±0.017,0.1973±0.115,0.9748±0.017,0.0699±0.023,0.3624±0.02,0.8338±0.015,0.8585±0.082,0.0158±0.008,0.1415±0.082,0.9842±0.008,0.0285±0.011,0.2702±0.009,0.725±0.008,0.8832±0.017,0.0126±0.004,0.1168±0.017,0.9874±0.004,0.0185±0.002,0.2101±0.001,0.6772±0.015,0.9015±0.035,0.0079±0.002,0.0985±0.035,0.9921±0.002,0.0201±0.008,0.1356±0.003,0.8177±0.006,0.1006±0.012,0.3745±0.023,0.1987±0.011,0.1487±0.008,0.1149±0.007,0.0953±0.017,0.0545±0.02,0.3445±0.069,0.268±0.021,0.3219±0.022,0.4966±0.054,0.649±0.091,595aeab4c0,0.8801,0.8232,0.05689999999999995
LNL,0.8524±0.002,0.8628±0.008,0.5796±0.114,0.6896±0.052,0.7546±0.029,0.7747±0.009,0.8317±0.012,0.7548±0.002,0.8904±0.01,0.6438±0.021,0.9524±0.005,0.5741±0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1063±0.012,0.4127±0.028,0.5096±0.168,0.2594±0.045,0.1423±0.016,0.0684±0.015,0.0185±0.007,0.1111±0.084,0.1913±0.034,0.3481±0.016,0.644±0.057,0.8333±0.06,6964746ad3,0.7747,0.5741,0.2006
EnD,0.8763±0.001,0.8807±0.007,0.7587±0.055,,0.8166±0.012,,0.8536±0.009,,0.8969±0.007,,0.9493±0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266±0.075,0.1818±0.023,0.1232±0.016,0.0672±0.009,0.0245±0.003,0.1556±0.019,0.1901±0.03,0.3075±0.041,0.5691±0.026,0.7576±0.027,9c57764a58,,,
ODR,0.8719±0.004,0.8812±0.004,0.7363±0.053,0.8387±0.054,0.8133±0.005,0.8739±0.007,0.8554±0.006,0.8702±0.003,0.8978±0.004,0.8283±0.006,0.95±0.005,0.8349±0.013,0.0157±0.007,0.233±0.003,0.6628±0.089,0.4333±0.115,0.1442±0.017,0.5667±0.115,0.8558±0.017,0.0871±0.007,0.398±0.044,0.8151±0.013,0.5882±0.138,0.068±0.024,0.4118±0.138,0.932±0.024,0.0298±0.013,0.3428±0.011,0.8054±0.011,0.7572±0.113,0.0253±0.013,0.2428±0.113,0.9747±0.013,0.0179±0.008,0.2686±0.003,0.7298±0.007,0.9178±0.039,0.0086±0.004,0.0822±0.039,0.9914±0.004,0.017±0.008,0.2085±0.003,0.7302±0.018,0.947±0.042,0.0029±0.001,0.053±0.042,0.9971±0.001,0.0238±0.004,0.131±0.005,0.8131±0.031,0.0872±0.007,0.4004±0.023,0.2949±0.058,0.1828±0.008,0.1151±0.011,0.0637±0.006,0.0236±0.006,0.1555±0.039,0.202±0.013,0.3481±0.031,0.6014±0.023,0.7601±0.056,c0559ec3b8,0.8739,0.8283,0.045599999999999974
GroupDRO,0.8531±0.003,0.8659±0.006,0.7214±0.028,0.7256±0.02,0.7887±0.005,0.7904±0.002,0.8387±0.009,0.7638±0.009,0.8813±0.006,0.6567±0.022,0.9472±0.001,0.5933±0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1041±0.01,0.401±0.031,0.2821±0.039,0.2124±0.009,0.136±0.014,0.0811±0.011,0.0255±0.002,0.2667±0.033,0.2068±0.011,0.3363±0.032,0.6054±0.054,0.7879±0.027,e6ee8038f2,0.7904,0.5933,0.19709999999999994
SWAD,0.8876±0.001,0.8939±0.007,0.7786±0.019,0.8811±0.008,0.8239±0.009,0.892±0.001,0.8709±0.009,0.8886±0.0,0.9105±0.005,0.8459±0.002,0.9579±0.004,0.8483±0.003,,,0.724±0.063,0.3556±0.038,0.1538±0.01,0.6444±0.038,0.8462±0.01,,,0.847±0.008,0.372±0.02,0.0958±0.005,0.628±0.02,0.9042±0.005,,,0.8546±0.002,0.5965±0.013,0.0392±0.002,0.4035±0.013,0.9608±0.002,,,0.7463±0.01,0.8577±0.004,0.0108±0.001,0.1423±0.004,0.9892±0.001,,,0.7699±0.015,0.9495±0.012,0.0024±0.001,0.0505±0.012,0.9976±0.001,,,0.8458±0.002,0.0738±0.012,0.3937±0.043,0.2308±0.029,0.1733±0.016,0.1012±0.017,0.0484±0.01,0.0143±0.005,0.1889±0.019,0.1871±0.021,0.3219±0.047,0.6225±0.062,0.7904±0.044,25fe1f19c5,0.892,0.8459,0.04610000000000003
SAM,0.8681±0.001,0.8699±0.002,0.6144±0.009,0.8049±0.006,0.7814±0.003,0.8699±0.002,0.8449±0.004,0.8674±0.001,0.8899±0.0,0.8244±0.001,0.949±0.001,0.8183±0.004,,,0.6356±0.019,0.5556±0.051,0.1186±0.015,0.4444±0.051,0.8814±0.015,,,0.785±0.011,0.6477±0.047,0.0515±0.013,0.3523±0.047,0.9485±0.013,,,0.8052±0.008,0.8274±0.046,0.0153±0.004,0.1726±0.046,0.9847±0.004,,,0.7391±0.005,0.966±0.012,0.0035±0.001,0.034±0.012,0.9965±0.001,,,0.6902±0.026,0.9848±0.008,0.0002±0.0,0.0152±0.008,0.9998±0.0,,,0.8049±0.006,0.1037±0.003,0.3645±0.008,0.4583±0.015,0.2338±0.004,0.1347±0.005,0.0739±0.002,0.0232±0.001,0.1333±0.033,0.1593±0.007,0.296±0.007,0.5793±0.02,0.8005±0.016,6c0167d60c,0.8699,0.8049,0.06500000000000006
