methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test acc-group_5,Test auc-group_5,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test tpr_at_tnr_5,Test fnr_at_thres-group_5,Test fpr_at_thres-group_5,Test recall_at_thres-group_5,Test specificity_at_thres-group_5,Test ECE-group_5,Test BCE-group_5,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FPR-group_5,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Test FNR-group_5,hash,Max AUC,Min AUC,AUC Gap
baseline,0.896±0.006,0.9047±0.013,0.9126±0.009,0.8945±0.011,0.8932±0.009,0.8888±0.005,0.8942±0.014,0.8961±0.011,0.9134±0.019,0.9071±0.006,0.9282±0.017,0.8975±0.025,0.9204±0.031,0.8915±0.034,0.0546±0.045,0.2772±0.054,0.8421±0.031,0.4444±0.116,0.0452±0.026,0.5556±0.116,0.9548±0.026,0.0652±0.036,0.2745±0.057,0.8279±0.024,0.4689±0.165,0.0446±0.034,0.5311±0.165,0.9554±0.034,0.0578±0.025,0.316±0.033,0.8494±0.02,0.4133±0.15,0.0511±0.042,0.5867±0.15,0.9489±0.042,0.0632±0.045,0.2918±0.067,0.8359±0.015,0.5054±0.166,0.0379±0.045,0.4946±0.166,0.9621±0.045,0.0658±0.051,0.241±0.063,0.8176±0.058,0.6667±0.115,0.0224±0.033,0.3333±0.115,0.9776±0.033,0.072±0.037,0.2078±0.07,0.6613±0.091,0.8333±0.289,0.0423±0.033,0.1667±0.289,0.9577±0.033,0.1168±0.065,0.2321±0.077,0.8742±0.012,0.0537±0.017,0.3496±0.021,0.0518±0.008,0.0539±0.015,0.0709±0.021,0.0474±0.026,0.0348±0.019,0.0476±0.032,0.3162±0.015,0.337±0.023,0.3067±0.046,0.3979±0.037,0.5667±0.058,0.5833±0.144,6db89fae05,0.9071,0.8888,0.018299999999999983
resampling,0.9±0.03,0.896±0.029,0.8954±0.019,0.8944±0.027,0.8782±0.039,0.8833±0.018,0.8932±0.047,0.8948±0.054,0.9085±0.038,0.9457±0.044,0.9375±0.012,0.9075±0.05,0.9005±0.009,0.9299±0.005,0.1102±0.108,0.3601±0.164,0.8739±0.033,0.2564±0.092,0.1129±0.086,0.7436±0.092,0.8871±0.086,0.117±0.101,0.3866±0.132,0.8206±0.032,0.2784±0.093,0.1111±0.114,0.7216±0.093,0.8889±0.114,0.1172±0.09,0.418±0.134,0.8448±0.089,0.2467±0.042,0.1173±0.124,0.7533±0.042,0.8827±0.124,0.1156±0.102,0.3736±0.209,0.9328±0.065,0.1828±0.099,0.1152±0.119,0.8172±0.099,0.8848±0.119,0.1147±0.119,0.2779±0.216,0.7955±0.144,0.3333±0.058,0.0995±0.109,0.6667±0.058,0.9005±0.109,0.1106±0.12,0.2596±0.165,0.7666±0.004,0.3333±0.289,0.1217±0.087,0.6667±0.289,0.8783±0.087,0.1429±0.104,0.312±0.142,0.8735±0.033,0.0729±0.026,0.2948±0.054,0.0797±0.017,0.0758±0.035,0.0778±0.041,0.0718±0.033,0.0398±0.011,0.0794±0.0,0.265±0.03,0.3223±0.066,0.2733±0.081,0.2473±0.081,0.3667±0.115,0.4167±0.144,97347e9372,0.9457,0.8833,0.06240000000000001
DomainInd,0.8788±0.026,0.9024±0.015,0.8966±0.021,0.8722±0.013,0.8768±0.026,0.8653±0.036,0.907±0.012,0.8707±0.017,0.9254±0.009,0.913±0.053,0.9329±0.004,0.9178±0.031,0.9303±0.009,0.9358±0.027,0.1276±0.054,1.1787±0.309,0.8089±0.047,0.2479±0.121,0.1833±0.13,0.7521±0.121,0.8167±0.13,0.1742±0.087,1.6516±0.597,0.7565±0.105,0.3553±0.067,0.1389±0.11,0.6447±0.067,0.8611±0.11,0.1558±0.057,1.197±0.301,0.7837±0.038,0.3±0.035,0.1034±0.067,0.7±0.035,0.8966±0.067,0.1242±0.048,1.5213±0.575,0.853±0.115,0.3333±0.049,0.0772±0.057,0.6667±0.049,0.9228±0.057,0.0994±0.048,0.4976±0.18,0.8648±0.103,0.4667±0.058,0.0498±0.03,0.5333±0.058,0.9502±0.03,0.0763±0.025,0.8073±0.419,0.5608±0.199,0.3333±0.144,0.0899±0.06,0.6667±0.144,0.9101±0.06,0.0993±0.035,0.8883±0.804,0.8589±0.031,0.0474±0.012,0.4044±0.043,0.065±0.024,0.0556±0.023,0.0488±0.013,0.0258±0.002,0.0299±0.007,0.0423±0.018,0.3504±0.053,0.4176±0.04,0.3467±0.042,0.4624±0.067,0.5667±0.058,0.5±0.433,4d80652976,0.9358,0.8653,0.07050000000000001
LAFTR,0.9004±0.011,0.9037±0.006,0.9069±0.01,0.8722±0.015,0.8877±0.013,0.8858±0.017,0.9011±0.01,0.9156±0.025,0.9182±0.009,0.9451±0.013,0.9259±0.021,0.9035±0.072,0.9104±0.015,0.8651±0.082,0.0507±0.025,0.293±0.062,0.7755±0.022,0.5983±0.09,0.0186±0.008,0.4017±0.09,0.9814±0.008,0.0619±0.017,0.31±0.045,0.8099±0.026,0.5311±0.115,0.0194±0.009,0.4689±0.115,0.9806±0.009,0.0795±0.026,0.3882±0.099,0.871±0.054,0.5533±0.13,0.0232±0.011,0.4467±0.13,0.9768±0.011,0.0579±0.023,0.2849±0.055,0.935±0.02,0.4839±0.141,0.019±0.01,0.5161±0.141,0.981±0.01,0.0357±0.023,0.1975±0.046,0.8302±0.08,0.5±0.173,0.0249±0.019,0.5±0.173,0.9751±0.019,0.039±0.007,0.1818±0.064,0.6199±0.181,0.75±0.0,0.0212±0.009,0.25±0.0,0.9788±0.009,0.0665±0.015,0.2011±0.066,0.8365±0.056,0.0542±0.01,0.3541±0.048,0.0491±0.01,0.0505±0.005,0.0604±0.013,0.0556±0.021,0.0547±0.03,0.0635±0.042,0.3761±0.015,0.381±0.055,0.32±0.035,0.2903±0.116,0.3333±0.153,0.5±0.433,0f6a23f41e,0.9451,0.8651,0.08000000000000007
CFair,0.9027±0.016,0.9045±0.025,0.9115±0.022,0.8913±0.022,0.883±0.034,0.8925±0.012,0.8961±0.027,0.8959±0.036,0.917±0.014,0.9457±0.013,0.9468±0.024,0.9132±0.028,0.9303±0.017,0.9352±0.025,0.0514±0.025,0.2682±0.022,0.837±0.029,0.3675±0.03,0.0465±0.016,0.6325±0.03,0.9535±0.016,0.0653±0.03,0.2992±0.032,0.8295±0.014,0.4103±0.034,0.0412±0.013,0.5897±0.034,0.9588±0.013,0.0481±0.014,0.3093±0.024,0.8376±0.032,0.3333±0.023,0.0511±0.017,0.6667±0.023,0.9489±0.017,0.0637±0.028,0.291±0.038,0.9414±0.038,0.3441±0.067,0.0366±0.011,0.6559±0.067,0.9634±0.011,0.0645±0.034,0.2019±0.033,0.8148±0.065,0.5±0.173,0.0199±0.011,0.5±0.173,0.9801±0.011,0.0522±0.041,0.1796±0.049,0.8356±0.121,0.5833±0.289,0.0317±0.016,0.4167±0.289,0.9683±0.016,0.0749±0.017,0.1849±0.025,0.8797±0.019,0.0622±0.032,0.2993±0.02,0.0598±0.035,0.0699±0.05,0.0731±0.035,0.0637±0.014,0.0274±0.019,0.0423±0.009,0.2735±0.065,0.3223±0.039,0.28±0.02,0.2366±0.019,0.4±0.1,0.5±0.25,c2a4d73454,0.9457,0.8913,0.054400000000000004
LNL,0.8917±0.003,0.9035±0.004,0.8897±0.0,0.8581±0.013,0.8898±0.01,0.8834±0.009,0.8952±0.003,0.9012±0.011,0.9182±0.012,0.9059±0.041,0.9468±0.014,0.9391±0.035,0.9502±0.009,0.9683±0.017,0.0397±0.003,0.2782±0.007,0.7774±0.024,0.4701±0.015,0.0359±0.014,0.5299±0.015,0.9641±0.014,0.0415±0.018,0.2902±0.022,0.8022±0.026,0.4689±0.066,0.0354±0.009,0.5311±0.066,0.9646±0.009,0.0582±0.005,0.3366±0.022,0.855±0.061,0.3733±0.064,0.0488±0.021,0.6267±0.064,0.9512±0.021,0.0572±0.008,0.2983±0.027,0.8299±0.078,0.5269±0.215,0.0217±0.008,0.4731±0.215,0.9783±0.008,0.0485±0.017,0.2381±0.049,0.8606±0.045,0.5333±0.153,0.0249±0.011,0.4667±0.153,0.9751±0.011,0.0345±0.014,0.1555±0.052,0.7824±0.01,0.75±0.25,0.0212±0.009,0.25±0.25,0.9788±0.009,0.0579±0.009,0.13±0.02,0.8581±0.013,0.0528±0.002,0.3644±0.028,0.0677±0.008,0.0556±0.003,0.0673±0.011,0.0379±0.013,0.0249±0.011,0.0264±0.009,0.3846±0.051,0.348±0.05,0.32±0.053,0.4301±0.13,0.4333±0.058,0.4167±0.144,bc21fe3ee4,0.9683,0.8581,0.11020000000000008
EnD,0.8582±0.004,0.8847±0.013,0.8805±0.01,0.8319±0.008,0.8494±0.032,0.8443±0.015,0.8783±0.011,0.8778±0.022,0.9218±0.004,0.9175±0.012,0.9306±0.007,0.8182±0.028,0.9403±0.015,0.8029±0.12,0.318±0.002,0.566±0.014,0.7777±0.008,0.8376±0.281,0.0159±0.028,0.1624±0.281,0.9841±0.028,0.3146±0.008,0.5664±0.014,0.7715±0.025,0.8168±0.317,0.0126±0.022,0.1832±0.317,0.9874±0.022,0.2955±0.012,0.5818±0.016,0.8178±0.022,0.8133±0.323,0.0128±0.022,0.1867±0.323,0.9872±0.022,0.3307±0.011,0.5674±0.013,0.8895±0.017,0.7957±0.354,0.0122±0.021,0.2043±0.354,0.9878±0.021,0.3439±0.007,0.5535±0.016,0.6973±0.056,0.9±0.173,0.01±0.017,0.1±0.173,0.99±0.017,0.3508±0.01,0.5441±0.014,0.5673±0.204,0.8333±0.289,0.0053±0.009,0.1667±0.289,0.9947±0.009,0.3713±0.011,0.5404±0.013,0.7649±0.055,0.0792±0.019,0.3363±0.022,0.0863±0.018,0.112±0.035,0.0929±0.023,0.0461±0.002,0.0249±0.009,0.0265±0.018,0.3334±0.044,0.3187±0.019,0.2867±0.064,0.3333±0.049,0.6667±0.058,0.5833±0.382,cb002eae02,0.9175,0.8029,0.11460000000000004
ODR,0.9117±0.008,0.9126±0.016,0.908±0.01,0.8971±0.016,0.8966±0.009,0.905±0.004,0.9159±0.022,0.92±0.018,0.923±0.023,0.938±0.015,0.9398±0.028,0.8624±0.052,0.9303±0.031,0.9418±0.041,0.0592±0.007,0.3252±0.073,0.8415±0.024,0.641±0.2,0.0159±0.014,0.359±0.2,0.9841±0.014,0.0748±0.009,0.3339±0.09,0.8496±0.021,0.63±0.189,0.0152±0.012,0.37±0.189,0.9848±0.012,0.0855±0.012,0.4354±0.135,0.8835±0.05,0.5467±0.186,0.0151±0.011,0.4533±0.186,0.9849±0.011,0.0608±0.013,0.3198±0.057,0.8916±0.047,0.6559±0.229,0.0014±0.002,0.3441±0.229,0.9986±0.002,0.0532±0.002,0.2326±0.016,0.7338±0.045,0.5667±0.306,0.005±0.004,0.4333±0.306,0.995±0.004,0.0376±0.01,0.2072±0.012,0.6903±0.16,0.6667±0.382,0.0053±0.009,0.3333±0.382,0.9947±0.009,0.0646±0.024,0.1499±0.058,0.8569±0.044,0.052±0.025,0.3037±0.038,0.0598±0.02,0.0531±0.021,0.0523±0.033,0.0488±0.031,0.0398±0.026,0.0529±0.024,0.2991±0.074,0.3223±0.042,0.2667±0.042,0.3011±0.037,0.3333±0.058,0.3333±0.289,6590e6efc1,0.9418,0.8624,0.07939999999999992
GroupDRO,0.9198±0.014,0.907±0.019,0.8931±0.021,0.912±0.017,0.8905±0.023,0.8997±0.013,0.9041±0.026,0.9161±0.027,0.9254±0.011,0.9568±0.012,0.9514±0.018,0.9493±0.014,0.9303±0.009,0.9497±0.012,0.0594±0.025,0.2775±0.034,0.8945±0.023,0.2991±0.074,0.085±0.048,0.7009±0.074,0.915±0.048,0.0878±0.026,0.3286±0.034,0.8509±0.026,0.326±0.055,0.0724±0.05,0.674±0.055,0.9276±0.05,0.0688±0.019,0.3442±0.058,0.8812±0.03,0.2733±0.012,0.0674±0.04,0.7267±0.012,0.9326±0.04,0.0624±0.025,0.2792±0.045,0.9641±0.006,0.2903±0.032,0.0501±0.035,0.7097±0.032,0.9499±0.035,0.0585±0.029,0.1868±0.041,0.8789±0.051,0.4±0.1,0.0274±0.011,0.6±0.1,0.9726±0.011,0.0432±0.013,0.1554±0.019,0.706±0.116,0.5±0.0,0.0317±0.016,0.5±0.0,0.9683±0.016,0.0588±0.014,0.2007±0.018,0.8997±0.013,0.0625±0.018,0.28±0.046,0.0837±0.029,0.0682±0.024,0.0708±0.022,0.0488±0.004,0.0249±0.011,0.037±0.009,0.2564±0.068,0.2894±0.028,0.24±0.053,0.2796±0.067,0.3667±0.153,0.5833±0.144,994073b45b,0.9568,0.8997,0.05709999999999993
SWAD,0.9286±0.006,0.9226±0.003,0.9138±0.007,0.9068±0.001,0.9055±0.009,0.9206±0.001,0.9219±0.007,0.9222±0.015,0.9398±0.002,0.97±0.012,0.9606±0.004,0.9413±0.023,0.9353±0.023,0.9524±0.008,0.0358±0.004,0.2303±0.011,0.8765±0.028,0.453±0.053,0.0398±0.007,0.547±0.053,0.9602±0.007,0.0538±0.013,0.2745±0.03,0.8806±0.026,0.3846±0.011,0.0286±0.008,0.6154±0.011,0.9714±0.008,0.0563±0.004,0.2855±0.008,0.8875±0.027,0.2933±0.064,0.0395±0.014,0.7067±0.064,0.9605±0.014,0.0479±0.002,0.2501±0.031,0.9617±0.01,0.2903±0.085,0.0203±0.004,0.7097±0.085,0.9797±0.004,0.0264±0.005,0.1365±0.033,0.8632±0.039,0.4±0.1,0.0149±0.0,0.6±0.1,0.9851±0.0,0.0253±0.0,0.1287±0.004,0.7763±0.005,0.5±0.0,0.0423±0.018,0.5±0.0,0.9577±0.018,0.0558±0.005,0.1449±0.011,0.9068±0.001,0.0458±0.007,0.2711±0.045,0.0531±0.012,0.0471±0.004,0.0523±0.018,0.0406±0.007,0.0224±0.008,0.0476±0.016,0.2992±0.03,0.3004±0.061,0.2267±0.07,0.215±0.067,0.2667±0.058,0.3333±0.144,9991f76810,0.97,0.9068,0.06319999999999992
