methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.852±0.002,0.8643±0.009,0.8312±0.008,0.8645±0.018,0.8547±0.022,0.876±0.016,0.9479±0.033,0.9704±0.02,0.8921±0.06,0.9313±0.04,0.9404±0.013,0.9454±0.029,0.9503±0.022,0.0298±0.01,0.2928±0.006,0.7345±0.023,0.6498±0.127,0.0308±0.019,0.3502±0.127,0.9692±0.019,0.0338±0.008,0.301±0.007,0.7123±0.044,0.7628±0.097,0.0344±0.016,0.2372±0.097,0.9656±0.016,0.0358±0.013,0.2832±0.011,0.8312±0.008,0.0848±0.035,0.4606±0.091,0.0968±0.045,0.0714±0.028,0.4177±0.108,0.5256±0.073,f1b19ad2a4,0.8643,0.8312,0.03309999999999991
resampling,0.8694±0.017,0.8813±0.015,0.8504±0.047,0.844±0.019,0.8368±0.025,0.8523±0.032,0.9399±0.017,0.967±0.023,0.8508±0.132,0.9089±0.058,0.916±0.01,0.9035±0.059,0.9168±0.058,0.0224±0.005,0.2778±0.019,0.7665±0.034,0.5949±0.022,0.0345±0.009,0.4051±0.022,0.9655±0.009,0.0257±0.007,0.2801±0.02,0.7031±0.142,0.75±0.038,0.0285±0.006,0.25±0.038,0.9715±0.006,0.0356±0.007,0.275±0.038,0.8422±0.034,0.1241±0.039,0.3613±0.115,0.1374±0.038,0.1092±0.047,0.308±0.095,0.4423±0.183,8b7356dc7f,0.8813,0.8504,0.030899999999999928
DomainInd,0.852±0.023,0.8569±0.026,0.8429±0.029,0.8577±0.018,0.8483±0.023,0.8686±0.027,0.9383±0.022,0.9688±0.031,0.8718±0.07,0.9203±0.028,0.9314±0.027,0.9143±0.044,0.9234±0.032,0.0842±0.014,0.4584±0.118,0.7335±0.044,0.5865±0.139,0.0503±0.039,0.4135±0.139,0.9497±0.039,0.0972±0.018,0.5164±0.203,0.7244±0.074,0.6987±0.128,0.0311±0.019,0.3013±0.128,0.9689±0.019,0.0774±0.012,0.3908±0.06,0.8412±0.027,0.1046±0.026,0.3842±0.042,0.1194±0.029,0.0881±0.031,0.3333±0.07,0.4615±0.0,f84bae41e6,0.8569,0.8429,0.014000000000000012
LAFTR,0.8632±0.004,0.8705±0.005,0.8494±0.013,0.8807±0.011,0.8719±0.01,0.8909±0.014,0.9526±0.007,0.9792±0.005,0.9073±0.054,0.9432±0.026,0.9383±0.022,0.937±0.046,0.9365±0.046,0.0273±0.009,0.2864±0.004,0.7781±0.04,0.6287±0.053,0.0338±0.006,0.3713±0.053,0.9662±0.006,0.0343±0.015,0.2991±0.013,0.7333±0.021,0.7436±0.022,0.0252±0.013,0.2564±0.022,0.9748±0.013,0.0305±0.005,0.2715±0.006,0.8494±0.013,0.0698±0.017,0.4377±0.029,0.0796±0.018,0.0588±0.015,0.4008±0.039,0.4936±0.04,0f90804d49,0.8705,0.8494,0.021100000000000008
CFair,0.8624±0.01,0.8868±0.007,0.8356±0.023,0.8649±0.012,0.8668±0.006,0.8627±0.022,0.9304±0.039,0.9688±0.017,0.7352±0.093,0.852±0.054,0.8939±0.069,0.8955±0.063,0.8893±0.06,0.0451±0.027,0.2901±0.019,0.7851±0.009,0.616±0.248,0.0345±0.044,0.384±0.248,0.9655±0.044,0.0531±0.043,0.2926±0.022,0.6991±0.079,0.8141±0.124,0.0285±0.023,0.1859±0.124,0.9715±0.023,0.0492±0.015,0.2872±0.02,0.8356±0.023,0.0892±0.023,0.43±0.055,0.0991±0.01,0.0781±0.039,0.3249±0.019,0.5897±0.111,52c518389e,0.8868,0.8356,0.05120000000000002
LNL,0.8853±0.013,0.8898±0.024,0.8779±0.008,0.8803±0.034,0.8757±0.042,0.8857±0.025,0.9603±0.013,0.9886±0.01,0.8761±0.071,0.9324±0.034,,,,,,,,,,,,,,,,,,,,,0.0757±0.056,0.402±0.112,0.0811±0.061,0.0697±0.052,0.3671±0.079,0.4551±0.179,55b218618d,0.8898,0.8779,0.011900000000000022
EnD,0.8692±0.011,0.8825±0.012,0.8496±0.01,0.834±0.019,0.8171±0.023,0.8537±0.014,0.8992±0.033,0.9354±0.024,0.798±0.088,0.8667±0.054,0.9056±0.022,0.8761±0.025,0.8603±0.013,0.2599±0.007,0.514±0.003,0.772±0.045,0.5865±0.057,0.0465±0.019,0.4135±0.057,0.9535±0.019,0.2631±0.011,0.5195±0.002,0.6937±0.05,0.7564±0.078,0.0277±0.022,0.2436±0.078,0.9723±0.022,0.2694±0.003,0.5075±0.003,0.8496±0.01,0.1399±0.034,0.3333±0.097,0.1704±0.044,0.1058±0.024,0.2532±0.127,0.4551±0.062,24752c7122,0.8825,0.8496,0.03289999999999993
ODR,0.85±0.017,0.8678±0.022,0.8199±0.032,0.8433±0.019,0.8254±0.02,0.8641±0.021,0.9353±0.014,0.9559±0.003,0.9198±0.101,0.9378±0.05,0.9332±0.068,0.9312±0.058,0.926±0.032,0.0592±0.011,0.3211±0.007,0.7365±0.064,0.4768±0.07,0.0908±0.026,0.5232±0.07,0.9092±0.026,0.0619±0.015,0.3211±0.025,0.6689±0.064,0.5833±0.118,0.0638±0.014,0.4167±0.118,0.9362±0.014,0.0629±0.012,0.3212±0.015,0.8199±0.032,0.1173±0.027,0.4097±0.059,0.1382±0.028,0.094±0.027,0.3797±0.099,0.4551±0.029,9400624638,0.8678,0.8199,0.047900000000000054
GroupDRO,0.8703±0.011,0.8772±0.005,0.8592±0.022,0.8683±0.022,0.856±0.024,0.8827±0.019,0.9594±0.025,0.9778±0.018,0.9435±0.023,0.9606±0.015,0.9181±0.051,0.9399±0.018,0.9414±0.017,0.0236±0.003,0.272±0.004,0.7693±0.034,0.5781±0.072,0.0285±0.012,0.4219±0.072,0.9715±0.012,0.0289±0.007,0.283±0.007,0.747±0.061,0.7372±0.087,0.0269±0.006,0.2628±0.087,0.9731±0.006,0.0298±0.008,0.2593±0.014,0.8582±0.02,0.0924±0.03,0.3842±0.047,0.1028±0.037,0.0806±0.025,0.3755±0.07,0.3974±0.029,a822eefc74,0.8772,0.8592,0.018000000000000016
SWAD,0.8999±0.014,0.9141±0.009,0.8767±0.025,0.9009±0.011,0.8942±0.011,0.9087±0.012,0.9504±0.007,0.981±0.006,0.9018±0.019,0.9414±0.012,0.9194±0.032,0.912±0.012,0.924±0.021,0.0598±0.013,0.3094±0.053,0.8522±0.025,0.3418±0.058,0.0586±0.007,0.6582±0.058,0.9414±0.007,0.0659±0.011,0.3153±0.06,0.796±0.019,0.4872±0.048,0.0428±0.015,0.5128±0.048,0.9572±0.015,0.0576±0.015,0.3024±0.045,0.8767±0.025,0.0579±0.013,0.3639±0.058,0.0668±0.01,0.0479±0.016,0.3249±0.051,0.4231±0.069,e0c2c08b76,0.9141,0.8767,0.03739999999999999
