methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,hash,Max AUC,Min AUC,AUC Gap
baseline,0.9±0.01,0.8871±0.007,0.9358±0.009,0.7753±0.072,0.9206±0.005,0.9225±0.002,0.8333±0.025,0.8676±0.018,0.7991±0.016,0.8502±0.003,0.0376±0.009,0.2694±0.013,0.766±0.105,0.5833±0.072,0.0305±0.008,0.4167±0.072,0.9695±0.008,0.0417±0.014,0.1665±0.018,0.9155±0.02,0.5504±0.067,0.0268±0.001,0.4496±0.067,0.9732±0.001,0.0297±0.002,0.1945±0.011,0.7386±0.049,0.5054±0.081,0.058±0.041,0.4946±0.081,0.942±0.041,0.0892±0.012,0.3964±0.04,0.7522±0.022,0.3704±0.032,0.1212±0.038,0.6296±0.032,0.8788±0.038,0.1045±0.024,0.427±0.033,0.8337±0.031,0.0757±0.009,0.3461±0.034,0.0436±0.01,0.0537±0.008,0.1073±0.032,0.1879±0.042,0.7583±0.072,0.3601±0.048,0.3871±0.048,0.2408±0.064,e1b2296d43,0.9225,0.7753,0.1472
resampling,0.901±0.015,0.8861±0.019,0.9317±0.028,0.8576±0.025,0.919±0.009,0.9241±0.028,0.8436±0.03,0.8778±0.007,0.7626±0.021,0.8273±0.01,0.0574±0.004,0.3253±0.011,0.657±0.138,0.625±0.125,0.0392±0.02,0.375±0.125,0.9608±0.02,0.0473±0.012,0.1914±0.032,0.9047±0.029,0.4031±0.036,0.0442±0.007,0.5969±0.036,0.9558±0.007,0.0351±0.001,0.2208±0.006,0.7809±0.012,0.3871±0.058,0.0971±0.016,0.6129±0.058,0.9029±0.016,0.0922±0.004,0.4722±0.019,0.691±0.011,0.2593±0.116,0.2121±0.046,0.7407±0.116,0.7879±0.046,0.1759±0.053,0.646±0.13,0.8273±0.01,0.077±0.037,0.3461±0.095,0.0436±0.033,0.0502±0.022,0.1073±0.062,0.2303±0.064,0.5417±0.072,0.3566±0.128,0.3387±0.098,0.2593±0.116,d606092b09,0.9241,0.8273,0.0968
DomainInd,0.8903±0.005,0.8871±0.019,0.9234±0.031,0.7823±0.053,0.9182±0.005,0.9218±0.008,0.8482±0.022,0.8735±0.007,0.7808±0.071,0.8354±0.016,0.1159±0.015,1.1636±0.4,0.637±0.075,0.75±0.125,0.0588±0.0,0.25±0.125,0.9412±0.0,0.0934±0.012,0.6476±0.287,0.9037±0.064,0.4264±0.013,0.0545±0.004,0.5736±0.013,0.9455±0.004,0.0795±0.005,0.6557±0.233,0.7687±0.013,0.3011±0.057,0.1449±0.039,0.6989±0.057,0.8551±0.039,0.1573±0.022,1.7607±0.777,0.7769±0.05,0.1667±0.096,0.3273±0.114,0.8333±0.096,0.6727±0.114,0.278±0.051,2.8909±1.582,0.7784±0.048,0.0676±0.036,0.3969±0.094,0.0436±0.047,0.0312±0.025,0.1058±0.039,0.2303±0.084,0.7083±0.289,0.5349±0.185,0.3226±0.043,0.1852±0.032,7c0354c31b,0.9218,0.7823,0.13949999999999996
LAFTR,0.8926±0.021,0.8581±0.032,0.8965±0.025,0.8799±0.033,0.8941±0.03,0.9162±0.022,0.8162±0.037,0.8692±0.029,0.7306±0.062,0.8003±0.01,,,0.8023±0.036,0.5833±0.382,0.0479±0.046,0.4167±0.382,0.9521±0.046,,,0.8756±0.091,0.5504±0.273,0.0346±0.028,0.4496±0.273,0.9654±0.028,,,0.7451±0.046,0.5323±0.327,0.0725±0.07,0.4677±0.327,0.9275±0.07,,,0.6667±0.0,0.5185±0.378,0.1273±0.149,0.4815±0.378,0.8727±0.149,,,0.8003±0.01,0.1158±0.045,0.3053±0.067,0.0911±0.035,0.1852±0.077,,,0.314±0.036,0.2957±0.107,,,0012a41ad0,0.9162,0.8003,0.1159
CFair,0.8912±0.01,0.8885±0.016,0.9213±0.051,0.8728±0.038,0.9159±0.01,0.9106±0.027,0.8447±0.005,0.8653±0.014,0.8311±0.029,0.8455±0.003,,,0.8012±0.078,0.6667±0.361,0.0392±0.062,0.3333±0.361,0.9608±0.062,,,0.8835±0.033,0.5349±0.203,0.0346±0.031,0.4651±0.203,0.9654±0.031,,,0.75±0.021,0.4301±0.057,0.0638±0.011,0.5699±0.057,0.9362±0.011,,,0.7113±0.079,0.3889±0.111,0.1212±0.038,0.6111±0.111,0.8788±0.038,,,0.8455±0.003,0.0644±0.022,0.4071±0.023,0.0505±0.039,0.1034±0.025,,,0.4396±0.105,0.371±0.07,,,ab74e0823c,0.9106,0.8455,0.06509999999999994
LNL,0.8878±0.01,0.8746±0.031,0.9172±0.019,0.8382±0.017,0.9089±0.007,0.9261±0.013,0.8253±0.061,0.8471±0.032,0.7763±0.093,0.8118±0.082,0.052±0.028,0.289±0.035,0.6828±0.044,0.5417±0.144,0.0654±0.035,0.4583±0.144,0.9346±0.035,0.0762±0.032,0.2081±0.034,0.9228±0.028,0.4574±0.115,0.045±0.016,0.5426±0.115,0.955±0.016,0.0458±0.01,0.216±0.026,0.7012±0.08,0.457±0.165,0.0797±0.048,0.543±0.165,0.9203±0.048,0.0727±0.029,0.3875±0.05,0.6619±0.194,0.3519±0.179,0.1515±0.058,0.6481±0.179,0.8485±0.058,0.1295±0.024,0.5012±0.13,0.7907±0.058,0.0846±0.041,0.3817±0.055,0.0632±0.027,0.0571±0.019,0.1203±0.078,0.1879±0.082,0.4583±0.144,0.3954±0.129,0.3763±0.034,0.3333±0.147,1a38f98fc3,0.9261,0.8118,0.11430000000000007
EnD,0.8692±0.011,0.8672±0.012,0.8675±0.019,0.7121±0.057,0.9081±0.005,0.9317±0.003,0.8368±0.01,0.8302±0.011,0.7489±0.048,0.7943±0.087,0.2623±0.006,0.5065±0.015,0.4679±0.075,0.7917±0.144,0.0545±0.049,0.2083±0.144,0.9455±0.049,0.3199±0.016,0.4831±0.026,0.9251±0.027,0.5194±0.171,0.039±0.028,0.4806±0.171,0.961±0.028,0.2892±0.012,0.485±0.012,0.7092±0.014,0.5376±0.171,0.0696±0.049,0.4624±0.171,0.9304±0.049,0.2264±0.008,0.5365±0.01,0.5952±0.327,0.5741±0.225,0.1091±0.142,0.4259±0.225,0.8909±0.142,0.255±0.002,0.5637±0.033,0.691±0.041,0.0992±0.014,0.3435±0.008,0.1089±0.021,0.064±0.007,0.1145±0.014,0.2545±0.055,0.5833±0.072,0.3411±0.036,0.3441±0.009,0.2407±0.032,542d9adf36,0.9317,0.7121,0.21960000000000002
ODR,0.8883±0.011,0.8823±0.018,0.9193±0.035,0.8859±0.009,0.905±0.018,0.9047±0.005,0.8562±0.024,0.8792±0.02,0.7717±0.034,0.8158±0.076,0.0557±0.017,0.3121±0.055,0.7811±0.065,0.625±0.433,0.0196±0.011,0.375±0.433,0.9804±0.011,0.0431±0.018,0.1421±0.014,0.8929±0.021,0.6357±0.071,0.0294±0.024,0.3643±0.071,0.9706±0.024,0.0544±0.024,0.2578±0.067,0.7891±0.029,0.5968±0.154,0.0304±0.02,0.4032±0.154,0.9696±0.02,0.0911±0.017,0.4175±0.024,0.7296±0.084,0.537±0.128,0.0667±0.084,0.463±0.128,0.9333±0.084,0.1436±0.052,0.5844±0.295,0.8132±0.073,0.0818±0.03,0.3435±0.058,0.0697±0.031,0.0606±0.023,0.0928±0.049,0.2182±0.048,0.2917±0.144,0.4031±0.036,0.3334±0.081,0.2593±0.085,164e1df088,0.9047,0.8158,0.08889999999999998
GroupDRO,0.9066±0.005,0.8987±0.011,0.9441±0.006,0.8736±0.018,0.9213±0.001,0.9341±0.002,0.8584±0.028,0.8801±0.004,0.8265±0.029,0.8343±0.026,,,0.7645±0.05,0.625±0.217,0.0349±0.016,0.375±0.217,0.9651±0.016,,,0.9252±0.018,0.4341±0.048,0.0476±0.008,0.5659±0.048,0.9524±0.008,,,0.7749±0.032,0.3333±0.037,0.1029±0.011,0.6667±0.037,0.8971±0.011,,,0.7759±0.032,0.2222±0.0,0.1879±0.064,0.7778±0.0,0.8121±0.064,,,0.8343±0.026,0.0583±0.021,0.3715±0.059,0.0261±0.007,0.0424±0.011,0.087±0.042,0.1394±0.052,0.625±0.217,0.4031±0.094,0.3441±0.041,0.2778±0.056,b9986a0746,0.9341,0.8343,0.0998
SWAD,0.8833±0.015,0.8903±0.008,0.9296±0.02,0.8557±0.047,0.919±0.001,0.9025±0.031,0.8493±0.016,0.8628±0.009,0.7991±0.016,0.8492±0.02,0.0639±0.001,0.3551±0.007,0.7042±0.176,0.5417±0.072,0.0392±0.007,0.4583±0.072,0.9608±0.007,0.0538±0.008,0.2386±0.039,0.8948±0.043,0.4341±0.071,0.0424±0.005,0.5659±0.071,0.9576±0.005,0.0526±0.003,0.273±0.021,0.7825±0.007,0.3925±0.019,0.0768±0.007,0.6075±0.019,0.9232±0.007,0.0966±0.005,0.4824±0.003,0.7469±0.034,0.2593±0.032,0.1758±0.021,0.7407±0.032,0.8242±0.021,0.1497±0.015,0.5842±0.059,0.8287±0.004,0.0729±0.012,0.341±0.018,0.0458±0.017,0.0502±0.004,0.0985±0.021,0.2±0.018,0.5417±0.072,0.3566±0.027,0.3441±0.009,0.2037±0.085,b11e096c6c,0.9025,0.8492,0.053300000000000014
