methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,hash,Max AUC,Min AUC,AUC Gap
baseline,0.864±0.002,0.7823±0.004,0.8155±0.014,0.862±0.009,0.8158±0.005,0.8613±0.005,0.7766±0.004,0.8638±0.003,0.7737±0.005,0.8421±0.002,0.7853±0.007,0.8106±0.003,0.0203±0.005,0.4516±0.003,0.7833±0.027,0.0469±0.016,0.4318±0.034,0.9531±0.016,0.5682±0.034,0.0574±0.02,0.4042±0.018,0.7724±0.012,0.0886±0.015,0.3341±0.026,0.9114±0.015,0.6659±0.026,0.0203±0.002,0.4327±0.007,0.7701±0.003,0.1955±0.031,0.2278±0.025,0.8045±0.031,0.7722±0.025,0.0215±0.01,0.4598±0.004,0.733±0.006,0.3634±0.039,0.1403±0.023,0.6366±0.039,0.8597±0.023,0.0211±0.003,0.4584±0.003,0.6585±0.003,0.5861±0.06,0.0886±0.02,0.4139±0.06,0.9114±0.02,0.0284±0.002,0.4359±0.002,0.8106±0.003,0.2462±0.012,0.1747±0.008,0.5417±0.035,0.3968±0.013,0.3075±0.013,0.2155±0.011,0.151±0.015,0.0208±0.005,0.0583±0.002,0.122±0.007,0.2479±0.01,0.4181±0.017,c7f1017fee,0.8638,0.8106,0.053200000000000025
resampling,0.8554±0.002,0.7727±0.001,0.8179±0.016,0.83±0.008,0.8048±0.0,0.8423±0.005,0.7679±0.004,0.8548±0.003,0.7625±0.001,0.835±0.001,0.778±0.003,0.8051±0.001,0.0333±0.01,0.4703±0.002,0.6524±0.019,0.0608±0.04,0.4356±0.067,0.9392±0.04,0.5644±0.067,0.0924±0.038,0.5±0.069,0.7249±0.019,0.0978±0.024,0.3602±0.028,0.9022±0.024,0.6398±0.028,0.0542±0.012,0.4845±0.017,0.757±0.01,0.1757±0.019,0.2562±0.012,0.8243±0.019,0.7438±0.012,0.0359±0.01,0.4772±0.003,0.716±0.003,0.3261±0.027,0.1715±0.017,0.6739±0.027,0.8285±0.017,0.0297±0.012,0.4699±0.003,0.6481±0.008,0.5507±0.05,0.1053±0.019,0.4493±0.05,0.8947±0.019,0.034±0.008,0.4422±0.002,0.8051±0.001,0.2658±0.001,0.1696±0.004,0.4886±0.03,0.4097±0.02,0.3266±0.005,0.2404±0.006,0.163±0.009,0.0417±0.024,0.0682±0.012,0.1179±0.005,0.2317±0.008,0.41±0.018,71018257d5,0.8548,0.8051,0.049699999999999966
DomainInd,0.8623±0.001,0.7821±0.004,0.8155±0.017,0.855±0.009,0.812±0.003,0.8558±0.002,0.7749±0.005,0.8626±0.001,0.7761±0.003,0.8419±0.001,0.7842±0.003,0.8104±0.003,0.1617±0.001,1.0376±0.023,0.8024±0.005,0.0833±0.009,0.3864±0.023,0.9167±0.009,0.6136±0.023,0.1511±0.003,1.0771±0.183,0.7411±0.012,0.0998±0.008,0.3333±0.004,0.9002±0.008,0.6667±0.004,0.1506±0.001,1.0301±0.019,0.7721±0.003,0.1935±0.01,0.2271±0.011,0.8065±0.01,0.7729±0.011,0.1644±0.002,1.0347±0.025,0.7363±0.003,0.3635±0.017,0.1405±0.009,0.6365±0.017,0.8595±0.009,0.1644±0.001,1.0398±0.021,0.6625±0.009,0.605±0.023,0.081±0.007,0.395±0.023,0.919±0.007,0.162±0.004,1.0428±0.04,0.8104±0.003,0.2468±0.013,0.1744±0.011,0.4811±0.069,0.4067±0.014,0.3112±0.015,0.2157±0.012,0.145±0.01,0.0486±0.013,0.0584±0.006,0.1211±0.007,0.2405±0.016,0.4415±0.021,815f67f318,0.8626,0.8104,0.052200000000000024
LAFTR,0.8605±0.002,0.781±0.003,0.8071±0.02,0.8579±0.007,0.8092±0.01,0.8523±0.007,0.7717±0.005,0.8598±0.002,0.7753±0.002,0.8392±0.0,0.7886±0.009,0.8111±0.003,0.0369±0.014,0.4607±0.006,0.7791±0.024,0.0521±0.029,0.4432±0.098,0.9479±0.029,0.5568±0.098,0.0625±0.037,0.4224±0.032,0.7374±0.031,0.087±0.028,0.3654±0.06,0.913±0.028,0.6346±0.06,0.0436±0.021,0.4523±0.018,0.7649±0.005,0.195±0.066,0.2423±0.06,0.805±0.066,0.7577±0.06,0.0463±0.021,0.4723±0.009,0.7329±0.002,0.3702±0.086,0.1446±0.041,0.6298±0.086,0.8554±0.041,0.0339±0.008,0.4647±0.001,0.6633±0.002,0.5921±0.084,0.0867±0.024,0.4079±0.084,0.9133±0.024,0.027±0.004,0.4347±0.004,0.8111±0.003,0.2465±0.01,0.1777±0.009,0.5341±0.052,0.4221±0.03,0.3138±0.018,0.2112±0.012,0.1414±0.023,0.0365±0.01,0.0537±0.004,0.1251±0.011,0.2516±0.019,0.4349±0.041,5891228537,0.8598,0.8111,0.048699999999999966
CFair,0.8599±0.002,0.7822±0.003,0.8226±0.011,0.84±0.018,0.8184±0.004,0.8564±0.001,0.7786±0.002,0.8601±0.003,0.7728±0.004,0.8408±0.004,0.7797±0.006,0.8069±0.004,0.0441±0.011,0.4664±0.007,0.7163±0.092,0.0573±0.014,0.4167±0.046,0.9427±0.014,0.5833±0.046,0.0454±0.016,0.4244±0.024,0.7503±0.014,0.0901±0.014,0.3444±0.026,0.9099±0.014,0.6556±0.026,0.0248±0.007,0.44±0.004,0.7695±0.001,0.1679±0.023,0.2575±0.024,0.8321±0.023,0.7425±0.024,0.0427±0.012,0.4722±0.007,0.7274±0.007,0.2941±0.035,0.1828±0.019,0.7059±0.035,0.8172±0.019,0.054±0.011,0.4742±0.009,0.6653±0.009,0.4551±0.043,0.1381±0.014,0.5449±0.043,0.8619±0.014,0.0606±0.009,0.4593±0.006,0.8069±0.004,0.2423±0.009,0.181±0.007,0.4546±0.03,0.3716±0.015,0.292±0.009,0.2151±0.008,0.1676±0.012,0.0504±0.003,0.069±0.003,0.1363±0.006,0.2513±0.012,0.3887±0.013,4db94917a1,0.8601,0.8069,0.053200000000000025
LNL,0.8412±0.001,0.7597±0.001,0.7619±0.014,0.6499±0.036,0.7814±0.008,0.7264±0.017,0.7458±0.005,0.7571±0.004,0.7563±0.004,0.7511±0.001,0.7784±0.002,0.6831±0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2751±0.003,0.1879±0.003,0.6515±0.102,0.4883±0.056,0.3635±0.014,0.2333±0.011,0.1346±0.019,0.0486±0.035,0.0588±0.021,0.1223±0.006,0.2645±0.009,0.4992±0.052,cfca5330eb,0.7571,0.6499,0.10719999999999996
EnD,0.8558±0.003,0.7756±0.004,0.8071±0.018,0.7301±0.017,0.8128±0.001,0.7732±0.002,0.7717±0.005,0.7796±0.005,0.7655±0.004,0.7638±0.003,0.775±0.003,0.7158±0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2543±0.01,0.1794±0.009,0.4773±0.03,0.3817±0.006,0.3042±0.008,0.231±0.013,0.1709±0.011,0.0625±0.027,0.072±0.003,0.1366±0.008,0.2413±0.015,0.3976±0.022,447cae0e2b,0.7796,0.7158,0.06379999999999997
ODR,0.8632±0.001,0.7824±0.002,0.8274±0.002,0.7418±0.007,0.8148±0.001,0.7726±0.001,0.778±0.003,0.7863±0.003,0.7739±0.004,0.7687±0.002,0.7824±0.001,0.7174±0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2454±0.009,0.1758±0.007,0.4886±0.03,0.3919±0.003,0.3018±0.009,0.2156±0.011,0.1582±0.01,0.0278±0.017,0.0628±0.002,0.1256±0.004,0.2469±0.012,0.4071±0.025,3c1ee82508,0.7863,0.7174,0.06889999999999996
GroupDRO,0.8568±0.001,0.7725±0.001,0.8071±0.007,0.7147±0.015,0.8033±0.001,0.7561±0.004,0.7646±0.004,0.7749±0.003,0.7644±0.003,0.7644±0.001,0.7807±0.005,0.7126±0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2666±0.002,0.1688±0.003,0.5341±0.039,0.4283±0.016,0.3347±0.011,0.2356±0.007,0.1572±0.008,0.0365±0.01,0.0595±0.008,0.1155±0.006,0.2357±0.005,0.4176±0.01,f72b7e6a0d,0.7749,0.7126,0.06230000000000002
SWAD,0.8689±0.003,0.7878±0.005,0.819±0.016,0.8706±0.006,0.8154±0.007,0.866±0.005,0.782±0.005,0.8703±0.002,0.7815±0.005,0.8475±0.002,0.7904±0.005,0.8192±0.003,,,0.8049±0.021,0.0365±0.005,0.4432±0.052,0.9635±0.005,0.5568±0.052,,,0.7739±0.018,0.0703±0.004,0.3594±0.016,0.9297±0.004,0.6406±0.016,,,0.7888±0.004,0.1625±0.002,0.243±0.006,0.8375±0.002,0.757±0.006,,,0.7454±0.003,0.3362±0.002,0.1486±0.003,0.6638±0.002,0.8514±0.003,,,0.6777±0.003,0.5745±0.017,0.0879±0.002,0.4255±0.017,0.9121±0.002,,,0.8192±0.003,0.2377±0.02,0.1738±0.018,0.5152±0.043,0.4084±0.022,0.3024±0.019,0.2037±0.021,0.1361±0.023,0.0278±0.013,0.0521±0.004,0.1162±0.013,0.2482±0.026,0.4444±0.053,c30bf60717,0.8706,0.8192,0.0514
