methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.9955±0.002,0.984±0.005,1.0±0.0,0.9619±0.008,0.9167±0.021,0.9921±0.014,0.8651±0.054,0.9516±0.062,0.8788±0.052,0.9152±0.023,0.916±0.008,0.9273±0.053,0.9121±0.046,0.0489±0.019,0.0998±0.021,0.871±0.04,0.1818±0.091,0.0196±0.034,0.8182±0.091,0.9804±0.034,0.0877±0.01,0.191±0.024,0.2±0.0,0.0333±0.058,0.0±0.0,0.9667±0.058,1.0±0.0,0.0333±0.014,0.039±0.02,0.984±0.005,0.0272±0.024,0.0635±0.027,0.0588±0.059,0.0104±0.018,0.1212±0.052,0.0±0.0,c6f981b683,1.0,0.984,0.016000000000000014
resampling,0.9968±0.001,0.9893±0.009,1.0±0.0,0.9619±0.008,0.9167±0.021,0.9921±0.014,0.8651±0.054,0.9516±0.062,0.8788±0.052,0.9152±0.023,,,,,,,,,,,,,,,,,,,,,0.0272±0.024,0.0635±0.027,0.0588±0.059,0.0104±0.018,0.1212±0.052,0.0±0.0,a49847e30b,1.0,0.9893,0.010700000000000043
DomainInd,0.9883±0.006,0.9679±0.016,1.0±0.0,0.9571±0.014,0.8929±0.036,1.0±0.0,0.881±0.062,0.9412±0.059,0.8182±0.091,0.8797±0.04,0.885±0.049,0.9443±0.029,0.9023±0.034,0.0472±0.001,0.1433±0.028,0.8245±0.057,0.1515±0.139,0.0784±0.068,0.8485±0.139,0.9216±0.068,0.1078±0.015,0.3287±0.072,0.2±0.0,0.0±0.0,0.0±0.0,1.0±0.0,1.0±0.0,0.0179±0.003,0.0197±0.004,0.9679±0.016,0.0204±0.02,0.0952±0.048,0.0588±0.059,0.0±0.0,0.1818±0.091,0.0±0.0,a52843d1d2,1.0,0.9679,0.03210000000000002
LAFTR,0.9916±0.007,0.975±0.019,1.0±0.0,0.9667±0.008,0.9286±0.036,0.9921±0.014,0.9087±0.048,1.0±0.0,0.8455±0.134,0.9227±0.067,0.9281±0.06,0.9225±0.033,0.9227±0.067,0.0336±0.009,0.0978±0.03,0.8312±0.132,0.1515±0.052,0.0196±0.034,0.8485±0.052,0.9804±0.034,0.07±0.024,0.1879±0.06,0.2±0.0,0.0333±0.058,0.0±0.0,0.9667±0.058,1.0±0.0,0.0313±0.01,0.0377±0.012,0.975±0.019,0.0±0.0,0.1111±0.027,0.0±0.0,0.0±0.0,0.1818±0.091,0.0333±0.058,2a1ca29b22,1.0,0.975,0.025000000000000022
CFair,0.9935±0.006,0.9786±0.019,1.0±0.0,0.9619±0.016,0.9167±0.021,0.9921±0.014,0.873±0.038,0.9608±0.034,0.8818±0.055,0.9213±0.011,,,,,,,,,,,,,,,,,,,,,0.0136±0.012,0.0952±0.048,0.0392±0.034,0.0±0.0,0.1515±0.052,0.0333±0.058,bfd1cd2159,1.0,0.9786,0.021399999999999975
LNL,0.9793±0.01,0.9608±0.025,0.9979±0.004,0.9429±0.014,0.881±0.021,0.9841±0.027,0.8929±0.074,0.9516±0.044,0.8152±0.152,0.8834±0.061,0.8918±0.063,0.9089±0.056,0.8463±0.091,0.081±0.013,0.1881±0.013,0.8463±0.026,0.2727±0.157,0.0392±0.034,0.7273±0.157,0.9608±0.034,0.1295±0.048,0.3103±0.03,0.4116±0.367,0.0667±0.058,0.0312±0.031,0.9333±0.058,0.9688±0.031,0.0812±0.017,0.1066±0.029,0.9608±0.025,0.0272±0.031,0.127±0.027,0.0588±0.059,0.0104±0.018,0.2121±0.105,0.0333±0.058,6f8d5b7aae,0.9979,0.9608,0.03710000000000002
EnD,0.9971±0.003,0.9911±0.008,1.0±0.0,0.9667±0.016,0.9405±0.021,0.9841±0.014,0.881±0.012,0.9908±0.016,0.9121±0.005,0.9515±0.01,,,,,,,,,,,,,,,,,,,,,0.0136±0.024,0.0794±0.055,0.0196±0.034,0.0104±0.018,0.1212±0.052,0.0333±0.058,3bc2f3009d,1.0,0.9911,0.008900000000000019
ODR,0.8784±0.145,0.9037±0.079,0.8438±0.209,0.8429±0.136,0.7976±0.169,0.873±0.12,0.9603±0.042,0.9779±0.038,0.9152±0.092,0.9465±0.048,,,,,,,,,,,,,,,,,,,,,0.034±0.059,0.4444±0.486,0.0196±0.034,0.0417±0.072,0.4848±0.448,0.4±0.529,c0f8c4c25b,0.9037,0.8438,0.05989999999999995
GroupDRO,0.9913±0.008,0.9715±0.024,1.0±0.0,0.9571±0.014,0.8929±0.036,1.0±0.0,0.8571±0.055,0.9216±0.034,0.8485±0.105,0.885±0.046,,,,,,,,,,,,,,,,,,,,,0.0272±0.012,0.0794±0.055,0.0784±0.034,0.0±0.0,0.1515±0.105,0.0±0.0,09ea511487,1.0,0.9715,0.02849999999999997
SWAD,0.9488±0.021,0.9198±0.03,0.9562±0.028,0.9±0.014,0.881±0.021,0.9127±0.014,0.9325±0.048,0.9675±0.029,0.9152±0.079,0.9413±0.054,0.9307±0.042,0.874±0.008,0.8942±0.09,0.079±0.016,0.2575±0.033,0.7642±0.051,0.2727±0.091,0.0196±0.034,0.7273±0.091,0.9804±0.034,0.1542±0.03,0.3312±0.039,0.9005±0.051,0.1667±0.115,0.0521±0.018,0.8333±0.115,0.9479±0.018,0.0595±0.019,0.2083±0.041,0.9198±0.03,0.0408±0.02,0.2381±0.082,0.0196±0.034,0.0521±0.018,0.2727±0.091,0.2±0.1,2aa2969270,0.9562,0.9198,0.0364000000000001
