methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.6498±0.064,0.7812±0.143,0.5322±0.032,0.6667±0.024,0.8519±0.064,0.5278±0.024,0.4491±0.076,0.4939±0.071,0.4048±0.338,0.4493±0.182,0.8936±0.128,0.6569±0.082,0.6829±0.082,0.1711±0.019,0.5683±0.031,0.2459±0.086,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1495±0.035,0.3395±0.045,0.2327±0.047,0.9048±0.082,0.1176±0.204,0.0952±0.082,0.8824±0.204,0.2509±0.023,0.7399±0.05,0.5322±0.032,0.3232±0.035,0.3704±0.064,0.0625±0.062,0.5686±0.034,0.8333±0.289,0.2381±0.082,9c6f21cc3e,0.7812,0.5322,0.249
resampling,0.7407±0.009,1.0±0.0,0.5602±0.013,0.7143±0.0,0.9444±0.0,0.5417±0.0,0.4167±0.048,0.4314±0.034,0.6905±0.082,0.5609±0.058,0.7458±0.031,0.645±0.039,0.5851±0.052,0.2014±0.014,0.5839±0.031,0.2±0.0,0.8333±0.289,0.0±0.0,0.1667±0.289,1.0±0.0,0.1667±0.064,0.2734±0.018,0.219±0.033,0.619±0.165,0.2941±0.118,0.381±0.165,0.7059±0.118,0.2582±0.015,0.8167±0.042,0.5602±0.013,0.2929±0.017,0.2593±0.064,0.0±0.0,0.5686±0.034,0.5±0.0,0.1905±0.082,8cfc3048b4,1.0,0.5602,0.43979999999999997
DomainInd,0.615±0.101,0.8229±0.255,0.4734±0.03,0.6429±0.048,0.8704±0.064,0.4722±0.048,0.4676±0.064,0.4547±0.071,0.6667±0.206,0.5607±0.124,0.9132±0.075,0.7066±0.045,0.7413±0.201,0.2239±0.009,1.0038±0.099,0.321±0.192,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1121±0.002,0.5244±0.031,0.1702±0.036,0.9048±0.082,0.0784±0.068,0.0952±0.082,0.9216±0.068,0.3136±0.02,1.3633±0.153,0.4734±0.03,0.3434±0.035,0.4074±0.128,0.0625±0.062,0.6078±0.034,0.6667±0.289,0.3333±0.083,3f3a019b3c,0.8229,0.4734,0.3495
LAFTR,0.743±0.102,0.9062±0.162,0.5994±0.072,0.746±0.099,0.9259±0.064,0.6111±0.127,0.6528±0.182,0.6495±0.177,0.5714±0.143,0.6105±0.139,,,,,,,,,,,,,,,,,,,,,0.2222±0.115,0.3704±0.17,0.0417±0.072,0.3922±0.189,0.3333±0.577,0.381±0.083,d8c3ac57c8,0.9062,0.5994,0.30679999999999996
CFair,0.771±0.065,0.9271±0.126,0.6078±0.048,0.746±0.05,0.963±0.064,0.5833±0.042,0.5694±0.042,0.5502±0.033,0.7381±0.041,0.6442±0.02,0.8347±0.157,0.7066±0.072,0.6436±0.019,0.1977±0.023,0.5737±0.074,0.2857±0.148,0.6667±0.289,0.0±0.0,0.3333±0.289,1.0±0.0,0.0952±0.034,0.196±0.131,0.1921±0.051,0.619±0.36,0.2353±0.212,0.381±0.36,0.7647±0.212,0.2799±0.057,0.857±0.171,0.6078±0.048,0.2525±0.046,0.2593±0.064,0.0208±0.036,0.4706±0.059,0.1667±0.289,0.2857±0.0,cb77073022,0.9271,0.6078,0.31930000000000003
LNL,0.6936±0.046,0.8854±0.048,0.5658±0.07,0.6429±0.167,0.7778±0.192,0.5417±0.15,0.6389±0.077,0.6581±0.059,0.6905±0.23,0.6743±0.101,0.7787±0.3,0.6155±0.11,0.6475±0.121,0.1973±0.027,0.6191±0.108,0.2467±0.228,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.148±0.014,0.2826±0.033,0.3048±0.162,0.7143±0.378,0.1569±0.223,0.2857±0.378,0.8431±0.223,0.3046±0.081,0.8714±0.183,0.5658±0.07,0.3636±0.269,0.3333±0.222,0.1875±0.272,0.5294±0.27,0.5±0.5,0.2857±0.143,8feb072072,0.8854,0.5658,0.3196
EnD,0.7542±0.028,1.0±0.0,0.549±0.024,0.7063±0.027,0.963±0.032,0.5139±0.024,0.5278±0.091,0.4718±0.059,0.6905±0.109,0.5811±0.027,0.5602±0.05,0.5994±0.087,0.5973±0.063,0.2733±0.012,0.6162±0.016,0.2±0.0,0.3333±0.577,0.0±0.0,0.6667±0.577,1.0±0.0,0.4122±0.011,0.5334±0.019,0.1524±0.059,0.4762±0.165,0.451±0.122,0.5238±0.165,0.549±0.122,0.2369±0.034,0.6782±0.014,0.549±0.024,0.2929±0.046,0.2963±0.064,0.0208±0.036,0.549±0.068,0.1667±0.289,0.3333±0.083,35f9dde3ab,1.0,0.549,0.45099999999999996
ODR,0.7587±0.028,1.0±0.0,0.5658±0.035,0.6429±0.041,0.8704±0.116,0.4722±0.024,0.5324±0.09,0.4792±0.125,0.8095±0.082,0.6443±0.101,0.6569±0.297,0.6849±0.093,0.5961±0.062,0.1488±0.038,0.4517±0.039,0.2±0.0,0.6667±0.577,0.0±0.0,0.3333±0.577,1.0±0.0,0.1194±0.024,0.1584±0.02,0.1649±0.11,0.619±0.33,0.3529±0.311,0.381±0.33,0.6471±0.311,0.2459±0.053,0.6717±0.063,0.5658±0.035,0.4141±0.07,0.1481±0.064,0.1458±0.13,0.6667±0.034,0.0±0.0,0.1905±0.082,b0669797d9,1.0,0.5658,0.43420000000000003
GroupDRO,0.7565±0.035,1.0±0.0,0.5826±0.038,0.7063±0.027,0.963±0.032,0.5139±0.064,0.4074±0.04,0.3922±0.09,0.7619±0.109,0.577±0.021,0.8067±0.143,0.6569±0.041,0.6089±0.017,0.1719±0.017,0.5345±0.023,0.2±0.0,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.1166±0.017,0.2338±0.048,0.2508±0.083,0.8095±0.165,0.1961±0.122,0.1905±0.165,0.8039±0.122,0.2551±0.032,0.76±0.034,0.5826±0.038,0.3131±0.046,0.2222±0.111,0.0±0.0,0.6078±0.09,0.3333±0.289,0.1905±0.082,a015620326,1.0,0.5826,0.4174
SWAD,0.8227±0.034,1.0±0.0,0.6639±0.025,0.7698±0.069,0.9444±0.056,0.6389±0.087,0.6713±0.045,0.6691±0.087,0.7857±0.124,0.7274±0.104,0.7045±0.062,0.7339±0.11,0.6308±0.023,0.2117±0.027,2.6096±1.52,0.2±0.0,0.3333±0.289,0.0±0.0,0.6667±0.289,1.0±0.0,0.038±0.031,0.093±0.079,0.2508±0.031,0.2857±0.0,0.3529±0.118,0.7143±0.0,0.6471±0.118,0.3496±0.031,4.4971±2.601,0.6639±0.025,0.2121±0.109,0.2963±0.128,0.0417±0.072,0.3725±0.148,0.1667±0.289,0.3333±0.083,8564f42b25,1.0,0.6639,0.33609999999999995
