methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8189±0.008,0.8016±0.009,0.8666±0.013,0.786±0.006,0.7689±0.008,0.8302±0.0,0.9199±0.017,0.9225±0.016,0.955±0.021,0.9387±0.008,0.8644±0.008,0.924±0.02,0.9236±0.017,0.1868±0.004,0.9164±0.062,0.7071±0.023,0.4054±0.023,0.1376±0.009,0.5946±0.023,0.8624±0.009,0.1965±0.006,0.9093±0.059,0.8287±0.015,0.213±0.016,0.0588±0.0,0.787±0.016,0.9412±0.0,0.1994±0.005,0.9349±0.072,0.8016±0.009,0.2375±0.012,0.197±0.014,0.254±0.016,0.1765±0.0,0.2117±0.021,0.1667±0.0,10232c989a,0.8666,0.8016,0.06500000000000006
resampling,0.7996±0.007,0.7839±0.006,0.8464±0.012,0.7667±0.017,0.7543±0.028,0.7987±0.022,0.9076±0.029,0.953±0.068,0.9472±0.029,0.9501±0.042,0.923±0.015,0.9593±0.031,0.8958±0.026,0.1528±0.016,0.7517±0.048,0.7015±0.032,0.3694±0.021,0.1481±0.018,0.6306±0.021,0.8519±0.018,0.1521±0.003,0.7304±0.065,0.7821±0.031,0.2593±0.032,0.1373±0.034,0.7407±0.032,0.8627±0.034,0.1953±0.016,0.8068±0.013,0.7839±0.006,0.2125±0.054,0.2485±0.014,0.2222±0.069,0.1765±0.0,0.2658±0.008,0.2129±0.032,81f27fb7b2,0.8464,0.7839,0.0625
DomainInd,0.8389±0.006,0.8313±0.008,0.8753±0.01,0.7842±0.023,0.7689±0.028,0.8239±0.011,0.985±0.014,0.8438±0.033,0.9464±0.007,0.8951±0.013,0.9115±0.012,0.9482±0.014,0.9264±0.01,0.2167±0.008,1.4144±0.217,0.6847±0.02,0.3919±0.014,0.1217±0.018,0.6081±0.014,0.8783±0.018,0.2315±0.006,1.4014±0.314,0.7985±0.011,0.2778±0.028,0.0588±0.0,0.7222±0.028,0.9412±0.0,0.202±0.01,1.448±0.123,0.8313±0.008,0.3583±0.026,0.1121±0.021,0.3916±0.033,0.2353±0.0,0.0946±0.023,0.1482±0.016,c0a50a8fa0,0.8753,0.8313,0.04399999999999993
LAFTR,0.8023±0.008,0.7859±0.004,0.8486±0.015,0.7649±0.017,0.7494±0.015,0.805±0.029,0.9443±0.062,0.9141±0.051,0.956±0.042,0.935±0.005,0.8854±0.008,0.9538±0.013,0.9124±0.033,0.2065±0.01,1.1315±0.076,0.7156±0.013,0.3964±0.008,0.1323±0.009,0.6036±0.008,0.8677±0.009,0.2155±0.01,1.0846±0.061,0.7963±0.029,0.2407±0.016,0.0588±0.0,0.7593±0.016,0.9412±0.0,0.2198±0.011,1.2526±0.138,0.7859±0.004,0.2833±0.073,0.2±0.027,0.3016±0.084,0.2157±0.034,0.2072±0.043,0.1852±0.032,8dc01b6fd5,0.8486,0.7859,0.06269999999999998
CFair,0.8079±0.006,0.7892±0.004,0.8589±0.01,0.7807±0.006,0.764±0.004,0.8239±0.011,0.9396±0.021,0.8848±0.01,0.965±0.026,0.9249±0.012,0.9057±0.007,0.9175±0.03,0.9217±0.043,0.1935±0.013,1.1248±0.191,0.7±0.022,0.3559±0.047,0.1323±0.009,0.6441±0.047,0.8677±0.009,0.1998±0.014,1.1193±0.159,0.816±0.025,0.2407±0.032,0.0588±0.0,0.7593±0.032,0.9412±0.0,0.1896±0.015,1.139±0.273,0.7892±0.004,0.2083±0.063,0.2273±0.048,0.2328±0.064,0.1176±0.059,0.2388±0.056,0.2037±0.032,4103a8d2b7,0.8589,0.7892,0.06969999999999998
LNL,0.8408±0.011,0.8268±0.017,0.8731±0.021,0.8105±0.014,0.7908±0.026,0.8616±0.022,0.9445±0.037,0.8855±0.056,0.9512±0.004,0.9183±0.028,0.9447±0.022,0.9316±0.032,0.9223±0.034,0.2317±0.016,0.9088±0.036,0.7439±0.038,0.4234±0.008,0.0794±0.016,0.5766±0.008,0.9206±0.016,0.2352±0.018,0.8989±0.026,0.8443±0.008,0.3333±0.028,0.0588±0.0,0.6667±0.028,0.9412±0.0,0.2299±0.023,0.9345±0.1,0.8268±0.017,0.2667±0.044,0.1333±0.034,0.291±0.056,0.1765±0.0,0.1396±0.047,0.1204±0.032,c28bccfeb5,0.8731,0.8268,0.04630000000000001
EnD,0.8189±0.008,0.8048±0.01,0.8589±0.003,0.7754±0.006,0.7567±0.004,0.8239±0.011,0.9141±0.021,0.9225±0.016,0.9417±0.021,0.9321±0.003,0.8837±0.016,0.9339±0.018,0.9241±0.01,0.1999±0.012,0.951±0.032,0.6964±0.03,0.3919±0.014,0.1217±0.024,0.6081±0.014,0.8783±0.024,0.2058±0.013,0.932±0.031,0.8122±0.005,0.2222±0.0,0.0588±0.0,0.7778±0.0,0.9412±0.0,0.1941±0.005,1.0001±0.036,0.8048±0.01,0.2375±0.012,0.2152±0.005,0.254±0.016,0.1765±0.0,0.2342±0.008,0.1759±0.016,eaa87bd93d,0.8589,0.8048,0.05410000000000004
ODR,0.7694±0.007,0.764±0.004,0.7925±0.013,0.7439±0.013,0.7421±0.015,0.7484±0.029,0.9843±0.012,0.9051±0.054,0.952±0.024,0.9285±0.024,0.9288±0.03,0.9688±0.024,0.9358±0.023,0.2095±0.03,1.2543±0.251,0.6835±0.045,0.4324±0.041,0.1217±0.037,0.5676±0.041,0.8783±0.037,0.2075±0.033,1.131±0.224,0.6926±0.033,0.3333±0.048,0.0784±0.034,0.6667±0.048,0.9216±0.034,0.2571±0.044,1.573±0.321,0.764±0.004,0.2708±0.04,0.2455±0.016,0.291±0.048,0.1961±0.034,0.2297±0.013,0.2778±0.028,41f4f3ce5a,0.7925,0.764,0.02849999999999997
GroupDRO,0.8618±0.005,0.8521±0.005,0.8764±0.001,0.814±0.017,0.7883±0.019,0.8805±0.011,0.9122±0.046,0.8796±0.057,0.9312±0.034,0.9054±0.014,0.945±0.012,0.9207±0.022,0.924±0.005,0.201±0.011,0.5698±0.012,0.7743±0.009,0.2342±0.034,0.1693±0.024,0.7658±0.034,0.8307±0.024,0.1906±0.011,0.578±0.01,0.76±0.099,0.1759±0.032,0.1176±0.0,0.8241±0.032,0.8824±0.0,0.2743±0.021,0.5487±0.017,0.8521±0.005,0.2125±0.045,0.1667±0.014,0.2381±0.057,0.1176±0.0,0.1892±0.023,0.1204±0.016,339915b0fc,0.8764,0.8521,0.02429999999999999
SWAD,0.8227±0.003,0.8105±0.006,0.8589±0.004,0.7789±0.005,0.7616±0.004,0.8239±0.011,0.9481±0.01,0.8908±0.0,0.9777±0.014,0.9342±0.007,0.8914±0.016,0.9493±0.017,0.9309±0.008,0.203±0.006,0.9186±0.015,0.7315±0.011,0.3964±0.016,0.1111±0.0,0.6036±0.016,0.8889±0.0,0.2085±0.006,0.8946±0.03,0.8182±0.006,0.2315±0.016,0.0588±0.0,0.7685±0.016,0.9412±0.0,0.2111±0.005,0.9808±0.026,0.8105±0.006,0.2625±0.0,0.1909±0.009,0.2857±0.0,0.1765±0.0,0.1982±0.008,0.1759±0.016,3bb614baa4,0.8589,0.8105,0.0484
SAM,0.8653±0.007,0.8617±0.005,0.8867±0.02,0.8298±0.003,0.8127±0.008,0.8742±0.011,0.9574±0.033,0.8637±0.016,0.967±0.017,0.9153±0.007,0.9614±0.01,0.9351±0.012,0.9605±0.014,0.1807±0.005,0.5773±0.012,0.8156±0.013,0.3874±0.008,0.1005±0.009,0.6126±0.008,0.8995±0.009,0.1649±0.004,0.5556±0.002,0.874±0.016,0.3519±0.032,0.0588±0.0,0.6481±0.032,0.9412±0.0,0.2432±0.011,0.6336±0.04,0.8617±0.005,0.225±0.012,0.1303±0.014,0.254±0.016,0.1176±0.0,0.1306±0.028,0.1296±0.016,66f7330bc9,0.8867,0.8617,0.025000000000000022
