methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.7193±0.042,0.7391±0.057,0.65±0.044,0.6667±0.038,0.697±0.052,0.5882±0.0,0.7963±0.173,0.8611±0.15,0.7449±0.199,0.803±0.127,0.8317±0.155,0.911±0.048,0.8097±0.132,0.2026±0.089,0.7525±0.169,0.4991±0.087,0.3768±0.395,0.4127±0.361,0.6232±0.395,0.5873±0.361,0.2623±0.087,0.7634±0.245,0.3867±0.083,0.5333±0.231,0.25±0.22,0.4667±0.231,0.75±0.22,0.3113±0.041,0.7242±0.028,0.65±0.044,0.4545±0.139,0.1905±0.09,0.4762±0.208,0.4167±0.083,0.1449±0.09,0.4±0.2,b6699fa8d0,0.7391,0.65,0.08909999999999996
resampling,0.6995±0.019,0.7005±0.016,0.6278±0.038,0.6011±0.062,0.6061±0.066,0.5882±0.059,0.6689±0.054,0.6984±0.014,0.7391±0.13,0.7188±0.061,0.8141±0.114,0.8376±0.14,0.7591±0.077,0.2257±0.093,0.7432±0.093,0.4696±0.031,0.2464±0.276,0.5079±0.324,0.7536±0.276,0.4921±0.324,0.2166±0.089,0.7315±0.079,0.2756±0.139,0.4±0.2,0.3611±0.127,0.6±0.2,0.6389±0.127,0.3421±0.067,0.7737±0.162,0.6278±0.038,0.6364±0.105,0.119±0.021,0.746±0.11,0.4444±0.096,0.0725±0.025,0.3333±0.115,46b6f3f26c,0.7005,0.6278,0.07269999999999999
DomainInd,0.702±0.03,0.7095±0.012,0.5778±0.096,0.6393±0.033,0.6667±0.013,0.5686±0.09,0.7402±0.077,0.8571±0.102,0.7014±0.025,0.7793±0.051,0.807±0.005,0.8191±0.072,0.8254±0.009,0.2917±0.09,1.2154±0.668,0.3886±0.093,0.1449±0.181,0.6032±0.198,0.8551±0.181,0.3968±0.198,0.2618±0.093,1.1836±0.715,0.3733±0.092,0.4±0.2,0.4722±0.192,0.6±0.2,0.5278±0.192,0.401±0.051,1.2978±0.552,0.5778±0.096,0.5354±0.063,0.1548±0.021,0.5873±0.027,0.4444±0.127,0.1015±0.025,0.4±0.0,a056a98039,0.7095,0.5778,0.13170000000000004
LAFTR,0.6201±0.032,0.617±0.022,0.5667±0.093,0.5628±0.081,0.5758±0.052,0.5294±0.156,0.7972±0.217,0.8095±0.14,0.8058±0.261,0.8077±0.199,0.9332±0.029,0.8487±0.117,0.8703±0.099,0.188±0.07,0.7253±0.052,0.3386±0.148,0.0145±0.025,0.9524±0.048,0.9855±0.025,0.0476±0.048,0.1865±0.048,0.7094±0.042,0.24±0.139,0.0±0.0,0.8333±0.083,1.0±0.0,0.1667±0.083,0.3526±0.052,0.7663±0.078,0.5439±0.058,0.6768±0.324,0.1548±0.206,0.7461±0.275,0.5555±0.411,0.1304±0.151,0.2667±0.462,a4bc5b5636,0.617,0.5667,0.05030000000000001
CFair,0.6486±0.039,0.628±0.026,0.5944±0.095,0.5738±0.059,0.5909±0.039,0.5294±0.156,0.6974±0.147,0.7341±0.173,0.7246±0.147,0.7294±0.118,0.8697±0.167,0.8798±0.044,0.6586±0.05,0.1997±0.048,0.7386±0.054,0.3454±0.176,0.2029±0.247,0.619±0.407,0.7971±0.247,0.381±0.407,0.1847±0.026,0.721±0.018,0.32±0.139,0.4±0.346,0.5556±0.419,0.6±0.346,0.4444±0.419,0.3341±0.143,0.7842±0.152,0.5716±0.058,0.697±0.132,0.1071±0.036,0.7936±0.073,0.5278±0.241,0.058±0.05,0.3333±0.115,dcc7e91048,0.628,0.5944,0.03359999999999996
LNL,0.706±0.049,0.6881±0.045,0.6556±0.042,0.6393±0.075,0.6439±0.052,0.6275±0.148,0.7371±0.095,0.7817±0.108,0.8348±0.057,0.8083±0.06,0.8579±0.11,0.9106±0.064,0.7214±0.087,0.247±0.048,0.796±0.084,0.3351±0.045,0.029±0.025,0.873±0.099,0.971±0.025,0.127±0.099,0.2306±0.053,0.7674±0.083,0.376±0.1,0.1333±0.231,0.7222±0.127,0.8667±0.231,0.2778±0.127,0.3701±0.016,0.8702±0.086,0.6556±0.042,0.5556±0.202,0.131±0.074,0.6349±0.18,0.4167±0.25,0.1015±0.066,0.2667±0.115,7b0c9f0c0b,0.6881,0.6556,0.032500000000000084
EnD,0.6811±0.021,0.6501±0.026,0.6167±0.029,0.612±0.019,0.5985±0.026,0.6471±0.0,0.5481±0.0,0.5556±0.027,0.658±0.025,0.6068±0.001,1.0±0.0,0.7986±0.01,0.5892±0.035,0.1886±0.032,0.7084±0.004,0.3286±0.029,0.0±0.0,1.0±0.0,1.0±0.0,0.0±0.0,0.175±0.036,0.6943±0.001,0.2933±0.023,0.0±0.0,1.0±0.0,1.0±0.0,0.0±0.0,0.3112±0.042,0.7449±0.012,0.6167±0.029,0.6162±0.017,0.119±0.021,0.7778±0.027,0.3333±0.0,0.058±0.025,0.4±0.0,1f7f7bbc2e,0.6501,0.6167,0.033399999999999985
ODR,0.7468±0.035,0.7509±0.027,0.6389±0.069,0.6503±0.009,0.6742±0.013,0.5882±0.0,0.8128±0.046,0.9206±0.059,0.8116±0.078,0.8661±0.048,0.9289±0.065,0.7939±0.088,0.8274±0.068,0.3064±0.133,1.1711±0.659,0.5159±0.113,0.4348±0.501,0.381±0.381,0.5652±0.501,0.619±0.381,0.3092±0.173,1.2131±0.798,0.4667±0.023,0.5333±0.416,0.3611±0.337,0.4667±0.416,0.6389±0.337,0.3402±0.101,1.0622±0.347,0.6389±0.069,0.4949±0.076,0.1786±0.071,0.5238±0.095,0.4445±0.048,0.1449±0.066,0.3333±0.115,0ab065e810,0.7509,0.6389,0.11199999999999999
GroupDRO,0.7594±0.035,0.7764±0.009,0.6667±0.076,0.6557±0.033,0.697±0.013,0.549±0.09,0.8837±0.096,0.9167±0.021,0.8493±0.065,0.883±0.039,0.8861±0.095,0.8299±0.079,0.8368±0.126,0.3092±0.012,1.0191±0.131,0.5217±0.057,0.5797±0.465,0.2222±0.385,0.4203±0.465,0.7778±0.385,0.3396±0.044,1.0447±0.199,0.3093±0.15,0.7333±0.306,0.1944±0.337,0.2667±0.306,0.8056±0.337,0.3028±0.116,0.9526±0.179,0.6667±0.076,0.5152±0.109,0.1429±0.062,0.5079±0.073,0.5278±0.173,0.116±0.05,0.2667±0.115,246e6eeae8,0.7764,0.6667,0.10970000000000002
SWAD,0.7843±0.01,0.7833±0.008,0.7167±0.06,0.6995±0.025,0.7121±0.035,0.6667±0.034,0.7117±0.025,0.8254±0.03,0.7536±0.102,0.7895±0.036,0.8003±0.046,0.8671±0.103,0.8076±0.057,0.1413±0.026,0.586±0.045,0.5043±0.076,0.1594±0.025,0.4127±0.027,0.8406±0.025,0.5873±0.027,0.1597±0.022,0.5799±0.038,0.4533±0.024,0.4±0.0,0.2778±0.127,0.6±0.0,0.7222±0.127,0.2574±0.053,0.6019±0.068,0.715±0.057,0.4444±0.093,0.131±0.074,0.5079±0.099,0.3333±0.083,0.087±0.075,0.3333±0.115,9fa4695bac,0.7833,0.7167,0.06659999999999999
