methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.7449±0.041,0.7534±0.048,0.7543±0.021,0.6885±0.043,0.6667±0.073,0.72±0.04,0.9285±0.07,0.8611±0.157,0.9214±0.033,0.8912±0.064,0.8812±0.047,0.8722±0.018,0.9232±0.039,0.1943±0.037,0.6478±0.068,0.5156±0.111,0.2444±0.192,0.381±0.082,0.7556±0.192,0.619±0.082,0.2339±0.025,0.6598±0.077,0.4205±0.123,0.359±0.194,0.3611±0.21,0.641±0.194,0.6389±0.21,0.2442±0.074,0.6305±0.058,0.7349±0.032,0.3939±0.08,0.2143±0.062,0.4444±0.099,0.3056±0.127,0.1778±0.077,0.2564±0.044,d7a4ac0ba2,0.7543,0.7534,0.0009000000000000119
resampling,0.715±0.01,0.6624±0.02,0.7927±0.043,0.6011±0.041,0.5556±0.0,0.6667±0.101,0.93±0.092,0.8889±0.079,0.8479±0.093,0.8684±0.05,0.914±0.066,0.8464±0.071,0.88±0.033,0.2755±0.081,1.102±0.411,0.3556±0.067,0.4889±0.278,0.2857±0.286,0.5111±0.278,0.7143±0.286,0.3274±0.052,1.2034±0.359,0.6171±0.101,0.4359±0.291,0.1667±0.22,0.5641±0.291,0.8333±0.22,0.2552±0.124,0.9561±0.486,0.6624±0.02,0.6263±0.14,0.131±0.09,0.6349±0.12,0.6111±0.21,0.1778±0.168,0.0769±0.0,c354feac4b,0.7927,0.6624,0.13029999999999997
DomainInd,0.7222±0.034,0.7291±0.01,0.7436±0.033,0.6612±0.034,0.6296±0.064,0.7067±0.023,0.9122±0.048,0.8968±0.099,0.9487±0.062,0.9228±0.048,0.8512±0.094,0.8635±0.107,0.838±0.11,0.2981±0.058,1.1087±0.533,0.4296±0.045,0.2889±0.214,0.4444±0.167,0.7111±0.214,0.5556±0.167,0.3005±0.092,1.1449±0.611,0.4±0.053,0.4103±0.424,0.3889±0.293,0.5897±0.424,0.6111±0.293,0.3144±0.018,1.0564±0.43,0.7251±0.008,0.5253±0.097,0.119±0.041,0.5397±0.153,0.5±0.0,0.1333±0.067,0.1025±0.044,dfcc4533d3,0.7436,0.7291,0.014500000000000068
LAFTR,0.7716±0.036,0.7524±0.027,0.8098±0.051,0.6721±0.049,0.6389±0.028,0.72±0.08,0.9704±0.048,0.9008±0.038,0.9265±0.073,0.9136±0.041,0.9287±0.057,0.8977±0.09,0.8557±0.015,0.2717±0.091,0.9744±0.445,0.477±0.105,0.4±0.437,0.3175±0.334,0.6±0.437,0.6825±0.334,0.2815±0.07,0.961±0.349,0.6188±0.056,0.4615±0.385,0.25±0.3,0.5385±0.385,0.75±0.3,0.3065±0.107,0.9938±0.633,0.7524±0.027,0.5354±0.106,0.0833±0.021,0.5714±0.095,0.4722±0.127,0.0667±0.067,0.1025±0.044,3f435421d0,0.8098,0.7524,0.05740000000000001
CFair,0.6797±0.047,0.7005±0.051,0.7051±0.087,0.612±0.025,0.5833±0.028,0.6533±0.061,0.8304±0.052,0.7897±0.036,0.8137±0.119,0.8017±0.054,0.7612±0.153,0.7971±0.116,0.752±0.108,0.1956±0.06,0.7495±0.105,0.3244±0.111,0.3778±0.367,0.381±0.265,0.6222±0.367,0.619±0.265,0.2194±0.044,0.7274±0.063,0.4359±0.102,0.641±0.222,0.1667±0.22,0.359±0.222,0.8333±0.22,0.2615±0.074,0.7812±0.168,0.6559±0.035,0.6061±0.08,0.131±0.074,0.6825±0.073,0.4722±0.096,0.0445±0.039,0.2307±0.133,389356e37d,0.7051,0.7005,0.0045999999999999375
LNL,0.6984±0.017,0.7122±0.013,0.7094±0.052,0.623±0.043,0.5741±0.016,0.6933±0.083,0.9389±0.024,0.8413±0.108,0.9744±0.018,0.9078±0.062,0.8841±0.051,0.8096±0.058,0.8574±0.042,0.235±0.07,0.8105±0.204,0.3967±0.078,0.2222±0.329,0.5714±0.29,0.7778±0.329,0.4286±0.29,0.2665±0.099,0.8633±0.3,0.4205±0.044,0.2308±0.204,0.5833±0.25,0.7692±0.204,0.4167±0.25,0.2307±0.027,0.7344±0.099,0.6922±0.034,0.5859±0.126,0.131±0.055,0.6349±0.073,0.5±0.22,0.1333±0.067,0.1282±0.044,c7b118cacf,0.7122,0.7094,0.0028000000000000247
EnD,0.6739±0.032,0.6497±0.048,0.7372±0.046,0.6011±0.025,0.6019±0.016,0.6±0.04,0.837±0.02,0.8095±0.021,0.9179±0.044,0.8637±0.019,1.0±0.0,0.9158±0.047,0.8074±0.066,0.1555±0.023,0.7014±0.002,0.3467±0.035,0.0±0.0,1.0±0.0,1.0±0.0,0.0±0.0,0.2496±0.095,0.7075±0.003,0.4718±0.108,0.0±0.0,1.0±0.0,1.0±0.0,0.0±0.0,0.2105±0.028,0.6925±0.0,0.6456±0.041,0.6566±0.035,0.0952±0.021,0.5873±0.027,0.7778±0.048,0.1333±0.0,0.0513±0.044,ef58babb4b,0.7372,0.6497,0.08749999999999991
ODR,0.724±0.131,0.7302±0.116,0.7564±0.147,0.6721±0.115,0.6852±0.125,0.6533±0.122,0.8493±0.135,0.8929±0.062,0.7316±0.099,0.8122±0.07,0.9303±0.07,0.7269±0.069,0.8753±0.019,0.278±0.069,0.781±0.17,0.5244±0.191,0.0444±0.077,0.7778±0.344,0.9556±0.077,0.2222±0.344,0.2974±0.094,0.8456±0.198,0.5043±0.285,0.1282±0.222,0.7222±0.337,0.8718±0.222,0.2778±0.337,0.2505±0.06,0.6881±0.13,0.7081±0.1,0.4343±0.31,0.2024±0.115,0.4127±0.302,0.4722±0.337,0.1778±0.204,0.2307±0.204,ab7a10cedc,0.7564,0.7302,0.0262
GroupDRO,0.7507±0.06,0.7386±0.043,0.7927±0.07,0.6776±0.09,0.6481±0.125,0.72±0.04,0.9426±0.027,0.8889±0.066,0.9829±0.006,0.9359±0.03,0.9261±0.06,0.9314±0.075,0.9354±0.039,0.2078±0.111,0.7324±0.174,0.4744±0.081,0.2667±0.176,0.5238±0.218,0.7333±0.176,0.4762±0.218,0.2522±0.108,0.7962±0.208,0.5333±0.16,0.2051±0.118,0.4444±0.293,0.7949±0.118,0.5556±0.293,0.1971±0.096,0.6406±0.13,0.7386±0.043,0.4949±0.197,0.119±0.041,0.5238±0.238,0.4444±0.127,0.1111±0.038,0.1282±0.044,fd01ef8644,0.7927,0.7386,0.054099999999999926
SWAD,0.7771±0.022,0.7905±0.06,0.7756±0.057,0.6995±0.025,0.6852±0.042,0.72±0.04,0.9759±0.018,0.9008±0.025,0.9556±0.037,0.9282±0.008,0.8585±0.09,0.8354±0.11,0.8981±0.022,0.1747±0.014,0.63±0.053,0.5733±0.122,0.2±0.115,0.3651±0.027,0.8±0.115,0.6349±0.027,0.2211±0.054,0.656±0.103,0.4863±0.106,0.359±0.16,0.3889±0.048,0.641±0.16,0.6111±0.048,0.2537±0.096,0.5926±0.115,0.7434±0.045,0.3939±0.132,0.1905±0.115,0.4127±0.12,0.3611±0.173,0.1778±0.139,0.2051±0.089,bbd26947ba,0.7905,0.7756,0.014900000000000024
SAM,0.715±0.008,0.709±0.061,0.7778±0.065,0.6339±0.009,0.6019±0.042,0.68±0.04,0.8785±0.106,0.8889±0.113,0.8154±0.136,0.8521±0.122,0.8002±0.146,0.7755±0.13,0.816±0.086,0.1545±0.02,0.6702±0.014,0.4671±0.043,0.1778±0.192,0.5714±0.143,0.8222±0.192,0.4286±0.143,0.2798±0.005,0.7371±0.029,0.5333±0.158,0.2308±0.204,0.3889±0.173,0.7692±0.204,0.6111±0.173,0.2007±0.041,0.5739±0.063,0.6976±0.042,0.5152±0.03,0.1905±0.021,0.5555±0.027,0.4444±0.096,0.1778±0.102,0.2051±0.16,6f99c319ba,0.7778,0.709,0.06880000000000008
