methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test worst_auc,Test Overall ECE,Test Overall BCE,Test ECE-group_0,Test BCE-group_0,Test ECE-group_1,Test BCE-group_1,Test ECE-group_2,Test BCE-group_2,Test ECE-group_3,Test BCE-group_3,Test ECE-group_4,Test BCE-group_4,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8786±0.003,0.8904±0.002,0.7587±0.038,0.7955±0.02,0.8159±0.006,0.8064±0.006,0.8684±0.004,0.7809±0.003,0.9063±0.001,0.79±0.012,0.9574±0.002,0.7865±0.016,0.0754±0.002,0.4142±0.011,0.2468±0.058,0.1774±0.012,0.102±0.005,0.0508±0.0,0.014±0.003,0.2222±0.051,0.2097±0.021,0.3363±0.007,0.6491±0.024,0.8131±0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15a2c849ee,0.8064,0.7809,0.025499999999999967
resampling,0.8664±0.004,0.8723±0.002,0.7139±0.004,0.7525±0.011,0.7907±0.003,0.8004±0.002,0.8447±0.003,0.777±0.004,0.8904±0.004,0.6757±0.006,0.9519±0.003,0.6116±0.009,0.1±0.003,0.3745±0.007,0.3173±0.017,0.2161±0.005,0.1323±0.003,0.0737±0.005,0.0218±0.003,0.1778±0.039,0.183±0.005,0.3138±0.006,0.5748±0.017,0.755±0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df951247b,0.8004,0.6116,0.18879999999999997
DomainInd,0.8785±0.001,0.8862±0.004,0.7164±0.03,0.7422±0.02,0.8201±0.007,0.8092±0.005,0.8641±0.005,0.7767±0.007,0.9±0.003,0.6647±0.01,0.9537±0.004,0.5906±0.022,0.0811±0.007,0.4044±0.019,0.3045±0.039,0.1724±0.014,0.1063±0.008,0.0607±0.005,0.0183±0.006,0.2111±0.019,0.2091±0.024,0.3403±0.019,0.61±0.026,0.8005±0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e77e7eb40c,0.8092,0.5906,0.21860000000000002
LAFTR,0.8788±0.001,0.886±0.005,0.7413±0.004,0.8511±0.029,0.8094±0.006,0.8847±0.004,0.8595±0.006,0.8767±0.002,0.9042±0.005,0.8345±0.002,0.9592±0.002,0.843±0.002,0.0827±0.008,0.3922±0.023,0.1353±0.01,0.039±0.006,,,,0.2632±0.016,0.688±0.039,,,,0.7113±0.094,0.4111±0.084,0.1218±0.024,0.5889±0.084,0.8782±0.024,0.841±0.004,0.4391±0.106,0.088±0.025,0.5609±0.106,0.912±0.025,0.8336±0.009,0.6829±0.105,0.0361±0.016,0.3171±0.105,0.9639±0.016,0.7382±0.012,0.8963±0.049,0.0091±0.005,0.1037±0.049,0.9909±0.005,0.7524±0.025,0.952±0.038,0.0022±0.001,0.048±0.038,0.9978±0.001,0.8287±0.01,,,,,,,,,,,,,e0f6ba3ed6,0.8847,0.8345,0.05020000000000002
CFair,0.8685±0.004,0.8717±0.008,0.7687±0.02,0.8413±0.03,0.8269±0.004,0.8801±0.002,0.8589±0.005,0.8735±0.005,0.8759±0.012,0.8297±0.002,0.9243±0.016,0.8232±0.009,0.1006±0.012,0.3745±0.023,0.1987±0.011,0.1487±0.008,0.1149±0.007,0.0953±0.017,0.0545±0.02,0.3445±0.069,0.268±0.021,0.3219±0.022,0.4966±0.054,0.649±0.091,0.672±0.064,0.8±0.2,0.0256±0.015,0.2±0.2,0.9744±0.015,0.8276±0.017,0.8027±0.115,0.0252±0.017,0.1973±0.115,0.9748±0.017,0.8338±0.015,0.8585±0.082,0.0158±0.008,0.1415±0.082,0.9842±0.008,0.725±0.008,0.8832±0.017,0.0126±0.004,0.1168±0.017,0.9874±0.004,0.6772±0.015,0.9015±0.035,0.0079±0.002,0.0985±0.035,0.9921±0.002,0.8177±0.006,0.0166±0.009,0.2374±0.005,0.0944±0.026,0.4074±0.046,0.0699±0.023,0.3624±0.02,0.0285±0.011,0.2702±0.009,0.0185±0.002,0.2101±0.001,0.0201±0.008,0.1356±0.003,595aeab4c0,0.8801,0.8232,0.05689999999999995
LNL,0.8524±0.002,0.8628±0.008,0.5796±0.114,0.6896±0.052,0.7546±0.029,0.7747±0.009,0.8317±0.012,0.7548±0.002,0.8904±0.01,0.6438±0.021,0.9524±0.005,0.5741±0.027,0.1063±0.012,0.4127±0.028,0.5096±0.168,0.2594±0.045,0.1423±0.016,0.0684±0.015,0.0185±0.007,0.1111±0.084,0.1913±0.034,0.3481±0.016,0.644±0.057,0.8333±0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6964746ad3,0.7747,0.5741,0.2006
EnD,0.8663±0.008,0.8764±0.009,0.7363±0.108,0.7629±0.063,0.8183±0.009,0.7986±0.003,0.8552±0.011,0.7784±0.006,0.8877±0.01,0.6921±0.009,0.9404±0.008,0.6141±0.003,0.0947±0.011,0.3808±0.011,0.2853±0.146,0.1681±0.016,0.1188±0.013,0.0796±0.01,0.0344±0.009,0.1889±0.038,0.2347±0.018,0.3245±0.011,0.5363±0.009,0.7374±0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29aa4da55f,0.7986,0.6141,0.1845
ODR,0.8719±0.004,0.8812±0.004,0.7363±0.053,0.8387±0.054,0.8133±0.005,0.8739±0.007,0.8554±0.006,0.8702±0.003,0.8978±0.004,0.8283±0.006,0.95±0.005,0.8349±0.013,0.0872±0.007,0.4004±0.023,0.2949±0.058,0.1828±0.008,0.1151±0.011,0.0637±0.006,0.0236±0.006,0.1555±0.039,0.202±0.013,0.3481±0.031,0.6014±0.023,0.7601±0.056,0.6628±0.089,0.4333±0.115,0.1442±0.017,0.5667±0.115,0.8558±0.017,0.8151±0.013,0.5882±0.138,0.068±0.024,0.4118±0.138,0.932±0.024,0.8054±0.011,0.7572±0.113,0.0253±0.013,0.2428±0.113,0.9747±0.013,0.7298±0.007,0.9178±0.039,0.0086±0.004,0.0822±0.039,0.9914±0.004,0.7302±0.018,0.947±0.042,0.0029±0.001,0.053±0.042,0.9971±0.001,0.8131±0.031,0.0157±0.007,0.233±0.003,0.0871±0.007,0.398±0.044,0.0298±0.013,0.3428±0.011,0.0179±0.008,0.2686±0.003,0.017±0.008,0.2085±0.003,0.0238±0.004,0.131±0.005,c0559ec3b8,0.8739,0.8283,0.045599999999999974
GroupDRO,0.8477±0.004,0.8571±0.009,0.7811±0.046,0.8089±0.042,0.8057±0.007,0.8546±0.004,0.8417±0.008,0.851±0.002,0.8639±0.01,0.813±0.005,0.9128±0.011,0.8052±0.002,0.1141±0.012,0.3989±0.026,0.1923±0.05,0.16±0.02,0.1305±0.013,0.1084±0.012,0.067±0.012,0.3111±0.069,0.3274±0.046,0.35±0.032,0.4943±0.023,0.6313±0.037,0.6857±0.087,0.3±0.088,0.2724±0.078,0.7±0.088,0.7276±0.078,0.7609±0.014,0.2424±0.071,0.2022±0.037,0.7576±0.071,0.7978±0.037,0.7713±0.003,0.2764±0.037,0.1726±0.019,0.7236±0.037,0.8274±0.019,0.6833±0.005,0.4082±0.047,0.1458±0.021,0.5918±0.047,0.8542±0.021,0.6794±0.025,0.5177±0.056,0.0964±0.017,0.4823±0.056,0.9036±0.017,0.793±0.023,,,,,,,,,,,,,4543c94bd8,0.8546,0.8052,0.0494
SWAD,0.8881±0.001,0.888±0.002,0.7736±0.016,0.8884±0.005,0.8195±0.002,0.8934±0.001,0.8644±0.003,0.8888±0.001,0.9023±0.003,0.8457±0.002,0.9566±0.001,0.8502±0.0,0.0844±0.005,0.3583±0.021,0.25±0.019,0.1836±0.005,0.1151±0.006,0.0599±0.006,0.0172±0.003,0.1444±0.019,0.1687±0.011,0.2772±0.012,0.5873±0.038,0.7475±0.061,0.7914±0.015,0.3556±0.051,0.1122±0.015,0.6444±0.051,0.8878±0.015,0.8537±0.01,0.3886±0.008,0.0929±0.004,0.6114±0.008,0.9071±0.004,0.8529±0.004,0.5883±0.005,0.0409±0.003,0.4117±0.005,0.9591±0.003,0.7459±0.007,0.8662±0.018,0.0122±0.002,0.1338±0.018,0.9878±0.002,0.7776±0.009,0.9242±0.015,0.003±0.001,0.0758±0.015,0.997±0.001,0.8457±0.002,0.0095±0.001,0.2193±0.0,0.0677±0.008,0.3472±0.006,0.015±0.002,0.319±0.002,0.0107±0.002,0.2509±0.001,0.0123±0.001,0.2005±0.0,0.0071±0.001,0.121±0.001,d741eabbe9,0.8934,0.8457,0.047699999999999965
