methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8636±0.001,0.856±0.002,0.8648±0.0,0.782±0.003,0.7844±0.003,0.7783±0.002,0.8271±0.001,0.9006±0.002,0.9016±0.004,0.9011±0.001,0.8878±0.008,0.8937±0.004,0.8982±0.002,0.014±0.009,0.4513±0.001,0.7619±0.004,0.3189±0.029,0.146±0.013,0.6811±0.029,0.854±0.013,0.0127±0.009,0.4455±0.002,0.7692±0.004,0.1879±0.012,0.2395±0.015,0.8121±0.012,0.7605±0.015,0.0164±0.008,0.4601±0.002,0.856±0.002,0.2466±0.012,0.1752±0.011,0.212±0.011,0.3114±0.013,0.2222±0.012,0.1238±0.01,899ba550db,0.8648,0.856,0.00880000000000003
resampling,0.8607±0.001,0.8531±0.0,0.8619±0.003,0.7804±0.001,0.7833±0.001,0.776±0.003,0.8252±0.003,0.8978±0.004,0.8997±0.004,0.8987±0.003,0.8895±0.003,0.8925±0.005,0.8957±0.004,0.0245±0.019,0.4575±0.005,0.7581±0.003,0.3259±0.054,0.1476±0.032,0.6741±0.054,0.8524±0.032,0.025±0.017,0.4515±0.003,0.7643±0.005,0.195±0.041,0.2375±0.045,0.805±0.041,0.7625±0.045,0.026±0.019,0.4666±0.008,0.8531±0.0,0.2471±0.001,0.1784±0.003,0.2116±0.002,0.3138±0.002,0.2264±0.005,0.126±0.003,4f8cf4ed15,0.8619,0.8531,0.00880000000000003
DomainInd,0.8621±0.001,0.8548±0.001,0.8628±0.002,0.7779±0.008,0.7795±0.008,0.7755±0.006,0.8339±0.002,0.9054±0.002,0.9104±0.005,0.9079±0.002,0.8974±0.004,0.8995±0.002,0.903±0.002,0.0982±0.004,0.5398±0.01,0.76±0.006,0.3365±0.048,0.1381±0.022,0.6635±0.048,0.8619±0.022,0.0967±0.005,0.5355±0.012,0.7701±0.006,0.2122±0.035,0.2192±0.027,0.7878±0.035,0.7808±0.027,0.1008±0.003,0.5464±0.007,0.8548±0.001,0.2602±0.024,0.1648±0.017,0.2274±0.023,0.322±0.025,0.2077±0.019,0.1181±0.014,24235cad8d,0.8628,0.8548,0.008000000000000007
LAFTR,0.8642±0.001,0.857±0.001,0.8652±0.001,0.7822±0.002,0.7846±0.004,0.7786±0.001,0.8323±0.008,0.9049±0.009,0.9088±0.006,0.9069±0.007,0.8989±0.008,0.9007±0.009,0.9044±0.006,0.0224±0.013,0.4532±0.003,0.765±0.004,0.3006±0.019,0.1558±0.007,0.6994±0.019,0.8442±0.007,0.0223±0.01,0.447±0.002,0.771±0.005,0.1829±0.012,0.2404±0.014,0.8171±0.012,0.7596±0.014,0.0242±0.016,0.4625±0.005,0.857±0.001,0.2487±0.006,0.1714±0.005,0.2157±0.009,0.3107±0.003,0.2151±0.007,0.1238±0.003,71e43c284c,0.8652,0.857,0.008199999999999985
CFair,0.864±0.002,0.8577±0.002,0.8645±0.002,0.7819±0.003,0.7836±0.004,0.7793±0.002,0.8409±0.009,0.9143±0.007,0.9163±0.01,0.9153±0.008,0.9152±0.01,0.9153±0.009,0.9154±0.009,0.0161±0.002,0.4508±0.004,0.7653±0.004,0.2955±0.005,0.1555±0.005,0.7045±0.005,0.8445±0.005,0.023±0.006,0.4448±0.003,0.7739±0.007,0.1963±0.008,0.2258±0.005,0.8037±0.008,0.7742±0.005,0.0129±0.004,0.46±0.004,0.8577±0.002,0.2474±0.011,0.1742±0.008,0.2176±0.013,0.3033±0.009,0.2142±0.012,0.1305±0.007,6cbc0ff49c,0.8645,0.8577,0.006800000000000028
LNL,0.8504±0.004,0.8427±0.004,0.8514±0.003,0.7668±0.005,0.7691±0.007,0.7633±0.003,0.8317±0.023,0.8994±0.023,0.9062±0.023,0.9028±0.023,0.8916±0.028,0.8933±0.029,0.8976±0.025,0.0187±0.017,0.4712±0.004,0.7354±0.008,0.3301±0.029,0.1587±0.016,0.6699±0.029,0.8413±0.016,0.0212±0.012,0.4642±0.004,0.7447±0.007,0.203±0.031,0.2484±0.026,0.797±0.031,0.7516±0.026,0.0264±0.017,0.4818±0.005,0.8427±0.004,0.2709±0.015,0.1766±0.01,0.236±0.02,0.3365±0.014,0.2214±0.017,0.1276±0.013,89ce63b545,0.8514,0.8427,0.008700000000000041
EnD,0.8569±0.003,0.8505±0.003,0.8576±0.004,0.7786±0.005,0.7802±0.007,0.776±0.002,0.8512±0.015,0.9237±0.014,0.9254±0.016,0.9245±0.015,0.9197±0.013,0.9222±0.011,0.9236±0.013,0.0214±0.014,0.4622±0.006,0.7576±0.004,0.309±0.052,0.1582±0.033,0.691±0.052,0.8418±0.033,0.0287±0.021,0.4563±0.008,0.7634±0.009,0.2126±0.029,0.2224±0.031,0.7874±0.029,0.7776±0.031,0.0174±0.009,0.4712±0.006,0.8505±0.003,0.2462±0.015,0.1842±0.011,0.2197±0.02,0.296±0.008,0.2199±0.017,0.1453±0.01,8693abea0c,0.8576,0.8505,0.007099999999999995
ODR,0.8626±0.002,0.8558±0.002,0.8627±0.003,0.7806±0.007,0.7833±0.006,0.7765±0.008,0.8326±0.003,0.9048±0.003,0.9081±0.01,0.9064±0.003,0.8979±0.007,0.901±0.003,0.9037±0.004,0.0381±0.018,0.4576±0.007,0.7597±0.007,0.3371±0.093,0.1418±0.053,0.6629±0.093,0.8582±0.053,0.0371±0.018,0.4504±0.007,0.7716±0.005,0.2122±0.074,0.2211±0.067,0.7878±0.074,0.7789±0.067,0.0396±0.018,0.4685±0.008,0.8558±0.002,0.2469±0.018,0.1781±0.01,0.2138±0.017,0.3091±0.02,0.222±0.015,0.1301±0.005,16adbb2cf4,0.8627,0.8558,0.006900000000000017
GroupDRO,0.8572±0.001,0.8495±0.001,0.8579±0.001,0.7762±0.003,0.7786±0.004,0.7725±0.001,0.8286±0.005,0.8996±0.005,0.9037±0.004,0.9017±0.005,0.8909±0.007,0.8928±0.005,0.8963±0.005,0.0273±0.007,0.4627±0.002,0.7529±0.003,0.3061±0.013,0.1599±0.011,0.6939±0.013,0.8401±0.011,0.0271±0.007,0.456±0.002,0.7584±0.004,0.1814±0.005,0.2533±0.006,0.8186±0.005,0.7467±0.006,0.0273±0.005,0.4727±0.001,0.8495±0.001,0.2569±0.01,0.1742±0.007,0.2221±0.011,0.3224±0.007,0.2203±0.008,0.1239±0.005,8a5eb419e3,0.8579,0.8495,0.008399999999999963
SWAD,0.8665±0.0,0.859±0.0,0.8679±0.001,0.7855±0.001,0.7874±0.001,0.7827±0.002,0.8298±0.002,0.9053±0.001,0.9037±0.005,0.9045±0.002,0.8958±0.003,0.8984±0.002,0.9±0.001,0.0233±0.001,0.4488±0.001,0.7684±0.002,0.3109±0.003,0.1435±0.001,0.6891±0.003,0.8565±0.001,0.0231±0.001,0.4431±0.001,0.7783±0.004,0.189±0.001,0.23±0.006,0.811±0.001,0.77±0.006,0.0243±0.001,0.4574±0.001,0.859±0.0,0.2422±0.004,0.1728±0.003,0.2094±0.004,0.304±0.005,0.2188±0.004,0.1225±0.004,72526d3173,0.8679,0.859,0.008900000000000019
