methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,hash,Max AUC,Min AUC,AUC Gap
baseline,0.905±0.002,0.8238±0.005,0.9814±0.002,0.9931±0.003,0.8825±0.007,0.856±0.01,0.8066±0.011,0.878±0.001,0.7789±0.005,0.8628±0.001,0.8021±0.002,0.8515±0.001,0.0264±0.004,0.3843±0.005,0.864±0.058,0.875±0.125,0.0±0.0,0.125±0.125,1.0±0.0,0.0202±0.001,0.0399±0.004,0.7795±0.017,0.3656±0.019,0.0563±0.0,0.6344±0.019,0.9437±0.0,0.0874±0.005,0.338±0.008,0.7673±0.002,0.2946±0.007,0.1243±0.012,0.7054±0.007,0.8757±0.012,0.0596±0.009,0.4161±0.004,0.7564±0.007,0.2431±0.022,0.2064±0.012,0.7569±0.022,0.7936±0.012,0.0406±0.006,0.4646±0.004,0.7341±0.005,0.1738±0.019,0.2793±0.026,0.8262±0.019,0.7207±0.026,0.079±0.011,0.4439±0.008,0.851±0.002,0.1551±0.023,0.2054±0.021,0.0±0.0,0.0681±0.011,0.1569±0.035,0.2332±0.03,0.3266±0.044,0.7917±0.072,0.3441±0.019,0.2574±0.03,0.2086±0.022,0.1433±0.016,57496e23e1,0.9931,0.8515,0.14159999999999995
resampling,0.9053±0.002,0.822±0.006,0.9863±0.002,0.9947±0.001,0.8805±0.007,0.8591±0.009,0.8004±0.014,0.8789±0.003,0.7772±0.005,0.8622±0.002,0.8008±0.005,0.8514±0.002,0.0507±0.003,0.389±0.003,0.8644±0.058,0.5417±0.072,0.001±0.002,0.4583±0.072,0.999±0.002,0.0194±0.001,0.036±0.002,0.7897±0.014,0.3226±0.0,0.0751±0.004,0.6774±0.0,0.9249±0.004,0.1209±0.007,0.366±0.014,0.772±0.001,0.2202±0.01,0.2134±0.013,0.7798±0.01,0.7866±0.013,0.099±0.005,0.4348±0.005,0.7539±0.011,0.1811±0.003,0.2888±0.015,0.8189±0.003,0.7112±0.015,0.0653±0.007,0.4711±0.002,0.7194±0.007,0.1223±0.007,0.4032±0.016,0.8777±0.007,0.5968±0.016,0.0388±0.001,0.4263±0.004,0.8512±0.003,0.1683±0.033,0.1914±0.031,0.0±0.0,0.0728±0.011,0.1719±0.042,0.2517±0.04,0.3558±0.086,0.5833±0.072,0.3333±0.019,0.2481±0.034,0.1931±0.031,0.1328±0.029,8f1a9f7c02,0.9947,0.8514,0.14329999999999998
DomainInd,0.888±0.007,0.8026±0.008,0.9717±0.007,0.9925±0.001,0.8131±0.032,0.8769±0.009,0.7678±0.014,0.8779±0.003,0.7671±0.005,0.86±0.003,0.7928±0.006,0.856±0.003,0.1575±0.009,0.8811±0.02,0.8953±0.001,0.1667±0.072,0.004±0.002,0.8333±0.072,0.996±0.002,0.0102±0.001,0.044±0.004,0.8243±0.013,0.3333±0.019,0.0634±0.0,0.6667±0.019,0.9366±0.0,0.0922±0.002,0.5235±0.012,0.7663±0.012,0.3628±0.019,0.0776±0.003,0.6372±0.019,0.9224±0.003,0.1323±0.007,0.7303±0.009,0.7345±0.013,0.4292±0.024,0.0528±0.004,0.5708±0.024,0.9472±0.004,0.1864±0.011,1.0797±0.025,0.7372±0.024,0.4298±0.03,0.0923±0.017,0.5702±0.03,0.9077±0.017,0.2898±0.022,1.3766±0.07,0.856±0.003,0.1966±0.031,0.1986±0.027,0.026±0.008,0.1901±0.043,0.2636±0.039,0.2476±0.039,0.2478±0.032,0.125±0.0,0.172±0.019,0.1767±0.029,0.2178±0.035,0.1901±0.021,5713f91e84,0.9925,0.856,0.13650000000000007
LAFTR,0.9055±0.003,0.8165±0.01,0.9824±0.003,0.9901±0.007,0.8709±0.009,0.8614±0.008,0.7971±0.02,0.8795±0.003,0.7706±0.012,0.8626±0.003,0.7954±0.007,0.8515±0.003,0.0318±0.005,0.3827±0.006,0.8968±0.002,0.6667±0.191,0.002±0.002,0.3333±0.191,0.998±0.002,0.016±0.001,0.0377±0.01,0.7656±0.016,0.3656±0.037,0.0728±0.011,0.6344±0.037,0.9272±0.011,0.0888±0.01,0.3447±0.009,0.7627±0.011,0.2636±0.012,0.164±0.027,0.7364±0.012,0.836±0.027,0.0695±0.007,0.4183±0.008,0.7584±0.01,0.2072±0.01,0.2497±0.017,0.7928±0.01,0.7503±0.017,0.0495±0.004,0.4649±0.006,0.7283±0.019,0.1442±0.016,0.3536±0.035,0.8558±0.016,0.6464±0.035,0.049±0.008,0.4315±0.006,0.8515±0.003,0.18±0.041,0.1884±0.034,0.002±0.002,0.0798±0.023,0.1843±0.058,0.2689±0.054,0.3739±0.066,0.6667±0.191,0.3548±0.056,0.2357±0.047,0.1889±0.032,0.1328±0.026,26d41dfb44,0.9901,0.8515,0.13859999999999995
CFair,0.9076±0.003,0.8223±0.005,0.9863±0.004,0.9955±0.001,0.8786±0.012,0.8722±0.015,0.8044±0.009,0.8821±0.006,0.7748±0.007,0.8641±0.004,0.8035±0.006,0.8545±0.001,0.0288±0.005,0.3791±0.006,0.8978±0.001,0.5±0.25,0.003±0.0,0.5±0.25,0.997±0.0,0.0209±0.003,0.0362±0.005,0.7836±0.05,0.3548±0.032,0.0634±0.007,0.6452±0.032,0.9366±0.007,0.0801±0.027,0.3292±0.026,0.7727±0.022,0.2791±0.03,0.1429±0.035,0.7209±0.03,0.8571±0.035,0.0589±0.014,0.4103±0.014,0.7547±0.012,0.2297±0.027,0.2188±0.042,0.7703±0.027,0.7812±0.042,0.0425±0.002,0.4614±0.006,0.7394±0.017,0.1652±0.024,0.295±0.033,0.8348±0.024,0.705±0.033,0.0715±0.015,0.4358±0.012,0.8545±0.001,0.165±0.027,0.1952±0.025,0.003±0.0,0.0751±0.015,0.1667±0.037,0.251±0.036,0.3288±0.052,0.4583±0.191,0.3333±0.019,0.2465±0.044,0.1987±0.024,0.1404±0.013,b24ba3f40c,0.9955,0.8545,0.14100000000000001
LNL,0.9039±0.002,0.8119±0.007,0.9795±0.003,0.9776±0.005,0.8767±0.013,0.8698±0.009,0.7813±0.014,0.8769±0.001,0.7685±0.013,0.8635±0.003,0.7948±0.003,0.8497±0.005,0.0403±0.025,0.3903±0.012,0.8586±0.061,0.9167±0.144,0.0±0.0,0.0833±0.144,1.0±0.0,0.0185±0.001,0.0575±0.003,0.8123±0.011,0.3441±0.049,0.0728±0.023,0.6559±0.049,0.9272±0.023,0.0986±0.034,0.3439±0.034,0.7633±0.006,0.2543±0.059,0.1764±0.054,0.7457±0.059,0.8236±0.054,0.0878±0.035,0.4319±0.021,0.7578±0.012,0.1973±0.038,0.2565±0.058,0.8027±0.038,0.7435±0.058,0.0542±0.028,0.4681±0.015,0.7184±0.009,0.1366±0.032,0.3649±0.083,0.8634±0.032,0.6351±0.083,0.0576±0.008,0.4351±0.012,0.8497±0.005,0.2107±0.034,0.1568±0.031,0.0±0.0,0.0845±0.019,0.2293±0.041,0.31±0.056,0.4324±0.041,0.875±0.125,0.3011±0.019,0.2±0.035,0.1508±0.035,0.1089±0.022,9aca95f5f1,0.9776,0.8497,0.1279
EnD,0.9046±0.001,0.8212±0.002,0.9853±0.0,0.9955±0.001,0.8786±0.0,0.8618±0.003,0.7954±0.002,0.8775±0.001,0.7793±0.005,0.8649±0.001,0.8001±0.002,0.8526±0.001,0.0525±0.004,0.3983±0.003,0.8648±0.058,0.75±0.0,0.0±0.0,0.25±0.0,1.0±0.0,0.0208±0.002,0.0397±0.002,0.7483±0.011,0.3871±0.0,0.0657±0.008,0.6129±0.0,0.9343±0.008,0.1052±0.016,0.3461±0.012,0.7809±0.005,0.2868±0.013,0.1182±0.014,0.7132±0.013,0.8818±0.014,0.0903±0.013,0.4318±0.007,0.755±0.002,0.2734±0.016,0.1694±0.019,0.7266±0.016,0.8306±0.019,0.0634±0.007,0.4758±0.002,0.7391±0.01,0.2187±0.024,0.2207±0.017,0.7813±0.024,0.7793±0.017,0.1257±0.011,0.4733±0.009,0.8526±0.001,0.1683±0.005,0.1933±0.004,0.001±0.002,0.0775±0.0,0.194±0.004,0.2449±0.013,0.3153±0.014,0.5833±0.072,0.3226±0.0,0.2233±0.005,0.1959±0.004,0.1509±0.004,2f2837f17e,0.9955,0.8526,0.14290000000000003
ODR,0.9063±0.002,0.8247±0.006,0.9834±0.002,0.9922±0.004,0.8844±0.01,0.8637±0.009,0.8094±0.014,0.8797±0.005,0.7817±0.009,0.863±0.003,0.7961±0.006,0.852±0.002,0.0565±0.026,0.3976±0.01,0.8972±0.001,0.5±0.331,0.002±0.002,0.5±0.331,0.998±0.002,0.0121±0.003,0.0361±0.007,0.7501±0.019,0.3441±0.037,0.0869±0.028,0.6559±0.037,0.9131±0.028,0.0865±0.032,0.3536±0.024,0.7719±0.021,0.2217±0.066,0.2028±0.069,0.7783±0.066,0.7972±0.069,0.0855±0.038,0.4371±0.023,0.7579±0.019,0.1832±0.062,0.3018±0.084,0.8168±0.062,0.6982±0.084,0.0813±0.026,0.488±0.015,0.7507±0.007,0.1184±0.047,0.4054±0.106,0.8816±0.047,0.5946±0.106,0.0549±0.008,0.4397±0.007,0.852±0.002,0.1569±0.027,0.2007±0.024,0.002±0.002,0.0634±0.014,0.1517±0.031,0.2352±0.039,0.3514±0.054,0.625±0.125,0.3548±0.032,0.2589±0.027,0.2008±0.022,0.1413±0.027,6029d16698,0.9922,0.852,0.1402
GroupDRO,0.8819±0.008,0.7944±0.007,0.9765±0.0,0.9834±0.008,0.8459±0.032,0.829±0.012,0.7662±0.014,0.8496±0.012,0.7563±0.007,0.841±0.008,0.7586±0.008,0.8175±0.005,0.0982±0.017,0.4612±0.022,0.8953±0.002,0.875±0.0,0.002±0.002,0.125±0.0,0.998±0.002,0.0754±0.014,0.1116±0.007,0.7621±0.03,0.3011±0.019,0.115±0.048,0.6989±0.019,0.885±0.048,0.2081±0.026,0.4764±0.043,0.743±0.014,0.2326±0.02,0.2152±0.031,0.7674±0.02,0.7848±0.031,0.1505±0.007,0.5177±0.033,0.7277±0.021,0.2051±0.011,0.2771±0.017,0.7949±0.011,0.7229±0.017,0.0935±0.013,0.5254±0.022,0.6642±0.006,0.1872±0.014,0.4054±0.014,0.8128±0.014,0.5946±0.014,0.1214±0.018,0.5045±0.02,0.8175±0.005,0.2192±0.024,0.1868±0.02,0.003±0.0,0.1268±0.043,0.2531±0.031,0.3052±0.03,0.4257±0.029,0.875±0.0,0.2796±0.019,0.2±0.017,0.1804±0.022,0.1633±0.023,2be5c47bf5,0.9834,0.8175,0.16590000000000005
SWAD,0.9043±0.001,0.8179±0.005,0.9834±0.004,0.9921±0.001,0.8844±0.0,0.8638±0.003,0.7943±0.005,0.8776±0.001,0.7706±0.009,0.8633±0.0,0.8008±0.007,0.849±0.001,0.029±0.001,0.3865±0.002,0.8969±0.0,1.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0196±0.002,0.0414±0.001,0.8247±0.025,0.3548±0.0,0.0634±0.0,0.6452±0.0,0.9366±0.0,0.0907±0.008,0.3336±0.004,0.7673±0.003,0.2992±0.005,0.1243±0.005,0.7008±0.005,0.8757±0.005,0.0589±0.004,0.4182±0.002,0.7603±0.002,0.2481±0.005,0.1914±0.002,0.7519±0.005,0.8086±0.002,0.0454±0.002,0.4642±0.001,0.7167±0.007,0.192±0.0,0.2658±0.004,0.808±0.0,0.7342±0.004,0.0894±0.003,0.4541±0.002,0.849±0.001,0.174±0.021,0.1933±0.016,0.0±0.0,0.0704±0.0,0.1861±0.018,0.2606±0.034,0.3491±0.055,0.7083±0.191,0.3226±0.0,0.2403±0.019,0.1973±0.016,0.1356±0.013,8327ad1802,0.9921,0.849,0.1431
