methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test tpr_at_tnr_2,Test fnr_at_thres-group_2,Test fpr_at_thres-group_2,Test recall_at_thres-group_2,Test specificity_at_thres-group_2,Test ECE-group_2,Test BCE-group_2,Test tpr_at_tnr_3,Test fnr_at_thres-group_3,Test fpr_at_thres-group_3,Test recall_at_thres-group_3,Test specificity_at_thres-group_3,Test ECE-group_3,Test BCE-group_3,Test tpr_at_tnr_4,Test fnr_at_thres-group_4,Test fpr_at_thres-group_4,Test recall_at_thres-group_4,Test specificity_at_thres-group_4,Test ECE-group_4,Test BCE-group_4,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4,hash,Max AUC,Min AUC,AUC Gap
baseline,0.9093±0.0,0.8234±0.005,0.7876±0.004,0.8752±0.001,0.8576±0.005,0.9324±0.001,0.8576±0.006,0.9087±0.001,0.8953±0.0,0.9068±0.001,0.803±0.026,0.8596±0.0,0.0287±0.006,0.3747±0.002,0.7853±0.003,0.21±0.017,0.2153±0.036,0.79±0.017,0.7847±0.036,0.0585±0.011,0.4414±0.006,0.9394±0.005,0.2968±0.029,0.0693±0.014,0.7032±0.029,0.9307±0.014,0.0562±0.007,0.3154±0.005,0.8079±0.005,0.2983±0.014,0.0825±0.013,0.7017±0.014,0.9175±0.013,0.0409±0.004,0.3079±0.004,0.8368±0.009,0.3333±0.036,0.0429±0.025,0.6667±0.036,0.9571±0.025,0.0504±0.007,0.2678±0.002,0.6444±0.0,0.3333±0.0,0.1228±0.03,0.6667±0.0,0.8772±0.03,0.2016±0.003,0.3961±0.016,0.8596±0.0,0.1607±0.019,0.1986±0.016,0.276±0.03,0.0866±0.016,0.1041±0.014,0.0571±0.0,0.1754±0.03,0.1695±0.015,0.2603±0.024,0.2694±0.02,0.3125±0.0,0.3333±0.0,f9546ebb01,0.9324,0.8596,0.07279999999999998
resampling,0.909±0.0,0.8238±0.004,0.7858±0.004,0.8746±0.0,0.8634±0.004,0.9332±0.002,0.8594±0.004,0.9081±0.001,0.8992±0.007,0.906±0.001,0.803±0.026,0.848±0.01,0.0421±0.0,0.3794±0.0,0.7806±0.001,0.1486±0.002,0.3211±0.007,0.8514±0.002,0.6789±0.007,0.0321±0.002,0.4331±0.0,0.9358±0.001,0.2329±0.0,0.1039±0.0,0.7671±0.0,0.8961±0.0,0.0616±0.005,0.3132±0.004,0.7959±0.004,0.2481±0.005,0.1265±0.002,0.7519±0.005,0.8735±0.002,0.0749±0.001,0.3293±0.0,0.8457±0.025,0.3125±0.0,0.0619±0.008,0.6875±0.0,0.9381±0.008,0.0859±0.004,0.2841±0.002,0.5259±0.103,0.3333±0.0,0.2105±0.0,0.6667±0.0,0.7895±0.0,0.2077±0.043,0.4634±0.009,0.848±0.01,0.1598±0.021,0.1989±0.02,0.2785±0.04,0.0801±0.016,0.1022±0.01,0.0524±0.008,0.1754±0.03,0.1708±0.02,0.2557±0.029,0.2679±0.018,0.3125±0.0,0.3333±0.0,e737f30cad,0.9332,0.848,0.08520000000000005
DomainInd,0.905±0.001,0.8084±0.003,0.7834±0.0,0.8729±0.0,0.8708±0.003,0.9343±0.001,0.8224±0.008,0.9079±0.001,0.8682±0.007,0.8967±0.006,0.7879±0.026,0.8596±0.0,0.1388±0.007,0.8166±0.048,0.7683±0.006,0.3438±0.02,0.1051±0.015,0.6562±0.02,0.8949±0.015,0.1887±0.013,1.0153±0.074,0.9248±0.002,0.3607±0.016,0.0498±0.007,0.6393±0.016,0.9502±0.007,0.1261±0.001,0.6414±0.027,0.8066±0.005,0.3516±0.009,0.0541±0.006,0.6484±0.009,0.9459±0.006,0.0958±0.004,0.6124±0.021,0.8056±0.06,0.4167±0.072,0.0286±0.0,0.5833±0.072,0.9714±0.0,0.0953±0.005,0.5756±0.032,0.6444±0.0,0.3333±0.0,0.0526±0.0,0.6667±0.0,0.9474±0.0,0.1222±0.006,0.7677±0.019,0.8596±0.0,0.21±0.013,0.166±0.011,0.3172±0.019,0.1169±0.006,0.1655±0.011,0.0905±0.008,0.193±0.03,0.1486±0.014,0.1553±0.016,0.2177±0.003,0.3125±0.0,0.3333±0.0,d930e7d914,0.9343,0.8596,0.07469999999999999
LAFTR,0.9087±0.0,0.8208±0.008,0.7868±0.003,0.8747±0.001,0.8664±0.011,0.9318±0.001,0.8499±0.018,0.9075±0.001,0.8915±0.013,0.9065±0.001,0.803±0.052,0.8538±0.01,0.0355±0.02,0.3795±0.008,0.7802±0.004,0.2244±0.046,0.2018±0.061,0.7756±0.046,0.7982±0.061,0.0654±0.035,0.4486±0.018,0.9362±0.002,0.3288±0.072,0.0693±0.023,0.6712±0.072,0.9307±0.023,0.0627±0.012,0.3216±0.012,0.8015±0.003,0.3151±0.048,0.0802±0.022,0.6849±0.048,0.9198±0.022,0.0443±0.009,0.3096±0.005,0.8517±0.002,0.3542±0.072,0.0381±0.022,0.6458±0.072,0.9619±0.022,0.0571±0.014,0.2671±0.005,0.5852±0.103,0.3333±0.0,0.0877±0.03,0.6667±0.0,0.9123±0.03,0.1797±0.05,0.3946±0.034,0.8538±0.01,0.1737±0.045,0.1868±0.042,0.2934±0.071,0.0909±0.023,0.1169±0.034,0.0619±0.016,0.1754±0.061,0.159±0.043,0.2238±0.08,0.2603±0.032,0.3125±0.0,0.3333±0.0,cc186675fd,0.9318,0.8538,0.07799999999999996
CFair,0.9094±0.001,0.8204±0.004,0.7858±0.002,0.8751±0.001,0.862±0.009,0.9325±0.001,0.8513±0.009,0.9092±0.001,0.8953±0.0,0.9027±0.003,0.7879±0.026,0.8596±0.0,0.0369±0.018,0.3784±0.008,0.7792±0.008,0.2305±0.041,0.196±0.054,0.7695±0.041,0.804±0.054,0.0713±0.03,0.4503±0.017,0.9272±0.005,0.3333±0.042,0.0519±0.017,0.6667±0.042,0.9481±0.017,0.059±0.009,0.3194±0.005,0.8091±0.004,0.3166±0.032,0.0779±0.017,0.6834±0.032,0.9221±0.017,0.0382±0.006,0.3052±0.004,0.8245±0.026,0.3333±0.036,0.0381±0.016,0.6667±0.036,0.9619±0.016,0.0416±0.009,0.2675±0.004,0.6444±0.0,0.3333±0.0,0.1053±0.0,0.6667±0.0,0.8947±0.0,0.1808±0.047,0.3828±0.025,0.8596±0.0,0.1793±0.017,0.18±0.015,0.305±0.024,0.0974±0.006,0.1188±0.015,0.0571±0.0,0.193±0.03,0.1529±0.014,0.2238±0.04,0.2481±0.012,0.3125±0.0,0.3333±0.0,6a241f10c1,0.9325,0.8596,0.07289999999999996
LNL,0.9092±0.0,0.8255±0.008,0.7899±0.006,0.8749±0.001,0.8605±0.003,0.9322±0.001,0.858±0.012,0.9063±0.001,0.907±0.023,0.9113±0.002,0.8182±0.045,0.8538±0.01,0.0363±0.007,0.3779±0.002,0.7804±0.002,0.1778±0.027,0.2772±0.05,0.8222±0.027,0.7228±0.05,0.043±0.015,0.4372±0.005,0.9296±0.008,0.2603±0.049,0.0887±0.026,0.7397±0.049,0.9113±0.026,0.0683±0.012,0.3151±0.004,0.8063±0.004,0.2831±0.025,0.1036±0.023,0.7169±0.025,0.8964±0.023,0.0611±0.017,0.3211±0.01,0.8449±0.008,0.3125±0.0,0.0381±0.022,0.6875±0.0,0.9619±0.022,0.0801±0.007,0.2701±0.006,0.5852±0.103,0.3333±0.0,0.193±0.03,0.6667±0.0,0.807±0.03,0.1813±0.005,0.4332±0.032,0.8538±0.01,0.1518±0.033,0.206±0.028,0.2592±0.055,0.0822±0.019,0.1004±0.021,0.0429±0.029,0.1579±0.053,0.1769±0.029,0.2603±0.047,0.2801±0.017,0.3125±0.0,0.3333±0.0,1b9eca0ee2,0.9322,0.8538,0.07840000000000003
EnD,0.9087±0.0,0.8212±0.002,0.7897±0.002,0.8753±0.0,0.8546±0.004,0.931±0.0,0.8506±0.003,0.9068±0.001,0.8915±0.007,0.9024±0.001,0.7727±0.0,0.8596±0.0,0.0243±0.001,0.3751±0.001,0.7767±0.004,0.2009±0.005,0.2321±0.009,0.7991±0.005,0.7679±0.009,0.0462±0.004,0.438±0.001,0.9317±0.001,0.3105±0.008,0.0736±0.004,0.6895±0.008,0.9264±0.004,0.0579±0.004,0.3181±0.001,0.8049±0.006,0.2938±0.005,0.0899±0.005,0.7062±0.005,0.9101±0.005,0.0448±0.003,0.3121±0.002,0.8203±0.014,0.3125±0.0,0.0286±0.0,0.6875±0.0,0.9714±0.0,0.0661±0.003,0.271±0.001,0.6444±0.0,0.3333±0.0,0.193±0.03,0.6667±0.0,0.807±0.03,0.1983±0.015,0.4172±0.004,0.8596±0.0,0.1724±0.007,0.1877±0.006,0.2882±0.012,0.0996±0.004,0.1151±0.005,0.0619±0.008,0.2105±0.0,0.1577±0.005,0.242±0.021,0.2633±0.005,0.3125±0.0,0.3333±0.0,ee2c348453,0.931,0.8596,0.07140000000000002
ODR,0.9046±0.002,0.8142±0.005,0.7803±0.001,0.8689±0.002,0.8693±0.005,0.9238±0.004,0.8404±0.013,0.9043±0.001,0.8915±0.013,0.9116±0.001,0.7879±0.026,0.8421±0.018,0.0312±0.006,0.3857±0.004,0.7681±0.005,0.1978±0.036,0.2527±0.049,0.8022±0.036,0.7473±0.049,0.046±0.023,0.4523±0.012,0.8895±0.015,0.3059±0.048,0.0606±0.026,0.6941±0.048,0.9394±0.026,0.0543±0.006,0.3316±0.013,0.8108±0.013,0.3014±0.048,0.0972±0.022,0.6986±0.048,0.9028±0.022,0.0501±0.015,0.3193±0.008,0.8581±0.015,0.3333±0.036,0.0286±0.014,0.6667±0.036,0.9714±0.014,0.0578±0.012,0.2627±0.005,0.4756±0.08,0.3333±0.0,0.1579±0.053,0.6667±0.0,0.8421±0.053,0.1706±0.002,0.3983±0.024,0.8421±0.018,0.197±0.023,0.1704±0.02,0.3346±0.028,0.0822±0.025,0.1357±0.022,0.0714±0.025,0.193±0.03,0.1421±0.019,0.2329±0.036,0.239±0.023,0.2708±0.036,0.3333±0.0,3d6bed47bd,0.9238,0.8421,0.0817
GroupDRO,0.8806±0.013,0.7905±0.018,0.7673±0.009,0.848±0.012,0.8576±0.022,0.9192±0.005,0.7988±0.027,0.8696±0.013,0.876±0.044,0.8991±0.012,0.7576±0.026,0.7076±0.01,0.0877±0.017,0.4544±0.03,0.7247±0.025,0.1847±0.044,0.3159±0.043,0.8153±0.044,0.6841±0.043,0.0844±0.035,0.5032±0.037,0.8927±0.01,0.1781±0.036,0.1299±0.022,0.8219±0.036,0.8701±0.022,0.1069±0.011,0.3783±0.025,0.7655±0.019,0.2725±0.035,0.1669±0.011,0.7275±0.035,0.8331±0.011,0.1221±0.009,0.4122±0.022,0.8299±0.047,0.2708±0.036,0.0714±0.025,0.7292±0.036,0.9286±0.025,0.1794±0.029,0.3696±0.036,0.2889±0.154,0.3333±0.0,0.2105±0.0,0.6667±0.0,0.7895±0.0,0.2765±0.015,0.5424±0.005,0.7076±0.01,0.23±0.039,0.1812±0.013,0.3372±0.032,0.1407±0.047,0.1861±0.043,0.0904±0.058,0.2281±0.03,0.1621±0.012,0.1461±0.032,0.2511±0.025,0.2708±0.036,0.3333±0.0,190ff718c7,0.9192,0.7076,0.2116
SWAD,0.9049±0.001,0.8217±0.001,0.7891±0.001,0.8726±0.0,0.8678±0.0,0.932±0.001,0.8478±0.003,0.8994±0.001,0.907±0.0,0.9086±0.001,0.7879±0.026,0.8246±0.0,0.0264±0.001,0.3864±0.002,0.7725±0.005,0.2183±0.001,0.2121±0.001,0.7817±0.001,0.7879±0.001,0.0644±0.003,0.4497±0.001,0.9376±0.006,0.2785±0.008,0.0823±0.004,0.7215±0.008,0.9177±0.004,0.0682±0.003,0.3209±0.002,0.7914±0.001,0.3181±0.003,0.0885±0.001,0.6819±0.003,0.9115±0.001,0.0558±0.001,0.3254±0.002,0.8263±0.023,0.375±0.0,0.0286±0.0,0.625±0.0,0.9714±0.0,0.0852±0.008,0.2775±0.002,0.4±0.0,0.3333±0.0,0.1053±0.0,0.6667±0.0,0.8947±0.0,0.1749±0.011,0.4212±0.001,0.8246±0.0,0.1598±0.003,0.2038±0.002,0.2605±0.005,0.0844±0.0,0.1146±0.002,0.0429±0.0,0.193±0.03,0.1774±0.005,0.2329±0.0,0.277±0.007,0.3125±0.0,0.3333±0.0,cc187539b7,0.932,0.8246,0.10740000000000005
