methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8328±0.058,0.8281±0.041,0.8451±0.111,0.7937±0.06,0.7667±0.076,0.8182±0.079,0.9061±0.049,0.9191±0.019,0.7±0.18,0.8096±0.09,0.8099±0.078,0.8271±0.116,0.8521±0.129,0.3211±0.032,4.2696±2.14,0.55±0.15,0.1667±0.144,0.2708±0.036,0.8333±0.144,0.7292±0.036,0.2785±0.047,3.5434±2.781,0.5816±0.388,0.2±0.346,0.451±0.136,0.8±0.346,0.549±0.136,0.3707±0.031,4.9299±2.212,0.8017±0.079,0.202±0.106,0.2222±0.111,0.2083±0.072,0.1961±0.148,0.3333±0.144,0.1333±0.231,4c2551d522,0.8451,0.8281,0.017000000000000015
resampling,0.7935±0.049,0.8281±0.056,0.7686±0.045,0.746±0.055,0.7667±0.029,0.7273±0.079,0.9515±0.049,0.9485±0.048,0.9±0.05,0.9243±0.022,0.8527±0.087,0.8564±0.135,0.8346±0.078,0.2912±0.041,1.1047±0.396,0.45±0.312,0.1667±0.289,0.2917±0.095,0.8333±0.289,0.7083±0.095,0.301±0.036,1.0795±0.187,0.35±0.09,0.2±0.2,0.3529±0.102,0.8±0.2,0.6471±0.102,0.2973±0.063,1.1276±0.587,0.7686±0.045,0.2323±0.097,0.3333±0.111,0.2083±0.072,0.2549±0.122,0.3333±0.144,0.3333±0.115,cfae6083e9,0.8281,0.7686,0.0595
DomainInd,0.6723±0.063,0.6354±0.092,0.6941±0.031,0.619±0.167,0.6333±0.161,0.6061±0.172,0.9±0.069,0.935±0.043,0.7167±0.076,0.8259±0.056,0.808±0.052,0.9061±0.057,0.8885±0.095,0.1564±0.031,0.5511±0.044,0.11±0.069,0.75±0.433,0.1458±0.095,0.25±0.433,0.8542±0.095,0.2334±0.04,0.5745±0.042,0.3716±0.08,0.6667±0.115,0.0784±0.09,0.3333±0.115,0.9216±0.09,0.1878±0.011,0.5298±0.056,0.6354±0.092,0.404±0.258,0.2963±0.17,0.3958±0.253,0.4118±0.27,0.25±0.25,0.3333±0.231,3bfcdcbcd4,0.6941,0.6354,0.058700000000000085
LAFTR,0.7486±0.024,0.7031±0.056,0.7686±0.024,0.627±0.05,0.5833±0.058,0.6667±0.069,0.9227±0.024,0.9289±0.066,0.75±0.0,0.8395±0.033,0.9205±0.07,0.8862±0.038,0.8755±0.119,0.1882±0.025,0.506±0.02,0.13±0.147,1.0±0.0,0.1042±0.095,0.0±0.0,0.8958±0.095,0.2657±0.018,0.5458±0.046,0.3067±0.046,0.8667±0.115,0.0784±0.09,0.1333±0.115,0.9216±0.09,0.1702±0.056,0.4699±0.004,0.7031±0.056,0.4444±0.063,0.1111±0.0,0.4583±0.072,0.4314±0.09,0.25±0.0,0.0±0.0,d02b89142f,0.7686,0.7031,0.0655
CFair,0.6678±0.15,0.6198±0.185,0.698±0.105,0.5635±0.243,0.55±0.304,0.5758±0.189,0.9136±0.045,0.9044±0.02,0.7833±0.153,0.8439±0.072,0.889±0.117,0.9118±0.013,0.9346±0.023,0.1731±0.036,0.5616±0.106,0.2033±0.129,1.0±0.0,0.0417±0.072,0.0±0.0,0.9583±0.072,0.1981±0.013,0.5662±0.118,0.3411±0.123,0.8±0.2,0.0196±0.034,0.2±0.2,0.9804±0.034,0.1814±0.029,0.5575±0.098,0.6198±0.185,0.4848±0.349,0.2593±0.17,0.5±0.38,0.4706±0.327,0.25±0.0,0.2667±0.306,8aff27bb93,0.698,0.6198,0.07819999999999994
LNL,0.821±0.033,0.8281±0.043,0.8176±0.041,0.7778±0.06,0.7833±0.029,0.7727±0.091,0.9348±0.044,0.9265±0.027,0.9167±0.029,0.9216±0.004,0.9025±0.047,0.8828±0.06,0.9143±0.018,0.2923±0.022,4.2366±2.529,0.5083±0.177,0.1667±0.144,0.25±0.0,0.8333±0.144,0.75±0.0,0.2534±0.022,4.926±2.9,0.5667±0.186,0.1333±0.115,0.4118±0.118,0.8667±0.115,0.5882±0.118,0.3339±0.053,3.6099±2.61,0.8176±0.041,0.1818±0.109,0.3704±0.128,0.1667±0.072,0.1961±0.148,0.4167±0.144,0.3333±0.115,a75bb5fb1a,0.8281,0.8176,0.010499999999999954
EnD,0.807±0.037,0.7812±0.047,0.8235±0.051,0.8016±0.05,0.8167±0.076,0.7879±0.026,0.8015±0.068,0.8676±0.035,0.6167±0.247,0.7422±0.132,0.8294±0.083,0.83±0.084,0.8289±0.13,0.2451±0.017,0.5784±0.011,0.545±0.048,0.5±0.0,0.1667±0.036,0.5±0.0,0.8333±0.036,0.271±0.037,0.5695±0.007,0.6027±0.067,0.2667±0.115,0.2745±0.09,0.7333±0.115,0.7255±0.09,0.2647±0.033,0.5864±0.016,0.7812±0.047,0.1515±0.091,0.3704±0.128,0.0833±0.095,0.2157±0.09,0.5833±0.144,0.2±0.2,08b54c1823,0.8235,0.7812,0.042300000000000004
ODR,0.7733±0.011,0.7656±0.041,0.7843±0.024,0.7302±0.036,0.7333±0.058,0.7273±0.045,0.8606±0.114,0.9154±0.067,0.6167±0.202,0.7661±0.121,0.9263±0.089,0.8779±0.052,0.7971±0.116,0.1353±0.063,0.4348±0.032,0.25±0.265,0.5833±0.382,0.1458±0.13,0.4167±0.382,0.8542±0.13,0.1527±0.059,0.4483±0.034,0.4089±0.078,0.4667±0.462,0.1765±0.156,0.5333±0.462,0.8235±0.156,0.1577±0.081,0.4225±0.051,0.7536±0.021,0.2727±0.061,0.2593±0.064,0.2292±0.036,0.3137±0.09,0.4167±0.144,0.1333±0.231,12660ac8c9,0.7843,0.7656,0.01870000000000005
GroupDRO,0.7969±0.054,0.7917±0.055,0.8039±0.056,0.7619±0.063,0.7333±0.058,0.7879±0.095,0.8545±0.024,0.9449±0.046,0.55±0.26,0.7474±0.112,0.7714±0.084,0.7967±0.062,0.6942±0.051,0.1799±0.043,0.7881±0.287,0.4667±0.208,0.75±0.25,0.1458±0.072,0.25±0.25,0.8542±0.072,0.2234±0.054,0.7674±0.304,0.1971±0.157,0.3333±0.416,0.1373±0.122,0.6667±0.416,0.8627±0.122,0.1838±0.022,0.807±0.321,0.7917±0.055,0.2121±0.08,0.3333±0.0,0.1875±0.062,0.2353±0.102,0.5833±0.144,0.1333±0.115,63231cbc85,0.8039,0.7917,0.012199999999999989
SWAD,0.7666±0.028,0.6667±0.048,0.8275±0.007,0.7381±0.041,0.7167±0.058,0.7576±0.026,0.9045±0.096,0.9547±0.053,0.7±0.2,0.8273±0.124,0.9028±0.072,0.9362±0.014,0.7239±0.064,0.2225±0.019,0.956±0.082,0.3571±0.145,0.5833±0.144,0.1875±0.0,0.4167±0.144,0.8125±0.0,0.2526±0.046,1.0307±0.06,0.52±0.04,0.4±0.0,0.1765±0.0,0.6±0.0,0.8235±0.0,0.2083±0.015,0.8881±0.133,0.6667±0.048,0.2424±0.061,0.3333±0.111,0.2292±0.072,0.2549±0.068,0.5±0.0,0.2±0.2,c8d1cab4dd,0.8275,0.6667,0.16080000000000005
